,Marriott_male,Marriott_female,tuple,International_male,International_female,average_male,average_female,female-male
75,5.2058,4.847544,"('confident', 'shy')",4.4732122,4.780427,4.8395061,4.8139858,-0.0255203
53,-3.2998552,-3.4186559,"('smart', 'stupid')",-3.1129975,-3.3659205,-3.2064264,-3.3922882,-0.1858618
1,-3.1729188,-2.864162,"('friendly', 'unfriendly')",-1.7865536,-1.5042386,-2.4797363,-2.1842003,0.295536
32,-3.1558115,-2.9374228,"('benevolent', 'hardhearted')",-1.9380273,-1.7460811,-2.5469193,-2.3417521,0.2051672
94,3.0717287,2.8165345,"('aggressive', 'submissive')",0.2859678,0.21426558,1.6788483,1.5154001,-0.1634482
109,2.9673913,2.7869618,"('conservative', 'liberal')",0.5787622,0.55668604,1.7730768,1.671824,-0.1012528
108,2.9673913,2.7869618,"('conservative', 'liberal')",0.5787622,0.55668604,1.7730768,1.671824,-0.1012528
40,-2.8609667,-2.9710298,"('honorable', 'mean')",-2.8081641,-3.2003965,-2.8345654,-3.0857131,-0.2511477
99,-2.700086,-2.7647495,"('prestigious', 'insignificant')",-0.6632184,-0.55497897,-1.6816523,-1.6598642,0.0217881
104,-2.6839905,-2.332752,"('conventional', 'unconventional')",-1.1772431,-1.0602865,-1.9306169,-1.6965193,0.2340976
50,2.5099926,2.261183,"('unprejudiced', 'prejudiced')",0.6416665,0.5114497,1.5758295,1.3863163,-0.1895132
71,2.4764323,2.0499394,"('efficient', 'inefficient')",-0.050932884,-0.2395361,1.2127497,0.9052017,-0.307548
27,-2.4209929,-2.1481085,"('sincere', 'insincere')",-4.0837345,-4.3523536,-3.2523637,-3.250231,0.0021327
107,2.3830202,2.418425,"('conventional', 'modern')",2.317912,2.4004447,2.3504663,2.4094348,0.0589685
95,-2.3752184,-2.3193893,"('rich', 'poor')",-2.8154545,-3.0878992,-2.5953364,-2.7036443,-0.1083079
2,2.3715763,2.3455234,"('friendly', 'unfriendly')",-0.9057683,-0.9690632,0.732904,0.68823,-0.044674
6,2.3624456,2.3336334,"('liked', 'disliked')",3.8406193,4.1015024,3.1015325,3.2175679,0.1160354
48,2.3211997,2.0098574,"('reliable', 'unreliable')",1.1683674,1.1768758,1.7447835,1.5933666,-0.1514169
42,-2.307165,-2.1302514,"('amicable', 'hostile')",0.0006996989,0.3527699,-1.1532326,-0.8887408,0.2644918
90,2.239286,2.0885415,"('motivated', 'unmotivated')",0.6301396,0.51205194,1.4347128,1.3002968,-0.134416
8,-2.1796312,-2.2398634,"('open', 'distant')",-0.31112206,-0.3873872,-1.2453766,-1.3136253,-0.0682487
52,2.1682525,2.1148152,"('competitive', 'uncompetitive')",0.0012642741,-0.08686471,1.0847584,1.0139753,-0.0707831
93,2.1193054,2.0149481,"('dominating', 'dominated')",-0.109985195,-0.26749402,1.0046601,0.8737271,-0.130933
25,2.0783525,1.8431638,"('moral', 'immoral')",-0.6570062,-0.71630645,0.7106731,0.5634287,-0.1472444
105,-2.0064704,-1.7966613,"('conventional', 'modern')",0.5408502,0.606601,-0.7328101,-0.5950301,0.13778
66,1.9943186,1.9846216,"('imaginative', 'unimaginative')",1.5368606,1.5965319,1.7655896,1.7905767,0.0249871
86,1.9700863,1.6999167,"('self-reliant', 'helpless')",1.530324,1.5195117,1.7502052,1.6097143,-0.1404909
15,1.9452701,1.8064511,"('polite', 'impolite')",0.546486,0.6936517,1.245878,1.2500514,0.0041734
11,-1.8344445,-1.6617867,"('caring', 'unaffectionate')",-1.7414782,-1.7638924,-1.7879614,-1.7128396,0.0751218
84,-1.794247,-1.9503622,"('self-confident', 'diffident')",-0.7134869,-0.6776919,-1.2538669,-1.3140271,-0.0601602
98,-1.7794354,-1.8260465,"('prestigious', 'insignificant')",-0.48768127,-0.5970609,-1.1335583,-1.2115537,-0.0779954
56,1.6891744,1.4392885,"('intelligent', 'dumb')",0.32186404,0.22502258,1.0055193,0.8321555,-0.1733638
73,1.6887832,1.3588691,"('brilliant', 'incompetent')",-1.0608741,-1.3812499,0.3139545,-0.0111904,-0.3251449
