,Ingersoll_male,Ingersoll_female,tuple,Rand_male,Rand_female,average_male,average_female,female-male
76,3.2720597,3.4294205,"('secure', 'insecure')",1.9199315,1.7219527,2.5959957,2.5756865,-0.0203092
41,-3.226282,-3.2602468,"('incorrupt', 'corrupt')",-0.48735678,-0.2535497,-1.8568194,-1.7568982,0.0999212
71,3.1941073,3.2635899,"('efficient', 'inefficient')",2.352332,2.0690265,2.7732196,2.6663082,-0.1069114
15,3.1501837,3.2336817,"('polite', 'impolite')",2.1994898,2.1662164,2.6748366,2.699949,0.0251124
12,2.8513825,2.967014,"('sympathetic', 'unsympathetic')",0.91334504,0.8139047,1.8823638,1.8904594,0.0080956
2,2.8117511,2.8325703,"('friendly', 'unfriendly')",1.2649233,1.1345812,2.0383372,1.9835758,-0.0547614
94,2.734565,2.6940074,"('aggressive', 'submissive')",2.2992396,2.1433606,2.5169024,2.418684,-0.0982184
16,2.6842566,2.8382432,"('social', 'antisocial')",1.5705462,1.5697691,2.1274014,2.2040062,0.0766048
25,2.6817584,2.5555193,"('moral', 'immoral')",1.5682522,1.3434494,2.1250052,1.9494843,-0.1755209
99,-2.6522458,-2.844757,"('prestigious', 'insignificant')",-2.4330387,-2.3124077,-2.5426421,-2.5785823,-0.0359402
75,2.6218135,2.490716,"('confident', 'shy')",8.588591,8.682724,5.6052022,5.58672,-0.0184822
88,-2.586738,-2.7464375,"('impulsive', 'meek')",0.78049093,0.7935793,-0.9031236,-0.9764291,-0.0733055
98,-2.575072,-2.6749039,"('prestigious', 'insignificant')",-1.8306328,-1.7565103,-2.2028525,-2.2157071,-0.0128546
52,2.488756,2.6277819,"('competitive', 'uncompetitive')",1.066901,1.0441227,1.7778285,1.8359523,0.0581238
109,2.3978908,2.2248268,"('conservative', 'liberal')",2.5549958,2.2679753,2.4764433,2.2464011,-0.2300422
108,2.3978908,2.2248268,"('conservative', 'liberal')",2.5549958,2.2679753,2.4764433,2.2464011,-0.2300422
