,FirstEnergy_male,FirstEnergy_female,tuple,average_male,average_female,female-male
0,1.7185371,1.792436,"('sociable', 'unsociable')",1.7185370922088623,1.7924360036849976,0.07389891147613525
12,1.5770178,1.6565369,"('trustworthy', 'untrustworthy')",1.5770177841186523,1.6565369367599487,0.07951915264129639
29,1.419356,1.2171664,"('competent', 'incompetent')",1.4193559885025024,1.2171664237976074,-0.20218956470489502
7,1.3963428,1.5428761,"('polite', 'impolite')",1.3963427543640137,1.542876124382019,0.14653337001800537
3,1.3616594,1.3922566,"('liked', 'disliked')",1.3616594076156616,1.3922566175460815,0.030597209930419922
31,1.3268389,1.2741264,"('intelligent', 'unintelligent')",1.3268388509750366,1.274126410484314,-0.052712440490722656
23,1.2905006,1.35229,"('truthful', 'untruthful')",1.2905006408691406,1.3522900342941284,0.06178939342498779
42,1.2872657,1.5930822,"('secure', 'insecure')",1.287265658378601,1.5930821895599365,0.30581653118133545
50,-1.2564579,-1.3234023,"('rich', 'poor')",-1.2564579248428345,-1.3234022855758667,-0.06694436073303223
57,1.2229176,1.496489,"('conservative', 'liberal')",1.2229175567626953,1.4964890480041504,0.2735714912414551
19,-1.2120063,-1.0615267,"('kind', 'unkind')",-1.2120063304901123,-1.0615266561508179,0.15047967433929443
38,1.2080429,1.1650764,"('discriminating', 'undiscriminating')",1.208042860031128,1.1650763750076294,-0.042966485023498535
45,1.165081,1.2443595,"('independent', 'dependent')",1.1650810241699219,1.2443594932556152,0.07927846908569336
53,1.1185672,1.0457095,"('influential', 'uninfluential')",1.1185672283172607,1.045709490776062,-0.07285773754119873
47,1.1101779,1.1943357,"('ambitious', 'unambitious')",1.1101778745651245,1.194335699081421,0.08415782451629639
24,1.0434775,0.98322064,"('generous', 'stingy')",1.0434775352478027,0.983220636844635,-0.060256898403167725
46,1.0153604,0.9089763,"('energetic', 'lethargic')",1.0153603553771973,0.9089763164520264,-0.1063840389251709
39,-0.97020596,-0.9620493,"('wise', 'foolish')",-0.9702059626579285,-0.9620493054389954,0.008156657218933105
11,0.97016716,1.072252,"('moral', 'immoral')",0.9701671600341797,1.0722520351409912,0.10208487510681152
10,-0.92740625,-1.1731821,"('hospitable', 'inhospitable')",-0.9274062514305115,-1.1731821298599243,-0.24577587842941284
49,0.8899755,0.76270425,"('motivated', 'unmotivated')",0.8899754881858826,0.7627042531967163,-0.12727123498916626
30,-0.8758839,-0.79276574,"('smart', 'stupid')",-0.8758838772773743,-0.792765736579895,0.08311814069747925
17,0.829222,0.87016845,"('tolerant', 'intolerant')",0.8292220234870911,0.8701684474945068,0.04094642400741577
43,-0.81759393,-0.7090793,"('active', 'inactive')",-0.8175939321517944,-0.7090793251991272,0.10851460695266724
56,0.81565976,0.6314904,"('conventional', 'unconventional')",0.815659761428833,0.6314904093742371,-0.18416935205459595
36,-0.7362327,-0.77411985,"('capable', 'incapable')",-0.7362326979637146,-0.7741198539733887,-0.03788715600967407
20,-0.7013188,-0.8138163,"('right', 'wrong')",-0.7013188004493713,-0.8138163089752197,-0.11249750852584839
25,0.6775475,0.6276967,"('forgiving', 'unforgiving')",0.6775475144386292,0.627696692943573,-0.04985082149505615
21,-0.6700977,-0.7499013,"('incorrupt', 'corrupt')",-0.6700977087020874,-0.749901294708252,-0.07980358600616455
13,0.66483897,0.8215401,"('sincere', 'insincere')",0.664838969707489,0.821540117263794,0.15670114755630493
40,0.6624596,0.76852334,"('logical', 'illogical')",0.6624596118927002,0.7685233354568481,0.10606372356414795
55,-0.659287,-0.67334175,"('conventional', 'unconventional')",-0.6592869758605957,-0.6733417510986328,-0.01405477523803711
33,0.6103039,0.605369,"('educated', 'uneducated')",0.6103038787841797,0.605368971824646,-0.004934906959533691
6,0.5817158,0.24224259,"('supportive', 'unsupportive')",0.5817158222198486,0.24224258959293365,-0.339473232626915
28,-0.54799545,-0.4287601,"('unprejudiced', 'prejudiced')",-0.5479954481124878,-0.4287601113319397,0.1192353367805481
2,0.51624143,0.4431389,"('likable', 'unlikable')",0.5162414312362671,0.44313889741897583,-0.07310253381729126
4,0.4807144,0.38608953,"('sensitive', 'insensitive')",0.4807144105434418,0.3860895335674286,-0.09462487697601318
14,0.44665965,0.44227755,"('honest', 'dishonest')",0.446659654378891,0.44227755069732666,-0.004382103681564331
44,-0.4372977,-0.93135935,"('active', 'inactive')",-0.4372977018356323,-0.9313593506813049,-0.4940616488456726
26,0.40491393,0.21320802,"('reliable', 'unreliable')",0.40491393208503723,0.21320801973342896,-0.19170591235160828
