,Ameriprise_male,Ameriprise_female,tuple,Financial_male,Financial_female,average_male,average_female,female-male
100,1.9263483,1.9444761,"('influential', 'uninfluential')",-0.53337073,-0.3531929,0.6964888,0.7956416,0.0991528
103,1.9070616,1.7689767,"('traditional', 'modern')",1.4537406,1.5622567,1.6804011,1.6656168,-0.0147843
90,1.7624261,1.5734789,"('motivated', 'unmotivated')",0.29928714,0.17462759,1.0308566,0.8740532,-0.1568034
81,-1.5093117,-1.6923406,"('industrious', 'lazy')",0.317926,0.30935726,-0.5956929,-0.6914917,-0.0957988
12,1.484884,1.4895418,"('sympathetic', 'unsympathetic')",-0.4519704,-0.5384216,0.5164568,0.4755601,-0.0408967
55,1.4599651,1.4476266,"('intelligent', 'unintelligent')",-0.20168805,-0.17347366,0.6291385,0.6370765,0.007938
70,1.3861641,1.3104036,"('wise', 'unwise')",1.205356,1.2741499,1.29576,1.2922767,-0.0034833
48,-1.3547422,-1.4991734,"('reliable', 'unreliable')",1.3649476,1.2105336,0.0051027,-0.1443199,-0.1494226
52,1.3019707,1.2468061,"('competitive', 'uncompetitive')",-0.6497122,-0.63137233,0.3261293,0.3077169,-0.0184124
14,1.290559,1.1575129,"('supportive', 'unsupportive')",-0.13465393,-0.21401061,0.5779526,0.4717512,-0.1062014
86,-1.2500958,-1.3575358,"('self-reliant', 'helpless')",1.3150358,1.1790104,0.03247,-0.0892627,-0.1217327
50,-1.2056737,-1.4111927,"('unprejudiced', 'prejudiced')",1.177182,1.0284519,-0.0142459,-0.1913704,-0.1771245
0,1.1698141,1.1587586,"('sociable', 'unsociable')",-0.17022467,-0.09733319,0.4997947,0.5307127,0.030918
60,1.1148572,1.1249709,"('educated', 'uneducated')",0.5201793,0.6094767,0.8175182,0.8672238,0.0497056
82,-1.1039755,-1.0355858,"('industrious', 'meek')",-0.3084588,-0.33355302,-0.7062172,-0.6845694,0.0216478
64,1.1019373,1.0425857,"('clever', 'incompetent')",-0.025381118,-0.051229566,0.5382781,0.4956781,-0.0426
66,1.1009042,0.9430684,"('imaginative', 'unimaginative')",1.3270609,1.2727424,1.2139826,1.1079054,-0.1060772
1,1.0768683,1.100589,"('friendly', 'unfriendly')",-1.7489433,-1.6422913,-0.3360375,-0.2708511,0.0651864
13,1.0534763,1.077613,"('helpful', 'unhelpful')",-2.2760975,-2.2777429,-0.6113106,-0.6000649,0.0112457
