,Bank_male,Bank_female,tuple,of_male,of_female,America_male,America_female,average_male,average_female,female-male
27,-6.8211713,-6.7696857,"('sincere', 'insincere')",-5.5393996,-6.0968843,-5.324737,-5.416809,-5.895102818806966,-6.094459533691406,-0.1993567148844404
75,6.2702565,6.3005953,"('confident', 'shy')",4.6290064,5.0304117,4.9044743,4.9681654,5.26791254679362,5.433057149251302,0.1651446024576817
95,-5.887305,-6.349827,"('rich', 'poor')",-4.847301,-5.451636,-4.505689,-4.5617633,-5.080098470052083,-5.454408645629883,-0.3743101755777998
40,-5.4063363,-5.8080196,"('honorable', 'mean')",-3.6466293,-4.4648967,-3.9812722,-4.273081,-4.344745635986328,-4.848665873209636,-0.5039202372233076
6,5.147136,5.1057534,"('liked', 'disliked')",4.558131,5.4983554,5.0240464,5.004745,4.909770965576172,5.202951431274414,0.2931804656982422
53,-4.719666,-4.985024,"('smart', 'stupid')",-3.946859,-4.4173803,-3.887376,-3.7991414,-4.184633572896321,-4.400515238444011,-0.2158816655476894
13,-3.2540295,-3.2247953,"('helpful', 'unhelpful')",-3.0066469,-3.235507,-2.9819493,-3.0576596,-3.0808753967285156,-3.172653834025065,-0.09177843729654933
38,-2.8988214,-2.5975816,"('kind', 'unkind')",-2.511056,-2.5107012,-1.7672668,-1.7600518,-2.3923813501993814,-2.289444923400879,0.10293642679850246
86,2.8024654,2.6910558,"('self-reliant', 'helpless')",2.8832169,3.2220511,3.2504604,2.9887104,2.9787143071492515,2.9672724405924478,-0.011441866556803681
1,-2.669364,-2.499082,"('friendly', 'unfriendly')",0.8503624,0.845134,-0.29675627,-0.22264045,-0.7052526473999023,-0.6255295276641846,0.07972311973571777
11,-2.3199444,-2.1738923,"('caring', 'unaffectionate')",0.11488634,-0.040335357,-1.0476277,-1.2064276,-1.0842285950978596,-1.1402184168497722,-0.05598982175191258
50,2.2667234,2.121076,"('unprejudiced', 'prejudiced')",2.0320568,1.6856086,2.1040606,1.9918658,2.1342803637186685,1.9328502019246419,-0.20143016179402662
32,-2.258099,-2.0210447,"('benevolent', 'hardhearted')",-0.450615,-0.24688256,-1.2179577,-1.0756717,-1.3088905811309814,-1.1145329475402832,0.19435763359069824
48,2.1090958,2.0938027,"('reliable', 'unreliable')",1.6036812,1.9138367,1.1687771,0.88632935,1.6271847089131672,1.6313228607177734,0.004138151804606194
66,2.071839,2.1528926,"('imaginative', 'unimaginative')",1.4762614,1.6686133,1.7033072,1.8704181,1.7504692077636719,1.8973080317179363,0.1468388239542644
10,-1.9408758,-1.7969762,"('affectionate', 'unaffectionate')",1.0715139,1.2181033,-0.18661731,-0.17576176,-0.3519930839538574,-0.25154489278793335,0.10044819116592407
63,-1.8917965,-1.9390268,"('capable', 'incapable')",-1.8506088,-1.8009058,-0.6621139,-0.8582764,-1.4681730270385742,-1.5327363014221191,-0.06456327438354492
34,-1.8668888,-1.5986952,"('loyal', 'disloyal')",-2.238318,-2.126284,-1.5019326,-1.3998421,-1.8690463701883953,-1.7082737286885579,0.1607726414998374
46,1.8555348,1.9435979,"('generous', 'stingy')",1.8448024,2.1951387,1.3993547,1.5452977,1.699897289276123,1.8946781158447266,0.19478082656860352
47,-1.852688,-1.72774,"('forgiving', 'unforgiving')",-0.78113353,-0.77857363,-0.42861432,-0.35253704,-1.020811955134074,-0.9529503186543783,0.06786163647969568
74,-1.7838279,-1.7883239,"('insightful', 'unperceptive')",-1.7648724,-1.7891934,-2.1734004,-2.425386,-1.9073669115702312,-2.0009676615397134,-0.0936007499694822
80,1.6989226,1.5847905,"('independent', 'dependent')",-0.16386591,-0.25098062,-0.6160351,-0.6199844,0.3063405354817708,0.23794182141621908,-0.06839871406555173
37,1.6318533,1.5781286,"('good', 'evil')",2.7222862,3.2358694,2.2761602,2.216298,2.2100998560587564,2.3434321085611978,0.1333322525024414
81,1.6023536,1.6110629,"('industrious', 'lazy')",2.435618,2.6282892,1.7467587,1.6007099,1.9282433191935222,1.946687380472819,0.018444061279296875
78,1.5619781,1.2684833,"('active', 'inactive')",2.75943,2.5408607,1.2977211,1.037327,1.8730430603027344,1.615557034810384,-0.25748602549235033
49,-1.5477035,-1.7175227,"('responsible', 'irresponsible')",-1.1333278,-1.5444881,-1.0731332,-1.2649634,-1.251388152440389,-1.5089914004007976,-0.2576032479604087
29,-1.5172828,-1.4168208,"('honest', 'immoral')",-2.2298083,-2.3917658,-1.6849523,-2.0263274,-1.8106811841328938,-1.9449714024861653,-0.13429021835327148
102,-1.5067894,-1.2522603,"('eminent', 'low')",-1.3235397,-0.890504,-1.417602,-1.352294,-1.4159770011901855,-1.165019432703654,0.2509575684865315
44,-1.5047665,-1.611411,"('truthful', 'untruthful')",-1.1423291,-1.2009176,-1.1736655,-1.1634502,-1.2735870679219563,-1.3252596060434978,-0.05167253812154149
103,1.4957626,1.5299618,"('traditional', 'modern')",0.5121502,0.31321925,1.2393608,1.0770593,1.082424561182658,0.9734134674072266,-0.10901109377543139
65,-1.4374557,-1.6050773,"('practical', 'impractical')",-2.2162693,-2.5371716,-1.5873483,-1.6652627,-1.747024377187093,-1.9358372688293457,-0.18881289164225268
28,-1.4344407,-1.4957844,"('honest', 'dishonest')",-0.47531837,-0.89338636,-1.8208299,-1.9633286,-1.2435296376546223,-1.450833002726237,-0.20730336507161473
99,-1.3817596,-1.2785866,"('prestigious', 'insignificant')",0.71365315,1.4585583,0.13249886,-0.016819865,-0.17853587865829468,0.054383943478266396,0.23291982213656107
101,-1.3645941,-1.1478422,"('successful', 'unsuccessful')",-1.7526677,-1.1667439,-0.84656835,-1.0391347,-1.3212767442067463,-1.117906967798869,0.20336977640787746
41,1.3364859,1.4755075,"('incorrupt', 'corrupt')",2.122983,2.6758566,1.1425414,1.2469296,1.5340034166971843,1.799431324005127,0.26542790730794263
56,1.3250711,1.3251783,"('intelligent', 'dumb')",0.84162664,0.9887724,0.24570195,0.23150107,0.8041332562764486,0.8484838803609213,0.044350624084472656
