,Amgen_male,Amgen_female,tuple,average_male,average_female,female-male
75,3.8403592,3.734971,"('confident', 'shy')",3.8403592,3.734971,-0.1053882
6,2.3995323,2.5589082,"('liked', 'disliked')",2.3995323,2.5589082,0.1593759
95,-2.2922597,-2.366807,"('rich', 'poor')",-2.2922597,-2.366807,-0.0745473
15,2.0741415,2.0229433,"('polite', 'impolite')",2.0741415,2.0229433,-0.0511982
99,-2.02005,-1.874548,"('prestigious', 'insignificant')",-2.02005,-1.874548,0.145502
53,-2.0020688,-2.1863909,"('smart', 'stupid')",-2.0020688,-2.1863909,-0.1843221
27,-1.9122266,-1.8672482,"('sincere', 'insincere')",-1.9122266,-1.8672482,0.0449784
66,1.8741988,1.8977174,"('imaginative', 'unimaginative')",1.8741988,1.8977174,0.0235186
40,-1.8254567,-1.9298923,"('honorable', 'mean')",-1.8254567,-1.9298923,-0.1044356
76,1.7885723,1.6548951,"('secure', 'insecure')",1.7885723,1.6548951,-0.1336772
21,1.7127872,1.4564676,"('nice', 'nasty')",1.7127872,1.4564676,-0.2563196
2,1.6609031,1.6394701,"('friendly', 'unfriendly')",1.6609031,1.6394701,-0.021433
12,1.6277168,1.5947323,"('sympathetic', 'unsympathetic')",1.6277168,1.5947323,-0.0329845
71,1.6246479,1.3188134,"('efficient', 'inefficient')",1.6246479,1.3188134,-0.3058345
52,1.5770755,1.5720516,"('competitive', 'uncompetitive')",1.5770755,1.5720516,-0.0050239
107,1.548048,1.6949422,"('conventional', 'modern')",1.548048,1.6949422,0.1468942
104,-1.5243447,-1.3317419,"('conventional', 'unconventional')",-1.5243447,-1.3317419,0.1926028
14,1.5014014,1.4986107,"('supportive', 'unsupportive')",1.5014014,1.4986107,-0.0027907
8,-1.4769688,-1.4775696,"('open', 'distant')",-1.4769688,-1.4775696,-0.0006008
98,-1.4183812,-1.3760642,"('prestigious', 'insignificant')",-1.4183812,-1.3760642,0.042317
70,1.3733766,1.4027439,"('wise', 'unwise')",1.3733766,1.4027439,0.0293673
94,1.3683327,1.2248154,"('aggressive', 'submissive')",1.3683327,1.2248154,-0.1435173
109,1.3664429,1.303203,"('conservative', 'liberal')",1.3664429,1.303203,-0.0632399
108,1.3664429,1.303203,"('conservative', 'liberal')",1.3664429,1.303203,-0.0632399
16,1.3272994,1.242393,"('social', 'antisocial')",1.3272994,1.242393,-0.0849064
48,1.2563118,1.2059457,"('reliable', 'unreliable')",1.2563118,1.2059457,-0.0503661
3,1.2182372,1.1940217,"('likable', 'unlikable')",1.2182372,1.1940217,-0.0242155
50,1.217311,0.95672846,"('unprejudiced', 'prejudiced')",1.217311,0.9567285,-0.2605825
1,-1.2057464,-1.0332253,"('friendly', 'unfriendly')",-1.2057464,-1.0332253,0.1725211
31,-1.1967225,-1.1725181,"('altruistic', 'egoistic')",-1.1967225,-1.1725181,0.0242044
5,1.128279,0.9716139,"('pleasant', 'repellent')",1.128279,0.9716139,-0.1566651
89,1.1213751,0.86151326,"('daring', 'anxious')",1.1213751,0.8615133,-0.2598618
90,1.120522,1.0673854,"('motivated', 'unmotivated')",1.120522,1.0673854,-0.0531366
41,-1.1109829,-1.0149739,"('incorrupt', 'corrupt')",-1.1109829,-1.0149739,0.096009
10,-1.1009122,-0.927448,"('affectionate', 'unaffectionate')",-1.1009122,-0.927448,0.1734642
25,1.0587034,1.061686,"('moral', 'immoral')",1.0587034,1.061686,0.0029826
0,1.0065298,1.0717896,"('sociable', 'unsociable')",1.0065298,1.0717896,0.0652598
32,-0.99685144,-0.9065621,"('benevolent', 'hardhearted')",-0.9968514,-0.9065621,0.0902893
39,-0.994463,-0.8119762,"('right', 'wrong')",-0.994463,-0.8119762,0.1824868
69,-0.9605415,-0.87785304,"('wise', 'foolish')",-0.9605415,-0.877853,0.0826885
60,0.92579716,1.1844729,"('educated', 'uneducated')",0.9257972,1.1844729,0.2586757
80,0.9184469,0.8369359,"('independent', 'dependent')",0.9184469,0.8369359,-0.081511
64,0.9174325,0.8986637,"('clever', 'incompetent')",0.9174325,0.8986637,-0.0187688
105,-0.90023017,-0.6365131,"('conventional', 'modern')",-0.9002302,-0.6365131,0.2637171
11,-0.8855777,-0.68226516,"('caring', 'unaffectionate')",-0.8855777,-0.6822652,0.2033125
7,-0.8259658,-0.8738477,"('outgoing', 'distant')",-0.8259658,-0.8738477,-0.0478819
55,0.8004302,0.77290404,"('intelligent', 'unintelligent')",0.8004302,0.772904,-0.0275262
86,0.75293076,0.80963355,"('self-reliant', 'helpless')",0.7529308,0.8096336,0.0567028
4,-0.7233738,-0.7740171,"('likable', 'unlikable')",-0.7233738,-0.7740171,-0.0506433
82,-0.7164506,-0.73222804,"('industrious', 'meek')",-0.7164506,-0.732228,-0.0157774
13,0.6985845,0.6251037,"('helpful', 'unhelpful')",0.6985845,0.6251037,-0.0734808
78,0.68846357,0.47539276,"('active', 'inactive')",0.6884636,0.4753928,-0.2130708
81,-0.68244183,-0.7424943,"('industrious', 'lazy')",-0.6824418,-0.7424943,-0.0600525
42,-0.68189365,-0.27391207,"('amicable', 'hostile')",-0.6818936,-0.2739121,0.4079815
63,-0.67016876,-0.6911036,"('capable', 'incapable')",-0.6701688,-0.6911036,-0.0209348
51,0.63030756,0.6645492,"('competent', 'incompetent')",0.6303076,0.6645492,0.0342416
35,0.6290637,0.716844,"('fair', 'unfair')",0.6290637,0.716844,0.0877803
61,-0.6288975,-0.425393,"('rational', 'irrational')",-0.6288975,-0.425393,0.2035045
19,-0.6201736,-0.5326682,"('funny', 'boring')",-0.6201736,-0.5326682,0.0875054
33,-0.5886435,-0.50953794,"('softhearted', 'hardhearted')",-0.5886435,-0.5095379,0.0791056
26,0.570238,0.6156619,"('trustworthy', 'untrustworthy')",0.570238,0.6156619,0.0454239
57,0.56170046,0.2754572,"('able', 'unable')",0.5617005,0.2754572,-0.2862433
18,0.55552053,0.53783774,"('social', 'asocial')",0.5555205,0.5378377,-0.0176828
9,0.5529294,0.5942925,"('sensitive', 'insensitive')",0.5529294,0.5942925,0.0413631
43,-0.5318649,-0.51686865,"('genuine', 'fake')",-0.5318649,-0.5168687,0.0149962
34,-0.5312458,-0.43217915,"('loyal', 'disloyal')",-0.5312458,-0.4321792,0.0990666
24,-0.52437997,-0.5459074,"('thoughtful', 'rough')",-0.52438,-0.5459074,-0.0215274
20,-0.52163434,-0.3223036,"('popular', 'unpopular')",-0.5216343,-0.3223036,0.1993307
73,0.5202828,0.3981143,"('brilliant', 'incompetent')",0.5202828,0.3981143,-0.1221685
106,-0.5194851,-0.45552677,"('conventional', 'unconventional')",-0.5194851,-0.4555268,0.0639583
85,0.491714,0.5242033,"('ambitious', 'unambitious')",0.491714,0.5242033,0.0324893
103,0.48042965,0.7187691,"('traditional', 'modern')",0.4804296,0.7187691,0.2383395
38,-0.4702186,-0.2160308,"('kind', 'unkind')",-0.4702186,-0.2160308,0.2541878
96,0.45123202,0.49716923,"('powerful', 'powerless')",0.451232,0.4971692,0.0459372
28,-0.44305474,-0.37170196,"('honest', 'dishonest')",-0.4430547,-0.371702,0.0713527
100,0.41575277,0.5502337,"('influential', 'uninfluential')",0.4157528,0.5502337,0.1344809
93,0.38441816,0.4097937,"('dominating', 'dominated')",0.3844182,0.4097937,0.0253755
59,-0.3810697,-0.24588124,"('skillful', 'clumsy')",-0.3810697,-0.2458812,0.1351885
67,-0.36653578,-0.20613208,"('discriminating', 'undiscriminating')",-0.3665358,-0.2061321,0.1604037
58,-0.36554053,-0.44419175,"('able', 'clumsy')",-0.3655405,-0.4441918,-0.0786513
65,0.35551372,0.113233656,"('practical', 'impractical')",0.3555137,0.1132337,-0.24228
92,-0.34931388,-0.41781706,"('unwavering', 'wavering')",-0.3493139,-0.4178171,-0.0685032
87,-0.34594774,-0.41841617,"('dedicated', 'undedicated')",-0.3459477,-0.4184162,-0.0724685
44,0.3324119,0.30908597,"('truthful', 'untruthful')",0.3324119,0.309086,-0.0233259
83,0.32914776,0.31779104,"('energetic', 'lethargic')",0.3291478,0.317791,-0.0113568
36,0.32432675,0.29757398,"('tolerant', 'intolerant')",0.3243268,0.297574,-0.0267528
97,-0.29916835,-0.25178665,"('superior', 'inferior')",-0.2991683,-0.2517866,0.0473817
49,0.2944157,0.041276574,"('responsible', 'irresponsible')",0.2944157,0.0412766,-0.2531391
54,0.28192157,0.010946233,"('smart', 'stupid')",0.2819216,0.0109462,-0.2709754
68,0.27792597,0.029440254,"('clever', 'inept')",0.277926,0.0294403,-0.2484857
37,-0.265361,-0.18783444,"('good', 'evil')",-0.265361,-0.1878344,0.0775266
30,0.25381947,0.35273355,"('honest', 'dishonest')",0.2538195,0.3527336,0.0989141
79,0.25033158,0.17262232,"('determined', 'doubtful')",0.2503316,0.1726223,-0.0777093
45,0.24473453,0.087939054,"('cooperative', 'exploitative')",0.2447345,0.0879391,-0.1567954
102,-0.22925979,-0.2309941,"('eminent', 'low')",-0.2292598,-0.2309941,-0.0017343
91,0.22550878,0.22758076,"('resilient', 'nonresilient')",0.2255088,0.2275808,0.002072
88,-0.21603073,-0.1396885,"('impulsive', 'meek')",-0.2160307,-0.1396885,0.0763422
23,0.21146393,0.16437024,"('hospitable', 'inhospitable')",0.2114639,0.1643702,-0.0470937
17,0.20258442,0.3791413,"('social', 'antisocial')",0.2025844,0.3791413,0.1765569
101,-0.18704046,-0.1825981,"('successful', 'unsuccessful')",-0.1870405,-0.1825981,0.0044424
110,0.17747752,0.26405156,"('narrow-minded', 'open-minded')",0.1774775,0.2640516,0.0865741
29,0.1712141,0.18976045,"('honest', 'immoral')",0.1712141,0.1897604,0.0185463
47,-0.139615,-0.06582188,"('forgiving', 'unforgiving')",-0.139615,-0.0658219,0.0737931
46,0.13279703,0.37135798,"('generous', 'stingy')",0.132797,0.371358,0.238561
62,0.11096561,0.17472503,"('creative', 'uncreative')",0.1109656,0.174725,0.0637594
56,-0.105403155,-0.080996774,"('intelligent', 'dumb')",-0.1054032,-0.0809968,0.0244064
84,-0.099223405,-0.04796359,"('self-confident', 'diffident')",-0.0992234,-0.0479636,0.0512598
22,-0.082478225,-0.0909476,"('welcoming', 'disagreeable')",-0.0824782,-0.0909476,-0.0084694
72,0.057340562,0.106904835,"('logical', 'illogical')",0.0573406,0.1069048,0.0495642
74,0.007090777,-0.08958967,"('insightful', 'unperceptive')",0.0070908,-0.0895897,-0.0966805
77,-0.004963398,0.020429373,"('active', 'inactive')",-0.0049634,0.0204294,0.0253928
