,State_male,State_female,tuple,Street_male,Street_female,Corporation_male,Corporation_female,average_male,average_female,female-male
50,-3.8471944,-3.7652886,"('rich', 'poor')",-2.6891887,-3.1211908,-5.64284,-5.8960824,-4.059741020202637,-4.260854085286458,-0.20111306508382132
3,3.8000584,3.6824179,"('liked', 'disliked')",2.3185842,2.486768,4.7524786,4.9366384,3.623707135518392,3.701941172281901,0.07823403676350882
30,-3.266138,-3.15146,"('smart', 'stupid')",-2.1298916,-2.1108913,-3.4892113,-3.8790052,-2.96174685160319,-3.047118822733561,-0.0853719711303711
44,3.0809553,2.7421823,"('active', 'inactive')",1.9976366,1.8092926,2.3348618,2.1795244,2.4711511929829917,2.243666330973307,-0.22748486200968454
5,-2.8481698,-2.7002091,"('helpful', 'unhelpful')",-3.2826679,-3.1312108,-3.519785,-3.6644435,-3.216874122619629,-3.165287653605143,0.051586469014485825
19,-2.8361464,-2.372152,"('kind', 'unkind')",-2.1017435,-1.8027034,-2.3694293,-2.254987,-2.4357732137044272,-2.1432806650797525,0.2924925486246748
18,1.9822251,2.070727,"('good', 'evil')",2.7278283,2.616773,1.8306705,1.9855168,2.180241266886393,2.2243388493855796,0.044097582499186494
15,-1.946656,-1.7124966,"('loyal', 'disloyal')",-1.5441587,-1.157062,-1.9524353,-1.7376065,-1.8144165674845378,-1.535721778869629,0.27869478861490893
41,1.9254146,1.1922625,"('confident', 'shy')",2.270677,1.8136189,2.1417727,1.8668356,2.112621466318766,1.6242389678955078,-0.4883824984232583
4,-1.880755,-1.6826422,"('sensitive', 'insensitive')",-1.1008725,-1.07155,-1.1511647,-1.1872176,-1.3775973320007324,-1.3138033548990886,0.0637939771016438
37,-1.7540073,-1.7930888,"('practical', 'impractical')",-2.4554625,-2.329263,-1.711442,-1.80433,-1.9736372629801433,-1.9755605061848958,-0.0019232432047524561
54,-1.7203511,-1.3821131,"('successful', 'unsuccessful')",-1.1906956,-0.9201206,-1.7906446,-1.3691573,-1.5672305425008137,-1.2237970034281414,0.3434335390726724
33,-1.6983948,-1.2104878,"('educated', 'uneducated')",-1.309979,-1.0177813,-1.655211,-1.4361672,-1.5545282363891602,-1.221478780110677,0.33304945627848315
36,-1.6575996,-1.5923821,"('capable', 'incapable')",-0.39397848,-0.41083857,-0.8459219,-0.8105603,-0.9658333460489908,-0.9379269282023112,0.027906417846679688
11,-1.6182685,-1.6758897,"('moral', 'immoral')",-1.5773534,-1.2635893,-0.94255114,-1.1502492,-1.379391034444173,-1.363242785135905,0.01614824930826808
28,1.544992,1.1778071,"('unprejudiced', 'prejudiced')",1.9126713,1.637697,2.5752447,2.5075693,2.010969320933024,1.774357795715332,-0.2366115252176919
34,1.4790155,1.6536278,"('rational', 'irrational')",1.9967754,1.9159133,0.50889474,0.76207244,1.3282285531361897,1.4438711802164714,0.11564262708028172
45,1.4528041,1.7033851,"('independent', 'dependent')",1.2040806,1.1437376,0.9400641,1.0104985,1.198982874552409,1.2858737309773762,0.0868908564249673
21,1.3868551,1.3849068,"('incorrupt', 'corrupt')",2.5011373,2.3337235,1.9520667,2.2503433,1.9466864267985027,1.9896578788757324,0.042971452077229744
52,-1.3068519,-1.0457021,"('superior', 'inferior')",-0.0002889037,0.021852225,-1.1832991,-1.0219007,-0.8301466306050619,-0.681916872660319,0.1482297579447429
16,1.2395512,1.4399431,"('fair', 'unfair')",0.94274056,0.99438345,1.0734619,1.2934147,1.0852511723836262,1.2425804138183594,0.15732924143473315
17,-1.2282679,-1.4539626,"('tolerant', 'intolerant')",-0.7565032,-0.7555453,-1.147063,-1.310071,-1.0439446767171223,-1.1731929779052734,-0.12924830118815112
29,-1.1487049,-1.111494,"('competent', 'incompetent')",-0.9057261,-0.69151306,-0.54876024,-0.48219028,-0.8677303791046143,-0.7617324193318685,0.10599795977274573
24,1.1270335,1.1779592,"('generous', 'stingy')",1.756717,2.0478427,2.0398831,2.4923894,1.6412111918131511,1.906063715616862,0.26485252380371094
1,-1.0868273,-0.60880303,"('friendly', 'unfriendly')",-0.39695024,-0.36518157,-1.942998,-1.7072537,-1.1422584851582844,-0.8937460581461588,0.24851242701212561
25,-1.0748923,-0.8901316,"('forgiving', 'unforgiving')",-0.9681679,-0.7233261,-1.2929413,-1.059115,-1.112000544865926,-0.8908575375874838,0.22114300727844227
31,-1.0473177,-0.8163504,"('intelligent', 'unintelligent')",-0.67256516,-0.50712,-1.5108752,-1.3606179,-1.076919396718343,-0.8946960767110189,0.1822233200073241
48,-1.0414953,-0.9949133,"('dedicated', 'undedicated')",-1.3412744,-1.2470394,-1.0445504,-0.8789234,-1.1424400011698406,-1.0402920246124268,0.10214797655741381
0,-1.0207355,-0.60791296,"('sociable', 'unsociable')",-2.3141818,-1.8006948,-1.0896252,-0.75310206,-1.4748474756876628,-1.0539032618204753,0.4209442138671875
46,-0.982911,-1.1417818,"('energetic', 'lethargic')",-1.6100153,-1.3267301,-0.3632766,-0.4883741,-0.9854009946187338,-0.9856287638346354,-0.0002277692159016187
42,-0.97747964,-0.98190665,"('secure', 'insecure')",-0.3345461,-0.17882994,0.12730306,-0.020152003,-0.39490755399068195,-0.393629511197408,0.0012780427932739258
27,-0.8635668,-0.869985,"('responsible', 'irresponsible')",-1.6848273,-1.5754743,-0.9185499,-1.1231246,-1.1556480725606282,-1.189527988433838,-0.03387991587320971
26,0.8300363,0.5118593,"('reliable', 'unreliable')",0.6936082,0.9454397,2.2609792,2.2535896,1.261541207631429,1.236962874730428,-0.024578332901000977
51,-0.7833501,-0.6610816,"('powerful', 'powerless')",-1.1628006,-0.6795665,-0.547754,-0.40263766,-0.8313015302022299,-0.581095298131307,0.25020623207092285
23,0.7041931,0.81941444,"('truthful', 'untruthful')",-0.30093914,-0.09817907,0.3356667,0.36767015,0.2463068962097168,0.36296852429707843,0.11666162808736164
8,-0.6859783,-0.40067723,"('popular', 'unpopular')",-0.11667618,-0.12924266,-0.32305342,-0.1826106,-0.37523595492045086,-0.2375101645787557,0.13772579034169516
20,-0.62128407,-0.51337314,"('right', 'wrong')",0.8603472,0.9601654,0.312078,0.60871965,0.18371371428171793,0.3518373171488444,0.1681236028671265
14,-0.61802065,-0.54760325,"('honest', 'dishonest')",-1.2619693,-1.1112666,-1.3733705,-1.3681765,-1.0844535032908122,-1.009015401204427,0.07543810208638524
22,0.6063404,0.78455615,"('amicable', 'hostile')",1.6067382,1.4366672,0.9589158,1.171665,1.0573314030965169,1.1309627691904705,0.0736313660939536
7,-0.57257324,-0.43122387,"('polite', 'impolite')",-0.92292714,-0.5365098,0.23842043,0.30858937,-0.41902661323547363,-0.21971476078033447,0.19931185245513916
57,0.48509854,0.41182956,"('conservative', 'liberal')",-1.0916786,-0.7644323,0.26653212,0.13732001,-0.1133493185043335,-0.07176091273625691,0.04158840576807658
2,0.47220358,0.68600106,"('likable', 'unlikable')",-0.32140505,-0.04978749,-0.7920646,-0.63610566,-0.21375536918640137,3.596146901448568e-05,0.21379133065541586
38,-0.47168028,-0.44157878,"('discriminating', 'undiscriminating')",-0.6973702,-0.46827316,-0.8692392,-0.8203534,-0.679429848988851,-0.5767350991566976,0.10269474983215332
53,-0.41834575,-0.042591274,"('influential', 'uninfluential')",-1.6532602,-1.0287544,-1.3297918,-1.0706582,-1.1337992350260417,-0.7140012582143148,0.4197979768117269
32,-0.34994364,-0.4928156,"('able', 'unable')",0.23504291,0.08200453,-0.2013216,-0.36090654,-0.10540743668874104,-0.2572392026583354,-0.15183176596959436
9,-0.33587432,-0.5316081,"('nice', 'nasty')",0.047102332,0.046870947,0.11077392,0.056335986,-0.059332688649495445,-0.14280039072036743,-0.08346770207087198
55,-0.29415,-0.055324167,"('conventional', 'unconventional')",0.5399445,0.6126377,-0.024148233,0.31975356,0.0738821029663086,0.2923556963602702,0.2184735933939616
49,0.28951842,0.005879402,"('motivated', 'unmotivated')",0.6476399,0.4659859,1.1100236,0.94516706,0.6823939482371012,0.4723441203435262,-0.21004982789357501
39,0.2700989,0.3053193,"('wise', 'foolish')",1.9167736,1.840438,0.6855614,0.8061845,0.9574779669443766,0.9839805761973063,0.026502609252929688
56,0.2679397,0.3553781,"('conventional', 'unconventional')",-0.17780331,-0.14782164,-0.15096393,-0.035023272,-0.020275851090749104,0.05751106142997742,0.07778691252072652
10,-0.22571719,-0.28185582,"('hospitable', 'inhospitable')",0.7167089,0.6421274,-0.038033128,0.13286167,0.1509861946105957,0.16437774896621704,0.013391554355621338
13,-0.17891122,-0.029231876,"('sincere', 'insincere')",-1.0151734,-0.7906241,-0.22084624,-0.2669482,-0.471643606821696,-0.36226805051167804,0.10937555631001794
6,0.17133027,0.1710495,"('supportive', 'unsupportive')",-0.22654147,-0.056583866,0.40424493,0.47980875,0.11634457111358643,0.19809146722157797,0.08174689610799155
35,0.10683906,0.20118386,"('creative', 'uncreative')",0.6156424,0.44200325,-0.46642017,-0.453404,0.08535377184549968,0.06326103210449219,-0.02209273974100749
40,0.07762292,0.27014375,"('logical', 'illogical')",-0.2882711,-0.2676762,-0.7019197,-0.4388909,-0.3041892846425374,-0.14547445376714072,0.1587148308753967
43,0.053476512,0.33958048,"('active', 'inactive')",0.40619442,0.70793986,-0.28766382,0.10770506,0.05733570456504822,0.3850751717885335,0.3277394672234853
12,-0.026293993,0.016481578,"('trustworthy', 'untrustworthy')",0.03781812,0.3387433,0.57739496,0.5178565,0.1963063677151998,0.29102710882822674,0.09472074111302695
47,0.025745273,-0.05558002,"('ambitious', 'unambitious')",-0.41082335,-0.26528412,-0.4980974,-0.48776633,-0.29439183076222736,-0.26954348882039386,0.024848341941833496
