,Edison_male,Edison_female,tuple,International_male,International_female,average_male,average_female,female-male
75,5.122245,5.087307,"('confident', 'shy')",4.4732122,4.780427,4.7977285,4.933867,0.1361385
6,3.1796808,3.5198894,"('liked', 'disliked')",3.8406193,4.1015024,3.51015,3.8106959,0.3005459
27,-3.0968337,-3.1636157,"('sincere', 'insincere')",-4.0837345,-4.3523536,-3.5902841,-3.7579846,-0.1677005
53,-3.0434775,-3.167417,"('smart', 'stupid')",-3.1129975,-3.3659205,-3.0782375,-3.2666688,-0.1884313
32,-2.9895327,-2.71305,"('benevolent', 'hardhearted')",-1.9380273,-1.7460811,-2.4637799,-2.2295656,0.2342143
95,-2.9844258,-2.9540055,"('rich', 'poor')",-2.8154545,-3.0878992,-2.89994,-3.0209522,-0.1210122
40,-2.833591,-3.0343184,"('honorable', 'mean')",-2.8081641,-3.2003965,-2.8208776,-3.1173575,-0.2964799
48,2.8320553,2.8803935,"('reliable', 'unreliable')",1.1683674,1.1768758,2.0002112,2.0286345,0.0284233
1,-2.3509395,-2.0270157,"('friendly', 'unfriendly')",-1.7865536,-1.5042386,-2.0687466,-1.7656271,0.3031195
11,-2.0938666,-1.9435287,"('caring', 'unaffectionate')",-1.7414782,-1.7638924,-1.9176724,-1.8537105,0.0639619
107,2.0062728,2.14023,"('conventional', 'modern')",2.317912,2.4004447,2.1620924,2.2703373,0.1082449
90,1.8998997,1.7190557,"('motivated', 'unmotivated')",0.6301396,0.51205194,1.2650197,1.1155539,-0.1494658
3,1.8898487,1.9541055,"('likable', 'unlikable')",1.1399773,1.130865,1.5149131,1.5424852,0.0275721
10,-1.8437533,-1.5576321,"('affectionate', 'unaffectionate')",-0.88721865,-0.75759447,-1.365486,-1.1576133,0.2078727
50,1.8265318,1.5808284,"('unprejudiced', 'prejudiced')",0.6416665,0.5114497,1.2340991,1.046139,-0.1879601
86,1.7694582,1.7303679,"('self-reliant', 'helpless')",1.530324,1.5195117,1.6498911,1.6249398,-0.0249513
15,1.5917015,1.3996506,"('polite', 'impolite')",0.546486,0.6936517,1.0690937,1.0466511,-0.0224426
66,1.5000861,1.6733928,"('imaginative', 'unimaginative')",1.5368606,1.5965319,1.5184734,1.6349623,0.1164889
103,1.4123908,1.4363495,"('traditional', 'modern')",1.4248486,1.4347029,1.4186196,1.4355261,0.0169065
104,-1.3600795,-1.008214,"('conventional', 'unconventional')",-1.1772431,-1.0602865,-1.2686613,-1.0342503,0.234411
31,-1.3118527,-1.2131118,"('altruistic', 'egoistic')",-0.6768621,-0.42524296,-0.9943574,-0.8191774,0.17518
94,1.3069581,1.1371262,"('aggressive', 'submissive')",0.2859678,0.21426558,0.796463,0.6756959,-0.1207671
100,-1.2959046,-0.91176796,"('influential', 'uninfluential')",-0.10443923,-0.004018843,-0.7001719,-0.4578934,0.2422785
5,1.2444584,1.1554751,"('pleasant', 'repellent')",0.5084083,0.31694922,0.8764334,0.7362122,-0.1402212
109,1.2426032,1.1502031,"('conservative', 'liberal')",0.5787622,0.55668604,0.9106827,0.8534446,-0.0572381
108,1.2426032,1.1502031,"('conservative', 'liberal')",0.5787622,0.55668604,0.9106827,0.8534446,-0.0572381
56,1.2389113,1.2721729,"('intelligent', 'dumb')",0.32186404,0.22502258,0.7803876,0.7485977,-0.0317899
99,-1.2323445,-1.0185491,"('prestigious', 'insignificant')",-0.6632184,-0.55497897,-0.9477814,-0.786764,0.1610174
71,1.2134825,0.7432319,"('efficient', 'inefficient')",-0.050932884,-0.2395361,0.5812748,0.2518479,-0.3294269
16,1.1581223,1.194424,"('social', 'antisocial')",-0.09575555,-0.0132716,0.5311834,0.5905762,0.0593928
76,1.1411786,0.94784176,"('secure', 'insecure')",-0.38263506,-0.26962233,0.3792718,0.3391097,-0.0401621
33,-1.1382865,-1.0779471,"('softhearted', 'hardhearted')",-0.83406705,-0.7586359,-0.9861767,-0.9182915,0.0678852
26,1.1234457,1.234697,"('trustworthy', 'untrustworthy')",-0.1403977,-0.11761686,0.491524,0.55854,0.067016
19,-1.0838633,-0.8035802,"('funny', 'boring')",-0.28610492,-0.07843876,-0.6849841,-0.4410095,0.2439746
39,-1.0781113,-0.8388541,"('right', 'wrong')",-0.3203309,-0.032197565,-0.6992211,-0.4355258,0.2636953
42,-1.041506,-0.57002866,"('amicable', 'hostile')",0.0006996989,0.3527699,-0.5204031,-0.1086294,0.4117737
102,-1.0092381,-0.94304395,"('eminent', 'low')",-0.85955703,-0.73904496,-0.9343976,-0.8410444,0.0933532
8,-1.0013499,-0.80923164,"('open', 'distant')",-0.31112206,-0.3873872,-0.656236,-0.5983094,0.0579266
52,0.9992577,0.99692345,"('competitive', 'uncompetitive')",0.0012642741,-0.08686471,0.5002609,0.4550294,-0.0452315
28,-0.9945077,-1.0773346,"('honest', 'dishonest')",-1.2011701,-1.218241,-1.0978389,-1.1477878,-0.0499489
80,0.96771944,0.9649459,"('independent', 'dependent')",0.56212085,0.64380896,0.7649201,0.8043774,0.0394573
83,0.9574119,0.90846163,"('energetic', 'lethargic')",-0.43350598,-0.5810111,0.2619529,0.1637253,-0.0982276
13,-0.9334092,-1.0261772,"('helpful', 'unhelpful')",-1.9416857,-2.1605744,-1.4375474,-1.5933758,-0.1558284
59,0.9309036,1.2141485,"('skillful', 'clumsy')",0.0013440698,0.22128336,0.4661238,0.7177159,0.2515921
82,-0.9158875,-0.81423074,"('industrious', 'meek')",-0.29817155,-0.07838851,-0.6070295,-0.4463096,0.1607199
89,0.9021604,0.79369104,"('daring', 'anxious')",-0.9986146,-1.1726816,-0.0482271,-0.1894953,-0.1412682
78,0.8764888,0.77715856,"('active', 'inactive')",1.2374089,1.0112218,1.0569489,0.8941902,-0.1627587
44,-0.85723424,-0.81734407,"('truthful', 'untruthful')",-0.7288245,-0.8781763,-0.7930294,-0.8477602,-0.0547308
35,0.8270193,0.9431416,"('fair', 'unfair')",0.60003513,0.8196356,0.7135272,0.8813886,0.1678614
97,-0.7990426,-0.7341324,"('superior', 'inferior')",-0.95727354,-0.8226222,-0.8781581,-0.7783773,0.0997808
45,0.7825344,0.35774666,"('cooperative', 'exploitative')",-1.1601453,-1.0837905,-0.1888054,-0.3630219,-0.1742165
2,0.7682735,0.59169304,"('friendly', 'unfriendly')",-0.9057683,-0.9690632,-0.0687474,-0.1886851,-0.1199377
34,-0.7580999,-0.5161702,"('loyal', 'disloyal')",-1.4347495,-1.26946,-1.0964247,-0.8928151,0.2036096
51,0.7564303,0.88011587,"('competent', 'incompetent')",-0.26766315,-0.4206282,0.2443836,0.2297438,-0.0146398
98,-0.7389754,-0.6285646,"('prestigious', 'insignificant')",-0.48768127,-0.5970609,-0.6133283,-0.6128128,0.0005155
67,-0.7272901,-0.50901246,"('discriminating', 'undiscriminating')",-0.81801575,-0.7733197,-0.7726529,-0.6411661,0.1314868
61,-0.7219314,-0.41301492,"('rational', 'irrational')",0.36130077,0.66771543,-0.1803153,0.1273503,0.3076656
105,-0.7177771,-0.5934293,"('conventional', 'modern')",0.5408502,0.606601,-0.0884634,0.0065858,0.0950492
57,0.70911455,0.47007576,"('able', 'unable')",-0.13709077,-0.19273978,0.2860119,0.138668,-0.1473439
62,-0.68662983,-0.5134035,"('creative', 'uncreative')",-0.2259494,-0.18085468,-0.4562896,-0.3471291,0.1091605
