,Becton_male,Becton_female,tuple,Dickinson_male,Dickinson_female,average_male,average_female,female-male
71,3.1148741,1.8783581,"('efficient', 'inefficient')",1.2682127,0.767155,2.1915433,1.3227565,-0.8687868
75,3.1110356,3.0507212,"('confident', 'shy')",3.4261825,3.6450844,3.268609,3.3479028,0.0792938
90,2.1463213,1.6984189,"('motivated', 'unmotivated')",0.19225752,-0.16656607,1.1692894,0.7659264,-0.403363
94,2.0980234,1.4355147,"('aggressive', 'submissive')",1.6767209,1.3228694,1.8873721,1.3791921,-0.50818
109,2.072302,1.7194875,"('conservative', 'liberal')",1.0432589,1.0225096,1.5577805,1.3709986,-0.1867819
108,2.072302,1.7194875,"('conservative', 'liberal')",1.0432589,1.0225096,1.5577805,1.3709986,-0.1867819
16,2.03577,1.3270961,"('social', 'antisocial')",1.3056283,1.2252231,1.6706991,1.2761595,-0.3945396
40,-1.983741,-2.3329082,"('honorable', 'mean')",-1.376094,-2.0608883,-1.6799176,-2.1968982,-0.5169806
42,-1.919719,-0.9543756,"('amicable', 'hostile')",-0.5922385,-0.42855966,-1.2559787,-0.6914676,0.5645111
15,1.8997128,1.381763,"('polite', 'impolite')",1.735078,1.7964354,1.8173954,1.5890992,-0.2282962
95,-1.860806,-2.0131226,"('rich', 'poor')",-1.6451014,-1.9575987,-1.7529538,-1.9853606,-0.2324068
25,1.7835817,1.0513321,"('moral', 'immoral')",1.1220342,0.66998327,1.4528079,0.8606577,-0.5921502
22,1.7817162,1.6265812,"('welcoming', 'disagreeable')",0.8976522,1.1488837,1.3396842,1.3877325,0.0480483
92,-1.7292895,-1.2057662,"('unwavering', 'wavering')",0.25800684,0.46060547,-0.7356414,-0.3725803,0.3630611
104,-1.6722353,-1.2731688,"('conventional', 'unconventional')",-1.2694136,-1.1082966,-1.4708245,-1.1907327,0.2800918
41,-1.6537735,-0.86457837,"('incorrupt', 'corrupt')",0.38138208,0.76796204,-0.6361957,-0.0483082,0.5878875
98,-1.6535046,-1.3770807,"('prestigious', 'insignificant')",-0.95471144,-0.90671986,-1.304108,-1.1419003,0.1622077
89,1.5861684,1.08396,"('daring', 'anxious')",1.0463167,0.8515024,1.3162426,0.9677312,-0.3485114
53,-1.5514033,-2.0164132,"('smart', 'stupid')",-1.668146,-2.0160441,-1.6097746,-2.0162287,-0.4064541
107,1.5482581,1.5342472,"('conventional', 'modern')",1.6437368,1.9836763,1.5959975,1.7589617,0.1629642
68,-1.4850261,-1.5448337,"('clever', 'inept')",-0.482549,-0.86506325,-0.9837875,-1.2049484,-0.2211609
64,1.4753038,0.9526487,"('clever', 'incompetent')",0.22699323,-0.060772806,0.8511485,0.4459379,-0.4052106
103,1.4664686,1.3333623,"('traditional', 'modern')",0.4794786,0.47320083,0.9729736,0.9032816,-0.069692
76,1.4626017,1.1248767,"('secure', 'insecure')",0.95107764,0.73091257,1.2068397,0.9278947,-0.278945
52,1.4469237,0.9333083,"('competitive', 'uncompetitive')",0.77189845,0.70605314,1.1094111,0.8196807,-0.2897304
99,-1.4230833,-1.0284534,"('prestigious', 'insignificant')",-0.97338426,-0.9863095,-1.1982338,-1.0073814,0.1908524
2,1.3855463,0.8606992,"('friendly', 'unfriendly')",0.68857205,0.43670416,1.0370592,0.6487017,-0.3883575
60,1.3135291,1.2354746,"('educated', 'uneducated')",0.26659918,0.53609663,0.7900642,0.8857856,0.0957214
73,1.2747334,0.35104027,"('brilliant', 'incompetent')",-0.37119824,-0.95533395,0.4517676,-0.3021469,-0.7539145
0,1.2677536,1.1277637,"('sociable', 'unsociable')",0.43388677,0.70622766,0.8508202,0.9169957,0.0661755
38,1.2364032,1.0883772,"('kind', 'unkind')",0.58770806,0.6856391,0.9120556,0.8870082,-0.0250474
8,-1.2050431,-0.75482756,"('open', 'distant')",-0.25928655,0.080379575,-0.7321648,-0.337224,0.3949408
79,1.2025671,0.74107933,"('determined', 'doubtful')",0.5649934,0.49157885,0.8837802,0.6163291,-0.2674511
97,-1.172125,-0.8954166,"('superior', 'inferior')",-1.325669,-1.1951561,-1.2488971,-1.0452864,0.2036107
45,1.1231784,0.3781227,"('cooperative', 'exploitative')",0.74779284,0.23104602,0.9354856,0.3045844,-0.6309012
7,-1.081854,-0.85867155,"('outgoing', 'distant')",0.23817736,0.530187,-0.4218383,-0.1642423,0.257596
81,-1.0535555,-0.96992016,"('industrious', 'lazy')",-0.07659203,-0.08087325,-0.5650737,-0.5253967,0.039677
32,-1.0379002,-0.6536335,"('benevolent', 'hardhearted')",-1.7209342,-1.431754,-1.3794172,-1.0426937,0.3367235
37,-1.0136735,-0.628963,"('good', 'evil')",0.6870781,0.86952865,-0.1632977,0.1202828,0.2835805
3,0.98718166,0.47565484,"('likable', 'unlikable')",1.7478982,1.6939156,1.3675399,1.0847852,-0.2827547
5,0.9765067,0.61281615,"('pleasant', 'repellent')",1.1265465,0.93772906,1.0515265,0.7752726,-0.2762539
69,-0.96660393,-0.72205466,"('wise', 'foolish')",0.5554039,0.7583207,-0.2056,0.018133,0.223733
39,-0.9563592,-0.78158635,"('right', 'wrong')",-0.6375022,-0.47721422,-0.7969307,-0.6294003,0.1675304
14,0.9470526,0.7334661,"('supportive', 'unsupportive')",0.55467635,0.67998016,0.7508645,0.7067231,-0.0441414
12,0.939824,0.6569117,"('sympathetic', 'unsympathetic')",0.14749569,0.029719591,0.5436598,0.3433156,-0.2003442
88,-0.9359362,-0.69277346,"('impulsive', 'meek')",0.47990137,0.32333887,-0.2280174,-0.1847173,0.0433001
1,-0.8993287,-0.7645741,"('friendly', 'unfriendly')",-0.7726135,-0.6741677,-0.8359711,-0.7193709,0.1166002
72,-0.89712524,-0.70367855,"('logical', 'illogical')",0.28802672,0.39119095,-0.3045493,-0.1562438,0.1483055
61,-0.8594845,-0.29026663,"('rational', 'irrational')",-0.26435262,0.00896585,-0.5619186,-0.1406504,0.4212682
51,-0.82401466,-0.91100216,"('competent', 'incompetent')",0.6077427,0.46019438,-0.108136,-0.2254039,-0.1172679
55,0.8059169,0.69278777,"('intelligent', 'unintelligent')",-0.2112798,-0.37144768,0.2973185,0.16067,-0.1366485
19,-0.79087627,-0.32940027,"('funny', 'boring')",-0.40648985,-0.24273992,-0.5986831,-0.2860701,0.312613
33,-0.7578106,-0.63659656,"('softhearted', 'hardhearted')",-0.55704963,-0.14151847,-0.6574301,-0.3890575,0.2683726
96,0.75153184,0.49805385,"('powerful', 'powerless')",0.047020108,-0.11060627,0.399276,0.1937238,-0.2055522
9,0.74038464,0.330302,"('sensitive', 'insensitive')",-0.16791716,-0.34112182,0.2862337,-0.0054099,-0.2916436
82,-0.72959054,-0.5457876,"('industrious', 'meek')",-0.154748,-0.20408984,-0.4421692,-0.3749387,0.0672305
54,0.7049732,0.44975364,"('smart', 'stupid')",0.53107464,0.19299601,0.6180239,0.3213748,-0.2966491
35,-0.7027523,-0.44957376,"('fair', 'unfair')",1.3860896,1.5947319,0.3416686,0.5725791,0.2309105
100,0.6951521,0.6170478,"('influential', 'uninfluential')",-1.099911,-0.9580508,-0.2023794,-0.1705015,0.0318779
66,0.6692305,0.9995284,"('imaginative', 'unimaginative')",0.4086042,0.46093047,0.5389174,0.7302294,0.191312
84,-0.6599696,-0.58962053,"('self-confident', 'diffident')",0.4694941,0.4623259,-0.0952378,-0.0636473,0.0315905
21,0.6458216,0.6837199,"('nice', 'nasty')",1.2746599,1.2713819,0.9602407,0.9775509,0.0173102
65,0.6341672,-0.10204379,"('practical', 'impractical')",0.14282684,-0.19241299,0.388497,-0.1472284,-0.5357254
78,0.6311496,0.38760737,"('active', 'inactive')",1.6727283,1.6547168,1.1519389,1.0211622,-0.1307767
29,0.59638333,0.19526066,"('honest', 'immoral')",-0.49294138,-0.4707065,0.051721,-0.1377229,-0.1894439
13,0.5898825,0.041744858,"('helpful', 'unhelpful')",-0.15212534,-0.3168862,0.2188786,-0.1375707,-0.3564493
28,-0.5843891,-0.71269166,"('honest', 'dishonest')",-0.18709284,-0.33035535,-0.385741,-0.5215235,-0.1357825
17,0.583802,0.5214149,"('social', 'antisocial')",0.31682134,0.46314484,0.4503117,0.4922799,0.0419682
85,0.55831736,0.5293229,"('ambitious', 'unambitious')",-0.8260449,-0.8892611,-0.1338638,-0.1799691,-0.0461053
26,-0.54764473,-0.42912814,"('trustworthy', 'untrustworthy')",0.22397622,0.16191243,-0.1618343,-0.1336079,0.0282264
63,-0.53927994,-0.6316117,"('capable', 'incapable')",0.016089588,-0.15493628,-0.2615952,-0.393274,-0.1316788
43,0.5176882,-0.064402215,"('genuine', 'fake')",0.055878848,0.031873107,0.2867835,-0.0162646,-0.3030481
110,-0.51615196,-0.5743997,"('narrow-minded', 'open-minded')",0.008426771,-0.25134975,-0.2538626,-0.4128747,-0.1590121
48,0.5126655,0.49985066,"('reliable', 'unreliable')",1.8842679,1.9073981,1.1984668,1.2036244,0.0051576
18,0.49543557,0.2826672,"('social', 'asocial')",-0.68186545,-0.49475053,-0.0932149,-0.1060417,-0.0128268
105,-0.49382123,-0.39870286,"('conventional', 'modern')",-0.53928274,-0.36370662,-0.516552,-0.3812047,0.1353473
101,-0.4673913,-0.6909455,"('successful', 'unsuccessful')",0.80006874,0.5068835,0.1663387,-0.092031,-0.2583697
36,0.4511377,-0.15781653,"('tolerant', 'intolerant')",-1.3779993,-1.4092406,-0.4634308,-0.7835286,-0.3200978
67,-0.44988647,-0.35837996,"('discriminating', 'undiscriminating')",-0.7606944,-0.5772065,-0.6052904,-0.4677932,0.1374972
23,-0.44747782,-0.13563287,"('hospitable', 'inhospitable')",-0.30018312,-0.11667091,-0.3738305,-0.1261519,0.2476786
4,0.42207694,-0.035644174,"('likable', 'unlikable')",0.3305965,0.14211309,0.3763367,0.0532345,-0.3231022
27,-0.42033023,-1.0053406,"('sincere', 'insincere')",-2.1927643,-2.476302,-1.3065473,-1.7408212,-0.4342739
86,-0.39687783,-0.4136551,"('self-reliant', 'helpless')",0.7246772,0.87299144,0.1638997,0.2296682,0.0657685
20,-0.36330602,0.0039001256,"('popular', 'unpopular')",1.4866688,1.5468612,0.5616814,0.7753807,0.2136993
49,0.35923976,-0.37969577,"('responsible', 'irresponsible')",0.028790802,-0.12586069,0.1940153,-0.2527782,-0.4467935
31,-0.34910405,-0.16628191,"('altruistic', 'egoistic')",-0.81365347,-0.75924015,-0.5813788,-0.462761,0.1186178
83,0.3284654,-0.13956228,"('energetic', 'lethargic')",0.8643744,0.69967794,0.5964199,0.2800578,-0.3163621
87,-0.32433197,-0.6657034,"('dedicated', 'undedicated')",-0.2754776,-0.17835636,-0.2999048,-0.4220299,-0.1221251
80,0.2923457,0.07481377,"('independent', 'dependent')",1.2019231,1.214762,0.7471344,0.6447878,-0.1023466
24,-0.27416044,-0.59075797,"('thoughtful', 'rough')",-1.0343537,-1.3061402,-0.6542571,-0.9484491,-0.294192
70,0.2604512,0.6914179,"('wise', 'unwise')",-0.4018681,-0.19913387,-0.0707085,0.246142,0.3168505
56,-0.23362207,-0.29523164,"('intelligent', 'dumb')",0.89359295,0.9258348,0.3299854,0.3153016,-0.0146838
59,-0.21211056,-0.060313895,"('skillful', 'clumsy')",1.1879848,1.3297145,0.4879371,0.6347003,0.1467632
30,-0.19556707,-0.5390268,"('honest', 'dishonest')",1.2553285,1.0253843,0.5298808,0.2431788,-0.286702
93,0.19351159,-0.12549913,"('dominating', 'dominated')",0.008067399,-0.16372631,0.1007895,-0.1446127,-0.2454022
46,0.19022828,0.5547117,"('generous', 'stingy')",0.1984024,0.64426076,0.1943153,0.5994862,0.4051709
102,0.1644064,-0.003974274,"('eminent', 'low')",-0.41085488,-0.5977593,-0.1232242,-0.3008668,-0.1776426
58,-0.15799896,-0.25702536,"('able', 'clumsy')",-0.6009388,-0.65212446,-0.3794689,-0.4545749,-0.075106
34,-0.14651725,-0.12561531,"('loyal', 'disloyal')",-0.027723625,-0.019888178,-0.0871204,-0.0727517,0.0143687
91,0.13272403,0.10017164,"('resilient', 'nonresilient')",0.30385196,0.26656994,0.218288,0.1833708,-0.0349172
77,0.13267934,0.03471142,"('active', 'inactive')",1.2080157,1.175915,0.6703475,0.6053132,-0.0650343
6,0.110622644,0.60280836,"('liked', 'disliked')",2.2232938,2.5769205,1.1669582,1.5898645,0.4229063
50,0.109256536,0.11574924,"('unprejudiced', 'prejudiced')",2.235681,1.9707901,1.1724688,1.0432696,-0.1291992
106,-0.10056108,-0.20805134,"('conventional', 'unconventional')",0.624947,0.8100683,0.262193,0.3010085,0.0388155
11,-0.061317712,-0.09456864,"('caring', 'unaffectionate')",-1.2261875,-1.1233768,-0.6437526,-0.6089727,0.0347799
10,0.051311985,0.2718934,"('affectionate', 'unaffectionate')",-0.9907321,-0.74105823,-0.4697101,-0.2345824,0.2351277
62,-0.040926665,0.07748249,"('creative', 'uncreative')",-1.5616614,-1.3886342,-0.801294,-0.6555759,0.1457181
74,-0.02462659,-0.18782732,"('insightful', 'unperceptive')",0.053144634,0.04931888,0.014259,-0.0692542,-0.0835132
44,-0.022458524,-0.26971912,"('truthful', 'untruthful')",0.32246667,0.2632767,0.1500041,-0.0032212,-0.1532253
47,-0.0044882298,0.009846091,"('forgiving', 'unforgiving')",-0.38997102,-0.4233281,-0.1972296,-0.206741,-0.0095114
