,West_male,West_female,tuple,Pharmaceutical_male,Pharmaceutical_female,Services_male,Services_female,average_male,average_female,female-male
75,4.5516725,4.576213,"('confident', 'shy')",4.00514,4.258355,5.0196276,4.9035077,4.52548,4.5793584,0.0538784
27,-3.7516766,-3.8085318,"('sincere', 'insincere')",-3.5865333,-3.8544316,-5.7709303,-5.795356,-4.3697135,-4.4861062,-0.1163927
6,3.1233475,3.2466426,"('liked', 'disliked')",3.0993261,3.4712708,4.384582,4.374987,3.535752,3.6976337,0.1618817
40,-2.67951,-2.8874469,"('honorable', 'mean')",-2.7500868,-3.0193603,-3.7430353,-3.9350371,-3.0575441,-3.2806149,-0.2230708
95,-2.5986018,-2.6222675,"('rich', 'poor')",-3.6204941,-3.8078575,-4.332202,-4.34377,-3.5170994,-3.5912984,-0.074199
53,-2.4599974,-2.50367,"('smart', 'stupid')",-3.2594604,-3.4787433,-4.2553606,-4.4630933,-3.3249394,-3.4818357,-0.1568963
50,1.4150469,1.3098022,"('unprejudiced', 'prejudiced')",1.7783957,1.6962984,1.7246727,1.5334958,1.6393717,1.5131989,-0.1261728
37,1.3739105,1.6160161,"('good', 'evil')",1.2168095,1.2563161,2.3284948,2.2621083,1.6397384,1.7114801,0.0717417
28,-1.3650203,-1.2828442,"('honest', 'dishonest')",-0.816668,-0.8494966,-2.0890431,-2.0122137,-1.4235771,-1.3815182,0.0420589
78,1.3051205,1.0197253,"('active', 'inactive')",0.576398,0.45444772,1.3720936,1.0546747,1.0845373,0.8429492,-0.2415881
45,-1.2822499,-1.4717145,"('cooperative', 'exploitative')",-0.24689043,-0.29373744,-0.89444447,-0.9477563,-0.8078616,-0.9044027,-0.0965411
15,1.2364222,1.0669591,"('polite', 'impolite')",0.88854766,0.9060148,-0.07799788,0.028121352,0.682324,0.6670318,-0.0152922
3,1.2120044,1.229149,"('likable', 'unlikable')",1.2138481,1.2764964,1.1448336,1.0677598,1.1902287,1.191135,0.0009063
104,-1.1842449,-0.9886528,"('conventional', 'unconventional')",-1.1172739,-0.94195646,-1.1014258,-0.96315587,-1.1343149,-0.9645883,0.1697266
68,-1.1604977,-1.3631821,"('clever', 'inept')",-0.65893567,-0.7552273,-1.1191678,-1.3077735,-0.9795337,-1.1420609,-0.1625272
14,1.1466812,1.0506692,"('supportive', 'unsupportive')",-0.068654105,-0.08923985,-0.81557304,-1.0024071,0.0874847,-0.0136592,-0.1011439
81,1.1187415,1.2253175,"('industrious', 'lazy')",0.29792812,0.51415104,1.2418962,1.1596451,0.8861886,0.9663712,0.0801826
46,1.091087,1.3295914,"('generous', 'stingy')",0.9048275,1.0403025,0.8734084,0.91218686,0.9564409,1.094027,0.1375861
73,-1.0725361,-1.4632943,"('brilliant', 'incompetent')",-0.96786773,-1.120636,-2.1310096,-2.2568905,-1.3904711,-1.6136069,-0.2231358
34,-1.0644755,-0.89519894,"('loyal', 'disloyal')",-1.2329115,-0.9838996,-2.3794756,-2.0956285,-1.5589542,-1.3249091,0.2340451
86,1.0522143,1.0441318,"('self-reliant', 'helpless')",2.029421,2.201589,3.1859543,2.9787393,2.0891965,2.07482,-0.0143765
8,1.0493208,1.1791836,"('open', 'distant')",0.006781608,0.03115271,0.5817198,0.48190713,0.5459407,0.5640812,0.0181405
7,1.0478494,1.0987072,"('outgoing', 'distant')",0.16381896,0.09986162,1.1084735,0.86121786,0.7733806,0.6865956,-0.086785
9,-1.0475041,-1.2121316,"('sensitive', 'insensitive')",-0.09536654,-0.25820607,-1.4325736,-1.5790966,-0.8584814,-1.0164781,-0.1579967
11,-1.0303967,-0.87587726,"('caring', 'unaffectionate')",-1.242915,-1.2697204,-2.3585663,-2.359909,-1.5439593,-1.5018355,0.0421238
61,1.0167019,1.4920237,"('rational', 'irrational')",0.186721,0.48068878,0.5254773,0.8111657,0.5763001,0.9279594,0.3516593
42,1.004002,1.386514,"('amicable', 'hostile')",0.5912318,0.8343284,1.1766623,1.5167842,0.9239654,1.2458755,0.3219101
62,-0.9799328,-0.91780907,"('creative', 'uncreative')",-0.24091443,-0.13625437,-0.7397859,-0.7031885,-0.6535444,-0.5857507,0.0677937
54,0.94320965,0.66540796,"('smart', 'stupid')",0.5612582,0.5260336,0.5776021,0.4964748,0.6940233,0.5626388,-0.1313845
72,-0.9106966,-0.7053516,"('logical', 'illogical')",-0.2619629,-0.05015105,-1.4471173,-1.1490002,-0.8732589,-0.6348343,0.2384246
70,0.87559104,0.9748554,"('wise', 'unwise')",0.48641926,0.59535456,-0.37390745,-0.22995055,0.3293676,0.4467531,0.1173855
22,0.87234914,0.91728854,"('welcoming', 'disagreeable')",0.34561104,0.5242414,0.46303797,0.42195678,0.5603327,0.6211623,0.0608296
110,-0.8535954,-0.7817803,"('narrow-minded', 'open-minded')",0.101790264,-0.007031217,0.3051892,0.080166906,-0.148872,-0.2362149,-0.0873429
56,0.8514503,0.90755534,"('intelligent', 'dumb')",0.5186855,0.5908771,0.096259534,0.012385279,0.4887985,0.5036059,0.0148074
33,-0.8361927,-0.70502436,"('softhearted', 'hardhearted')",0.08300924,0.1359567,-1.5278658,-1.379945,-0.7603498,-0.6496709,0.1106789
49,-0.82400346,-1.0122087,"('responsible', 'irresponsible')",-0.80289984,-0.9063245,-1.8501934,-2.0792723,-1.1590322,-1.3326019,-0.1735697
66,0.820739,0.87777346,"('imaginative', 'unimaginative')",1.5620143,1.7338564,0.55509955,0.6193342,0.9792843,1.0769881,0.0977038
67,-0.81719863,-0.82450914,"('discriminating', 'undiscriminating')",-0.17320141,-0.10911849,-0.85107,-0.6327966,-0.6138233,-0.5221414,0.0916819
82,0.79701793,0.9341894,"('industrious', 'meek')",0.0767836,0.19813436,0.9266212,0.951156,0.6001409,0.6944933,0.0943524
65,-0.79147416,-1.1460708,"('practical', 'impractical')",-1.1635137,-1.2055688,-2.4467056,-2.4661667,-1.4672311,-1.6059354,-0.1387043
107,0.7894227,1.0040535,"('conventional', 'modern')",1.0098507,1.0458667,-0.5760403,-0.5365312,0.4077444,0.504463,0.0967186
29,-0.78424543,-0.98787016,"('honest', 'immoral')",-0.29327458,-0.47340465,-1.6853487,-1.8605052,-0.9209563,-1.1072601,-0.1863038
19,-0.78309166,-0.7730614,"('funny', 'boring')",-0.8972792,-0.6848818,0.42601255,0.72428787,-0.4181194,-0.2445518,0.1735676
43,-0.77105266,-0.7384839,"('genuine', 'fake')",0.010513268,0.004842177,-1.1306248,-1.154748,-0.6303881,-0.6294632,0.0009249
2,-0.7602016,-0.92563707,"('friendly', 'unfriendly')",-0.22659987,-0.23320758,-1.4482915,-1.3950808,-0.8116976,-0.8513085,-0.0396109
32,-0.75680083,-0.51101613,"('benevolent', 'hardhearted')",-2.1299453,-1.9115429,-2.0606492,-1.8392379,-1.6491318,-1.420599,0.2285328
60,0.75424296,0.7508787,"('educated', 'uneducated')",-0.047712818,0.070386186,-0.35454863,0.07304467,0.1173272,0.2981032,0.180776
44,-0.72948694,-0.63936245,"('truthful', 'untruthful')",-0.91836566,-0.96865153,-1.0137355,-0.98088247,-0.8871961,-0.8629655,0.0242306
79,0.7236842,0.5797968,"('determined', 'doubtful')",0.18886413,0.23372431,-0.14669374,-0.29611647,0.2552849,0.1724682,-0.0828167
89,-0.7195767,-1.0225416,"('daring', 'anxious')",0.6796726,0.569343,-0.7685201,-0.8410495,-0.2694747,-0.431416,-0.1619413
38,-0.7110183,-0.4855221,"('kind', 'unkind')",-1.9098179,-1.6518382,-2.7567217,-2.4910212,-1.7925193,-1.5427939,0.2497254
48,0.690142,0.50366974,"('reliable', 'unreliable')",1.7718544,1.9328666,1.0593934,0.87143606,1.1737966,1.1026575,-0.0711391
90,0.68223655,0.41412956,"('motivated', 'unmotivated')",0.6126129,0.4857949,0.8833412,0.5653598,0.7260636,0.4884281,-0.2376355
13,-0.67471206,-0.85998905,"('helpful', 'unhelpful')",-2.0436454,-2.1072726,-3.4941363,-3.4087784,-2.0708313,-2.1253468,-0.0545155
36,-0.65177906,-0.708944,"('tolerant', 'intolerant')",-0.67364824,-0.6531413,-1.3548038,-1.2669089,-0.8934104,-0.8763314,0.017079
30,-0.64791906,-0.60541016,"('honest', 'dishonest')",-0.061846673,-0.0740872,-1.6794577,-1.7451088,-0.7964078,-0.8082021,-0.0117943
83,-0.6340268,-0.7188833,"('energetic', 'lethargic')",0.15381412,0.10195835,-1.7548764,-1.6946771,-0.7450297,-0.770534,-0.0255043
98,-0.6144197,-0.45947134,"('prestigious', 'insignificant')",-0.71470714,-0.56330407,0.6121701,0.5601676,-0.2389856,-0.1542026,0.084783
101,-0.57824725,-0.53557754,"('successful', 'unsuccessful')",-1.2246665,-1.1938004,-1.5923803,-1.5846562,-1.1317647,-1.1046781,0.0270866
1,-0.57163954,-0.11239904,"('friendly', 'unfriendly')",-1.2681086,-1.1293756,-1.0942353,-0.98359036,-0.9779944,-0.7417883,0.2362061
96,0.57078385,0.44406822,"('powerful', 'powerless')",-0.085105434,-0.0709503,0.1162388,0.17198148,0.2006391,0.1816998,-0.0189393
94,0.5698614,0.3463095,"('aggressive', 'submissive')",-0.1445561,-0.22684303,-0.55215704,-0.48678762,-0.0422839,-0.1224404,-0.0801565
69,0.56275946,0.8014809,"('wise', 'foolish')",0.0296425,0.22179441,-0.32645425,-0.2644197,0.0886492,0.2529519,0.1643027
97,0.54942834,0.5543784,"('superior', 'inferior')",-1.0456405,-1.0080359,-0.4412992,-0.40161496,-0.3125038,-0.2850908,0.027413
105,-0.53190124,-0.4590884,"('conventional', 'modern')",-0.27204737,-0.3154737,-0.8720866,-0.8876015,-0.5586784,-0.5540545,0.0046239
0,0.5243212,0.7460051,"('sociable', 'unsociable')",-0.56824565,-0.3889473,-1.382978,-1.2662715,-0.4756341,-0.3030712,0.1725629
91,0.50605625,0.525721,"('resilient', 'nonresilient')",-0.59340054,-0.4593913,-0.15854919,-0.33136103,-0.0819645,-0.0883438,-0.0063793
