,Wells_male,Wells_female,tuple,Fargo_male,Fargo_female,average_male,average_female,female-male
1,-3.229916,-3.1467166,"('friendly', 'unfriendly')",-2.3506932,-2.0282488,-2.790304660797119,-2.5874826908111572,0.20282196998596191
3,3.1229265,3.104162,"('liked', 'disliked')",3.3644695,3.2790797,3.2436981201171875,3.1916208267211914,-0.052077293395996094
57,2.9917958,3.1328669,"('conservative', 'liberal')",2.3113039,2.1197772,2.651549816131592,2.626322031021118,-0.025227785110473633
50,-2.9702072,-3.0628638,"('rich', 'poor')",-3.9978824,-3.8348165,-3.4840447902679443,-3.4488401412963867,0.03520464897155762
30,-2.628689,-2.6960988,"('smart', 'stupid')",-3.3194885,-3.0931983,-2.974088668823242,-2.894648551940918,0.07944011688232422
35,-2.1037645,-2.0337942,"('creative', 'uncreative')",-1.4113488,-1.0962111,-1.757556676864624,-1.565002679824829,0.19255399703979492
55,-1.9538054,-1.7327003,"('conventional', 'unconventional')",-1.6896883,-1.4049759,-1.821746826171875,-1.568838119506836,0.25290870666503906
28,1.9454455,1.9269043,"('unprejudiced', 'prejudiced')",2.4247913,2.0673094,2.1851184368133545,1.9971067905426025,-0.18801164627075195
49,1.6585022,1.539753,"('motivated', 'unmotivated')",1.7049339,1.5218837,1.681718111038208,1.5308183431625366,-0.1508997678756714
11,1.5290205,1.33058,"('moral', 'immoral')",1.3311526,1.2195592,1.430086612701416,1.2750695943832397,-0.15501701831817627
52,-1.3878618,-1.322715,"('superior', 'inferior')",-0.7666091,-0.8129281,-1.077235460281372,-1.0678215026855469,0.009413957595825195
23,1.3695002,1.054254,"('truthful', 'untruthful')",0.98767936,0.95719075,1.1785898208618164,1.0057224035263062,-0.17286741733551025
7,1.2678336,1.3499733,"('polite', 'impolite')",1.2118001,1.2438692,1.2398169040679932,1.2969212532043457,0.05710434913635254
38,-1.2614323,-1.297581,"('discriminating', 'undiscriminating')",-0.48054814,-0.31821015,-0.8709902167320251,-0.8078955411911011,0.06309467554092407
