,Molson_male,Molson_female,tuple,Coors_male,Coors_female,Beverage_male,Beverage_female,Company_male,Company_female,average_male,average_female,female-male
57,1.8075951,1.9276549,"('conservative', 'liberal')",1.984615,2.1338255,-0.45861012,-0.52092165,-0.22003746,-0.30144396,0.778390645980835,0.8097786903381348,0.031388044357299805
1,-1.6143751,-1.510931,"('friendly', 'unfriendly')",-2.297961,-2.2237182,-0.8960031,-1.0090176,-1.6749282,-1.6091913,-1.6208168268203735,-1.5882145166397095,0.03260231018066406
54,-1.5498204,-1.3898916,"('successful', 'unsuccessful')",-1.0945662,-1.0159509,-2.6514003,-2.183633,-1.4138873,-1.0101051,-1.6774184703826904,-1.399895191192627,0.2775232791900635
20,-1.5484054,-1.6525413,"('right', 'wrong')",-1.0231664,-1.1250823,0.056069583,0.08101165,0.4955914,0.81214744,-0.5049777030944824,-0.4711161255836487,0.03386157751083374
26,1.5401105,1.2510121,"('reliable', 'unreliable')",2.6707234,2.7156615,2.1259139,2.0421295,1.9145089,1.8205051,2.062814235687256,1.957327127456665,-0.10548710823059082
21,-1.4795212,-1.5289462,"('incorrupt', 'corrupt')",-1.9854097,-2.0903292,2.5344806,2.4850342,2.4343433,2.4374638,0.3759732246398926,0.3258056640625,-0.05016756057739258
46,1.4573426,1.4759455,"('energetic', 'lethargic')",1.5940971,1.6516551,-0.95799154,-0.97701657,-0.4470207,-0.38438696,0.4116068482398987,0.44154930114746094,0.029942452907562256
39,-1.4098693,-1.4883654,"('wise', 'foolish')",-0.93847847,-0.87468386,0.8458371,0.85323286,0.960674,0.9218366,-0.13545913994312286,-0.146994948387146,-0.011535808444023132
55,-1.262712,-1.2939655,"('conventional', 'unconventional')",-1.4371586,-1.3379639,0.060670707,0.30724746,0.17481478,0.38147148,-0.6160963177680969,-0.48580262064933777,0.13029369711875916
34,-1.2076478,-1.2656744,"('rational', 'irrational')",-0.62485766,-0.6741498,1.227988,1.1598575,1.0015067,1.0656627,0.09924730658531189,0.07142403721809387,-0.027823269367218018
12,1.1708587,1.1312051,"('trustworthy', 'untrustworthy')",1.2983962,1.4783058,0.11078784,0.271455,0.5204803,0.5127214,0.7751307487487793,0.8484218120574951,0.07329106330871582
11,1.1580496,1.2556392,"('moral', 'immoral')",1.5060165,1.5753424,-1.9144306,-1.7078562,-1.5489334,-1.6085532,-0.1998244822025299,-0.12135690450668335,0.07846757769584656
23,1.1176522,1.0628502,"('truthful', 'untruthful')",1.0340904,1.1840198,-0.2649115,-0.02234076,0.33848107,0.36739427,0.5563279986381531,0.6479808688163757,0.09165287017822266
22,-1.0624785,-1.1618619,"('amicable', 'hostile')",-1.1826344,-1.2804706,2.1055357,2.4002652,1.2511683,1.4880103,0.27789777517318726,0.3614857494831085,0.08358797430992126
3,1.0541893,0.92246366,"('liked', 'disliked')",2.4417295,2.432676,4.575219,4.4206085,4.6010456,4.608712,3.168045997619629,3.0961151123046875,-0.0719308853149414
43,-0.9972759,-0.9007051,"('active', 'inactive')",-0.57381356,-0.47074527,-0.4402228,-0.2161273,0.55160296,0.8159865,-0.3649273216724396,-0.19289779663085938,0.1720295250415802
28,0.9892054,0.85921973,"('unprejudiced', 'prejudiced')",1.1594582,1.1332294,1.9578291,1.8422847,2.3217878,2.2123914,1.6070700883865356,1.5117812156677246,-0.09528887271881104
4,0.9589657,1.0004164,"('sensitive', 'insensitive')",0.9266995,0.9126622,-1.9098008,-1.9310086,-1.1515735,-1.1100597,-0.29392728209495544,-0.2819974422454834,0.011929839849472046
7,0.9330977,1.0078136,"('polite', 'impolite')",1.1836659,1.3937993,-1.3658047,-1.1720933,-0.19968757,-0.0017517507,0.13781782984733582,0.3069419264793396,0.16912409663200378
17,0.90512586,0.9753366,"('tolerant', 'intolerant')",0.9958434,1.1780572,-1.723105,-1.7064362,-0.86987543,-1.1777011,-0.17300277948379517,-0.18268588185310364,-0.009683102369308472
5,0.8324801,1.049166,"('helpful', 'unhelpful')",0.08911747,0.23211616,-3.7748494,-3.7929914,-3.6787496,-3.5016527,-1.633000373840332,-1.503340482711792,0.12965989112854004
13,0.8323963,0.9584931,"('sincere', 'insincere')",1.478265,1.6618767,-1.0295177,-0.8215806,-0.59233284,-0.504014,0.1722027063369751,0.32369381189346313,0.15149110555648804
