,People's_male,People's_female,tuple,United_male,United_female,Financial_male,Financial_female,average_male,average_female,female-male
65,-2.7987075,-2.740778,"('practical', 'impractical')",-1.0154097,-1.175255,-0.8811741,-0.9981533,-1.5650972,-1.638062,-0.0729648
18,-2.4915924,-2.3721988,"('social', 'asocial')",-0.9541977,-0.87008256,-1.114405,-1.1622992,-1.520065,-1.4681935,0.0518715
14,-2.1308062,-2.278117,"('supportive', 'unsupportive')",0.3603909,0.6007873,-0.13465393,-0.21401061,-0.6350231,-0.6304468,0.0045763
61,1.9540435,1.9409621,"('rational', 'irrational')",0.18428436,0.5224986,-0.15054579,0.11090632,0.662594,0.8581223,0.1955283
20,1.8077545,1.6890357,"('popular', 'unpopular')",0.65929526,0.8219773,-0.25725776,-0.10263015,0.7365974,0.8027943,0.0661969
74,-1.6746817,-1.7009122,"('insightful', 'unperceptive')",-0.64710015,-0.76668143,-1.3837895,-1.3504968,-1.2351905,-1.2726968,-0.0375063
38,-1.6169553,-1.443943,"('kind', 'unkind')",-0.17861593,-0.2883892,-1.4027431,-1.335271,-1.0661047,-1.0225344,0.0435703
68,-1.5865078,-1.7902803,"('clever', 'inept')",-1.8353391,-1.8201861,-1.0656824,-1.1933141,-1.4958431,-1.6012602,-0.1054171
27,-1.5729772,-1.5165242,"('sincere', 'insincere')",-3.2150617,-4.5355406,-4.6047454,-4.4910336,-3.130928,-3.5143661,-0.3834381
77,1.5679245,1.3700988,"('active', 'inactive')",0.9531237,0.7366653,-0.82057357,-0.717518,0.5668248,0.463082,-0.1037428
26,-1.5415623,-1.4724152,"('trustworthy', 'untrustworthy')",-0.55198765,-0.16402724,0.2738226,0.17931658,-0.6065758,-0.4857086,0.1208672
42,1.4856286,1.227697,"('amicable', 'hostile')",-0.016828895,0.81955254,-0.1426804,0.058492064,0.4420398,0.7019138,0.259874
29,-1.4697409,-1.517126,"('honest', 'immoral')",-1.1158493,-1.4382436,-1.0064077,-1.1073753,-1.1973326,-1.3542482,-0.1569156
