,Yum!_male,Yum!_female,tuple,Brands_male,Brands_female,average_male,average_female,female-male
12,3.54631,3.44338,"('sympathetic', 'unsympathetic')",-0.67302746,-0.6900087,1.4366412,1.3766857,-0.0599555
2,3.38,3.494397,"('friendly', 'unfriendly')",0.055734098,0.056270838,1.7178671,1.7753339,0.0574668
94,3.3431387,3.4367995,"('aggressive', 'submissive')",1.647086,1.5116851,2.4951124,2.4742422,-0.0208702
52,3.1899142,3.0228133,"('competitive', 'uncompetitive')",0.04861456,0.0005790591,1.6192644,1.5116962,-0.1075682
16,3.0781322,3.2343206,"('social', 'antisocial')",0.86946493,0.9998535,1.9737985,2.1170871,0.1432886
81,-2.9756327,-3.0166502,"('industrious', 'lazy')",1.0500596,0.9920533,-0.9627866,-1.0122985,-0.0495119
5,2.8622017,2.7958596,"('pleasant', 'repellent')",0.49770042,0.4095874,1.6799511,1.6027235,-0.0772276
7,-2.7052732,-2.7891874,"('outgoing', 'distant')",-0.37275416,-0.5589855,-1.5390136,-1.6740865,-0.1350729
76,2.7043948,3.010268,"('secure', 'insecure')",0.93387,0.8947339,1.8191324,1.9525009,0.1333685
83,2.630063,2.5565357,"('energetic', 'lethargic')",-0.031676434,-0.19032624,1.2991933,1.1831048,-0.1160885
99,-2.6069908,-2.8507068,"('prestigious', 'insignificant')",-1.6529456,-1.5645797,-2.1299682,-2.2076433,-0.0776751
8,-2.5709903,-2.7009678,"('open', 'distant')",-0.81187046,-0.8679036,-1.6914303,-1.7844357,-0.0930054
41,-2.4796295,-2.3594484,"('incorrupt', 'corrupt')",0.5649647,0.75871766,-0.9573324,-0.8003654,0.156967
93,2.4732177,2.6152744,"('dominating', 'dominated')",0.8088223,0.71986175,1.6410201,1.6675681,0.026548
42,-2.3827238,-2.6167264,"('amicable', 'hostile')",0.058345675,0.27885163,-1.162189,-1.1689374,-0.0067484
82,-2.2525015,-2.228505,"('industrious', 'meek')",0.1031411,0.058678687,-1.0746802,-1.0849131,-0.0102329
25,2.126235,2.1377528,"('moral', 'immoral')",0.23039511,0.15735157,1.178315,1.1475521,-0.0307629
71,2.0846682,2.1321952,"('efficient', 'inefficient')",-0.057895303,-0.21002638,1.0133865,0.9610844,-0.0523021
13,2.0814948,2.0834484,"('helpful', 'unhelpful')",-2.0473096,-2.1444159,0.0170926,-0.0304837,-0.0475763
75,2.0796437,2.2463048,"('confident', 'shy')",7.1793613,6.9153957,4.6295023,4.5808501,-0.0486522
64,2.05902,2.1182022,"('clever', 'incompetent')",-0.31474423,-0.3070544,0.8721379,0.9055739,0.033436
69,-1.9587011,-1.866951,"('wise', 'foolish')",-0.29015,-0.19846144,-1.1244255,-1.0327063,0.0917192
1,-1.942133,-2.1269739,"('friendly', 'unfriendly')",-2.5401301,-2.3487172,-2.2411315,-2.2378454,0.0032861
66,1.9019086,1.7668763,"('imaginative', 'unimaginative')",2.5050576,2.2617917,2.2034831,2.014334,-0.1891491
89,1.8954086,1.8522456,"('daring', 'anxious')",-0.11240131,-0.3576815,0.8915037,0.747282,-0.1442217
19,-1.8824639,-1.8789372,"('funny', 'boring')",-0.21550322,-0.3057763,-1.0489836,-1.0923568,-0.0433732
86,-1.8823379,-1.897191,"('self-reliant', 'helpless')",2.5940268,2.2731733,0.3558444,0.1879911,-0.1678533
58,1.8656259,1.9192109,"('able', 'clumsy')",-0.9713349,-0.77297914,0.4471455,0.5731159,0.1259704
9,1.8312289,1.8068112,"('sensitive', 'insensitive')",-0.8984438,-0.97097677,0.4663925,0.4179172,-0.0484753
37,-1.7729365,-1.9668921,"('good', 'evil')",0.7530634,0.8297649,-0.5099366,-0.5685636,-0.058627
6,-1.7608702,-1.8905597,"('liked', 'disliked')",6.0104504,5.732054,2.1247902,1.9207473,-0.2040429
98,-1.7483808,-1.89065,"('prestigious', 'insignificant')",-1.1250046,-1.1799724,-1.4366927,-1.5353112,-0.0986185
27,1.7163484,1.6630669,"('sincere', 'insincere')",-6.221489,-5.9875765,-2.2525702,-2.1622548,0.0903154
100,1.6792521,1.6979601,"('influential', 'uninfluential')",-0.6318732,-0.32584292,0.5236895,0.6860586,0.1623691
15,1.6306841,1.7653413,"('polite', 'impolite')",1.0567082,1.0680754,1.3436961,1.4167084,0.0730123
73,1.6199112,1.5348145,"('brilliant', 'incompetent')",-0.66146326,-0.8476356,0.479224,0.3435894,-0.1356346
39,-1.5989094,-1.6066294,"('right', 'wrong')",-0.5586084,-0.39047468,-1.078759,-0.998552,0.080207
59,-1.5469978,-1.6799514,"('skillful', 'clumsy')",0.084625974,0.011702746,-0.7311859,-0.8341243,-0.1029384
23,-1.524759,-1.6160793,"('hospitable', 'inhospitable')",0.2697147,0.14075637,-0.6275222,-0.7376615,-0.1101393
60,1.4443551,1.6019661,"('educated', 'uneducated')",0.4090578,0.6039747,0.9267064,1.1029704,0.176264
84,-1.4365358,-1.6238923,"('self-confident', 'diffident')",-0.8743174,-1.0238357,-1.1554266,-1.323864,-0.1684374
56,1.4228036,1.2857273,"('intelligent', 'dumb')",0.9050669,0.7941037,1.1639353,1.0399154,-0.1240199
51,1.416072,1.2844175,"('competent', 'incompetent')",-0.117913544,-0.13305995,0.6490792,0.5756788,-0.0734004
90,1.386266,1.1646858,"('motivated', 'unmotivated')",1.108367,0.7509257,1.2473165,0.9578058,-0.2895107
103,1.3802607,1.3869008,"('traditional', 'modern')",0.83988947,0.9320092,1.1100751,1.1594551,0.04938
77,1.3625383,1.2811123,"('active', 'inactive')",-0.20794484,-0.22112685,0.5772967,0.5299927,-0.047304
61,-1.3354521,-1.3547807,"('rational', 'irrational')",0.077884525,0.35322872,-0.6287838,-0.500776,0.1280078
109,1.2938786,1.4763117,"('conservative', 'liberal')",1.2494568,1.0735652,1.2716677,1.2749385,0.0032708
108,1.2938786,1.4763117,"('conservative', 'liberal')",1.2494568,1.0735652,1.2716677,1.2749385,0.0032708
18,1.2906473,1.348465,"('social', 'asocial')",-0.050684273,0.039283834,0.6199815,0.6938744,0.0738929
55,1.2361028,1.2796888,"('intelligent', 'unintelligent')",-0.23916912,-0.17240715,0.4984668,0.5536408,0.055174
36,1.2177669,1.25914,"('tolerant', 'intolerant')",-0.748891,-0.6840278,0.2344379,0.2875561,0.0531182
107,1.2168432,1.0989028,"('conventional', 'modern')",1.17481,1.1135952,1.1958266,1.1062491,-0.0895775
105,-1.209979,-1.2584617,"('conventional', 'modern')",-1.3771796,-1.2035853,-1.2935793,-1.2310236,0.0625557
49,1.1890923,1.0524387,"('responsible', 'irresponsible')",-1.5967107,-1.7639735,-0.2038092,-0.3557674,-0.1519582
85,1.1537242,1.1505448,"('ambitious', 'unambitious')",-0.21832609,-0.18869069,0.4676991,0.4809271,0.013228
30,1.1229781,1.0925679,"('honest', 'dishonest')",-0.44531024,-0.46217197,0.3388339,0.315198,-0.0236359
20,-1.1129651,-1.2577412,"('popular', 'unpopular')",-0.103082776,-0.17630067,-0.6080239,-0.7170209,-0.108997
33,-1.1061716,-1.1374277,"('softhearted', 'hardhearted')",-1.7701995,-1.457347,-1.4381856,-1.2973874,0.1407982
92,-1.0720792,-1.3281974,"('unwavering', 'wavering')",-0.6098506,-0.7993961,-0.8409649,-1.0637968,-0.2228319
31,-1.061823,-1.0623969,"('altruistic', 'egoistic')",-0.9173169,-0.83404815,-0.98957,-0.9482225,0.0413475
34,1.030597,1.0371017,"('loyal', 'disloyal')",-1.4020075,-1.2953757,-0.1857052,-0.129137,0.0565682
