,United_male,United_female,tuple,Airlines_male,Airlines_female,average_male,average_female,female-male
75,3.9404662,4.9653573,"('confident', 'shy')",4.5423517,4.2921686,4.2414088,4.6287632,0.3873544
27,-3.2150617,-4.5355406,"('sincere', 'insincere')",-2.9439502,-2.931665,-3.0795059,-3.7336028,-0.6540969
6,3.0499177,4.552812,"('liked', 'disliked')",2.3752222,2.4104438,2.71257,3.4816279,0.7690579
53,-2.817297,-3.8566685,"('smart', 'stupid')",-3.3359385,-3.4704006,-3.0766177,-3.6635346,-0.5869169
95,-2.7356834,-3.8391006,"('rich', 'poor')",-3.5901928,-3.5723815,-3.1629381,-3.7057409,-0.5428028
40,-2.621203,-3.666247,"('honorable', 'mean')",-3.2887316,-3.3047466,-2.9549673,-3.4854968,-0.5305295
1,-1.9206163,-1.4734354,"('friendly', 'unfriendly')",-2.0205827,-1.8973286,-1.9705994,-1.685382,0.2852174
32,-1.8842163,-1.6094742,"('benevolent', 'hardhearted')",-2.368702,-2.2742524,-2.1264591,-1.9418633,0.1845958
68,-1.8353391,-1.8201861,"('clever', 'inept')",-0.9569782,-0.9815549,-1.3961587,-1.4008706,-0.0047119
107,1.8232621,1.628627,"('conventional', 'modern')",1.2008051,1.1399664,1.5120336,1.3842967,-0.1277369
86,1.7186553,2.28984,"('self-reliant', 'helpless')",1.1751964,1.015027,1.4469259,1.6524335,0.2055076
3,1.6965047,1.9743919,"('likable', 'unlikable')",1.4587305,1.3400736,1.5776176,1.6572328,0.0796152
28,-1.6165687,-1.8286341,"('honest', 'dishonest')",-1.1604122,-1.1642138,-1.3884904,-1.496424,-0.1079336
104,-1.5652721,-1.432672,"('conventional', 'unconventional')",-0.7553999,-0.46829715,-1.160336,-0.9504846,0.2098514
60,1.5357199,1.0353346,"('educated', 'uneducated')",0.22908872,0.3092869,0.8824043,0.6723107,-0.2100936
50,1.4996057,1.455685,"('unprejudiced', 'prejudiced')",1.8130069,1.6298132,1.6563063,1.5427492,-0.1135571
15,1.4447999,1.2553614,"('polite', 'impolite')",0.81412834,0.8087164,1.1294641,1.0320389,-0.0974252
11,-1.3905263,-1.5120493,"('caring', 'unaffectionate')",-1.6336951,-1.6250587,-1.5121107,-1.5685539,-0.0564432
103,1.359857,1.0739825,"('traditional', 'modern')",1.7493227,1.8902805,1.5545897,1.4821315,-0.0724582
109,1.2955271,1.0894326,"('conservative', 'liberal')",0.9924571,1.1114423,1.1439921,1.1004374,-0.0435547
108,1.2955271,1.0894326,"('conservative', 'liberal')",0.9924571,1.1114423,1.1439921,1.1004374,-0.0435547
34,-1.2902533,-1.4390976,"('loyal', 'disloyal')",-0.8232238,-0.64380574,-1.0567386,-1.0414517,0.0152869
78,1.2823011,1.2485334,"('active', 'inactive')",1.041861,0.9608606,1.162081,1.104697,-0.057384
30,-1.2141906,-1.007535,"('honest', 'dishonest')",0.10493193,0.050898522,-0.5546293,-0.4783182,0.0763111
94,1.2138771,0.57623285,"('aggressive', 'submissive')",1.4763054,1.3132145,1.3450912,0.9447237,-0.4003675
33,-1.1529522,-1.1559411,"('softhearted', 'hardhearted')",-1.1395032,-1.065262,-1.1462277,-1.1106015,0.0356262
29,-1.1158493,-1.4382436,"('honest', 'immoral')",-0.30208993,-0.28226525,-0.7089696,-0.8602544,-0.1512848
48,1.1104941,1.5023997,"('reliable', 'unreliable')",1.9881277,1.7553939,1.5493109,1.6288967,0.0795858
84,-1.0735415,-0.8292827,"('self-confident', 'diffident')",-1.1454806,-1.3186681,-1.1095111,-1.0739754,0.0355357
65,-1.0154097,-1.175255,"('practical', 'impractical')",-0.42086732,-0.58822167,-0.7181385,-0.8817383,-0.1635998
8,-1.0086912,-0.6465368,"('open', 'distant')",-0.7763783,-0.74069583,-0.8925347,-0.6936163,0.1989184
58,-0.9912076,-1.2031265,"('able', 'clumsy')",0.08662455,0.22300902,-0.4522915,-0.4900588,-0.0377673
46,0.9662012,1.5349349,"('generous', 'stingy')",0.5709902,0.6676651,0.7685957,1.1013,0.3327043
66,0.9631581,1.4086858,"('imaginative', 'unimaginative')",1.6443992,1.5851772,1.3037786,1.4969316,0.193153
62,-0.9567654,-0.39852235,"('creative', 'uncreative')",-0.8674197,-0.7556144,-0.9120926,-0.5770684,0.3350242
18,-0.9541977,-0.87008256,"('social', 'asocial')",-0.58038557,-0.65951484,-0.7672917,-0.7647987,0.002493
77,0.9531237,0.7366653,"('active', 'inactive')",-0.067774,0.043937385,0.4426748,0.3903013,-0.0523735
10,-0.95216537,-0.7297998,"('affectionate', 'unaffectionate')",-1.2719185,-1.2371576,-1.112042,-0.9834787,0.1285633
47,-0.95112133,-0.7577986,"('forgiving', 'unforgiving')",-0.6434268,-0.52097833,-0.7972741,-0.6393884,0.1578857
105,-0.9509884,-0.834501,"('conventional', 'modern')",-1.2468915,-1.0581007,-1.0989399,-0.9463009,0.152639
13,-0.9116845,-1.574954,"('helpful', 'unhelpful')",-0.76119244,-0.96664715,-0.8364385,-1.2708006,-0.4343621
59,0.88110954,0.9301268,"('skillful', 'clumsy')",0.6115451,0.6883546,0.7463273,0.8092407,0.0629134
89,0.7399106,0.3184142,"('daring', 'anxious')",0.8609617,0.78792584,0.8004361,0.55317,-0.2472661
87,-0.7355907,-0.7284037,"('dedicated', 'undedicated')",-1.1872417,-1.1067247,-0.9614162,-0.9175642,0.043852
96,0.73311347,0.55421484,"('powerful', 'powerless')",0.19807847,0.13006802,0.465596,0.3421414,-0.1234546
90,0.7303628,0.70032275,"('motivated', 'unmotivated')",0.9711163,0.83654475,0.8507395,0.7684337,-0.0823058
39,-0.69675785,-0.20263854,"('right', 'wrong')",-0.86734664,-0.79389834,-0.7820523,-0.4982684,0.2837839
5,0.6937806,0.17300636,"('pleasant', 'repellent')",0.58432525,0.49975914,0.6390529,0.3363827,-0.3026702
92,-0.6831324,-0.65575075,"('unwavering', 'wavering')",0.16736817,0.2352395,-0.2578821,-0.2102556,0.0476265
67,-0.6680268,-0.58654076,"('discriminating', 'undiscriminating')",-0.33255103,-0.25524005,-0.5002889,-0.4208904,0.0793985
79,-0.66024536,-0.472128,"('determined', 'doubtful')",0.59663236,0.5466071,-0.0318065,0.0372395,0.069046
20,0.65929526,0.8219773,"('popular', 'unpopular')",-0.84487677,-0.6699432,-0.0927908,0.0760171,0.1688079
35,-0.65236866,-0.0025295317,"('fair', 'unfair')",0.38428423,0.5131668,-0.1340422,0.2553186,0.3893608
74,-0.64710015,-0.76668143,"('insightful', 'unperceptive')",-0.9596999,-0.9983119,-0.8034,-0.8824967,-0.0790967
49,-0.64655304,-1.0793828,"('responsible', 'irresponsible')",-0.42546904,-0.64081496,-0.536011,-0.8600988,-0.3240878
97,-0.64274675,-0.5794104,"('superior', 'inferior')",-0.387231,-0.2742576,-0.5149889,-0.426834,0.0881549
45,-0.6309093,-1.0386863,"('cooperative', 'exploitative')",-0.7683753,-0.83635676,-0.6996423,-0.9375215,-0.2378792
63,-0.6111855,-0.8342503,"('capable', 'incapable')",-0.41819352,-0.5962331,-0.5146895,-0.7152417,-0.2005522
54,0.603915,0.22661082,"('smart', 'stupid')",0.6928953,0.64409685,0.6484051,0.4353538,-0.2130513
80,0.6037887,0.49211448,"('independent', 'dependent')",0.545579,0.6912079,0.5746838,0.5916612,0.0169774
100,-0.5925639,-0.26714045,"('influential', 'uninfluential')",-0.91876274,-0.61155605,-0.7556633,-0.4393483,0.316315
72,-0.5556299,-0.5548012,"('logical', 'illogical')",-0.59816617,-0.36373436,-0.576898,-0.4592678,0.1176302
26,-0.55198765,-0.16402724,"('trustworthy', 'untrustworthy')",0.38375965,0.3920665,-0.084114,0.1140196,0.1981336
