,Marsh_male,Marsh_female,tuple,&_male,&_female,McLennan_male,McLennan_female,average_male,average_female,female-male
75,5.7663655,6.111886,"('confident', 'shy')",4.361018,4.5026517,1.8857661,1.7620871,4.0043834,4.1255417,0.1211583
6,4.4368854,4.978452,"('liked', 'disliked')",4.5766025,4.447633,-0.7058702,-0.5660078,2.7692057,2.953359,0.1841533
27,-4.3361945,-4.692773,"('sincere', 'insincere')",-4.0798373,-4.0762835,1.4357921,1.3937596,-2.3267466,-2.4584322,-0.1316856
95,-3.7410052,-4.0490522,"('rich', 'poor')",-4.522055,-4.708227,0.3008724,0.24903029,-2.6540627,-2.8360831,-0.1820204
53,-3.5068476,-3.8807569,"('smart', 'stupid')",-2.6300611,-2.5211806,1.1190572,1.0764914,-1.6726171,-1.7751487,-0.1025316
40,-3.1496797,-3.7227437,"('honorable', 'mean')",-3.3631577,-3.5979955,0.57891726,0.44479525,-1.9779733,-2.2919814,-0.3140081
86,2.5322073,2.5466297,"('self-reliant', 'helpless')",3.8097985,3.5931807,-1.1664802,-1.2081672,1.7251752,1.6438812,-0.081294
11,-2.1364422,-2.1516201,"('caring', 'unaffectionate')",-1.1255009,-1.1691706,-0.5493264,-0.34576088,-1.2704232,-1.2221839,0.0482393
50,2.0040026,1.9286419,"('unprejudiced', 'prejudiced')",2.4496393,2.367041,-0.535272,-0.76308686,1.3061233,1.177532,-0.1285913
48,2.0024614,2.1456227,"('reliable', 'unreliable')",1.6273811,1.4869235,0.26992598,0.25173455,1.2999229,1.2947602,-0.0051627
3,1.9614658,1.8683548,"('likable', 'unlikable')",0.63658047,0.41305497,0.25518614,0.04795804,0.9510775,0.776456,-0.1746215
1,-1.8921697,-1.8197894,"('friendly', 'unfriendly')",-1.9249371,-2.0063403,0.46594274,0.64327806,-1.1170546,-1.0609505,0.0561041
33,-1.8789614,-1.6746076,"('softhearted', 'hardhearted')",-0.9873034,-0.58702207,0.7243764,1.0483772,-0.7139628,-0.4044175,0.3095453
28,-1.6750443,-1.5919826,"('honest', 'dishonest')",-2.4191797,-2.3573534,1.5344806,1.5620576,-0.8532478,-0.7957595,0.0574883
80,1.6492363,1.5587167,"('independent', 'dependent')",0.35335627,0.2956241,0.57696617,0.5165737,0.8598529,0.7903048,-0.0695481
13,-1.5933257,-1.7080425,"('helpful', 'unhelpful')",-1.3339632,-1.4054737,2.0606856,2.0475063,-0.2888678,-0.3553367,-0.0664689
78,1.5253634,1.4771249,"('active', 'inactive')",0.9306501,0.6888624,0.3076721,0.30968112,0.9212286,0.8252228,-0.0960058
90,1.5012653,1.1988299,"('motivated', 'unmotivated')",0.99778837,0.8682364,1.2912729,1.0409726,1.2634422,1.036013,-0.2274292
68,-1.4329433,-1.503757,"('clever', 'inept')",-1.2612541,-1.2794638,0.4796557,0.31172243,-0.7381806,-0.8238328,-0.0856522
32,-1.413354,-1.1865275,"('benevolent', 'hardhearted')",-1.6935306,-1.3148377,-0.5973096,-0.41670272,-1.2347314,-0.9726893,0.2620421
107,1.4091228,1.6128131,"('conventional', 'modern')",0.75842726,0.7066419,0.5789302,0.77283305,0.9154934,1.0307628,0.1152694
10,-1.3028525,-1.1810663,"('affectionate', 'unaffectionate')",-0.13022053,-0.12991127,-0.748467,-0.4050845,-0.72718,-0.5720207,0.1551593
22,1.2955468,1.2924597,"('welcoming', 'disagreeable')",0.038684845,0.15846825,0.5676728,0.5638073,0.6339681,0.6715784,0.0376103
47,-1.2902296,-1.0707783,"('forgiving', 'unforgiving')",-0.7401072,-0.5953251,1.2626647,1.322247,-0.2558907,-0.1146188,0.1412719
81,1.2507534,1.2239586,"('industrious', 'lazy')",1.0677396,0.93206155,-2.6873221,-2.720614,-0.1229431,-0.1881979,-0.0652548
59,1.2483802,1.3184416,"('skillful', 'clumsy')",0.11509335,0.12287372,-0.48143882,-0.36395115,0.2940116,0.3591214,0.0651098
109,1.2475023,1.0798616,"('conservative', 'liberal')",2.0191998,2.2564962,2.4907455,2.1791704,1.9191492,1.8385094,-0.0806398
108,1.2475023,1.0798616,"('conservative', 'liberal')",2.0191998,2.2564962,2.4907455,2.1791704,1.9191492,1.8385094,-0.0806398
9,-1.1909585,-1.3716128,"('sensitive', 'insensitive')",-0.44833702,-0.32138565,1.4361439,1.4426434,-0.0677172,-0.0834517,-0.0157345
71,1.189473,0.72554994,"('efficient', 'inefficient')",-0.15187824,-0.23354709,3.2441514,3.0949345,1.4272486,1.1956458,-0.2316028
34,-1.1857879,-1.0092849,"('loyal', 'disloyal')",-1.4374508,-1.1385919,0.03966427,0.22049545,-0.8611914,-0.6424604,0.218731
46,1.1782498,1.5794995,"('generous', 'stingy')",0.9779319,1.3595903,-0.055866577,0.12154956,0.7001051,1.0202131,0.320108
36,-1.1609347,-1.2297719,"('tolerant', 'intolerant')",-0.3733943,-0.31044215,1.9549594,1.9240998,0.1402102,0.1279619,-0.0122483
12,-1.1569302,-1.1918856,"('sympathetic', 'unsympathetic')",-0.7277793,-0.38210905,3.1456554,3.2052057,0.4203153,0.543737,0.1234217
104,-1.1409067,-0.7802011,"('conventional', 'unconventional')",-0.8351057,-0.5749416,-1.0252166,-0.85661155,-1.0004097,-0.7372514,0.2631583
29,-1.0350639,-1.2492647,"('honest', 'immoral')",-2.2696831,-2.1455472,1.5571823,1.4146011,-0.5825216,-0.6600703,-0.0775487
103,1.0091643,0.9040128,"('traditional', 'modern')",0.03736037,0.15558687,0.50127465,0.42994738,0.5159331,0.4965157,-0.0194174
60,1.0019734,1.0009657,"('educated', 'uneducated')",-1.3512951,-1.1294242,2.447567,2.372476,0.699415,0.7480059,0.0485909
56,0.97537565,1.0954021,"('intelligent', 'dumb')",0.76069665,0.8657912,0.5387989,0.5182227,0.7582904,0.826472,0.0681816
79,0.91973686,0.7380238,"('determined', 'doubtful')",1.2731994,1.1395522,0.65049183,0.44146538,0.9478094,0.7730138,-0.1747956
37,0.91449773,1.0905669,"('good', 'evil')",0.07831633,-0.064050555,-2.0673385,-1.9729517,-0.3581748,-0.3154784,0.0426964
94,0.8846587,0.6834874,"('aggressive', 'submissive')",0.95377517,1.0504544,2.8088112,2.5492306,1.5490816,1.4277242,-0.1213574
105,-0.83514804,-0.8122142,"('conventional', 'modern')",-1.3557854,-1.2913095,-1.5024973,-1.2710829,-1.2311436,-1.1248689,0.1062747
51,-0.8268281,-0.5655558,"('competent', 'incompetent')",-0.37260705,-0.1885972,1.0205383,1.1517857,-0.0596323,0.1325442,0.1921765
23,0.8203827,0.77577436,"('hospitable', 'inhospitable')",-0.058319896,-0.25578153,-0.47857815,-0.39455867,0.0944949,0.0418114,-0.0526835
110,-0.79226756,-0.84495425,"('narrow-minded', 'open-minded')",0.7476208,0.66271204,-0.9125564,-1.0302597,-0.3190677,-0.4041673,-0.0850996
19,-0.7558635,-0.6373795,"('funny', 'boring')",0.09913957,-0.005131036,-0.40663517,-0.19646302,-0.354453,-0.2796578,0.0747952
7,0.7438677,0.8487502,"('outgoing', 'distant')",-0.7594186,-1.0346279,-1.2625618,-1.2474,-0.4260375,-0.4777593,-0.0517218
14,0.7408324,0.8205483,"('supportive', 'unsupportive')",1.0383558,0.95381886,1.1000395,1.2165018,0.9597425,0.9969563,0.0372138
58,-0.7374938,-0.71861464,"('able', 'clumsy')",-1.5213186,-1.4960544,1.6624478,1.6690809,-0.1987882,-0.1818627,0.0169255
35,0.7299712,0.92222965,"('fair', 'unfair')",-0.09260261,-0.09437056,0.012148738,0.21893094,0.2165058,0.34893,0.1324242
66,0.69727516,1.049602,"('imaginative', 'unimaginative')",1.7447815,1.9615765,1.4079604,1.6386166,1.283339,1.5499317,0.2665927
100,-0.68852425,-0.41097528,"('influential', 'uninfluential')",-0.44486135,-0.20431024,2.285289,2.5690093,0.3839678,0.6512413,0.2672735
