,Charles_male,Charles_female,tuple,River_male,River_female,Laboratories_male,Laboratories_female,average_male,average_female,female-male
75,6.5585785,6.5739703,"('confident', 'shy')",4.368413,4.1911297,3.5633533,3.4143343,4.830115,4.7264783,-0.1036367
6,5.8906245,5.9760237,"('liked', 'disliked')",3.6245904,3.8403533,3.506001,3.5113506,4.3404051,4.4425758,0.1021707
27,-5.5775175,-5.65397,"('sincere', 'insincere')",-4.269905,-4.336089,-3.5853643,-3.3261707,-4.4775956,-4.4387433,0.0388523
95,-5.1740904,-5.3569555,"('rich', 'poor')",-3.2072039,-3.1970782,-3.7510018,-3.5989695,-4.0440985,-4.0510009,-0.0069024
53,-4.5839014,-4.765951,"('smart', 'stupid')",-3.0925121,-3.082612,-2.9972506,-2.973312,-3.557888,-3.6072915,-0.0494035
40,-4.353402,-4.542351,"('honorable', 'mean')",-2.5170736,-2.6157045,-3.0920668,-3.0514414,-3.3208475,-3.4031655,-0.082318
3,2.6788878,2.5842285,"('likable', 'unlikable')",0.61425185,0.5641368,1.3331263,1.357688,1.5420887,1.5020177,-0.040071
48,2.515696,2.356311,"('reliable', 'unreliable')",1.1206393,1.0240355,1.9763448,1.9879206,1.8708935,1.7894224,-0.0814711
86,2.3276854,2.2673488,"('self-reliant', 'helpless')",1.9969064,1.825932,2.8211818,2.8113236,2.3819245,2.3015348,-0.0803897
66,2.0747604,2.1143339,"('imaginative', 'unimaginative')",1.1431582,1.1489282,0.9067707,0.9252413,1.3748964,1.3961678,0.0212714
34,-1.7323544,-1.6704683,"('loyal', 'disloyal')",-1.0944636,-0.85322213,-1.2547877,-0.9501655,-1.3605353,-1.157952,0.2025833
11,-1.6895189,-1.6171439,"('caring', 'unaffectionate')",-1.9050133,-1.9084048,-1.1871362,-1.041724,-1.5938896,-1.5224242,0.0714654
50,1.6537571,1.5021105,"('unprejudiced', 'prejudiced')",2.2721162,2.104539,1.4194863,1.2960788,1.7817866,1.6342427,-0.1475439
81,1.4335119,1.5771605,"('industrious', 'lazy')",1.155938,1.1246467,0.24580109,0.10962355,0.9450836,0.9371435,-0.0079401
14,1.4122286,1.4141097,"('supportive', 'unsupportive')",-0.046101034,-0.10193625,0.7203786,0.75713867,0.695502,0.6897707,-0.0057313
32,-1.370562,-1.2325771,"('benevolent', 'hardhearted')",-0.59508276,-0.27821252,-2.098025,-1.9867532,-1.3545566,-1.1658476,0.188709
63,-1.3617752,-1.4015843,"('capable', 'incapable')",-0.93306506,-0.97026044,-0.50331926,-0.57739717,-0.9327199,-0.9830806,-0.0503607
