,Morgan_male,Morgan_female,tuple,Stanley_male,Stanley_female,average_male,average_female,female-male
75,6.6192837,6.4609337,"('confident', 'shy')",6.989752,6.8964357,6.8045177,6.6786847,-0.125833
6,5.87259,5.933069,"('liked', 'disliked')",4.911181,4.885524,5.3918858,5.4092965,0.0174107
27,-5.8115096,-5.8435435,"('sincere', 'insincere')",-5.1595993,-5.080191,-5.4855547,-5.4618673,0.0236874
95,-5.164652,-5.2830005,"('rich', 'poor')",-5.109726,-5.102004,-5.1371889,-5.192502,-0.0553131
53,-4.83697,-4.8762126,"('smart', 'stupid')",-4.8904467,-4.9320354,-4.8637085,-4.9041243,-0.0404158
40,-3.9661849,-4.150282,"('honorable', 'mean')",-4.0416365,-4.2427664,-4.0039105,-4.1965241,-0.1926136
48,2.7847729,2.512874,"('reliable', 'unreliable')",3.0141294,2.9295144,2.8994513,2.7211943,-0.178257
86,2.7577043,2.6424346,"('self-reliant', 'helpless')",3.1540165,3.0492392,2.9558604,2.8458369,-0.1100235
11,-2.2962077,-2.2201653,"('caring', 'unaffectionate')",-2.818684,-2.6999898,-2.557446,-2.4600775,0.0973685
1,-2.168517,-1.8659246,"('friendly', 'unfriendly')",-2.4757903,-2.337011,-2.3221536,-2.1014678,0.2206858
66,2.114635,2.3327103,"('imaginative', 'unimaginative')",1.9760824,1.9116217,2.0453587,2.1221659,0.0768072
3,2.0543475,1.872061,"('likable', 'unlikable')",2.1141062,1.9822544,2.0842268,1.9271576,-0.1570692
28,-1.8785013,-1.8384326,"('honest', 'dishonest')",-1.7302221,-1.6426468,-1.8043617,-1.7405397,0.063822
50,1.6786482,1.5024483,"('unprejudiced', 'prejudiced')",2.3313053,2.2985902,2.0049767,1.9005193,-0.1044574
10,-1.6510496,-1.4321859,"('affectionate', 'unaffectionate')",-2.4370632,-2.2440276,-2.0440564,-1.8381068,0.2059496
32,-1.6350825,-1.3248419,"('benevolent', 'hardhearted')",-2.7832794,-2.6028557,-2.2091808,-1.9638488,0.245332
94,1.6055558,1.4552405,"('aggressive', 'submissive')",1.3764633,1.1267335,1.4910095,1.290987,-0.2000225
13,-1.6015298,-1.6139544,"('helpful', 'unhelpful')",-1.2776643,-1.445454,-1.4395971,-1.5297042,-0.0901071
33,-1.5523709,-1.3253825,"('softhearted', 'hardhearted')",-1.1957384,-0.96321267,-1.3740547,-1.1442976,0.2297571
34,-1.5171044,-1.404527,"('loyal', 'disloyal')",-1.7091737,-1.534713,-1.613139,-1.46962,0.143519
109,1.5059952,1.2831995,"('conservative', 'liberal')",1.8015305,1.6838621,1.6537628,1.4835308,-0.170232
108,1.5059952,1.2831995,"('conservative', 'liberal')",1.8015305,1.6838621,1.6537628,1.4835308,-0.170232
46,1.4768884,1.7988763,"('generous', 'stingy')",0.6168786,0.811732,1.0468836,1.3053042,0.2584206
105,-1.4058545,-1.2709029,"('conventional', 'modern')",-1.7462504,-1.5183002,-1.5760524,-1.3946016,0.1814508
29,-1.3893526,-1.5228465,"('honest', 'immoral')",-1.0197566,-0.9982983,-1.2045546,-1.2605724,-0.0560178
107,1.3193327,1.2663004,"('conventional', 'modern')",0.84973574,1.0104425,1.0845342,1.1383715,0.0538373
104,-1.2602186,-0.84805536,"('conventional', 'unconventional')",-2.3820982,-2.0132458,-1.8211584,-1.4306506,0.3905078
88,1.2324347,1.2565266,"('impulsive', 'meek')",0.7766681,0.66440743,1.0045514,0.960467,-0.0440844
49,-1.1867826,-1.2788532,"('responsible', 'irresponsible')",-0.62592536,-0.7618694,-0.906354,-1.0203613,-0.1140073
81,1.1428384,1.1877412,"('industrious', 'lazy')",0.52679074,0.641122,0.8348145,0.9144316,0.0796171
38,-1.1074307,-1.0004408,"('kind', 'unkind')",-0.97125363,-0.7176447,-1.0393422,-0.8590428,0.1802994
98,-1.092658,-1.0083995,"('prestigious', 'insignificant')",-1.597967,-1.6193812,-1.3453126,-1.3138903,0.0314223
63,-1.0826952,-1.1934193,"('capable', 'incapable')",-1.306234,-1.3654033,-1.1944647,-1.2794113,-0.0849466
58,-1.0764351,-1.0504158,"('able', 'clumsy')",-0.98779637,-0.84533924,-1.0321157,-0.9478775,0.0842382
99,-1.0691955,-0.9449061,"('prestigious', 'insignificant')",-1.4229001,-1.3147182,-1.2460477,-1.1298122,0.1162355
72,-1.0330435,-0.81022435,"('logical', 'illogical')",-0.26829764,-0.11719811,-0.6506706,-0.4637112,0.1869594
56,1.0249761,1.0871913,"('intelligent', 'dumb')",0.5689292,0.58037007,0.7969527,0.8337807,0.036828
80,0.9894193,0.8772333,"('independent', 'dependent')",1.5196797,1.498847,1.2545495,1.1880401,-0.0665094
68,-0.96926624,-1.1709564,"('clever', 'inept')",-0.93971086,-1.0683551,-0.9544885,-1.1196557,-0.1651672
37,0.967515,1.1017984,"('good', 'evil')",0.34031916,0.4333844,0.6539171,0.7675914,0.1136743
78,0.96381134,0.8217305,"('active', 'inactive')",1.4441955,1.2812502,1.2040035,1.0514903,-0.1525132
9,-0.9578832,-1.0512527,"('sensitive', 'insensitive')",-0.7006193,-0.82146454,-0.8292512,-0.9363586,-0.1071074
8,-0.9357785,-0.91565275,"('open', 'distant')",-0.9842161,-0.8352169,-0.9599973,-0.8754348,0.0845625
44,-0.9177551,-1.0299344,"('truthful', 'untruthful')",-0.92272866,-0.93363595,-0.9202419,-0.9817852,-0.0615433
47,-0.8750348,-0.7460995,"('forgiving', 'unforgiving')",-1.2768456,-1.1678071,-1.0759401,-0.9569533,0.1189868
24,-0.8665393,-0.8502817,"('thoughtful', 'rough')",-0.55781424,-0.58273476,-0.7121768,-0.7165083,-0.0043315
97,-0.8660798,-0.8121617,"('superior', 'inferior')",-0.6879951,-0.7083374,-0.7770374,-0.7602496,0.0167878
79,0.8465642,0.60272336,"('determined', 'doubtful')",0.6309022,0.5646782,0.7387332,0.5837008,-0.1550324
70,0.76836073,0.8830356,"('wise', 'unwise')",0.89997184,1.0755423,0.8341663,0.9792889,0.1451226
93,0.7430999,0.777383,"('dominating', 'dominated')",0.37223762,0.23421285,0.5576688,0.5057979,-0.0518709
90,0.72938806,0.4256551,"('motivated', 'unmotivated')",1.7526777,1.4482832,1.2410328,0.9369692,-0.3040636
14,0.72357666,0.65005094,"('supportive', 'unsupportive')",0.6089717,0.5782503,0.6662742,0.6141506,-0.0521236
67,-0.7085154,-0.6056316,"('discriminating', 'undiscriminating')",-0.43159625,-0.56251365,-0.5700558,-0.5840726,-0.0140168
64,-0.7036534,-0.86593556,"('clever', 'incompetent')",0.17643738,-0.02665782,-0.263608,-0.4462967,-0.1826887
62,-0.6996267,-0.47005922,"('creative', 'uncreative')",-0.9423241,-0.8329936,-0.8209754,-0.6515265,0.1694489
84,-0.6722096,-0.7163568,"('self-confident', 'diffident')",-0.9682634,-1.014144,-0.8202365,-0.8652503,-0.0450138
15,0.6713591,0.5711517,"('polite', 'impolite')",1.1158663,1.0148537,0.8936127,0.7930027,-0.10061
45,-0.6641586,-0.8710373,"('cooperative', 'exploitative')",0.004416287,-0.074281335,-0.3298711,-0.4726593,-0.1427882
16,0.6291383,0.68479747,"('social', 'antisocial')",0.8651079,0.77561855,0.7471231,0.730208,-0.0169151
87,-0.6122033,-0.5171237,"('dedicated', 'undedicated')",-0.28974423,-0.20740041,-0.4509737,-0.3622621,0.0887116
12,-0.6088651,-0.7300325,"('sympathetic', 'unsympathetic')",-0.81541187,-0.9322419,-0.7121385,-0.8311372,-0.1189987
73,-0.6018476,-0.886911,"('brilliant', 'incompetent')",-0.07367325,-0.40975353,-0.3377604,-0.6483322,-0.3105718
60,0.5699872,0.54285526,"('educated', 'uneducated')",0.427644,0.43957075,0.4988156,0.491213,-0.0076026
57,0.5258299,0.3480056,"('able', 'unable')",0.5672283,0.45320445,0.5465291,0.400605,-0.1459241
103,0.5202522,0.45135802,"('traditional', 'modern')",0.64631546,0.72411513,0.5832838,0.5877366,0.0044528
21,0.5144607,0.39556372,"('nice', 'nasty')",0.24483174,0.21350873,0.3796462,0.3045362,-0.07511
82,0.4987672,0.6173984,"('industrious', 'meek')",-0.46106845,-0.38130787,0.0188494,0.1180453,0.0991959
71,0.49491513,0.051913857,"('efficient', 'inefficient')",1.4478383,1.0921656,0.9713767,0.5720397,-0.399337
39,-0.48843917,-0.36331254,"('right', 'wrong')",-0.32239765,-0.15700772,-0.4054184,-0.2601601,0.1452583
74,-0.48815966,-0.49319303,"('insightful', 'unperceptive')",-0.4191299,-0.51249266,-0.4536448,-0.5028428,-0.049198
30,-0.47312105,-0.44770163,"('honest', 'dishonest')",-0.28368556,-0.3376304,-0.3784033,-0.392666,-0.0142627
35,0.4580079,0.6509996,"('fair', 'unfair')",1.2519851,1.3989333,0.8549965,1.0249665,0.16997
4,-0.43601048,-0.5995678,"('likable', 'unlikable')",-0.049295574,-0.15290043,-0.242653,-0.3762341,-0.1335811
101,-0.41040486,-0.41861716,"('successful', 'unsuccessful')",-0.54544103,-0.6159158,-0.4779229,-0.5172665,-0.0393436
23,0.39095366,0.251185,"('hospitable', 'inhospitable')",0.34458303,0.34122837,0.3677683,0.2962067,-0.0715616
92,-0.38908407,-0.39585474,"('unwavering', 'wavering')",-1.0942799,-0.9654653,-0.741682,-0.68066,0.061022
31,-0.38877162,-0.22641605,"('altruistic', 'egoistic')",-0.8427871,-0.6938602,-0.6157793,-0.4601381,0.1556412
42,0.3660167,0.6667901,"('amicable', 'hostile')",-0.9512942,-0.70638573,-0.2926387,-0.0197978,0.2728409
18,-0.3432093,-0.2974192,"('social', 'asocial')",0.040606342,0.1588045,-0.1513015,-0.0693073,0.0819942
5,0.3395968,0.28512943,"('pleasant', 'repellent')",0.8323897,0.71926236,0.5859933,0.5021959,-0.0837974
36,-0.33655125,-0.40883595,"('tolerant', 'intolerant')",0.16250789,0.019439638,-0.0870217,-0.1946982,-0.1076765
55,-0.312226,-0.277687,"('intelligent', 'unintelligent')",-0.3258291,-0.4674649,-0.3190275,-0.3725759,-0.0535484
22,0.30619377,0.2742418,"('welcoming', 'disagreeable')",0.23349735,0.37973428,0.2698455,0.326988,0.0571425
26,0.3060417,0.40091226,"('trustworthy', 'untrustworthy')",0.77866393,0.7803824,0.5423528,0.5906473,0.0482945
59,0.3046495,0.32965052,"('skillful', 'clumsy')",0.8406324,0.9365967,0.572641,0.6331236,0.0604826
51,-0.2921953,-0.3168538,"('competent', 'incompetent')",-0.1720193,-0.2885186,-0.2321073,-0.3026862,-0.0705789
2,-0.28459775,-0.36642691,"('friendly', 'unfriendly')",0.26626408,0.07018846,-0.0091668,-0.1481192,-0.1389524
17,-0.2779796,-0.081103146,"('social', 'antisocial')",-0.297169,-0.26866055,-0.2875743,-0.1748818,0.1126925
7,-0.26508403,-0.31351614,"('outgoing', 'distant')",-0.037827134,-0.05781734,-0.1514556,-0.1856667,-0.0342111
41,0.26098013,0.5411755,"('incorrupt', 'corrupt')",-1.3033215,-0.9581487,-0.5211707,-0.2084866,0.3126841
76,0.22998068,0.055549145,"('secure', 'insecure')",1.4037498,1.2824843,0.8168653,0.6690167,-0.1478486
25,0.20732343,-0.12351023,"('moral', 'immoral')",1.0324819,0.8951117,0.6199027,0.3858007,-0.234102
102,0.19278419,0.08105752,"('eminent', 'low')",-0.5489398,-0.61008006,-0.1780778,-0.2645113,-0.0864335
20,-0.18981913,-0.096645355,"('popular', 'unpopular')",-0.5189813,-0.51175356,-0.3544002,-0.3041995,0.0502007
0,-0.18499202,-0.066452056,"('sociable', 'unsociable')",0.13029313,0.19997725,-0.0273494,0.0667626,0.094112
96,0.17809919,0.15648048,"('powerful', 'powerless')",0.889323,0.7485232,0.5337111,0.4525018,-0.0812093
19,-0.17238915,-0.013938546,"('funny', 'boring')",-0.46739036,-0.41179433,-0.3198898,-0.2128664,0.1070234
43,-0.14891416,-0.17662293,"('genuine', 'fake')",-0.65361196,-0.5424022,-0.4012631,-0.3595126,0.0417505
69,-0.1411879,-0.012519091,"('wise', 'foolish')",-0.6887479,-0.64145833,-0.4149679,-0.3269887,0.0879792
61,0.14004672,0.33024803,"('rational', 'irrational')",0.20270425,0.5077188,0.1713755,0.4189834,0.2476079
77,0.13719139,0.3169704,"('active', 'inactive')",-0.6263133,-0.47225782,-0.244561,-0.0776437,0.1669173
89,0.08610654,0.0541815,"('daring', 'anxious')",0.5254595,0.52549005,0.305783,0.2898358,-0.0159472
83,-0.08467973,-0.100907505,"('energetic', 'lethargic')",-0.48325664,-0.5907526,-0.2839682,-0.3458301,-0.0618619
91,0.07575944,0.013726026,"('resilient', 'nonresilient')",-0.19860159,-0.22465736,-0.0614211,-0.1054657,-0.0440446
85,0.07234073,0.0801094,"('ambitious', 'unambitious')",-0.37187874,-0.4384625,-0.149769,-0.1791765,-0.0294075
52,0.06339091,0.028270721,"('competitive', 'uncompetitive')",0.57929,0.38633782,0.3213404,0.2073043,-0.1140361
110,-0.04582046,-0.055806473,"('narrow-minded', 'open-minded')",-0.19932932,-0.23999915,-0.1225749,-0.1479028,-0.0253279
54,0.04520479,-0.16819426,"('smart', 'stupid')",0.5124368,0.25626493,0.2788208,0.0440353,-0.2347855
100,0.04204929,0.3790856,"('influential', 'uninfluential')",-0.83982044,-0.597962,-0.3988856,-0.1094382,0.2894474
106,-0.0219132,0.083085984,"('conventional', 'unconventional')",-0.96361196,-0.86810696,-0.4927626,-0.3925105,0.1002521
65,-0.017528646,-0.27715087,"('practical', 'impractical')",0.17714357,0.02851493,0.0798075,-0.124318,-0.2041255
