,Packaging_male,Packaging_female,tuple,Corporation_male,Corporation_female,of_male,of_female,America_male,America_female,average_male,average_female,female-male
27,-5.5735292,-6.085947,"('sincere', 'insincere')",-5.9254746,-6.0872383,-5.4243183,-5.807356,-5.3531427,-5.502146,-5.5691166,-5.8706717,-0.3015551
6,5.5276294,6.193129,"('liked', 'disliked')",4.609497,4.9865475,5.507828,5.818983,5.177247,5.367343,5.2055502,5.5915003,0.3859501
75,5.2929583,5.7331386,"('confident', 'shy')",5.5090284,5.785636,5.5567055,5.6231103,5.2325673,5.264134,5.3978148,5.6015043,0.2036895
95,-4.981156,-5.5495124,"('rich', 'poor')",-5.3035636,-5.4428234,-5.381424,-5.5279408,-4.9179544,-5.0589657,-5.1460247,-5.3948107,-0.248786
53,-4.6352224,-5.0584383,"('smart', 'stupid')",-4.1904073,-4.529256,-4.735999,-4.8943753,-3.823664,-3.8708005,-4.3463235,-4.5882173,-0.2418938
40,-3.901986,-4.3825407,"('honorable', 'mean')",-5.202524,-5.638261,-3.8935153,-4.3918676,-3.7188385,-3.884214,-4.1792159,-4.5742207,-0.3950048
86,2.780157,2.9818063,"('self-reliant', 'helpless')",2.936181,2.9082026,3.1433492,3.1695669,2.7464166,2.5903735,2.901526,2.9124875,0.0109615
1,-2.320312,-2.0564775,"('friendly', 'unfriendly')",-1.9708536,-1.6629757,0.25803939,0.2544431,-1.2926962,-1.2094254,-1.3314555,-1.1686089,0.1628466
13,-2.2478657,-2.462646,"('helpful', 'unhelpful')",-2.9682832,-3.1371207,-2.2070346,-2.416431,-2.0686212,-2.1835592,-2.372951,-2.5499392,-0.1769882
11,-2.2311184,-2.196777,"('caring', 'unaffectionate')",-1.7873064,-1.7140722,-0.25084314,-0.22413403,-1.8897558,-1.9378682,-1.5397559,-1.5182129,0.021543
48,2.0807028,2.172378,"('reliable', 'unreliable')",1.7940993,1.8037168,2.0585675,2.1169791,1.6275053,1.3693969,1.8902187,1.8656178,-0.0246009
66,1.9317305,2.0239184,"('imaginative', 'unimaginative')",1.4616767,1.5624113,1.715725,1.8003881,1.6395543,1.5634087,1.6871717,1.7375317,0.05036
32,-1.8127052,-1.6483703,"('benevolent', 'hardhearted')",-2.5948312,-2.3815007,-0.98122686,-0.5897891,-1.2084447,-1.0416064,-1.649302,-1.4153166,0.2339854
34,-1.7524886,-1.6355687,"('loyal', 'disloyal')",-1.952559,-1.8180134,-2.357149,-2.0560122,-1.2772964,-1.2480614,-1.8348733,-1.689414,0.1454593
49,-1.6572342,-1.9379985,"('responsible', 'irresponsible')",-1.171669,-1.421817,-0.7933699,-1.1682463,-1.3868395,-1.6437101,-1.2522781,-1.542943,-0.2906649
80,1.5204136,1.4976726,"('independent', 'dependent')",1.2020552,1.2808201,0.121208295,-0.029946297,-0.45702857,-0.52161956,0.5966621,0.5567317,-0.0399304
10,-1.495311,-1.2276285,"('affectionate', 'unaffectionate')",-1.2556378,-1.1272457,0.49365854,0.7869341,-0.8025071,-0.6725845,-0.7649494,-0.5601311,0.2048183
103,1.4153469,1.420161,"('traditional', 'modern')",1.3085226,1.3149366,0.97550523,0.78103685,1.0023489,1.012273,1.1754309,1.1321019,-0.043329
37,1.3696829,1.561367,"('good', 'evil')",1.363445,1.5317115,2.282008,2.5665135,1.0522597,1.0375459,1.5168488,1.6742845,0.1574357
28,-1.3645552,-1.5101529,"('honest', 'dishonest')",-1.754081,-1.7046982,-0.7403692,-0.92929286,-1.8912933,-1.8341877,-1.4375746,-1.4945829,-0.0570083
3,1.3640285,1.5981683,"('likable', 'unlikable')",1.2001915,1.255702,1.8497174,1.6657096,1.8391132,1.8763348,1.5632627,1.5989786,0.0357159
38,-1.3508976,-1.3595338,"('kind', 'unkind')",-2.3360877,-2.1750834,-1.959621,-2.031669,-1.3800254,-1.2548758,-1.756658,-1.7052904,0.0513676
