,Johnson_male,Johnson_female,tuple,Controls_male,Controls_female,average_male,average_female,female-male
75,6.2867413,6.3956127,"('confident', 'shy')",6.1065874,6.0522785,6.196664333343506,6.223945617675781,0.02728128433227539
27,-5.391103,-5.444478,"('sincere', 'insincere')",-5.299879,-5.3722982,-5.3454909324646,-5.408388137817383,-0.0628972053527832
53,-4.89485,-4.8179927,"('smart', 'stupid')",-3.799046,-3.8516874,-4.34694766998291,-4.334839820861816,0.01210784912109375
6,4.789844,5.0383263,"('liked', 'disliked')",5.732485,6.00455,5.261164665222168,5.521438121795654,0.26027345657348633
95,-4.3716974,-4.3238487,"('rich', 'poor')",-4.846011,-4.996255,-4.608854293823242,-4.6600518226623535,-0.05119752883911133
40,-4.1126733,-4.483255,"('honorable', 'mean')",-4.3591394,-4.721819,-4.235906600952148,-4.602537155151367,-0.36663055419921875
86,3.178655,3.112265,"('self-reliant', 'helpless')",3.0940986,3.2996414,3.1363768577575684,3.2059531211853027,0.06957626342773438
13,-2.3631463,-2.2010155,"('helpful', 'unhelpful')",-2.719349,-2.9149146,-2.541247606277466,-2.557965040206909,-0.01671743392944336
48,2.323975,2.2178388,"('reliable', 'unreliable')",3.2365165,3.296073,2.780245780944824,2.756955862045288,-0.023289918899536133
28,-2.0305622,-1.973824,"('honest', 'dishonest')",-1.2597029,-1.1724504,-1.6451325416564941,-1.5731372833251953,0.07199525833129883
3,1.9835719,1.8360033,"('likable', 'unlikable')",1.7208718,1.6994722,1.8522218465805054,1.7677377462387085,-0.08448410034179688
50,1.9573756,1.7796315,"('unprejudiced', 'prejudiced')",2.627933,2.5565958,2.292654275894165,2.1681137084960938,-0.12454056739807129
58,-1.9274477,-1.9064739,"('able', 'clumsy')",-0.9910514,-0.90454066,-1.459249496459961,-1.4055073261260986,0.053742170333862305
1,-1.8155016,-1.7390565,"('friendly', 'unfriendly')",-2.4497182,-2.2480502,-2.1326098442077637,-1.9935534000396729,0.13905644416809082
34,-1.7023526,-1.3662946,"('loyal', 'disloyal')",-1.4659823,-1.2811809,-1.58416748046875,-1.3237377405166626,0.2604297399520874
12,-1.5651042,-1.4440483,"('sympathetic', 'unsympathetic')",-1.0929766,-1.2129413,-1.3290404081344604,-1.3284947872161865,0.0005456209182739258
