,Franklin_male,Franklin_female,tuple,Resources_male,Resources_female,average_male,average_female,female-male
3,4.9658704,5.093891,"('liked', 'disliked')",3.290424,3.3532279,4.128147125244141,4.223559379577637,0.0954122543334961
50,-4.9475803,-5.16642,"('rich', 'poor')",-3.3784838,-3.1055818,-4.163032054901123,-4.136000633239746,0.027031421661376953
30,-4.1316257,-4.2159843,"('smart', 'stupid')",-3.5026457,-3.1635866,-3.817135810852051,-3.6897854804992676,0.1273503303527832
26,2.6346292,2.6076226,"('reliable', 'unreliable')",1.0862871,0.93888557,1.8604581356048584,1.773254156112671,-0.0872039794921875
57,2.3109527,2.285176,"('conservative', 'liberal')",-0.47206467,-0.16338602,0.9194439649581909,1.0608949661254883,0.14145100116729736
1,-2.2403123,-2.0936291,"('friendly', 'unfriendly')",-1.2482449,-1.3571234,-1.7442786693572998,-1.7253762483596802,0.01890242099761963
28,2.1067653,1.7744911,"('unprejudiced', 'prejudiced')",1.8678734,1.9601078,1.9873193502426147,1.8672994375228882,-0.12001991271972656
41,1.9904648,1.7717233,"('confident', 'shy')",-0.011946797,-0.36651176,0.9892590045928955,0.7026057243347168,-0.2866532802581787
5,-1.7963856,-1.5678552,"('helpful', 'unhelpful')",-3.6868136,-3.7102969,-2.7415995597839355,-2.639075994491577,0.1025235652923584
55,-1.7409747,-1.482008,"('conventional', 'unconventional')",-0.15826103,-0.11625153,-0.949617862701416,-0.7991297245025635,0.15048813819885254
15,-1.7383847,-1.4114133,"('loyal', 'disloyal')",-1.5778465,-1.106109,-1.6581156253814697,-1.2587611675262451,0.3993544578552246
24,1.7022634,2.1747932,"('generous', 'stingy')",1.3922603,1.278826,1.5472618341445923,1.7268096208572388,0.17954778671264648
49,1.5246233,1.244301,"('motivated', 'unmotivated')",0.14279911,-0.025219455,0.8337112069129944,0.6095407605171204,-0.22417044639587402
36,-1.4338827,-1.6508224,"('capable', 'incapable')",-0.709195,-0.7496551,-1.0715389251708984,-1.2002387046813965,-0.12869977951049805
