,Assurant_male,Assurant_female,tuple,average_male,average_female,female-male
75,2.1874127,2.1209598,"('confident', 'shy')",2.1874127,2.1209598,-0.0664529
90,1.9262089,1.6826339,"('motivated', 'unmotivated')",1.9262089,1.6826339,-0.243575
41,-1.8674792,-1.8480089,"('incorrupt', 'corrupt')",-1.8674792,-1.8480089,0.0194703
14,1.748018,1.6802151,"('supportive', 'unsupportive')",1.748018,1.6802151,-0.0678029
81,-1.7443265,-2.0156865,"('industrious', 'lazy')",-1.7443265,-2.0156865,-0.27136
52,1.724183,1.8094405,"('competitive', 'uncompetitive')",1.724183,1.8094405,0.0852575
5,1.6945148,1.6692394,"('pleasant', 'repellent')",1.6945148,1.6692394,-0.0252754
100,1.6791806,2.0435007,"('influential', 'uninfluential')",1.6791806,2.0435007,0.3643201
71,1.6624258,1.4791052,"('efficient', 'inefficient')",1.6624258,1.4791052,-0.1833206
15,1.4991429,1.7240149,"('polite', 'impolite')",1.4991429,1.7240149,0.224872
0,1.380523,1.6635284,"('sociable', 'unsociable')",1.380523,1.6635284,0.2830054
107,1.3059278,1.6105317,"('conventional', 'modern')",1.3059278,1.6105317,0.3046039
32,-1.2674218,-1.0627596,"('benevolent', 'hardhearted')",-1.2674218,-1.0627596,0.2046622
104,-1.183533,-1.221952,"('conventional', 'unconventional')",-1.183533,-1.221952,-0.038419
16,1.177882,1.4133782,"('social', 'antisocial')",1.177882,1.4133782,0.2354962
6,1.1711915,0.99968773,"('liked', 'disliked')",1.1711915,0.9996877,-0.1715038
103,1.1457372,1.1434867,"('traditional', 'modern')",1.1457372,1.1434867,-0.0022505
2,1.1259906,1.46223,"('friendly', 'unfriendly')",1.1259906,1.46223,0.3362394
49,1.1216023,0.9994609,"('responsible', 'irresponsible')",1.1216023,0.9994609,-0.1221414
70,1.1017954,1.2176322,"('wise', 'unwise')",1.1017954,1.2176322,0.1158368
60,1.0763042,1.3875573,"('educated', 'uneducated')",1.0763042,1.3875573,0.3112531
13,1.0692525,1.3008018,"('helpful', 'unhelpful')",1.0692525,1.3008018,0.2315493
95,-1.058826,-0.9269642,"('rich', 'poor')",-1.058826,-0.9269642,0.1318618
84,1.043582,0.6854544,"('self-confident', 'diffident')",1.043582,0.6854544,-0.3581276
98,-1.0406548,-1.028332,"('prestigious', 'insignificant')",-1.0406548,-1.028332,0.0123228
55,1.036588,0.9617906,"('intelligent', 'unintelligent')",1.036588,0.9617906,-0.0747974
25,1.0081675,0.91145957,"('moral', 'immoral')",1.0081675,0.9114596,-0.0967079
106,-1.0049616,-0.8565313,"('conventional', 'unconventional')",-1.0049616,-0.8565313,0.1484303
53,-0.99701273,-0.9146997,"('smart', 'stupid')",-0.9970127,-0.9146997,0.082313
