,Fidelity_male,Fidelity_female,tuple,National_male,National_female,Information_male,Information_female,Services_male,Services_female,average_male,average_female,female-male
3,3.6567645,3.4382439,"('liked', 'disliked')",3.3201106,3.0295997,2.4210548,2.2511816,3.5095701,3.3903651,3.226875066757202,3.0273475646972656,-0.19952750205993652
50,-3.4207006,-2.9073205,"('rich', 'poor')",-3.0886874,-2.9243214,-2.2093987,-2.4326808,-5.2121115,-5.1592436,-3.48272442817688,-3.355891704559326,0.1268327236175537
30,-3.2682502,-2.4238172,"('smart', 'stupid')",-2.6862564,-2.5659673,-2.9951715,-2.914835,-4.212247,-4.288864,-3.2904813289642334,-3.048370838165283,0.2421104907989502
15,-2.6484537,-2.2505603,"('loyal', 'disloyal')",-1.6931767,-1.3593631,-0.902802,-0.6226158,-2.7230024,-2.0889502,-1.991858720779419,-1.5803723335266113,0.4114863872528076
5,-2.108797,-1.7667648,"('helpful', 'unhelpful')",-1.6069967,-1.1277714,-3.0975235,-3.0688295,-3.9658756,-3.8306804,-2.694798231124878,-2.4485116004943848,0.24628663063049316
28,1.9987681,1.8880398,"('unprejudiced', 'prejudiced')",0.55098706,0.3607285,1.0460955,0.955005,1.801063,1.4529591,1.3492283821105957,1.1641831398010254,-0.1850452423095703
14,-1.7121801,-1.633494,"('honest', 'dishonest')",-1.0909488,-1.002911,-1.5611159,-1.5230339,-2.2730312,-2.27829,-1.6593190431594849,-1.6094322204589844,0.04988682270050049
44,1.6360241,1.2020497,"('active', 'inactive')",2.383831,1.722234,1.620815,1.3124884,1.4159225,1.0410154,1.7641481161117554,1.3194468021392822,-0.44470131397247314
19,-1.507942,-1.0487645,"('kind', 'unkind')",-1.775948,-1.22121,-1.3702394,-1.1299897,-3.0356448,-2.938733,-1.9224436283111572,-1.58467435836792,0.3377692699432373
26,1.4594812,1.3646686,"('reliable', 'unreliable')",0.92311144,0.8210763,-0.56782365,-0.6393866,1.5720896,1.240471,0.8467146158218384,0.6967072486877441,-0.15000736713409424
40,-1.3973783,-1.090731,"('logical', 'illogical')",-0.09918898,0.03540331,-1.7723397,-1.5861924,-1.1651142,-0.99989367,-1.1085052490234375,-0.910353422164917,0.1981518268585205
17,-1.3966222,-1.1875389,"('tolerant', 'intolerant')",-0.49908292,-0.28197852,-1.4044595,-1.3586504,-0.96550846,-1.1262369,-1.0664182901382446,-0.9886012077331543,0.07781708240509033
55,-1.381551,-1.554764,"('conventional', 'unconventional')",-0.78548723,-0.9074284,0.44388923,0.70109963,-0.7285185,-0.3659981,-0.6129168272018433,-0.5317727327346802,0.08114409446716309
52,-1.3258212,-1.1941038,"('superior', 'inferior')",-0.7192228,-0.56835014,-1.0190642,-0.95441437,-0.4759511,-0.255953,-0.8850148320198059,-0.7432053685188293,0.14180946350097656
48,-1.2299073,-0.9635158,"('dedicated', 'undedicated')",-1.0306864,-0.9149487,-0.40842134,-0.44075054,-1.9269471,-1.84735,-1.148990511894226,-1.0416412353515625,0.10734927654266357
21,1.1514602,1.0674925,"('incorrupt', 'corrupt')",1.3530731,1.0026672,2.395907,2.5470648,1.6847067,1.8211176,1.6462867259979248,1.6095855236053467,-0.036701202392578125
1,-1.140006,-1.350771,"('friendly', 'unfriendly')",-1.1190532,-1.16922,-1.0205489,-0.9941424,-1.5024439,-1.2591515,-1.1955130100250244,-1.1933212280273438,0.002191781997680664
27,-1.1310409,-1.0440984,"('responsible', 'irresponsible')",-0.8611547,-0.7259446,-1.706573,-1.8530979,-1.8192282,-2.0501165,-1.3794991970062256,-1.4183143377304077,-0.03881514072418213
4,-1.1036156,-1.1185622,"('sensitive', 'insensitive')",-0.67673755,-0.40633705,-1.7218821,-1.8251213,-1.2893528,-1.4092629,-1.1978970766067505,-1.1898207664489746,0.008076310157775879
39,-1.0627162,-1.0569761,"('wise', 'foolish')",-0.11355209,-0.18988463,-0.79505956,-0.5734818,-0.3663699,-0.2541572,-0.5844244360923767,-0.5186249017715454,0.0657995343208313
49,0.9767331,0.7130946,"('motivated', 'unmotivated')",0.9149091,0.81585383,-0.36715287,-0.3916986,1.1760154,0.82971823,0.6751261949539185,0.49174201488494873,-0.18338418006896973
33,-0.8379886,-0.23851225,"('educated', 'uneducated')",-0.5959952,-0.23043028,-0.30649403,-0.32072753,-1.3451992,-1.1105652,-0.7714192867279053,-0.47505879402160645,0.29636049270629883
54,-0.81292605,-0.5636939,"('successful', 'unsuccessful')",-0.55717134,-0.35643283,-1.430293,-1.3080244,-2.0649707,-1.9326594,-1.2163403034210205,-1.0402026176452637,0.17613768577575684
18,0.7962942,0.2342729,"('good', 'evil')",0.43420887,-0.17629635,2.1982806,2.0859556,2.6011634,2.7015727,1.5074868202209473,1.2113761901855469,-0.2961106300354004
