,Citrix_male,Citrix_female,tuple,Systems_male,Systems_female,average_male,average_female,female-male
75,4.0885777,3.975721,"('confident', 'shy')",2.5961728,2.7573187,3.3423753,3.3665199,0.0241446
6,2.9223025,2.8085752,"('liked', 'disliked')",3.054246,3.4760883,2.9882741,3.1423316,0.1540575
53,-2.5445597,-2.6309433,"('smart', 'stupid')",-2.0867195,-2.261817,-2.3156395,-2.4463801,-0.1307406
95,-2.4027321,-2.4318674,"('rich', 'poor')",-1.2735838,-1.491816,-1.8381579,-1.9618417,-0.1236838
40,-2.3942008,-2.5140676,"('honorable', 'mean')",-2.1884632,-2.5847569,-2.291332,-2.5494123,-0.2580803
27,-2.0977051,-2.1024868,"('sincere', 'insincere')",-3.0720782,-3.3757718,-2.5848918,-2.7391293,-0.1542375
66,1.81266,1.6448271,"('imaginative', 'unimaginative')",0.4548931,0.45434722,1.1337765,1.0495871,-0.0841894
32,-1.7604718,-1.6544813,"('benevolent', 'hardhearted')",-1.702475,-1.376321,-1.7314734,-1.5154011,0.2160723
48,1.7383208,1.4976206,"('reliable', 'unreliable')",1.9096038,1.8385665,1.8239623,1.6680936,-0.1558687
1,-1.4264345,-1.321312,"('friendly', 'unfriendly')",-2.1219816,-1.6945379,-1.7742081,-1.5079249,0.2662832
31,-1.2534944,-1.121239,"('altruistic', 'egoistic')",-0.874694,-0.5534041,-1.0640942,-0.8373215,0.2267727
70,1.1925628,1.1418061,"('wise', 'unwise')",0.46157655,0.6013745,0.8270697,0.8715903,0.0445206
82,-1.1877322,-1.0748518,"('industrious', 'meek')",0.2408188,0.51213545,-0.4734567,-0.2813582,0.1920985
3,1.1846011,1.0819182,"('likable', 'unlikable')",0.5420713,0.44862813,0.8633362,0.7652732,-0.098063
94,1.1394844,1.1900388,"('aggressive', 'submissive')",0.866587,0.7804111,1.0030357,0.985225,-0.0178107
50,1.1257054,1.0195593,"('unprejudiced', 'prejudiced')",1.6172736,1.5385572,1.3714895,1.2790582,-0.0924313
99,-1.1136826,-0.9688976,"('prestigious', 'insignificant')",-1.0604495,-0.60156786,-1.0870661,-0.7852327,0.3018334
103,1.0501757,1.1643375,"('traditional', 'modern')",0.43062627,0.56257707,0.740401,0.8634573,0.1230563
