,D._male,D._female,tuple,R._male,R._female,Horton_male,Horton_female,average_male,average_female,female-male
75,2.2028723,1.9600778,"('confident', 'shy')",1.9638238,1.8420379,7.0274367,7.3609915,3.7313776,3.7210356,-0.010342
25,-2.1082082,-2.2489893,"('moral', 'immoral')",-1.5809119,-1.7954783,0.8149719,0.52549124,-0.9580494,-1.1729922,-0.2149428
50,2.006465,1.8814435,"('unprejudiced', 'prejudiced')",1.679143,1.4891407,2.0663357,2.0282688,1.9173145,1.7996178,-0.1176967
78,1.6543676,1.5695045,"('active', 'inactive')",1.5830325,1.4662809,0.93171954,0.93745196,1.3897066,1.3244125,-0.0652941
53,-1.6283231,-1.6282923,"('smart', 'stupid')",-1.5071253,-1.3760302,-4.7753496,-5.227373,-2.6369327,-2.7438984,-0.1069657
79,-1.6237704,-1.4720086,"('determined', 'doubtful')",-0.7635884,-0.6873335,0.79419357,0.48680702,-0.5310551,-0.5575117,-0.0264566
95,-1.510177,-1.4701467,"('rich', 'poor')",-1.8998703,-1.8902583,-5.622615,-6.0535975,-3.0108875,-3.1380008,-0.1271133
16,-1.4818008,-1.5552695,"('social', 'antisocial')",-1.0674391,-1.123635,0.796206,0.72174597,-0.5843446,-0.6523862,-0.0680416
64,-1.4703645,-1.6231191,"('clever', 'incompetent')",-1.1876075,-1.4229143,0.025299966,-0.18996972,-0.8775573,-1.0786677,-0.2011104
65,-1.4697094,-1.7530166,"('practical', 'impractical')",-1.3200313,-1.4968077,0.040960908,-0.33371958,-0.9162599,-1.1945146,-0.2782547
87,-1.4538679,-1.2946839,"('dedicated', 'undedicated')",-1.4799876,-1.5385056,-0.503999,-0.41554725,-1.1459515,-1.0829123,0.0630392
21,1.3803096,1.285291,"('nice', 'nasty')",1.5866919,1.557069,0.6245327,0.5846858,1.197178,1.1423486,-0.0548294
38,-1.3168039,-1.5092347,"('kind', 'unkind')",-1.203926,-1.2249477,-0.95121515,-1.0097253,-1.1573151,-1.2479692,-0.0906541
26,-1.302629,-1.1368961,"('trustworthy', 'untrustworthy')",-0.98459285,-1.0178066,0.4052451,0.53887117,-0.6273256,-0.5386105,0.0887151
74,-1.2996318,-1.2971087,"('insightful', 'unperceptive')",-0.85572654,-1.1081161,-0.8440399,-0.8644917,-0.9997994,-1.0899055,-0.0901061
73,-1.2787077,-1.7915541,"('brilliant', 'incompetent')",-1.3983736,-1.8036809,-0.33523983,-0.77105385,-1.0041071,-1.4554296,-0.4513225
4,-1.1996808,-1.2694054,"('likable', 'unlikable')",-1.2753156,-1.3401906,-0.11110127,-0.13816905,-0.8620326,-0.9159217,-0.0538891
72,-1.180722,-1.1976442,"('logical', 'illogical')",-1.0592396,-1.0402582,-1.0755932,-0.88249725,-1.105185,-1.0401332,0.0650518
42,1.1633035,1.7001269,"('amicable', 'hostile')",0.85824484,1.1038523,-0.41899812,0.100405216,0.5341834,0.9681281,0.4339447
0,-1.136195,-0.9673817,"('sociable', 'unsociable')",-1.1272175,-0.98292005,-0.34747064,-0.25659525,-0.8702944,-0.7356323,0.1346621
63,-1.1306633,-1.2355956,"('capable', 'incapable')",-0.41731536,-0.38037178,-0.98751134,-1.115653,-0.8451633,-0.9105401,-0.0653768
88,1.1260684,1.3434681,"('impulsive', 'meek')",0.9459572,0.9396943,1.0171807,1.1874456,1.0297354,1.1568693,0.1271339
51,-1.1228585,-0.9477227,"('competent', 'incompetent')",-1.3530927,-1.6399696,-1.0080757,-0.92923844,-1.1613423,-1.1723102,-0.0109679
77,1.1183462,1.2951837,"('active', 'inactive')",0.9118817,0.892396,-0.16703266,0.1355392,0.6210651,0.774373,0.1533079
40,-1.10841,-0.9502562,"('honorable', 'mean')",-1.8417891,-1.8882518,-4.2521305,-4.7678967,-2.4007765,-2.5354683,-0.1346918
6,1.0821984,1.156692,"('liked', 'disliked')",1.1959091,1.105784,5.3650236,6.096146,2.5477104,2.7862072,0.2384968
70,1.0796863,1.3716118,"('wise', 'unwise')",1.3593647,1.3539491,0.54473263,0.7011552,0.9945946,1.1422387,0.1476441
37,1.0755231,1.3319354,"('good', 'evil')",1.2571528,1.3202358,0.49286473,0.84129107,0.9418468,1.1644874,0.2226406
57,-1.0751245,-1.1995785,"('able', 'unable')",-0.015109986,-0.18511274,0.0593369,-0.25344557,-0.3436325,-0.5460456,-0.2024131
66,1.0340066,0.7131499,"('imaginative', 'unimaginative')",0.656772,0.4033746,2.2718272,2.5957165,1.3208687,1.2374136,-0.0834551
104,-1.0240622,-0.52239525,"('conventional', 'unconventional')",-0.35707664,-0.25743937,-1.9808009,-1.5341582,-1.1206466,-0.771331,0.3493156
61,1.021485,1.2306168,"('rational', 'irrational')",0.29198068,0.5694271,-0.038253784,0.3145768,0.4250706,0.7048736,0.279803
27,-1.0132234,-1.042864,"('sincere', 'insincere')",-1.7303813,-1.7092849,-5.5226073,-6.089655,-2.7554042,-2.9472679,-0.1918637
68,-0.97791237,-1.1787903,"('clever', 'inept')",-0.6151593,-1.0606401,-1.0424271,-1.2003614,-0.8784996,-1.1465972,-0.2680976
102,0.9678816,0.98977435,"('eminent', 'low')",0.5999094,0.58118224,0.122178495,0.035024747,0.5633232,0.5353271,-0.0279961
28,-0.9285494,-0.7798375,"('honest', 'dishonest')",-1.4819896,-1.418749,-2.003744,-1.9941456,-1.4714276,-1.3975773,0.0738503
45,-0.9269236,-1.2122798,"('cooperative', 'exploitative')",-0.5765925,-0.8417339,-0.39809364,-0.7039892,-0.6338699,-0.9193343,-0.2854644
15,0.9042102,0.6339035,"('polite', 'impolite')",0.56929314,0.40296766,0.6217799,0.4249677,0.6984278,0.4872797,-0.2111481
105,-0.8872032,-0.544998,"('conventional', 'modern')",-0.92557406,-0.8026416,-1.6661363,-1.4693303,-1.1596378,-0.93899,0.2206478
24,-0.8829557,-0.7366978,"('thoughtful', 'rough')",-0.43290484,-0.39428762,-0.72542804,-0.7896048,-0.6804295,-0.6401967,0.0402328
18,-0.8714613,-1.1178154,"('social', 'asocial')",-0.8586395,-1.0507069,-0.16579749,-0.16191478,-0.6319661,-0.7768124,-0.1448463
67,-0.8543798,-0.5745222,"('discriminating', 'undiscriminating')",-1.2381709,-1.2996016,-0.6540328,-0.46824926,-0.9155278,-0.780791,0.1347368
103,0.8490703,1.0056272,"('traditional', 'modern')",-0.33891878,-0.33192325,1.1584588,1.1705776,0.5562034,0.6147605,0.0585571
17,-0.84092265,-0.76486754,"('social', 'antisocial')",-0.4478045,-0.26917753,-0.6274437,-0.30768198,-0.6387236,-0.4472423,0.1914813
20,0.83892596,1.0375582,"('popular', 'unpopular')",0.14285484,0.2729941,-0.22930019,-0.056058645,0.2508269,0.4181646,0.1673377
34,-0.83020306,-0.6239309,"('loyal', 'disloyal')",-0.44023037,-0.36403286,-1.7026329,-1.6845562,-0.9910221,-0.89084,0.1001821
56,-0.7972612,-0.751076,"('intelligent', 'dumb')",-0.5341638,-0.6419835,0.8302603,0.9888392,-0.1670549,-0.1347401,0.0323148
43,-0.7287692,-0.79213643,"('genuine', 'fake')",-0.51824707,-0.5525775,-1.1601462,-1.2609553,-0.8023875,-0.8685564,-0.0661689
31,-0.7069026,-0.40803936,"('altruistic', 'egoistic')",-1.0826757,-0.89840674,-0.9101298,-0.6928649,-0.8999027,-0.666437,0.2334657
100,-0.6864778,-0.7097747,"('influential', 'uninfluential')",-0.5207312,-0.56331587,-0.5467038,-0.34940785,-0.5846376,-0.5408328,0.0438048
47,-0.65156615,-0.49660343,"('forgiving', 'unforgiving')",-0.92207617,-0.9886196,-1.4862508,-1.239418,-1.0199644,-0.9082137,0.1117507
86,0.6313038,0.38912916,"('self-reliant', 'helpless')",-0.12087971,-0.123033226,3.1432326,3.2508416,1.2178856,1.1723125,-0.0455731
107,0.623207,0.46364868,"('conventional', 'modern')",-0.4937768,-0.47230107,0.68967044,0.7399618,0.2730335,0.2437698,-0.0292637
101,-0.58918214,-1.0591576,"('successful', 'unsuccessful')",-0.8680459,-0.8806394,-0.73182845,-0.8427732,-0.7296855,-0.9275234,-0.1978379
7,0.58500636,0.7392248,"('outgoing', 'distant')",0.49388716,0.4913705,-0.20366967,-0.0338282,0.2917413,0.3989224,0.1071811
89,0.5815738,0.18182123,"('daring', 'anxious')",0.76946384,0.46402857,0.3161372,0.13344534,0.5557249,0.259765,-0.2959599
32,-0.5735469,-0.34245694,"('benevolent', 'hardhearted')",-0.9093317,-0.9223795,-2.2964633,-2.0036745,-1.2597806,-1.0895036,0.170277
106,-0.5378825,-0.30230743,"('conventional', 'unconventional')",-0.24098969,-0.15337044,-0.6971152,-0.5466763,-0.4919958,-0.334118,0.1578778
55,0.5256303,0.52576035,"('intelligent', 'unintelligent')",0.6028352,0.5247952,-0.5363385,-0.58267593,0.1973756,0.1559598,-0.0414158
84,0.5177367,0.34089744,"('self-confident', 'diffident')",0.45107722,0.28324273,-1.1766766,-1.1656988,-0.0692876,-0.1805195,-0.1112319
58,-0.5071633,-0.43843603,"('able', 'clumsy')",-0.5916925,-0.5274923,-1.2971561,-1.404487,-0.7986706,-0.7901384,0.0085322
71,-0.50598705,-0.9381134,"('efficient', 'inefficient')",-0.9157911,-1.2913494,0.8209541,0.21557927,-0.2002747,-0.6712945,-0.4710198
97,-0.49049473,-0.32827568,"('superior', 'inferior')",-0.13360955,0.008334905,-0.6402383,-0.66790205,-0.4214475,-0.3292809,0.0921666
41,0.48327625,1.0025579,"('incorrupt', 'corrupt')",0.51711977,0.85382724,-0.52736115,-0.051536918,0.1576783,0.6016161,0.4439378
83,-0.46651646,-0.5964246,"('energetic', 'lethargic')",-0.8761523,-1.1395998,-0.7616977,-0.8256713,-0.7014555,-0.8538985,-0.152443
110,-0.46156967,-0.71337485,"('narrow-minded', 'open-minded')",-0.6975966,-0.8564273,-0.07402429,-0.09058915,-0.4110636,-0.5534638,-0.1424002
30,-0.45813537,-0.38356864,"('honest', 'dishonest')",-0.9014292,-1.0475404,-0.5995374,-0.66838735,-0.653034,-0.6998321,-0.0467981
23,-0.44970083,-0.47037256,"('hospitable', 'inhospitable')",0.3781563,0.24427658,0.07055569,0.101210594,-0.0003296,-0.0416285,-0.0412989
12,-0.44451442,-0.5062166,"('sympathetic', 'unsympathetic')",-0.7707581,-0.96368515,-0.83673424,-1.0271025,-0.6840022,-0.8323348,-0.1483326
44,0.43936384,0.4138279,"('truthful', 'untruthful')",-0.07979064,-0.1721012,-0.71011317,-0.8336806,-0.1168467,-0.197318,-0.0804713
80,-0.43682808,-0.27088737,"('independent', 'dependent')",-0.182017,-0.1716431,0.978474,0.91619396,0.1198763,0.1578878,0.0380115
33,-0.41592252,-0.49886948,"('softhearted', 'hardhearted')",-1.1789356,-1.07387,-1.7123051,-1.537438,-1.1023877,-1.0367258,0.0656619
85,-0.4136753,-0.66656375,"('ambitious', 'unambitious')",-0.33657697,-0.38967502,-0.23867625,-0.31452572,-0.3296428,-0.4569215,-0.1272787
9,-0.40818235,-0.49142855,"('sensitive', 'insensitive')",-1.0503801,-1.1274207,-1.0152124,-1.178594,-0.8245916,-0.9324811,-0.1078895
29,-0.40096366,-0.22317812,"('honest', 'immoral')",-0.48158008,-0.41088405,-1.0203424,-1.2068255,-0.6342954,-0.6136292,0.0206662
59,0.39842466,0.51100284,"('skillful', 'clumsy')",0.5874908,0.5948091,0.20862103,0.25842828,0.3981788,0.4547467,0.0565679
14,0.38644713,0.09106773,"('supportive', 'unsupportive')",0.5474294,0.2789069,1.0834336,1.1221855,0.6724367,0.4973867,-0.17505
82,-0.3816614,-0.077078454,"('industrious', 'meek')",-0.05109915,0.20653282,0.6714799,0.86504,0.0795731,0.3314981,0.251925
2,-0.38106757,-0.6161113,"('friendly', 'unfriendly')",-0.40277103,-0.5460327,-0.043615818,-0.38884202,-0.2758181,-0.5169953,-0.2411772
69,0.37033522,0.49785465,"('wise', 'foolish')",-0.40369213,-0.22836037,-0.283979,-0.21392184,-0.1057786,0.0185242,0.1243028
99,-0.366746,-0.13642341,"('prestigious', 'insignificant')",0.1443811,0.11538981,-0.6036911,-0.31558704,-0.275352,-0.1122069,0.1631451
76,0.34349638,0.29955,"('secure', 'insecure')",0.41134462,0.35219604,0.81680435,0.5357162,0.5238818,0.3958207,-0.1280611
96,-0.3407759,-0.32692432,"('powerful', 'powerless')",0.19585139,0.19944859,0.6519344,0.54206884,0.1690033,0.1381977,-0.0308056
