,Boston_male,Boston_female,tuple,Scientific_male,Scientific_female,average_male,average_female,female-male
75,5.5043154,5.3896613,"('confident', 'shy')",6.649988,6.667966,6.0771518,6.0288134,-0.0483384
95,-4.648567,-4.527571,"('rich', 'poor')",-5.8454742,-5.963718,-5.2470207,-5.2456446,0.0013761
27,-4.6032586,-4.6868124,"('sincere', 'insincere')",-5.9092474,-5.9688177,-5.2562532,-5.3278151,-0.0715619
6,4.2536054,4.343322,"('liked', 'disliked')",6.106726,6.338091,5.1801658,5.3407063,0.1605405
53,-3.8742752,-3.6808276,"('smart', 'stupid')",-4.9944615,-5.263092,-4.4343681,-4.4719601,-0.037592
40,-3.4206703,-3.4195824,"('honorable', 'mean')",-4.940948,-5.129868,-4.180809,-4.274725,-0.093916
50,2.6180708,2.4205441,"('unprejudiced', 'prejudiced')",1.6253083,1.5424886,2.1216896,1.9815164,-0.1401732
86,2.3971543,2.3103786,"('self-reliant', 'helpless')",2.880121,2.9130735,2.6386375,2.611726,-0.0269115
28,-2.23605,-2.2689342,"('honest', 'dishonest')",-1.52672,-1.6052997,-1.881385,-1.937117,-0.055732
32,-1.9149811,-1.617134,"('benevolent', 'hardhearted')",-2.0787776,-1.7783561,-1.9968793,-1.6977451,0.2991342
11,-1.9095533,-1.9130454,"('caring', 'unaffectionate')",-1.7121277,-1.7167194,-1.8108405,-1.8148824,-0.0040419
87,-1.7561585,-1.6868,"('dedicated', 'undedicated')",-0.5861825,-0.46269697,-1.1711705,-1.0747485,0.096422
3,1.7319667,1.6218938,"('likable', 'unlikable')",2.1697807,2.2767007,1.9508737,1.9492972,-0.0015765
104,-1.606127,-1.2919397,"('conventional', 'unconventional')",-1.3991207,-1.170934,-1.5026238,-1.2314368,0.271187
1,-1.5427247,-1.4665328,"('friendly', 'unfriendly')",-1.8544742,-1.6762197,-1.6985995,-1.5713763,0.1272232
72,-1.5200154,-1.3294218,"('logical', 'illogical')",-1.1098619,-0.9652685,-1.3149385,-1.1473451,0.1675934
100,-1.4962943,-1.2415333,"('influential', 'uninfluential')",-0.49638632,-0.4209628,-0.9963403,-0.831248,0.1650923
13,-1.4808519,-1.5997165,"('helpful', 'unhelpful')",-2.477356,-2.401779,-1.9791039,-2.0007477,-0.0216438
74,-1.4393537,-1.4851449,"('insightful', 'unperceptive')",-0.5699662,-0.6299212,-1.0046599,-1.057533,-0.0528731
29,-1.4285145,-1.5529301,"('honest', 'immoral')",-1.2461818,-1.3881183,-1.3373482,-1.4705242,-0.133176
66,1.423214,1.541445,"('imaginative', 'unimaginative')",2.2079859,2.2185245,1.8155999,1.8799847,0.0643848
58,-1.3998884,-1.2758516,"('able', 'clumsy')",-1.2670369,-1.171504,-1.3334627,-1.2236779,0.1097848
