,The_male,The_female,tuple,Cooper_male,Cooper_female,Companies_male,Companies_female,average_male,average_female,female-male
75,4.3050885,4.565819,"('confident', 'shy')",6.8223367,6.4004955,2.2895617,2.1724315,4.4723288,4.3795821,-0.0927467
6,4.1917887,4.560694,"('liked', 'disliked')",6.3319235,5.7995777,2.682754,2.5281982,4.4021556,4.2961566,-0.105999
27,-4.009084,-4.5248523,"('sincere', 'insincere')",-6.1380277,-5.7714853,-3.321486,-3.0776649,-4.4895325,-4.4580008,0.0315317
95,-3.7260904,-4.1762185,"('rich', 'poor')",-5.0512695,-4.6299706,-3.571756,-3.2548194,-4.1163718,-4.0203362,0.0960356
53,-3.3063726,-3.7403588,"('smart', 'stupid')",-4.752794,-4.3726735,-2.7192702,-2.7145896,-3.5928122,-3.6092072,-0.016395
40,-3.085608,-3.6338933,"('honorable', 'mean')",-4.472378,-4.461778,-2.72748,-2.8363996,-3.4284884,-3.6440239,-0.2155355
42,1.8291256,2.229659,"('amicable', 'hostile')",0.15739018,0.1798693,0.84677243,0.97554046,0.9444294,1.1283562,0.1839268
23,1.820852,1.815349,"('hospitable', 'inhospitable')",0.5263579,0.34479195,1.0256376,0.84970987,1.1242825,1.0032837,-0.1209988
9,-1.7536774,-1.938864,"('sensitive', 'insensitive')",-1.1259975,-0.97557354,-1.1024244,-1.1040051,-1.3273664,-1.3394809,-0.0121145
70,1.7089274,1.6607313,"('wise', 'unwise')",0.5364476,0.4573259,0.66907734,0.74323493,0.9714841,0.953764,-0.0177201
73,-1.6872829,-2.0360541,"('brilliant', 'incompetent')",-0.19704442,-0.37659028,-2.1523128,-2.1464186,-1.3455467,-1.5196877,-0.174141
78,1.6697745,1.499747,"('active', 'inactive')",1.7640386,1.4951749,1.015968,0.7731189,1.4832603,1.2560136,-0.2272467
3,1.6365995,1.6139681,"('likable', 'unlikable')",2.1549802,1.7137829,0.33496863,0.3207354,1.3755161,1.2161622,-0.1593539
64,-1.6307495,-1.9242177,"('clever', 'incompetent')",-0.07814726,-0.15346307,-1.1991642,-0.9023483,-0.9693537,-0.993343,-0.0239893
38,-1.6288553,-1.6374117,"('kind', 'unkind')",-1.4313194,-0.9835135,-1.8440039,-1.5117915,-1.6347262,-1.3775722,0.257154
2,-1.5946795,-1.7480435,"('friendly', 'unfriendly')",-0.6038506,-0.38574576,-0.9283774,-0.7194308,-1.0423025,-0.9510733,0.0912292
49,-1.5886972,-1.8793418,"('responsible', 'irresponsible')",-0.8868588,-0.79928756,-1.3466245,-1.4299552,-1.2740601,-1.3695281,-0.095468
86,1.5837935,1.7823198,"('self-reliant', 'helpless')",3.1525347,2.921761,1.0822918,0.92458254,1.9395399,1.876221,-0.0633189
83,-1.5581336,-1.8096535,"('energetic', 'lethargic')",-0.89399976,-0.8731197,-0.854165,-0.801782,-1.1020995,-1.1615184,-0.0594189
25,-1.5340288,-1.825893,"('moral', 'immoral')",-0.27006572,-0.5539313,-0.8581176,-0.70048696,-0.887404,-1.0267704,-0.1393664
28,-1.5043955,-1.5590703,"('honest', 'dishonest')",-1.7767501,-1.5084091,-1.1593144,-1.0148294,-1.4801534,-1.3607696,0.1193838
