,Home_male,Home_female,tuple,Depot_male,Depot_female,average_male,average_female,female-male
75,6.2105594,5.8309183,"('confident', 'shy')",4.788951,4.683817,5.4997549,5.2573676,-0.2423873
95,-5.6641803,-5.364123,"('rich', 'poor')",-3.8243227,-3.9442654,-4.7442513,-4.6541939,0.0900574
27,-5.271977,-5.0631723,"('sincere', 'insincere')",-4.979125,-5.0230393,-5.1255512,-5.0431061,0.0824451
6,4.988351,4.5405993,"('liked', 'disliked')",4.5060897,4.62208,4.74722,4.5813398,-0.1658802
53,-4.487975,-4.36139,"('smart', 'stupid')",-3.6680841,-3.7752335,-4.0780296,-4.0683117,0.0097179
40,-4.1964645,-4.2680836,"('honorable', 'mean')",-3.289163,-3.5407276,-3.7428138,-3.9044056,-0.1615918
86,2.3151264,2.1946013,"('self-reliant', 'helpless')",2.3723116,2.2878401,2.343719,2.2412207,-0.1024983
11,-2.1838396,-2.3238451,"('caring', 'unaffectionate')",-1.2248065,-1.146723,-1.7043231,-1.7352841,-0.030961
87,-2.1222448,-2.1138914,"('dedicated', 'undedicated')",-0.9333126,-0.90737855,-1.5277787,-1.5106349,0.0171438
13,-2.1181095,-2.2038848,"('helpful', 'unhelpful')",-2.6446478,-2.7864892,-2.3813787,-2.495187,-0.1138083
38,-2.0647182,-1.851618,"('kind', 'unkind')",-1.4816446,-1.2736955,-1.7731814,-1.5626568,0.2105246
48,1.9566797,1.7617481,"('reliable', 'unreliable')",1.682296,1.4917755,1.8194878,1.6267618,-0.192726
50,1.9441559,1.960409,"('unprejudiced', 'prejudiced')",1.5517296,1.3608577,1.7479427,1.6606333,-0.0873094
33,-1.8876905,-1.4853961,"('softhearted', 'hardhearted')",-0.45656353,-0.37732255,-1.172127,-0.9313594,0.2407676
90,1.8673123,1.5351468,"('motivated', 'unmotivated')",0.2796729,0.19091432,1.0734926,0.8630306,-0.210462
34,-1.8056479,-1.5561862,"('loyal', 'disloyal')",-2.151661,-1.886246,-1.9786544,-1.7212161,0.2574383
51,-1.7834437,-1.8163463,"('competent', 'incompetent')",-0.6359196,-0.8296109,-1.2096816,-1.3229786,-0.113297
30,-1.6341547,-1.7902713,"('honest', 'dishonest')",-0.578456,-0.7078221,-1.1063054,-1.2490467,-0.1427413
109,1.5984062,1.5949925,"('conservative', 'liberal')",-0.024620458,-0.1079068,0.7868929,0.7435429,-0.04335
108,1.5984062,1.5949925,"('conservative', 'liberal')",-0.024620458,-0.1079068,0.7868929,0.7435429,-0.04335
32,-1.5928854,-1.5431421,"('benevolent', 'hardhearted')",-1.3639641,-1.3371234,-1.4784248,-1.4401327,0.0382921
78,1.568274,1.250902,"('active', 'inactive')",1.5457308,1.3644896,1.5570024,1.3076959,-0.2493065
58,-1.5613688,-1.3163627,"('able', 'clumsy')",-1.0976479,-1.0181446,-1.3295083,-1.1672537,0.1622546
49,-1.5119585,-1.6950643,"('responsible', 'irresponsible')",-1.4589607,-1.765002,-1.4854596,-1.7300332,-0.2445736
103,1.461807,1.2824466,"('traditional', 'modern')",1.3002033,1.1920667,1.3810052,1.2372566,-0.1437486
101,-1.4583267,-1.4988363,"('successful', 'unsuccessful')",-0.23959544,-0.3325256,-0.8489611,-0.9156809,-0.0667198
1,-1.436322,-1.4449818,"('friendly', 'unfriendly')",-1.6015911,-1.3235364,-1.5189565,-1.3842591,0.1346974
29,-1.4011707,-1.4971972,"('honest', 'immoral')",-0.95504093,-1.0542436,-1.1781058,-1.2757204,-0.0976146
80,1.3363732,1.3824453,"('independent', 'dependent')",1.7970703,1.8140802,1.5667217,1.5982628,0.0315411
35,1.3050947,1.2363396,"('fair', 'unfair')",0.7929092,0.9859499,1.0490019,1.1111448,0.0621429
