,Deere_male,Deere_female,tuple,&_male,&_female,Co._male,Co._female,average_male,average_female,female-male
75,2.7489963,2.6283529,"('confident', 'shy')",4.361018,4.5026517,1.146178,1.2759315,2.7520641,2.8023119,0.0502478
104,-2.0233078,-2.0609002,"('conventional', 'unconventional')",-0.8351057,-0.5749416,-0.26467258,-0.38694936,-1.0410287,-1.007597,0.0334317
15,1.7576452,1.8504691,"('polite', 'impolite')",0.98071355,1.0655968,0.80134755,0.7854535,1.1799021,1.2338398,0.0539377
84,-1.681176,-1.9050531,"('self-confident', 'diffident')",0.119012654,-0.027711093,0.05074814,-0.2574623,-0.5038051,-0.7300755,-0.2262704
34,-1.6741514,-1.3613744,"('loyal', 'disloyal')",-1.4374508,-1.1385919,-0.22233976,-0.25742662,-1.1113141,-0.919131,0.1921831
105,-1.5854895,-1.6876185,"('conventional', 'modern')",-1.3557854,-1.2913095,-0.38511908,-0.67439973,-1.108798,-1.217776,-0.108978
109,1.5754845,1.6017333,"('conservative', 'liberal')",2.0191998,2.2564962,-0.5143615,-0.45689148,1.0267742,1.1337794,0.1070052
108,1.5754845,1.6017333,"('conservative', 'liberal')",2.0191998,2.2564962,-0.5143615,-0.45689148,1.0267742,1.1337794,0.1070052
50,1.5385016,1.4795419,"('unprejudiced', 'prejudiced')",2.4496393,2.367041,1.1200082,1.1094124,1.7027165,1.6519985,-0.050718
39,-1.5364561,-1.8081746,"('right', 'wrong')",0.786576,0.6752243,0.36759824,0.5405836,-0.1274273,-0.1974556,-0.0700283
8,-1.5308487,-1.7977779,"('open', 'distant')",-1.6857467,-1.8954618,1.1789284,1.1773543,-0.6792223,-0.8386285,-0.1594062
41,-1.5066975,-1.4730953,"('incorrupt', 'corrupt')",0.081804395,0.09784329,0.610464,0.973431,-0.2714764,-0.1339403,0.1375361
53,-1.4643646,-1.2577643,"('smart', 'stupid')",-2.6300611,-2.5211806,-0.64621776,-0.44082385,-1.5802145,-1.4065897,0.1736248
99,-1.4587386,-1.845242,"('prestigious', 'insignificant')",-0.93465394,-1.3091881,1.7651256,1.518016,-0.2094223,-0.5454714,-0.3360491
98,-1.4324285,-1.711543,"('prestigious', 'insignificant')",-0.75881976,-1.1497474,1.0843332,1.2784976,-0.3689717,-0.5275976,-0.1586259
71,1.2781597,1.2179422,"('efficient', 'inefficient')",-0.15187824,-0.23354709,-0.4313532,-0.85643667,0.2316428,0.0426528,-0.18899
63,-1.2408038,-1.3420589,"('capable', 'incapable')",-0.65003437,-0.85764754,0.6741212,0.69003206,-0.4055723,-0.5032248,-0.0976525
16,1.2384974,1.500037,"('social', 'antisocial')",0.3824269,0.6116088,-0.8903283,-0.9875123,0.243532,0.3747111,0.1311791
94,1.2010067,1.4992821,"('aggressive', 'submissive')",0.95377517,1.0504544,0.12897593,-0.01469028,0.7612526,0.8450154,0.0837628
10,-1.1794355,-1.1156263,"('affectionate', 'unaffectionate')",-0.13022053,-0.12991127,0.74669355,1.0206751,-0.1876542,-0.0749542,0.1127
40,-1.1702049,-1.3416122,"('honorable', 'mean')",-3.3631577,-3.5979955,-0.934149,-1.2844493,-1.8225037,-2.0746857,-0.252182
3,1.1694064,0.9347826,"('likable', 'unlikable')",0.63658047,0.41305497,-0.26714647,-0.39836508,0.5129468,0.3164908,-0.196456
92,-1.1662562,-1.1318369,"('unwavering', 'wavering')",-1.3427869,-1.4157473,1.8987689,1.9098011,-0.2034248,-0.2125943,-0.0091695
32,-1.1002744,-0.8643637,"('benevolent', 'hardhearted')",-1.6935306,-1.3148377,-1.6480328,-1.6522583,-1.4806126,-1.2771532,0.2034594
11,-1.0919912,-1.1018587,"('caring', 'unaffectionate')",-1.1255009,-1.1691706,0.4530992,0.4254226,-0.588131,-0.6152023,-0.0270713
81,-1.0797265,-1.6172322,"('industrious', 'lazy')",1.0677396,0.93206155,-0.13418011,0.1489571,-0.0487223,-0.1787378,-0.1300155
95,-1.0698708,-0.80817866,"('rich', 'poor')",-4.522055,-4.708227,-0.71887136,-0.8515213,-2.1035992,-2.1226425,-0.0190433
68,-1.0566024,-0.99630696,"('clever', 'inept')",-1.2612541,-1.2794638,-0.09563008,-0.525753,-0.8044955,-0.9338412,-0.1293457
31,-1.0340506,-1.3103386,"('altruistic', 'egoistic')",-0.5368643,-0.654704,-0.22186688,-0.16705295,-0.5975939,-0.7106985,-0.1131046
25,1.0136299,0.76794124,"('moral', 'immoral')",-0.15499687,-0.11594057,-0.04815589,-0.52000624,0.270159,0.0439981,-0.2261609
73,1.0097443,1.0289583,"('brilliant', 'incompetent')",0.59921503,0.37608182,-0.7445885,-1.1543865,0.2881236,0.0835512,-0.2045724
69,-0.9964678,-1.0708284,"('wise', 'foolish')",-0.45903856,-0.70321673,0.51515245,0.97690517,-0.3134513,-0.2657134,0.0477379
5,0.9780979,1.0013497,"('pleasant', 'repellent')",0.23307134,0.2290945,-0.11316006,-0.2844493,0.3660031,0.3153316,-0.0506715
62,-0.9656365,-0.9056672,"('creative', 'uncreative')",-2.2667456,-2.3764453,0.074475765,-0.17892143,-1.0526354,-1.153678,-0.1010426
1,-0.9632094,-1.1507759,"('friendly', 'unfriendly')",-1.9249371,-2.0063403,-0.024646223,-0.116460025,-0.9709309,-1.0911921,-0.1202612
52,0.937181,1.2923108,"('competitive', 'uncompetitive')",-0.0034922361,0.08378959,-0.47779113,-0.80448294,0.1519659,0.1905392,0.0385733
6,0.9072339,0.8376248,"('liked', 'disliked')",4.5766025,4.447633,1.0549039,1.0749594,2.1795801,2.1200722,-0.0595079
2,0.90518165,1.1861874,"('friendly', 'unfriendly')",0.20569074,0.5273682,-1.0228645,-0.954197,0.029336,0.2531195,0.2237835
