,Facebook_male,Facebook_female,tuple,average_male,average_female,female-male
75,6.003266,5.849146,"('confident', 'shy')",6.0032659,5.8491459,-0.15412
27,-5.2579165,-5.1749725,"('sincere', 'insincere')",-5.2579165,-5.1749725,0.082944
6,5.115464,4.894629,"('liked', 'disliked')",5.1154642,4.894629,-0.2208352
95,-4.8154488,-4.8556137,"('rich', 'poor')",-4.8154488,-4.8556137,-0.0401649
40,-4.408128,-4.3879843,"('honorable', 'mean')",-4.4081278,-4.3879843,0.0201435
53,-3.59054,-3.5342574,"('smart', 'stupid')",-3.5905399,-3.5342574,0.0562825
48,2.95795,2.7344918,"('reliable', 'unreliable')",2.9579501,2.7344918,-0.2234583
1,-2.86525,-2.704214,"('friendly', 'unfriendly')",-2.8652501,-2.7042141,0.161036
11,-2.6187546,-2.6619778,"('caring', 'unaffectionate')",-2.6187546,-2.6619778,-0.0432232
50,2.5009434,2.4583693,"('unprejudiced', 'prejudiced')",2.5009434,2.4583693,-0.0425741
86,2.2190576,1.9804426,"('self-reliant', 'helpless')",2.2190576,1.9804426,-0.238615
105,-2.186006,-2.1566565,"('conventional', 'modern')",-2.1860061,-2.1566565,0.0293496
13,-2.1853251,-2.2894263,"('helpful', 'unhelpful')",-2.1853251,-2.2894263,-0.1041012
32,-2.126974,-1.9631112,"('benevolent', 'hardhearted')",-2.1269741,-1.9631112,0.1638629
62,-1.9757833,-1.8344313,"('creative', 'uncreative')",-1.9757833,-1.8344313,0.141352
3,1.9190474,1.8053455,"('likable', 'unlikable')",1.9190474,1.8053455,-0.1137019
66,1.7599473,1.6325395,"('imaginative', 'unimaginative')",1.7599473,1.6325395,-0.1274078
104,-1.7118628,-1.4754146,"('conventional', 'unconventional')",-1.7118628,-1.4754146,0.2364482
10,-1.6364949,-1.6491177,"('affectionate', 'unaffectionate')",-1.6364949,-1.6491177,-0.0126228
8,-1.6097814,-1.6062,"('open', 'distant')",-1.6097814,-1.6062,0.0035814
56,1.4776437,1.3826435,"('intelligent', 'dumb')",1.4776437,1.3826435,-0.0950002
55,-1.4548967,-1.3562254,"('intelligent', 'unintelligent')",-1.4548967,-1.3562254,0.0986713
7,-1.4509389,-1.4749905,"('outgoing', 'distant')",-1.4509389,-1.4749905,-0.0240516
93,1.4450419,1.5454997,"('dominating', 'dominated')",1.4450419,1.5454997,0.1004578
63,-1.4413115,-1.536904,"('capable', 'incapable')",-1.4413115,-1.536904,-0.0955925
84,-1.4366267,-1.5298018,"('self-confident', 'diffident')",-1.4366267,-1.5298018,-0.0931751
72,-1.4231403,-1.1445915,"('logical', 'illogical')",-1.4231403,-1.1445915,0.2785488
74,-1.3976576,-1.5196412,"('insightful', 'unperceptive')",-1.3976576,-1.5196412,-0.1219836
28,-1.3837742,-1.2929243,"('honest', 'dishonest')",-1.3837742,-1.2929243,0.0908499
68,-1.3831515,-1.4900441,"('clever', 'inept')",-1.3831515,-1.4900441,-0.1068926
24,-1.3665583,-1.1902223,"('thoughtful', 'rough')",-1.3665583,-1.1902223,0.176336
100,-1.3256315,-1.1298748,"('influential', 'uninfluential')",-1.3256315,-1.1298748,0.1957567
81,1.2994739,1.3776015,"('industrious', 'lazy')",1.2994739,1.3776015,0.0781276
34,-1.284375,-1.140475,"('loyal', 'disloyal')",-1.284375,-1.140475,0.1439
49,-1.2772081,-1.4197574,"('responsible', 'irresponsible')",-1.2772081,-1.4197574,-0.1425493
107,1.2212498,1.056446,"('conventional', 'modern')",1.2212498,1.056446,-0.1648038
33,-1.2140757,-1.035885,"('softhearted', 'hardhearted')",-1.2140757,-1.035885,0.1781907
38,-1.2029793,-1.0852816,"('kind', 'unkind')",-1.2029793,-1.0852816,0.1176977
99,-1.1464112,-1.0557264,"('prestigious', 'insignificant')",-1.1464112,-1.0557264,0.0906848
29,-1.1450553,-1.2083294,"('honest', 'immoral')",-1.1450553,-1.2083294,-0.0632741
90,1.1271805,1.0145286,"('motivated', 'unmotivated')",1.1271805,1.0145286,-0.1126519
87,-1.0757016,-1.0475996,"('dedicated', 'undedicated')",-1.0757016,-1.0475996,0.028102
65,-1.0377387,-1.1798693,"('practical', 'impractical')",-1.0377387,-1.1798693,-0.1421306
15,0.9708594,1.0495824,"('polite', 'impolite')",0.9708594,1.0495824,0.078723
52,0.9634863,0.9306831,"('competitive', 'uncompetitive')",0.9634863,0.9306831,-0.0328032
110,0.954631,0.8384421,"('narrow-minded', 'open-minded')",0.954631,0.8384421,-0.1161889
106,-0.95163316,-0.7589543,"('conventional', 'unconventional')",-0.9516332,-0.7589543,0.1926789
88,0.9493022,0.7383689,"('impulsive', 'meek')",0.9493022,0.7383689,-0.2109333
80,0.8831799,0.9378644,"('independent', 'dependent')",0.8831799,0.9378644,0.0546845
94,0.87272316,0.7891983,"('aggressive', 'submissive')",0.8727232,0.7891983,-0.0835249
31,-0.820626,-0.57440233,"('altruistic', 'egoistic')",-0.820626,-0.5744023,0.2462237
59,0.7807074,0.755939,"('skillful', 'clumsy')",0.7807074,0.755939,-0.0247684
2,0.771873,0.8093319,"('friendly', 'unfriendly')",0.771873,0.8093319,0.0374589
36,-0.7571798,-0.74998975,"('tolerant', 'intolerant')",-0.7571798,-0.7499897,0.0071901
46,0.7386962,0.91995937,"('generous', 'stingy')",0.7386962,0.9199594,0.1812632
60,0.73249674,0.8326792,"('educated', 'uneducated')",0.7324967,0.8326792,0.1001825
54,0.68719846,0.74513274,"('smart', 'stupid')",0.6871985,0.7451327,0.0579342
78,0.6870656,0.6957441,"('active', 'inactive')",0.6870656,0.6957441,0.0086785
44,-0.6803833,-0.873978,"('truthful', 'untruthful')",-0.6803833,-0.873978,-0.1935947
97,-0.67740905,-0.5999721,"('superior', 'inferior')",-0.6774091,-0.5999721,0.077437
82,0.657881,0.6781696,"('industrious', 'meek')",0.657881,0.6781696,0.0202886
103,0.6526005,0.7291023,"('traditional', 'modern')",0.6526005,0.7291023,0.0765018
77,0.614251,0.6765913,"('active', 'inactive')",0.614251,0.6765913,0.0623403
92,-0.6112333,-0.64324594,"('unwavering', 'wavering')",-0.6112333,-0.6432459,-0.0320126
73,-0.5974593,-0.8395078,"('brilliant', 'incompetent')",-0.5974593,-0.8395078,-0.2420485
109,0.54045296,0.6400124,"('conservative', 'liberal')",0.540453,0.6400124,0.0995594
