,PNC_male,PNC_female,tuple,Financial_male,Financial_female,Services_male,Services_female,average_male,average_female,female-male
50,-3.2169256,-3.1671307,"('rich', 'poor')",-4.9555182,-5.005241,-5.2121115,-5.1592436,-4.461518287658691,-4.443871815999349,0.017646471659342744
3,2.2789092,2.0518208,"('liked', 'disliked')",3.8609788,3.780088,3.5095701,3.3903651,3.2164859771728516,3.0740912755330405,-0.14239470163981105
30,-2.1955628,-2.2233129,"('smart', 'stupid')",-3.97077,-4.064867,-4.212247,-4.288864,-3.459526697794596,-3.525681177775065,-0.06615447998046875
19,-1.7343755,-1.192217,"('kind', 'unkind')",-2.1656148,-1.9688854,-3.0356448,-2.938733,-2.3118783632914224,-2.033278465270996,0.2785998980204263
44,1.4987271,0.9969429,"('active', 'inactive')",1.3243184,0.9712157,1.4159225,1.0410154,1.4129892985026042,1.0030579566955566,-0.4099313418070476
5,-1.4148698,-1.1569996,"('helpful', 'unhelpful')",-3.5039062,-3.4662828,-3.9658756,-3.8306804,-2.9615503946940103,-2.8179874420166016,0.1435629526774087
54,-1.4134847,-1.0784433,"('successful', 'unsuccessful')",-2.3131573,-2.0501547,-2.0649707,-1.9326594,-1.9305375417073567,-1.687085787455241,0.24345175425211574
36,-1.3112527,-1.197223,"('capable', 'incapable')",-1.4512379,-1.4955304,-0.53065455,-0.6711843,-1.0977150599161785,-1.1213125387827556,-0.02359747886657715
24,1.2174954,1.2750506,"('generous', 'stingy')",1.6302826,1.6759694,1.0864199,1.1989946,1.3113993008931477,1.3833382924397786,0.07193899154663086
48,-1.132676,-1.0020127,"('dedicated', 'undedicated')",-0.7629117,-0.67422163,-1.9269471,-1.84735,-1.2741782665252686,-1.1745281219482422,0.09965014457702637
41,1.0619175,0.52286327,"('confident', 'shy')",0.48727265,0.20050508,1.4588552,0.91956913,1.0026817321777344,0.5476458072662354,-0.455035924911499
37,-0.99293905,-0.7540282,"('practical', 'impractical')",-1.2109118,-1.1767757,-2.4160361,-2.4671054,-1.5399622917175293,-1.465969721476237,0.07399257024129224
33,-0.97027993,-0.75531465,"('educated', 'uneducated')",-1.0161536,-0.95379984,-1.3451992,-1.1105652,-1.110544204711914,-0.9398932456970215,0.17065095901489258
10,-0.8528837,-0.85484725,"('hospitable', 'inhospitable')",0.10289791,0.09303564,0.049918845,0.14456975,-0.2333556612332662,-0.20574728647867838,0.027608374754587828
49,0.841336,0.6646396,"('motivated', 'unmotivated')",0.13369894,0.033108085,1.1760154,0.82971823,0.7170167764027914,0.5091553131739298,-0.20786146322886156
23,0.83275276,0.90248424,"('truthful', 'untruthful')",0.29391378,0.29148227,-0.20314054,-0.21597612,0.30784199635187787,0.32599679629007977,0.018154799938201904
8,-0.7512406,-0.56772697,"('popular', 'unpopular')",-0.6268598,-0.34390366,-0.27997845,-0.19194782,-0.5526929696400961,-0.36785948276519775,0.1848334868748983
11,-0.7506522,-0.4837207,"('moral', 'immoral')",-1.610382,-1.5420434,-0.8961438,-1.2077974,-1.0857259432474773,-1.077853838602702,0.00787210464477539
6,0.70114946,0.61951506,"('supportive', 'unsupportive')",-0.32596123,-0.37409168,-0.5213933,-0.7508209,-0.04873502254486084,-0.16846583286921182,-0.11973081032435098
28,0.6945497,0.49606848,"('unprejudiced', 'prejudiced')",1.3874567,1.3604696,1.801063,1.4529591,1.2943565050760906,1.1031657059987385,-0.19119079907735204
21,0.61757135,0.64305717,"('incorrupt', 'corrupt')",1.1286366,1.2184505,1.6847067,1.8211176,1.1436382134755452,1.2275417645772297,0.08390355110168457
15,-0.5907924,-0.14393136,"('loyal', 'disloyal')",-2.0033224,-1.8231854,-2.7230024,-2.0889502,-1.7723724047342937,-1.3520223299662273,0.4203500747680664
40,-0.5466702,-0.35714948,"('logical', 'illogical')",-1.9052674,-1.7653806,-1.1651142,-0.99989367,-1.205683946609497,-1.040807882944743,0.16487606366475416
38,-0.51138353,-0.42136294,"('discriminating', 'undiscriminating')",-1.1249168,-1.0701456,-0.9224635,-0.7423264,-0.8529212474822998,-0.7446115811665853,0.10830966631571448
46,-0.47621143,-0.47672713,"('energetic', 'lethargic')",-0.29508966,-0.3657441,-1.4384882,-1.4370306,-0.736596425374349,-0.7598339716593424,-0.023237546284993416
22,0.44811442,0.42341474,"('amicable', 'hostile')",0.24520785,0.40468812,1.1196107,1.4477772,0.6043109893798828,0.7586266199747721,0.15431563059488929
17,-0.44600868,-0.4080339,"('tolerant', 'intolerant')",-0.70785254,-0.7253882,-0.96550846,-1.1262369,-0.7064565817515055,-0.7532196839650472,-0.04676310221354174
