,Northern_male,Northern_female,tuple,Trust_male,Trust_female,average_male,average_female,female-male
50,-4.57242,-4.7480206,"('rich', 'poor')",-4.987645,-5.4572744,-4.780032634735107,-5.10264778137207,-0.3226151466369629
3,4.190839,4.2813787,"('liked', 'disliked')",4.4409943,4.6788416,4.315916538238525,4.480110168457031,0.16419363021850586
30,-3.5155656,-3.4162579,"('smart', 'stupid')",-4.0697927,-4.367571,-3.7926793098449707,-3.8919143676757812,-0.09923505783081055
5,-1.8913255,-1.7675669,"('helpful', 'unhelpful')",-3.799532,-3.728816,-2.845428705215454,-2.7481913566589355,0.09723734855651855
26,1.8591964,1.7887585,"('reliable', 'unreliable')",1.412683,1.5976961,1.6359397172927856,1.6932272911071777,0.05728757381439209
22,1.7058235,1.6765803,"('amicable', 'hostile')",0.7088443,0.78492427,1.2073339223861694,1.2307522296905518,0.023418307304382324
49,1.5373664,1.3777611,"('motivated', 'unmotivated')",0.59616035,0.36073697,1.0667634010314941,0.8692490458488464,-0.1975143551826477
19,-1.4878181,-1.0392549,"('kind', 'unkind')",-3.0332627,-2.6642156,-2.26054048538208,-1.851735234260559,0.408805251121521
44,1.4863198,1.0496747,"('active', 'inactive')",1.7500788,1.3348005,1.618199348449707,1.1922376155853271,-0.4259617328643799
15,-1.4258345,-1.1554904,"('loyal', 'disloyal')",-1.9356959,-1.6583393,-1.680765151977539,-1.4069148302078247,0.27385032176971436
21,1.3959126,1.4223001,"('incorrupt', 'corrupt')",1.8133283,1.8732923,1.6046204566955566,1.6477961540222168,0.043175697326660156
14,-1.3146495,-1.2046738,"('honest', 'dishonest')",-2.0042436,-1.7718704,-1.6594464778900146,-1.4882720708847046,0.17117440700531006
41,1.0909128,0.91400665,"('confident', 'shy')",0.31507087,0.115781575,0.7029918432235718,0.5148941278457642,-0.18809771537780762
42,-1.060359,-0.88463885,"('secure', 'insecure')",-1.0099188,-0.82391465,-1.0351388454437256,-0.8542767763137817,0.18086206912994385
55,-1.0475802,-1.0452397,"('conventional', 'unconventional')",-0.67377096,-0.7410222,-0.860675573348999,-0.8931309580802917,-0.032455384731292725
37,-1.0414828,-0.8732078,"('practical', 'impractical')",-2.262109,-1.9942425,-1.6517958641052246,-1.433725118637085,0.21807074546813965
1,-1.0409746,-0.9086078,"('friendly', 'unfriendly')",-1.7611814,-1.7018938,-1.4010779857635498,-1.3052507638931274,0.09582722187042236
23,1.0290676,1.0708992,"('truthful', 'untruthful')",0.31005454,0.41482353,0.6695610880851746,0.7428613901138306,0.073300302028656
27,-1.0199617,-0.94873506,"('responsible', 'irresponsible')",-2.303323,-2.3325622,-1.66164231300354,-1.640648603439331,0.020993709564208984
24,0.8622283,0.9155868,"('generous', 'stingy')",1.7172954,2.0128098,1.2897617816925049,1.464198350906372,0.1744365692138672
4,-0.82453036,-0.7906634,"('sensitive', 'insensitive')",-2.2622957,-2.173204,-1.5434130430221558,-1.4819337129592896,0.06147933006286621
28,0.82429844,0.64368284,"('unprejudiced', 'prejudiced')",2.0271802,2.0901492,1.4257392883300781,1.3669159412384033,-0.058823347091674805
10,0.8128113,0.60516924,"('hospitable', 'inhospitable')",0.8230863,0.67732,0.8179488182067871,0.641244649887085,-0.17670416831970215
31,-0.79214966,-0.71221465,"('intelligent', 'unintelligent')",-0.83052,-0.85193527,-0.8113348484039307,-0.7820749282836914,0.029259920120239258
18,0.7514666,0.48557672,"('good', 'evil')",2.0579538,1.9042995,1.4047101736068726,1.194938063621521,-0.20977210998535156
8,0.7258328,0.858112,"('popular', 'unpopular')",0.43045545,0.2752369,0.5781441330909729,0.5666744709014893,-0.011469662189483643
7,0.7222903,1.0444285,"('polite', 'impolite')",-0.4268576,-0.11728047,0.14771634340286255,0.46357399225234985,0.3158576488494873
13,-0.70164275,-0.50876564,"('sincere', 'insincere')",-0.5389063,-0.33418366,-0.620274543762207,-0.4214746356010437,0.19879990816116333
57,0.64258754,0.8130425,"('conservative', 'liberal')",0.18423694,0.31258988,0.4134122431278229,0.5628162026405334,0.14940395951271057
33,-0.62326443,-0.50306135,"('educated', 'uneducated')",-0.7907578,-0.806947,-0.7070111036300659,-0.6550041437149048,0.05200695991516113
56,-0.61872303,-0.6953239,"('conventional', 'unconventional')",0.13172714,-0.013609946,-0.24349793791770935,-0.35446691513061523,-0.11096897721290588
11,-0.597307,-0.4858564,"('moral', 'immoral')",-1.466924,-1.4205536,-1.0321154594421387,-0.9532049894332886,0.0789104700088501
45,0.58940125,0.692757,"('independent', 'dependent')",2.1851733,2.0050223,1.3872872591018677,1.3488895893096924,-0.03839766979217529
34,0.5742327,0.61196536,"('rational', 'irrational')",1.2425095,1.3962811,0.908371090888977,1.0041232109069824,0.09575212001800537
9,0.54446113,0.4497478,"('nice', 'nasty')",-0.6630926,-0.62480295,-0.05931574106216431,-0.0875275731086731,-0.02821183204650879
35,-0.5212047,-0.4808612,"('creative', 'uncreative')",-0.6936164,-0.6057117,-0.6074105501174927,-0.5432864427566528,0.06412410736083984
29,-0.5080664,-0.39893806,"('competent', 'incompetent')",-0.7735517,-0.7397206,-0.6408090591430664,-0.5693293213844299,0.07147973775863647
46,-0.47788322,-0.418195,"('energetic', 'lethargic')",-0.565789,-0.6128303,-0.5218361020088196,-0.5155126452445984,0.006323456764221191
36,-0.47665346,-0.69211656,"('capable', 'incapable')",-0.5608492,-0.7466768,-0.518751323223114,-0.719396710395813,-0.20064538717269897
