,Federal_male,Federal_female,tuple,Realty_male,Realty_female,Investment_male,Investment_female,Trust_male,Trust_female,average_male,average_female,female-male
27,-5.884736,-5.8030024,"('sincere', 'insincere')",-1.5993001,-1.338414,-4.3075085,-4.0842485,-5.3874807,-5.391058,-4.2947564,-4.1541805,0.1405759
75,5.7624006,5.773192,"('confident', 'shy')",2.3716679,2.1912017,3.0000622,2.6839466,3.9800124,4.0228157,3.7785358,3.667789,-0.1107468
95,-4.5183544,-4.3782125,"('rich', 'poor')",-1.5018923,-1.4064237,-3.398446,-3.2552524,-3.3650928,-3.5684896,-3.1959462,-3.1520944,0.0438518
53,-4.4535675,-4.523777,"('smart', 'stupid')",-1.8461194,-1.7239461,-3.2706165,-3.1238961,-3.6725423,-3.8440123,-3.3107114,-3.3039079,0.0068035
6,4.223042,4.3237486,"('liked', 'disliked')",0.63516897,0.458578,2.9176016,2.655542,4.0156813,4.126485,2.9478736,2.8910885,-0.0567851
40,-4.1085286,-4.203786,"('honorable', 'mean')",-1.7537841,-1.7932565,-3.3151486,-3.3967192,-4.087205,-4.3040175,-3.3161666,-3.4244447,-0.1082781
38,-2.6502872,-2.4185326,"('kind', 'unkind')",-0.059245348,0.11520153,-1.0332578,-0.86910856,-2.2595034,-2.112723,-1.5005734,-1.3212907,0.1792827
13,-2.6357145,-2.5487766,"('helpful', 'unhelpful')",-0.5223657,-0.46601182,-2.0322008,-2.0343633,-2.9811015,-3.0279245,-2.0428457,-2.019269,0.0235767
34,-2.4631739,-2.266161,"('loyal', 'disloyal')",0.28348067,0.6003692,-1.5410261,-1.300946,-1.5270597,-1.3925273,-1.3119447,-1.0898163,0.2221284
86,2.384977,2.3002565,"('self-reliant', 'helpless')",-0.14181757,-0.2593621,1.5100436,1.4256859,2.26378,2.2921054,1.5042458,1.4396715,-0.0645743
32,-1.9041985,-1.713062,"('benevolent', 'hardhearted')",-1.247168,-1.02689,-2.1416743,-2.0630817,-2.3464887,-2.159079,-1.9098823,-1.7405282,0.1693541
78,1.881223,1.670479,"('active', 'inactive')",0.7318174,0.5018618,-0.17769128,-0.37247556,1.0201316,0.7705759,0.8638702,0.6426103,-0.2212599
50,1.7753767,1.6517736,"('unprejudiced', 'prejudiced')",-0.30087867,-0.6159633,0.7975825,0.6053447,1.6304905,1.530442,0.9756427,0.7928993,-0.1827434
58,-1.7543455,-1.6552217,"('able', 'clumsy')",0.623022,0.73672426,-0.75162596,-0.6201737,-2.247712,-2.087183,-1.0326654,-0.9064635,0.1262019
28,-1.6911446,-1.7003207,"('honest', 'dishonest')",0.032037735,0.13088149,-1.5885613,-1.5614024,-1.5745766,-1.4838104,-1.2055612,-1.153663,0.0518982
65,-1.6021128,-1.5611844,"('practical', 'impractical')",-0.5322467,-0.4926687,-0.6793371,-0.7796713,-1.7086349,-1.8049239,-1.1305828,-1.1596121,-0.0290293
74,-1.5656949,-1.5058695,"('insightful', 'unperceptive')",0.1071807,0.29290634,-1.4542863,-1.4711254,-1.3028576,-1.4227564,-1.0539145,-1.0267112,0.0272033
49,-1.560032,-1.6309708,"('responsible', 'irresponsible')",0.3223794,0.38146323,-1.5435033,-1.6382513,-2.003956,-2.2171657,-1.196278,-1.2762312,-0.0799532
66,1.5435706,1.6560507,"('imaginative', 'unimaginative')",0.86876184,0.99730355,0.24869058,0.10128161,0.6262201,0.6655474,0.8218108,0.8550458,0.033235
11,-1.5373666,-1.4466681,"('caring', 'unaffectionate')",-0.61560625,-0.43477213,-2.2560477,-2.1037388,-2.4511108,-2.460565,-1.7150328,-1.611436,0.1035968
3,1.5083785,1.5363264,"('likable', 'unlikable')",0.011124663,-0.14635167,0.085140795,-0.13526963,0.91838974,0.79147345,0.6307584,0.5115446,-0.1192138
63,-1.4955801,-1.3527792,"('capable', 'incapable')",-0.81323195,-0.8811881,-1.7587923,-1.820735,-0.5101897,-0.66676235,-1.1444485,-1.1803662,-0.0359177
48,1.4117489,1.2635984,"('reliable', 'unreliable')",0.6363385,0.4549266,1.0765333,0.7772274,0.85146666,0.706447,0.9940218,0.8005499,-0.1934719
37,1.3937715,1.3620759,"('good', 'evil')",0.26802,0.08681318,0.910329,0.8271018,1.4122174,1.4387093,0.9960845,0.9286751,-0.0674094
47,-1.3745012,-1.2844992,"('forgiving', 'unforgiving')",0.42739588,0.5244588,-0.27795178,-0.22279622,-1.3413053,-1.2364657,-0.6415906,-0.5548255,0.0867651
80,1.3486297,1.4542515,"('independent', 'dependent')",1.6162915,1.543782,1.7187229,1.6567484,2.7393575,2.5238438,1.8557504,1.7946564,-0.061094
44,-1.2127272,-1.2533548,"('truthful', 'untruthful')",-1.285447,-1.214271,-1.5346116,-1.54945,-1.2846757,-1.3094349,-1.3293654,-1.3316276,-0.0022622
101,-1.2073877,-0.88352334,"('successful', 'unsuccessful')",-2.1657,-1.9822205,-1.8162675,-1.7439907,-1.0469648,-0.91750884,-1.5590799,-1.3818109,0.177269
81,1.2060118,1.1950765,"('industrious', 'lazy')",-1.2275362,-1.3752695,-0.06672996,-0.160889,1.2360988,1.1968933,0.2869611,0.2139528,-0.0730083
73,-1.1670052,-1.324408,"('brilliant', 'incompetent')",-0.11954132,-0.15927404,-1.28638,-1.4760159,-0.96019924,-1.2527838,-0.8832815,-1.0531205,-0.169839
36,-1.1607916,-1.0972795,"('tolerant', 'intolerant')",0.36671692,0.42438835,-0.3968607,-0.34026027,-1.320892,-1.2510405,-0.6279569,-0.566048,0.0619089
45,-1.1566726,-1.2670939,"('cooperative', 'exploitative')",0.2527004,0.09715897,0.13703784,0.050053358,-1.4273517,-1.4653314,-0.5485715,-0.6463033,-0.0977318
41,1.1554232,1.437623,"('incorrupt', 'corrupt')",-0.92549694,-0.85200524,0.79460573,0.8717098,1.1687901,1.5144998,0.5483305,0.7429569,0.1946264
