,Estée_male,Estée_female,tuple,Lauder_male,Lauder_female,Companies_male,Companies_female,average_male,average_female,female-male
75,3.619433,3.5870426,"('confident', 'shy')",3.1238244,3.0171723,2.2895617,2.1724315,3.0109399,2.9255486,-0.0853913
107,3.1598835,3.3863707,"('conventional', 'modern')",2.3026297,2.741394,0.28315312,0.3022039,1.915222,2.1433229,0.2281009
99,-2.726982,-2.9807048,"('prestigious', 'insignificant')",-2.9961023,-3.2851825,-0.35412234,-0.24337776,-2.0257355,-2.169755,-0.1440195
8,-2.3679085,-2.488699,"('open', 'distant')",-1.9082413,-2.1046484,0.30361855,0.09898583,-1.3241771,-1.4981206,-0.1739435
98,-2.336413,-2.4945874,"('prestigious', 'insignificant')",-2.6335502,-2.8484664,0.14086671,0.14267458,-1.6096988,-1.7334598,-0.123761
32,-2.26552,-2.2288067,"('benevolent', 'hardhearted')",-1.5161455,-1.402394,-1.9230931,-1.7733397,-1.9015862,-1.8015135,0.1000727
15,2.2066786,2.2423792,"('polite', 'impolite')",1.6559513,1.7593005,0.62299055,0.6691903,1.4952068,1.5569566,0.0617498
94,2.1913018,2.4675782,"('aggressive', 'submissive')",1.9174852,1.9408455,-1.0694094,-0.86035264,1.0131259,1.1826903,0.1695644
16,2.178237,2.1102638,"('social', 'antisocial')",2.0852427,2.2285655,-1.0982498,-0.908682,1.0550766,1.1433824,0.0883058
76,2.122135,2.273208,"('secure', 'insecure')",2.3954914,2.5169997,0.0910919,0.24539447,1.5362395,1.6785342,0.1422947
82,-2.0514657,-2.218396,"('industrious', 'meek')",-1.7672241,-1.98848,-0.17810503,-0.39299726,-1.332265,-1.533291,-0.201026
5,2.03765,2.0896018,"('pleasant', 'repellent')",1.2198828,1.2889657,0.075303674,-0.00085164607,1.1109455,1.1259053,0.0149598
81,-1.8829007,-2.0623136,"('industrious', 'lazy')",-2.562996,-2.847752,0.49245483,0.2546968,-1.317814,-1.5517896,-0.2339756
53,-1.8700669,-1.8820889,"('smart', 'stupid')",-0.8791069,-0.75160265,-2.7192702,-2.7145896,-1.8228146,-1.7827603,0.0400543
