,Consolidated_male,Consolidated_female,tuple,Edison_male,Edison_female,average_male,average_female,female-male
75,4.8241014,4.9815745,"('confident', 'shy')",5.122245,5.087307,4.9731731,5.034441,0.0612679
27,-4.74235,-5.106431,"('sincere', 'insincere')",-3.0968337,-3.1636157,-3.9195919,-4.1350231,-0.2154312
6,4.4755077,4.9685087,"('liked', 'disliked')",3.1796808,3.5198894,3.8275943,4.2441988,0.4166045
95,-3.8590145,-4.2235427,"('rich', 'poor')",-2.9844258,-2.9540055,-3.42172,-3.5887742,-0.1670542
40,-3.461697,-3.8733988,"('honorable', 'mean')",-2.833591,-3.0343184,-3.147644,-3.4538586,-0.3062146
53,-3.299522,-3.5844405,"('smart', 'stupid')",-3.0434775,-3.167417,-3.1714997,-3.3759289,-0.2044292
32,-2.3733845,-2.018991,"('benevolent', 'hardhearted')",-2.9895327,-2.71305,-2.6814585,-2.3660204,0.3154381
48,2.10641,1.8946806,"('reliable', 'unreliable')",2.8320553,2.8803935,2.4692326,2.387537,-0.0816956
50,2.0474715,1.9321618,"('unprejudiced', 'prejudiced')",1.8265318,1.5808284,1.9370017,1.7564951,-0.1805066
86,1.9527056,2.0409644,"('self-reliant', 'helpless')",1.7694582,1.7303679,1.8610818,1.8856661,0.0245843
15,1.8909811,1.7587987,"('polite', 'impolite')",1.5917015,1.3996506,1.7413414,1.5792246,-0.1621168
3,1.8127532,1.871813,"('likable', 'unlikable')",1.8898487,1.9541055,1.851301,1.9129593,0.0616583
104,-1.779953,-1.4501934,"('conventional', 'unconventional')",-1.3600795,-1.008214,-1.5700163,-1.2292037,0.3408126
1,-1.7401459,-1.2624481,"('friendly', 'unfriendly')",-2.3509395,-2.0270157,-2.0455427,-1.6447319,0.4008108
66,1.6947037,1.7150539,"('imaginative', 'unimaginative')",1.5000861,1.6733928,1.5973949,1.6942234,0.0968285
11,-1.6486931,-1.6196758,"('caring', 'unaffectionate')",-2.0938666,-1.9435287,-1.8712798,-1.7816021,0.0896777
98,-1.5525041,-1.4247402,"('prestigious', 'insignificant')",-0.7389754,-0.6285646,-1.1457398,-1.0266523,0.1190875
28,-1.4883678,-1.6665301,"('honest', 'dishonest')",-0.9945077,-1.0773346,-1.2414377,-1.3719324,-0.1304947
34,-1.4758925,-1.422478,"('loyal', 'disloyal')",-0.7580999,-0.5161702,-1.1169963,-0.9693241,0.1476722
107,1.4202241,1.318397,"('conventional', 'modern')",2.0062728,2.14023,1.7132485,1.7293135,0.016065
97,-1.3180357,-1.3263884,"('superior', 'inferior')",-0.7990426,-0.7341324,-1.0585392,-1.0302603,0.0282789
78,1.2430996,1.112957,"('active', 'inactive')",0.8764888,0.77715856,1.0597942,0.9450577,-0.1147365
13,-1.2176161,-1.5629115,"('helpful', 'unhelpful')",-0.9334092,-1.0261772,-1.0755126,-1.2945443,-0.2190317
22,1.1925194,1.2964225,"('welcoming', 'disagreeable')",0.5033337,0.63026047,0.8479266,0.9633415,0.1154149
10,-1.1771529,-0.9624877,"('affectionate', 'unaffectionate')",-1.8437533,-1.5576321,-1.5104531,-1.2600598,0.2503933
74,-1.147491,-1.3059648,"('insightful', 'unperceptive')",-0.09474231,-0.051379412,-0.6211166,-0.6786721,-0.0575555
88,1.1118846,1.274719,"('impulsive', 'meek')",0.3625586,0.4614188,0.7372216,0.8680689,0.1308473
109,1.0771099,0.8320248,"('conservative', 'liberal')",1.2426032,1.1502031,1.1598566,0.991114,-0.1687426
108,1.0771099,0.8320248,"('conservative', 'liberal')",1.2426032,1.1502031,1.1598566,0.991114,-0.1687426
46,1.02991,1.3166779,"('generous', 'stingy')",0.28391033,0.6132489,0.6569102,0.9649634,0.3080532
105,-1.0219028,-0.90388024,"('conventional', 'modern')",-0.7177771,-0.5934293,-0.8698399,-0.7486548,0.1211851
45,-0.9908533,-1.2227366,"('cooperative', 'exploitative')",0.7825344,0.35774666,-0.1041594,-0.432495,-0.3283356
56,0.97296077,0.8421497,"('intelligent', 'dumb')",1.2389113,1.2721729,1.1059361,1.0571613,-0.0487748
29,-0.96313906,-1.2344121,"('honest', 'immoral')",-0.34516302,-0.5089435,-0.654151,-0.8716778,-0.2175268
67,-0.94831055,-0.8455258,"('discriminating', 'undiscriminating')",-0.7272901,-0.50901246,-0.8378003,-0.6772691,0.1605312
35,0.94704103,1.1263816,"('fair', 'unfair')",0.8270193,0.9431416,0.8870301,1.0347617,0.1477316
94,0.941322,0.63861465,"('aggressive', 'submissive')",1.3069581,1.1371262,1.12414,0.8878704,-0.2362696
21,0.925619,0.8856302,"('nice', 'nasty')",-0.015174568,-0.123619795,0.4552222,0.3810052,-0.074217
63,-0.91285276,-0.956654,"('capable', 'incapable')",0.27037275,0.2183812,-0.32124,-0.3691364,-0.0478964
81,0.8954524,1.0985358,"('industrious', 'lazy')",-0.11692476,0.024992347,0.3892638,0.5617641,0.1725003
93,0.8789522,0.7572707,"('dominating', 'dominated')",0.5906087,0.49616572,0.7347804,0.6267182,-0.1080622
84,-0.84697497,-0.6802491,"('self-confident', 'diffident')",-0.38020492,-0.38394067,-0.6135899,-0.5320949,0.081495
99,-0.8358345,-0.6200354,"('prestigious', 'insignificant')",-1.2323445,-1.0185491,-1.0340896,-0.8192922,0.2147974
60,0.8352733,0.76875573,"('educated', 'uneducated')",0.46583793,0.6462563,0.6505556,0.7075061,0.0569505
80,0.8250211,0.6757667,"('independent', 'dependent')",0.96771944,0.9649459,0.8963703,0.8203563,-0.076014
49,-0.82180285,-1.1907698,"('responsible', 'irresponsible')",0.21303171,0.045361698,-0.3043856,-0.5727041,-0.2683185
101,-0.793182,-0.77806544,"('successful', 'unsuccessful')",-0.32591507,-0.45771557,-0.5595486,-0.6178905,-0.0583419
38,-0.7629378,-0.8266256,"('kind', 'unkind')",-0.23337442,-0.1142346,-0.4981561,-0.4704301,0.027726
33,-0.7557397,-0.7059276,"('softhearted', 'hardhearted')",-1.1382865,-1.0779471,-0.9470131,-0.8919374,0.0550757
68,-0.7507207,-0.86068,"('clever', 'inept')",0.0526447,-0.05242166,-0.349038,-0.4565508,-0.1075128
44,-0.74436235,-0.8601608,"('truthful', 'untruthful')",-0.85723424,-0.81734407,-0.8007983,-0.8387524,-0.0379541
59,0.7420037,0.8247031,"('skillful', 'clumsy')",0.9309036,1.2141485,0.8364537,1.0194259,0.1829722
85,-0.7261458,-0.8233106,"('ambitious', 'unambitious')",-0.39738488,-0.4387328,-0.5617653,-0.6310217,-0.0692564
12,-0.7041477,-1.0994841,"('sympathetic', 'unsympathetic')",0.4537297,0.39542782,-0.125209,-0.3520281,-0.2268191
92,-0.63215095,-0.5192996,"('unwavering', 'wavering')",-0.27888447,0.025202692,-0.4555177,-0.2470485,0.2084692
65,-0.6207354,-0.90633404,"('practical', 'impractical')",0.13478065,0.065475315,-0.2429774,-0.4204293,-0.1774519
20,0.62051123,0.67532384,"('popular', 'unpopular')",-0.16025308,0.056165606,0.2301291,0.3657447,0.1356156
9,-0.58165073,-0.8635029,"('sensitive', 'insensitive')",-0.0092378855,-0.05802141,-0.2954443,-0.4607622,-0.1653179
89,0.574109,0.3050559,"('daring', 'anxious')",0.9021604,0.79369104,0.7381347,0.5493734,-0.1887613
90,0.57014966,0.32473424,"('motivated', 'unmotivated')",1.8998997,1.7190557,1.2350247,1.0218949,-0.2131298
24,-0.5694163,-0.68275076,"('thoughtful', 'rough')",-0.057153776,-0.078778565,-0.313285,-0.3807647,-0.0674797
71,0.5434165,0.008511364,"('efficient', 'inefficient')",1.2134825,0.7432319,0.8784495,0.3758716,-0.5025779
36,-0.5411445,-0.64698595,"('tolerant', 'intolerant')",0.19169912,0.14308463,-0.1747227,-0.2519507,-0.077228
5,0.5388007,0.33642322,"('pleasant', 'repellent')",1.2444584,1.1554751,0.8916296,0.7459491,-0.1456805
72,-0.5367083,-0.37029174,"('logical', 'illogical')",-0.15884039,0.020457607,-0.3477743,-0.1749171,0.1728572
70,0.5268704,0.5411209,"('wise', 'unwise')",0.34542844,0.4741609,0.4361494,0.5076409,0.0714915
41,0.5264579,0.9255208,"('incorrupt', 'corrupt')",-0.28213805,0.02470839,0.1221599,0.4751146,0.3529547
100,-0.51874655,-0.33614624,"('influential', 'uninfluential')",-1.2959046,-0.91176796,-0.9073256,-0.6239571,0.2833685
102,-0.5090933,-0.62903655,"('eminent', 'low')",-1.0092381,-0.94304395,-0.7591657,-0.7860402,-0.0268745
43,-0.5047854,-0.6280642,"('genuine', 'fake')",-0.55699426,-0.48239714,-0.5308899,-0.5552307,-0.0243408
58,-0.49386352,-0.7404612,"('able', 'clumsy')",0.038620323,0.19350365,-0.2276216,-0.2734787,-0.0458571
106,-0.4913099,-0.29092774,"('conventional', 'unconventional')",-0.3542174,-0.1675574,-0.4227636,-0.2292426,0.193521
31,-0.48432213,-0.25266522,"('altruistic', 'egoistic')",-1.3118527,-1.2131118,-0.8980874,-0.7328885,0.1651989
4,-0.48044297,-0.46360618,"('likable', 'unlikable')",-0.3990217,-0.35170722,-0.4397323,-0.4076567,0.0320756
110,-0.47778141,-0.47000486,"('narrow-minded', 'open-minded')",0.41503108,0.29814908,-0.0313752,-0.0859279,-0.0545527
69,-0.46955076,-0.3437363,"('wise', 'foolish')",-0.37216312,-0.2657848,-0.420857,-0.3047605,0.1160965
62,-0.46682286,-0.3685041,"('creative', 'uncreative')",-0.68662983,-0.5134035,-0.5767263,-0.4409538,0.1357725
8,-0.45974386,-0.3111707,"('open', 'distant')",-1.0013499,-0.80923164,-0.7305469,-0.5602012,0.1703457
37,0.44895887,0.78004444,"('good', 'evil')",0.1390506,0.16148877,0.2940047,0.4707666,0.1767619
18,-0.44824576,-0.5101591,"('social', 'asocial')",0.17222372,0.17970908,-0.138011,-0.165225,-0.027214
73,-0.43349686,-0.7981023,"('brilliant', 'incompetent')",-0.050231993,-0.27541566,-0.2418644,-0.536759,-0.2948946
82,0.42771637,0.7529986,"('industrious', 'meek')",-0.9158875,-0.81423074,-0.2440856,-0.0306161,0.2134695
7,-0.42329904,-0.2541557,"('outgoing', 'distant')",-0.6216723,-0.4492132,-0.5224857,-0.3516845,0.1708012
47,-0.4053343,-0.27296668,"('forgiving', 'unforgiving')",-0.36392856,-0.08067175,-0.3846314,-0.1768192,0.2078122
87,-0.40496662,-0.3532123,"('dedicated', 'undedicated')",0.2197856,0.2995839,-0.0925905,-0.0268142,0.0657763
77,0.40253043,0.6360123,"('active', 'inactive')",0.033557206,0.15435106,0.2180438,0.3951817,0.1771379
91,-0.34507453,-0.3083421,"('resilient', 'nonresilient')",0.18000554,0.31365418,-0.0825345,0.002656,0.0851905
76,0.34428236,0.123752624,"('secure', 'insecure')",1.1411786,0.94784176,0.7427305,0.5357972,-0.2069333
