,T-Mobile_male,T-Mobile_female,tuple,US_male,US_female,average_male,average_female,female-male
52,3.5102825,3.4579463,"('competitive', 'uncompetitive')",-0.7552228,-0.6653083,1.3775299,1.396319,0.0187891
2,3.2212408,3.135562,"('friendly', 'unfriendly')",-2.0182238,-1.9810271,0.6015085,0.5772674,-0.0242411
12,3.047365,3.0318413,"('sympathetic', 'unsympathetic')",-1.7460358,-1.8989879,0.6506646,0.5664267,-0.0842379
99,-2.9874344,-2.8825996,"('prestigious', 'insignificant')",0.80150187,0.99327093,-1.0929663,-0.9446644,0.1483019
42,-2.5820384,-2.4677389,"('amicable', 'hostile')",1.7862501,1.9959521,-0.3978941,-0.2358934,0.1620007
15,2.553465,2.4298964,"('polite', 'impolite')",-0.4314952,-0.39757964,1.0609848,1.0161583,-0.0448265
61,-2.5268586,-2.2157,"('rational', 'irrational')",0.67917526,0.92396915,-0.9238417,-0.6458654,0.2779763
92,-2.5092163,-2.3996792,"('unwavering', 'wavering')",0.3447112,0.44480947,-1.0822525,-0.9774349,0.1048176
64,2.4754233,2.3127422,"('clever', 'incompetent')",-1.5220895,-1.5880871,0.4766669,0.3623276,-0.1143393
41,-2.4086106,-2.2331142,"('incorrupt', 'corrupt')",1.8521808,2.0068858,-0.2782149,-0.1131142,0.1651007
86,-2.4083848,-2.4102876,"('self-reliant', 'helpless')",2.1530218,1.8359746,-0.1276815,-0.2871565,-0.159475
69,-2.3801012,-2.2611196,"('wise', 'foolish')",-0.09327532,0.023238778,-1.2366883,-1.1189404,0.1177479
5,2.3270702,2.223163,"('pleasant', 'repellent')",-0.8153393,-0.97463167,0.7558655,0.6242656,-0.1315999
104,-2.3171625,-2.2068415,"('conventional', 'unconventional')",-0.60842407,-0.447322,-1.4627934,-1.3270817,0.1357117
37,-2.2931287,-2.4449618,"('good', 'evil')",1.8013074,1.8109143,-0.2459106,-0.3170238,-0.0711132
82,-2.288496,-2.1151402,"('industrious', 'meek')",1.082954,1.272271,-0.602771,-0.4214346,0.1813364
71,2.2241533,2.07365,"('efficient', 'inefficient')",-1.2423527,-1.513886,0.4909003,0.279882,-0.2110183
81,-2.1752527,-2.1728587,"('industrious', 'lazy')",1.628338,1.5786035,-0.2734573,-0.2971276,-0.0236703
94,2.1533723,2.2066166,"('aggressive', 'submissive')",-1.1159072,-1.0728815,0.5187325,0.5668676,0.0481351
109,2.1251054,2.1745584,"('conservative', 'liberal')",-0.47627515,-0.5572876,0.8244151,0.8086354,-0.0157797
108,2.1251054,2.1745584,"('conservative', 'liberal')",-0.47627515,-0.5572876,0.8244151,0.8086354,-0.0157797
76,2.1119027,2.1625178,"('secure', 'insecure')",-1.2681617,-1.3081784,0.4218705,0.4271697,0.0052992
8,-2.111159,-2.1669755,"('open', 'distant')",1.5484102,1.510682,-0.2813745,-0.3281468,-0.0467723
90,2.0914059,1.9990495,"('motivated', 'unmotivated')",0.073245555,0.016782448,1.0823257,1.007916,-0.0744097
51,2.066698,1.90326,"('competent', 'incompetent')",-0.76693475,-0.74901336,0.6498817,0.5771233,-0.0727584
89,2.0036206,1.9721484,"('daring', 'anxious')",-0.9970076,-1.1119636,0.5033065,0.4300924,-0.0732141
1,-1.997796,-1.8697438,"('friendly', 'unfriendly')",-0.15646046,0.30077332,-1.0771283,-0.7844852,0.2926431
7,-1.9840667,-2.051222,"('outgoing', 'distant')",2.2167215,2.1078367,0.1163274,0.0283073,-0.0880201
98,-1.9560744,-1.855393,"('prestigious', 'insignificant')",-0.1149686,0.032969296,-1.0355215,-0.9112118,0.1243097
83,1.9323316,1.9392909,"('energetic', 'lethargic')",-1.0714743,-1.205437,0.4304286,0.366927,-0.0635016
9,1.7479444,1.7075291,"('sensitive', 'insensitive')",-1.2149959,-1.1681248,0.2664742,0.2697021,0.0032279
19,-1.705486,-1.4946724,"('funny', 'boring')",0.05292809,0.34381062,-0.826279,-0.5754309,0.2508481
36,1.6684339,1.5562141,"('tolerant', 'intolerant')",-1.5807614,-1.6203055,0.0438362,-0.0320457,-0.0758819
66,1.5422368,1.5688643,"('imaginative', 'unimaginative')",1.5744779,1.5505573,1.5583574,1.5597107,0.0013533
84,-1.4841276,-1.5150696,"('self-confident', 'diffident')",0.041042715,0.09808937,-0.7215425,-0.7084901,0.0130524
93,1.4780867,1.4395773,"('dominating', 'dominated')",-0.8380156,-0.8937606,0.3200355,0.2729084,-0.0471271
63,-1.4697181,-1.1659638,"('capable', 'incapable')",-0.85512626,-0.7148438,-1.1624222,-0.9404038,0.2220184
60,1.4677881,1.4682572,"('educated', 'uneducated')",-1.9861226,-1.8233786,-0.2591673,-0.1775607,0.0816066
80,1.4554535,1.6366799,"('independent', 'dependent')",-0.0522362,0.023702443,0.7016087,0.8301911,0.1285824
25,1.4215775,1.4390695,"('moral', 'immoral')",-2.1199274,-2.1004725,-0.349175,-0.3307015,0.0184735
49,1.4214188,1.3403083,"('responsible', 'irresponsible')",-1.2039429,-1.1956955,0.1087379,0.0723064,-0.0364315
31,-1.4048803,-1.1631932,"('altruistic', 'egoistic')",0.26261348,0.47570705,-0.5711334,-0.3437431,0.2273903
0,1.3916897,1.5123895,"('sociable', 'unsociable')",-0.84605736,-0.63520193,0.2728162,0.4385938,0.1657776
105,-1.3862704,-1.3409023,"('conventional', 'modern')",0.7496287,0.7231503,-0.3183208,-0.308876,0.0094448
39,-1.3450289,-1.258409,"('right', 'wrong')",0.30655998,0.36445278,-0.5192344,-0.4469781,0.0722563
16,1.2920669,1.2600077,"('social', 'antisocial')",-0.20573746,-0.16466914,0.5431647,0.5476693,0.0045046
55,1.284368,1.2666348,"('intelligent', 'unintelligent')",-0.77729565,-0.7060585,0.2535362,0.2802882,0.026752
73,1.2407266,1.0388427,"('brilliant', 'incompetent')",-1.9597712,-2.3117003,-0.3595223,-0.6364288,-0.2769065
23,-1.2400318,-1.1834664,"('hospitable', 'inhospitable')",1.0652089,1.0253761,-0.0874115,-0.0790452,0.0083663
13,1.2213888,1.20838,"('helpful', 'unhelpful')",-2.7998507,-2.6614416,-0.7892309,-0.7265308,0.0627001
29,1.2177608,1.172959,"('honest', 'immoral')",-1.6150404,-1.5224664,-0.1986398,-0.1747537,0.0238861
6,-1.1305344,-1.2077904,"('liked', 'disliked')",4.0589523,4.0181885,1.464209,1.4051991,-0.0590099
27,1.1104566,1.0929925,"('sincere', 'insincere')",-4.9749813,-4.680503,-1.9322624,-1.7937552,0.1385072
32,-1.0433936,-1.0013264,"('benevolent', 'hardhearted')",-0.47406715,-0.21601313,-0.7587304,-0.6086698,0.1500606
106,-1.0322912,-1.0142877,"('conventional', 'unconventional')",-0.5541066,-0.509939,-0.7931989,-0.7621133,0.0310856
100,1.0019472,1.1641309,"('influential', 'uninfluential')",-0.44326106,-0.21074596,0.2793431,0.4766925,0.1973494
59,-0.98266953,-0.77819794,"('skillful', 'clumsy')",0.011892259,0.27807772,-0.4853886,-0.2500601,0.2353285
74,0.9597104,0.88554937,"('insightful', 'unperceptive')",-1.4187859,-1.225089,-0.2295378,-0.1697698,0.059768
20,-0.9314759,-0.86615515,"('popular', 'unpopular')",-0.71247876,-0.44471854,-0.8219773,-0.6554369,0.1665404
58,0.92228,1.0118257,"('able', 'clumsy')",-2.2689636,-2.1453753,-0.6733418,-0.5667748,0.106567
11,-0.87761873,-0.822534,"('caring', 'unaffectionate')",-0.5329128,-0.4022053,-0.7052658,-0.6123697,0.0928961
102,-0.87492216,-0.6707487,"('eminent', 'low')",-0.7189593,-0.49669138,-0.7969407,-0.58372,0.2132207
110,-0.8694173,-0.8682581,"('narrow-minded', 'open-minded')",0.3100229,0.2436119,-0.2796972,-0.3123231,-0.0326259
107,0.84264696,0.8336129,"('conventional', 'modern')",0.4376039,0.42744818,0.6401254,0.6305305,-0.0095949
35,-0.81649226,-0.65083826,"('fair', 'unfair')",0.71422297,0.75416,-0.0511346,0.0516609,0.1027955
17,0.7774456,0.88700515,"('social', 'antisocial')",-0.0762867,0.19088513,0.3505794,0.5389451,0.1883657
4,-0.7773447,-0.744985,"('likable', 'unlikable')",-1.3062761,-1.2598903,-1.0418104,-1.0024376,0.0393728
10,-0.75587785,-0.6352948,"('affectionate', 'unaffectionate')",0.9829688,1.2798649,0.1135455,0.3222851,0.2087396
38,-0.7541424,-0.56254965,"('kind', 'unkind')",-1.9387141,-1.5991575,-1.3464283,-1.0808536,0.2655747
45,-0.7366033,-0.7650207,"('cooperative', 'exploitative')",-1.0539358,-1.2050881,-0.8952695,-0.9850544,-0.0897849
103,0.7208031,0.771533,"('traditional', 'modern')",0.50483155,0.45315635,0.6128173,0.6123447,-0.0004726
72,-0.7172825,-0.533334,"('logical', 'illogical')",-1.1989273,-1.0231917,-0.9581048,-0.7782629,0.1798419
75,0.66802925,0.6472941,"('confident', 'shy')",4.237265,4.0730305,2.4526472,2.3601623,-0.0924849
91,0.6380852,0.60660017,"('resilient', 'nonresilient')",0.40079972,0.5825426,0.5194424,0.5945714,0.075129
3,0.605389,0.4720336,"('likable', 'unlikable')",1.0291104,0.9788536,0.8172497,0.7254436,-0.0918061
78,0.59718466,0.3465768,"('active', 'inactive')",1.6572448,1.2970791,1.1272147,0.8218279,-0.3053868
24,0.5865872,0.60025436,"('thoughtful', 'rough')",-1.1358174,-1.0601964,-0.2746151,-0.229971,0.0446441
30,0.5756748,0.59888315,"('honest', 'dishonest')",-1.2890893,-1.2111869,-0.3567073,-0.3061519,0.0505554
85,0.5489211,0.59897053,"('ambitious', 'unambitious')",0.10151763,0.13960949,0.3252194,0.36929,0.0440706
