,PulteGroup_male,PulteGroup_female,tuple,average_male,average_female,female-male
75,2.3113205,2.0955734,"('confident', 'shy')",2.3113205,2.0955734,-0.2157471
6,1.6606265,1.5933316,"('liked', 'disliked')",1.6606265,1.5933316,-0.0672949
12,1.4427717,1.5678676,"('sympathetic', 'unsympathetic')",1.4427717,1.5678676,0.1250959
5,1.403759,1.4688883,"('pleasant', 'repellent')",1.403759,1.4688883,0.0651293
14,1.3388457,1.2581234,"('supportive', 'unsupportive')",1.3388457,1.2581234,-0.0807223
100,1.2980869,1.4410017,"('influential', 'uninfluential')",1.2980869,1.4410017,0.1429148
21,1.2669021,1.1774098,"('nice', 'nasty')",1.2669021,1.1774098,-0.0894923
2,1.2408727,1.3432908,"('friendly', 'unfriendly')",1.2408727,1.3432908,0.1024181
66,1.135999,1.1765115,"('imaginative', 'unimaginative')",1.135999,1.1765115,0.0405125
95,-1.1322497,-1.0737709,"('rich', 'poor')",-1.1322497,-1.0737709,0.0584788
107,1.0961823,1.2469653,"('conventional', 'modern')",1.0961823,1.2469653,0.150783
70,1.0906589,1.0842619,"('wise', 'unwise')",1.0906589,1.0842619,-0.006397
53,-1.0030581,-1.0185822,"('smart', 'stupid')",-1.0030581,-1.0185822,-0.0155241
40,-0.96039975,-1.048742,"('honorable', 'mean')",-0.9603997,-1.0487421,-0.0883424
41,-0.8621539,-0.8574854,"('incorrupt', 'corrupt')",-0.8621539,-0.8574854,0.0046685
27,-0.8586379,-0.5700391,"('sincere', 'insincere')",-0.8586379,-0.5700391,0.2885988
94,0.84015864,0.868207,"('aggressive', 'submissive')",0.8401586,0.868207,0.0280484
76,0.8292281,0.8639402,"('secure', 'insecure')",0.8292281,0.8639402,0.0347121
60,0.82624483,1.0628632,"('educated', 'uneducated')",0.8262448,1.0628632,0.2366184
55,0.8010535,0.8410368,"('intelligent', 'unintelligent')",0.8010535,0.8410368,0.0399833
51,0.80043405,0.7943586,"('competent', 'incompetent')",0.8004341,0.7943586,-0.0060755
19,-0.77471906,-0.7285993,"('funny', 'boring')",-0.7747191,-0.7285993,0.0461198
15,0.7724937,0.8763455,"('polite', 'impolite')",0.7724937,0.8763455,0.1038518
52,0.7724306,0.84913504,"('competitive', 'uncompetitive')",0.7724306,0.849135,0.0767044
90,0.75439453,0.64371914,"('motivated', 'unmotivated')",0.7543945,0.6437191,-0.1106754
9,0.75042033,0.8012233,"('sensitive', 'insensitive')",0.7504203,0.8012233,0.050803
4,-0.716223,-0.76207006,"('likable', 'unlikable')",-0.716223,-0.7620701,-0.0458471
77,0.7018806,0.62754446,"('active', 'inactive')",0.7018806,0.6275445,-0.0743361
18,0.6985804,0.83546025,"('social', 'asocial')",0.6985804,0.8354602,0.1368798
78,0.68489593,0.39683852,"('active', 'inactive')",0.6848959,0.3968385,-0.2880574
105,-0.66795665,-0.39491254,"('conventional', 'modern')",-0.6679567,-0.3949125,0.2730442
99,-0.6640962,-0.64346457,"('prestigious', 'insignificant')",-0.6640962,-0.6434646,0.0206316
26,-0.6528998,-0.5097649,"('trustworthy', 'untrustworthy')",-0.6528998,-0.5097649,0.1431349
3,0.6110023,0.5220244,"('likable', 'unlikable')",0.6110023,0.5220244,-0.0889779
81,-0.6052098,-0.9856256,"('industrious', 'lazy')",-0.6052098,-0.9856256,-0.3804158
45,-0.5980923,-0.65426993,"('cooperative', 'exploitative')",-0.5980923,-0.6542699,-0.0561776
79,-0.58444506,-0.7108531,"('determined', 'doubtful')",-0.5844451,-0.7108531,-0.126408
16,0.5806448,0.6091062,"('social', 'antisocial')",0.5806448,0.6091062,0.0284614
93,0.57334626,0.5513675,"('dominating', 'dominated')",0.5733463,0.5513675,-0.0219788
104,-0.5676617,-0.3279187,"('conventional', 'unconventional')",-0.5676617,-0.3279187,0.239743
73,0.5600988,0.37821347,"('brilliant', 'incompetent')",0.5600988,0.3782135,-0.1818853
32,-0.5466854,-0.35510504,"('benevolent', 'hardhearted')",-0.5466854,-0.355105,0.1915804
106,-0.5243994,-0.46529084,"('conventional', 'unconventional')",-0.5243994,-0.4652908,0.0591086
64,0.5201385,0.51821756,"('clever', 'incompetent')",0.5201385,0.5182176,-0.0019209
39,-0.51721305,-0.43364292,"('right', 'wrong')",-0.517213,-0.4336429,0.0835701
54,0.5134522,0.24579403,"('smart', 'stupid')",0.5134522,0.245794,-0.2676582
24,-0.5090656,-0.5239469,"('thoughtful', 'rough')",-0.5090656,-0.5239469,-0.0148813
31,-0.50421196,-0.4736437,"('altruistic', 'egoistic')",-0.504212,-0.4736437,0.0305683
0,0.49319595,0.6354257,"('sociable', 'unsociable')",0.493196,0.6354257,0.1422297
38,-0.4763253,-0.26406327,"('kind', 'unkind')",-0.4763253,-0.2640633,0.212262
97,-0.47397685,-0.33182806,"('superior', 'inferior')",-0.4739769,-0.3318281,0.1421488
71,0.46773282,0.2741648,"('efficient', 'inefficient')",0.4677328,0.2741648,-0.193568
98,-0.46276253,-0.5260011,"('prestigious', 'insignificant')",-0.4627625,-0.5260011,-0.0632386
83,0.45956734,0.45815697,"('energetic', 'lethargic')",0.4595673,0.458157,-0.0014103
58,0.44142672,0.528829,"('able', 'clumsy')",0.4414267,0.528829,0.0874023
67,-0.42837453,-0.29468566,"('discriminating', 'undiscriminating')",-0.4283745,-0.2946857,0.1336888
8,-0.4167103,-0.547132,"('open', 'distant')",-0.4167103,-0.547132,-0.1304217
88,-0.41301206,-0.4251158,"('impulsive', 'meek')",-0.4130121,-0.4251158,-0.0121037
82,-0.4047133,-0.57757556,"('industrious', 'meek')",-0.4047133,-0.5775756,-0.1728623
43,-0.392065,-0.36167592,"('genuine', 'fake')",-0.392065,-0.3616759,0.0303891
102,0.38870707,0.37800306,"('eminent', 'low')",0.3887071,0.3780031,-0.010704
109,0.38432103,0.3908007,"('conservative', 'liberal')",0.384321,0.3908007,0.0064797
108,0.38432103,0.3908007,"('conservative', 'liberal')",0.384321,0.3908007,0.0064797
87,-0.38113824,-0.4922796,"('dedicated', 'undedicated')",-0.3811382,-0.4922796,-0.1111414
80,0.37780666,0.47208855,"('independent', 'dependent')",0.3778067,0.4720885,0.0942818
13,0.34357822,0.4616148,"('helpful', 'unhelpful')",0.3435782,0.4616148,0.1180366
91,0.32951635,0.29863343,"('resilient', 'nonresilient')",0.3295164,0.2986334,-0.030883
63,-0.32734233,-0.227193,"('capable', 'incapable')",-0.3273423,-0.227193,0.1001493
69,-0.30587405,-0.30289954,"('wise', 'foolish')",-0.305874,-0.3028995,0.0029745
49,0.30521876,0.21430826,"('responsible', 'irresponsible')",0.3052188,0.2143083,-0.0909105
46,0.30185765,0.35932118,"('generous', 'stingy')",0.3018577,0.3593212,0.0574635
72,0.2984769,0.507553,"('logical', 'illogical')",0.2984769,0.507553,0.2090761
44,0.2927725,0.28723434,"('truthful', 'untruthful')",0.2927725,0.2872343,-0.0055382
89,0.28334302,0.2550078,"('daring', 'anxious')",0.283343,0.2550078,-0.0283352
23,0.2805841,0.22315566,"('hospitable', 'inhospitable')",0.2805841,0.2231557,-0.0574284
7,-0.27727395,-0.41154253,"('outgoing', 'distant')",-0.277274,-0.4115425,-0.1342685
29,0.27428415,0.29786652,"('honest', 'immoral')",0.2742842,0.2978665,0.0235823
96,-0.26786387,-0.2727748,"('powerful', 'powerless')",-0.2678639,-0.2727748,-0.0049109
61,-0.26561725,-0.1588061,"('rational', 'irrational')",-0.2656173,-0.1588061,0.1068112
1,-0.25400558,-0.0073454976,"('friendly', 'unfriendly')",-0.2540056,-0.0073455,0.2466601
85,0.24689965,0.28875077,"('ambitious', 'unambitious')",0.2468996,0.2887508,0.0418512
59,-0.2425955,-0.2608341,"('skillful', 'clumsy')",-0.2425955,-0.2608341,-0.0182386
86,-0.23601416,-0.33833855,"('self-reliant', 'helpless')",-0.2360142,-0.3383386,-0.1023244
57,0.21886699,0.027707264,"('able', 'unable')",0.218867,0.0277073,-0.1911597
35,0.21778488,0.36763012,"('fair', 'unfair')",0.2177849,0.3676301,0.1498452
101,-0.2138479,-0.29877287,"('successful', 'unsuccessful')",-0.2138479,-0.2987729,-0.084925
10,-0.20388591,-0.04667686,"('affectionate', 'unaffectionate')",-0.2038859,-0.0466769,0.157209
30,0.20155932,0.1703039,"('honest', 'dishonest')",0.2015593,0.1703039,-0.0312554
84,-0.18198907,-0.20385127,"('self-confident', 'diffident')",-0.1819891,-0.2038513,-0.0218622
36,0.17641537,0.30131042,"('tolerant', 'intolerant')",0.1764154,0.3013104,0.124895
50,0.1693662,-0.07150057,"('unprejudiced', 'prejudiced')",0.1693662,-0.0715006,-0.2408668
68,-0.16847761,-0.3255533,"('clever', 'inept')",-0.1684776,-0.3255533,-0.1570757
56,0.16757649,0.039059,"('intelligent', 'dumb')",0.1675765,0.039059,-0.1285175
17,0.16359845,0.29539976,"('social', 'antisocial')",0.1635984,0.2953998,0.1318014
11,0.15755056,0.38508123,"('caring', 'unaffectionate')",0.1575506,0.3850812,0.2275306
28,-0.14871459,0.019875944,"('honest', 'dishonest')",-0.1487146,0.0198759,0.1685905
110,0.14266971,0.14456777,"('narrow-minded', 'open-minded')",0.1426697,0.1445678,0.0018981
47,-0.12938412,-0.021251231,"('forgiving', 'unforgiving')",-0.1293841,-0.0212512,0.1081329
62,0.12743565,0.259495,"('creative', 'uncreative')",0.1274357,0.259495,0.1320593
48,0.1123991,0.03115573,"('reliable', 'unreliable')",0.1123991,0.0311557,-0.0812434
42,-0.10654092,0.11192721,"('amicable', 'hostile')",-0.1065409,0.1119272,0.2184681
25,0.10375124,0.15985504,"('moral', 'immoral')",0.1037512,0.159855,0.0561038
65,-0.102342814,-0.1795905,"('practical', 'impractical')",-0.1023428,-0.1795905,-0.0772477
22,0.09910512,0.075438485,"('welcoming', 'disagreeable')",0.0991051,0.0754385,-0.0236666
33,0.07679519,0.21191669,"('softhearted', 'hardhearted')",0.0767952,0.2119167,0.1351215
20,-0.07362492,-0.03918977,"('popular', 'unpopular')",-0.0736249,-0.0391898,0.0344351
92,-0.070965186,-0.15244749,"('unwavering', 'wavering')",-0.0709652,-0.1524475,-0.0814823
37,-0.055219024,-0.1373136,"('good', 'evil')",-0.055219,-0.1373136,-0.0820946
103,0.034066282,0.2892999,"('traditional', 'modern')",0.0340663,0.2892999,0.2552336
34,-0.009794816,0.26560754,"('loyal', 'disloyal')",-0.0097948,0.2656075,0.2754023
74,-0.002369903,0.031464852,"('insightful', 'unperceptive')",-0.0023699,0.0314649,0.0338348
