,Kimberly-Clark_male,Kimberly-Clark_female,tuple,average_male,average_female,female-male
11,2.994478,3.233966,"('moral', 'immoral')",2.9944779872894287,3.233966112136841,0.2394881248474121
1,-2.6968727,-3.1735299,"('friendly', 'unfriendly')",-2.6968727111816406,-3.173529863357544,-0.4766571521759033
0,2.4719198,2.5273943,"('sociable', 'unsociable')",2.4719197750091553,2.5273942947387695,0.05547451972961426
22,-2.4440298,-3.217044,"('amicable', 'hostile')",-2.4440298080444336,-3.2170441150665283,-0.7730143070220947
57,2.4246593,2.5707428,"('conservative', 'liberal')",2.424659252166748,2.5707428455352783,0.14608359336853027
13,2.3790236,3.039549,"('sincere', 'insincere')",2.379023551940918,3.0395491123199463,0.6605255603790283
21,-2.3378158,-2.8106575,"('incorrupt', 'corrupt')",-2.337815761566162,-2.810657501220703,-0.472841739654541
10,-2.3306882,-2.7718925,"('hospitable', 'inhospitable')",-2.330688238143921,-2.771892547607422,-0.441204309463501
7,2.3257694,2.7699676,"('polite', 'impolite')",2.3257694244384766,2.769967555999756,0.4441981315612793
29,2.2872345,2.522741,"('competent', 'incompetent')",2.2872345447540283,2.5227410793304443,0.23550653457641602
42,2.0968542,2.3892126,"('secure', 'insecure')",2.0968542098999023,2.3892126083374023,0.2923583984375
36,-2.085824,-2.2078207,"('capable', 'incapable')",-2.0858240127563477,-2.2078206539154053,-0.12199664115905762
23,2.052592,2.2251587,"('truthful', 'untruthful')",2.0525920391082764,2.22515869140625,0.17256665229797363
20,-2.0428572,-2.1524222,"('right', 'wrong')",-2.0428571701049805,-2.1524221897125244,-0.10956501960754395
18,-2.041195,-2.4365697,"('good', 'evil')",-2.0411949157714844,-2.4365696907043457,-0.39537477493286133
34,-1.9996123,-1.9491082,"('rational', 'irrational')",-1.9996123313903809,-1.9491082429885864,0.050504088401794434
17,1.8314854,2.1813266,"('tolerant', 'intolerant')",1.831485390663147,2.1813266277313232,0.34984123706817627
46,1.8007188,2.164809,"('energetic', 'lethargic')",1.8007187843322754,2.164808988571167,0.3640902042388916
28,1.7921329,1.8210794,"('unprejudiced', 'prejudiced')",1.79213285446167,1.8210793733596802,0.028946518898010254
49,1.7878548,1.8052133,"('motivated', 'unmotivated')",1.787854790687561,1.8052133321762085,0.01735854148864746
45,1.7678466,1.7287085,"('independent', 'dependent')",1.7678465843200684,1.7287085056304932,-0.039138078689575195
