,IPG_male,IPG_female,tuple,Photonics_male,Photonics_female,average_male,average_female,female-male
95,-2.726227,-2.6543162,"('rich', 'poor')",-2.3203812,-2.2228656,-2.523304,-2.438591,0.084713
75,2.7024536,2.7154098,"('confident', 'shy')",3.8860493,3.853416,3.2942514,3.2844129,-0.0098385
27,-2.3811812,-2.2217884,"('sincere', 'insincere')",-2.6430497,-2.4798732,-2.5121155,-2.3508308,0.1612847
53,-2.1882854,-2.3040333,"('smart', 'stupid')",-2.3426816,-2.449613,-2.2654834,-2.3768232,-0.1113398
6,2.1080804,2.0501604,"('liked', 'disliked')",2.2395508,2.3358572,2.1738157,2.1930089,0.0191932
40,-1.8840909,-2.0138612,"('honorable', 'mean')",-2.3143806,-2.3973205,-2.0992358,-2.2055907,-0.1063549
78,1.356394,1.125604,"('active', 'inactive')",1.159546,0.86182046,1.2579701,0.9937122,-0.2642579
66,1.3466054,1.3246341,"('imaginative', 'unimaginative')",1.0501649,0.980925,1.1983852,1.1527796,-0.0456056
4,-1.2819719,-1.2629801,"('likable', 'unlikable')",-0.81077707,-0.6751011,-1.0463746,-0.9690406,0.077334
101,-1.1837151,-1.1377935,"('successful', 'unsuccessful')",-0.7680559,-0.64613825,-0.9758855,-0.8919659,0.0839196
73,-1.1565617,-1.2653115,"('brilliant', 'incompetent')",-0.5363935,-0.66174513,-0.8464776,-0.9635283,-0.1170507
65,-1.0917548,-0.992735,"('practical', 'impractical')",-0.18718398,-0.23786217,-0.6394694,-0.6152986,0.0241708
15,1.0872911,1.1132846,"('polite', 'impolite')",1.1001838,1.0891826,1.0937375,1.1012336,0.0074961
21,1.0571003,0.89135796,"('nice', 'nasty')",0.34294146,0.35348776,0.7000209,0.6224229,-0.077598
3,1.0246997,1.0220612,"('likable', 'unlikable')",1.5669059,1.5785943,1.2958028,1.3003278,0.004525
102,-0.9299315,-0.7850962,"('eminent', 'low')",-1.2034575,-1.02667,-1.0666945,-0.9058831,0.1608114
68,-0.88474095,-1.1344707,"('clever', 'inept')",-0.43174237,-0.4781052,-0.6582416,-0.8062879,-0.1480463
70,0.8783344,0.9775169,"('wise', 'unwise')",0.4205588,0.48990577,0.6494466,0.7337114,0.0842648
46,0.8698517,0.93667066,"('generous', 'stingy')",0.8395412,0.81647193,0.8546965,0.8765713,0.0218748
91,0.84946764,0.8537009,"('resilient', 'nonresilient')",0.29416925,0.26889706,0.5718185,0.561299,-0.0105195
12,0.8465215,0.90600336,"('sympathetic', 'unsympathetic')",0.70606536,0.7277416,0.7762934,0.8168725,0.0405791
86,0.8456085,0.8023046,"('self-reliant', 'helpless')",0.5939927,0.5580219,0.7198006,0.6801633,-0.0396373
87,-0.8013271,-0.74725616,"('dedicated', 'undedicated')",-0.485952,-0.5215322,-0.6436396,-0.6343942,0.0092454
80,0.79741263,0.7824888,"('independent', 'dependent')",0.62328863,0.6540754,0.7103506,0.7182821,0.0079315
63,-0.7957595,-0.7091835,"('capable', 'incapable')",-0.2845273,-0.08602722,-0.5401434,-0.3976054,0.142538
76,0.780146,0.7947394,"('secure', 'insecure')",0.49679774,0.5247181,0.6384718,0.6597288,0.021257
103,0.7799242,0.8413802,"('traditional', 'modern')",0.4943935,0.7438308,0.6371589,0.7926055,0.1554466
69,-0.77480996,-0.84548527,"('wise', 'foolish')",-0.04382792,0.109270364,-0.4093189,-0.3681074,0.0412115
50,0.74941236,0.57596827,"('unprejudiced', 'prejudiced')",0.91595787,0.77421844,0.8326851,0.6750934,-0.1575917
72,-0.7336166,-0.56105727,"('logical', 'illogical')",-0.5515482,-0.29909617,-0.6425824,-0.4300767,0.2125057
13,-0.7233594,-0.60331637,"('helpful', 'unhelpful')",-1.039223,-0.9709367,-0.8812912,-0.7871265,0.0941647
90,0.72044426,0.6552561,"('motivated', 'unmotivated')",0.64415914,0.60159796,0.6823017,0.628427,-0.0538747
22,0.6969919,0.65291464,"('welcoming', 'disagreeable')",0.04694131,0.14865309,0.3719666,0.4007839,0.0288173
36,-0.6936956,-0.64782465,"('tolerant', 'intolerant')",-0.7933679,-0.7058453,-0.7435318,-0.6768349,0.0666969
19,-0.6824269,-0.6246103,"('funny', 'boring')",-0.62551904,-0.46925133,-0.653973,-0.5469308,0.1070422
32,-0.672071,-0.6348093,"('benevolent', 'hardhearted')",-1.8634555,-1.6623374,-1.2677633,-1.1485734,0.1191899
55,0.6694546,0.7377877,"('intelligent', 'unintelligent')",-0.9139771,-0.7862508,-0.1222613,-0.0242316,0.0980297
38,-0.6577648,-0.26987684,"('kind', 'unkind')",-0.68487275,-0.4097774,-0.6713188,-0.3398271,0.3314917
109,0.6512109,0.77410364,"('conservative', 'liberal')",0.8185049,0.9266283,0.7348579,0.850366,0.1155081
108,0.6512109,0.77410364,"('conservative', 'liberal')",0.8185049,0.9266283,0.7348579,0.850366,0.1155081
30,-0.64975667,-0.48617733,"('honest', 'dishonest')",0.8841684,0.89945406,0.1172059,0.2066384,0.0894325
14,0.6419238,0.58718354,"('supportive', 'unsupportive')",0.6918291,0.558719,0.6668764,0.5729513,-0.0939251
74,-0.6361605,-0.6836556,"('insightful', 'unperceptive')",-0.028766528,-0.17315821,-0.3324635,-0.4284069,-0.0959434
99,-0.6313872,-0.7903693,"('prestigious', 'insignificant')",-1.0442402,-0.81427264,-0.8378137,-0.802321,0.0354927
94,0.6164427,0.75874126,"('aggressive', 'submissive')",0.36361998,0.38495618,0.4900313,0.5718488,0.0818175
37,0.58636296,0.33088022,"('good', 'evil')",0.5204301,0.43208688,0.5533965,0.3814836,-0.1719129
43,-0.55177355,-0.47532693,"('genuine', 'fake')",-0.30915722,-0.2910242,-0.4304654,-0.3831756,0.0472898
11,-0.5411633,-0.4350649,"('caring', 'unaffectionate')",-0.7656208,-0.6083245,-0.6533921,-0.5216947,0.1316974
2,0.52870446,0.65697855,"('friendly', 'unfriendly')",0.5443229,0.60566866,0.5365137,0.6313236,0.0948099
58,-0.5252336,-0.4759978,"('able', 'clumsy')",-0.16590664,0.009724826,-0.3455701,-0.2331365,0.1124336
24,-0.5057577,-0.43504396,"('thoughtful', 'rough')",-1.4236714,-1.3987284,-0.9647145,-0.9168862,0.0478283
98,-0.48899508,-0.67854595,"('prestigious', 'insignificant')",-0.2599542,-0.14538126,-0.3744746,-0.4119636,-0.037489
83,-0.47385043,-0.44234428,"('energetic', 'lethargic')",0.32341218,0.16185346,-0.0752191,-0.1402454,-0.0650263
28,-0.46756786,-0.39817864,"('honest', 'dishonest')",0.026636213,0.061683565,-0.2204658,-0.1682475,0.0522183
1,-0.4572025,-0.33227766,"('friendly', 'unfriendly')",-1.1117082,-0.86047775,-0.7844553,-0.5963777,0.1880776
45,-0.4554892,-0.5514636,"('cooperative', 'exploitative')",-0.35235232,-0.33431852,-0.4039208,-0.4428911,-0.0389703
51,-0.42609477,-0.4451798,"('competent', 'incompetent')",0.74478495,0.6601722,0.1593451,0.1074962,-0.0518489
67,-0.41065252,-0.37515074,"('discriminating', 'undiscriminating')",-1.3220944,-1.3495933,-0.8663735,-0.862372,0.0040015
25,0.40781295,0.47362208,"('moral', 'immoral')",0.21597597,0.37083888,0.3118945,0.4222305,0.110336
48,0.40536982,0.34484613,"('reliable', 'unreliable')",1.6580894,1.5152364,1.0317296,0.9300413,-0.1016883
110,-0.4013249,-0.51234627,"('narrow-minded', 'open-minded')",-0.28638953,-0.3415412,-0.3438572,-0.4269437,-0.0830865
31,-0.3991538,-0.28485954,"('altruistic', 'egoistic')",-0.96149033,-0.8512008,-0.6803221,-0.5680302,0.1122919
84,-0.39742765,-0.39464077,"('self-confident', 'diffident')",-0.9308935,-0.9692286,-0.6641605,-0.6819347,-0.0177742
49,-0.38774887,-0.4507815,"('responsible', 'irresponsible')",0.118299365,-0.009355068,-0.1347248,-0.2300683,-0.0953435
97,-0.37814376,-0.25638163,"('superior', 'inferior')",-0.24285874,-0.22831173,-0.3105012,-0.2423467,0.0681545
5,0.35541016,0.3854508,"('pleasant', 'repellent')",0.72675985,0.6424417,0.541085,0.5139462,-0.0271388
0,0.33515638,0.54481596,"('sociable', 'unsociable')",0.28397003,0.46512127,0.3095632,0.5049686,0.1954054
77,0.33459917,0.2484084,"('active', 'inactive')",0.6821133,0.6856509,0.5083562,0.4670296,-0.0413266
39,-0.308068,-0.2340703,"('right', 'wrong')",-0.37153617,-0.29460436,-0.3398021,-0.2643373,0.0754648
52,0.30318293,0.42719966,"('competitive', 'uncompetitive')",0.8519547,0.82069767,0.5775688,0.6239487,0.0463799
89,0.2982341,0.23619908,"('daring', 'anxious')",-0.15734461,-0.27346945,0.0704447,-0.0186352,-0.0890799
100,0.2891774,0.50268507,"('influential', 'uninfluential')",0.027467012,0.27009726,0.1583222,0.3863912,0.228069
54,0.26525706,0.106165834,"('smart', 'stupid')",-0.30026808,-0.4270637,-0.0175055,-0.1604489,-0.1429434
10,-0.23982966,-0.15775095,"('affectionate', 'unaffectionate')",-0.5934799,-0.36116946,-0.4166548,-0.2594602,0.1571946
57,0.2285797,0.08855036,"('able', 'unable')",-0.3092869,-0.35205424,-0.0403536,-0.1317519,-0.0913983
16,0.22810875,0.29426447,"('social', 'antisocial')",0.48768923,0.5213133,0.357899,0.4077889,0.0498899
42,0.22664922,0.2953441,"('amicable', 'hostile')",-0.11317408,0.13312936,0.0567376,0.2142367,0.1574991
62,-0.21681474,-0.1317972,"('creative', 'uncreative')",-0.61866397,-0.49962667,-0.4177394,-0.3157119,0.1020275
56,0.20662828,0.051784813,"('intelligent', 'dumb')",0.3346799,0.2648386,0.2706541,0.1583117,-0.1123424
61,-0.2042627,-0.07191859,"('rational', 'irrational')",-0.56624925,-0.16181143,-0.385256,-0.116865,0.268391
7,0.20328,-0.028923005,"('outgoing', 'distant')",0.30294865,0.21094379,0.2531143,0.0910104,-0.1621039
33,-0.20228046,-0.1340447,"('softhearted', 'hardhearted')",-0.6046413,-0.56546813,-0.4034609,-0.3497564,0.0537045
34,-0.19831094,2.7574599e-05,"('loyal', 'disloyal')",-1.0634682,-0.769659,-0.6308896,-0.3848157,0.2460739
105,-0.18193889,-0.18476754,"('conventional', 'modern')",-0.5802424,-0.49580133,-0.3810906,-0.3402844,0.0408062
85,0.1809099,0.08520979,"('ambitious', 'unambitious')",0.37584826,0.4009572,0.2783791,0.2430835,-0.0352956
17,-0.17376857,-0.07056439,"('social', 'antisocial')",0.21467331,0.34314,0.0204524,0.1362878,0.1158354
29,0.16520484,0.19305341,"('honest', 'immoral')",0.010827005,0.012176245,0.0880159,0.1026148,0.0145989
35,0.16438273,0.28510344,"('fair', 'unfair')",0.6823095,0.8080465,0.4233461,0.546575,0.1232289
93,-0.15364288,-0.09909935,"('dominating', 'dominated')",-0.010259807,-0.068330616,-0.0819513,-0.083715,-0.0017637
79,-0.14495495,-0.11569241,"('determined', 'doubtful')",0.73640937,0.60719174,0.2957272,0.2457497,-0.0499775
59,-0.13923323,0.04675421,"('skillful', 'clumsy')",-0.57307243,-0.35778472,-0.3561528,-0.1555153,0.2006375
71,0.13651294,0.18143252,"('efficient', 'inefficient')",-0.1050663,-0.30125988,0.0157233,-0.0599137,-0.075637
44,-0.116184905,-0.076549694,"('truthful', 'untruthful')",-0.33377153,-0.28548488,-0.2249782,-0.1810173,0.0439609
88,-0.110036924,-0.20609635,"('impulsive', 'meek')",0.17537387,0.09106828,0.0326685,-0.057514,-0.0901825
64,-0.10644852,-0.018941656,"('clever', 'incompetent')",-0.052300036,-0.038820803,-0.0793743,-0.0288812,0.0504931
82,0.10449806,-0.0013900399,"('industrious', 'meek')",-0.20992577,-0.19337463,-0.0527139,-0.0973823,-0.0446684
104,-0.09451145,-0.032428443,"('conventional', 'unconventional')",-1.1212995,-0.85816294,-0.6079055,-0.4452957,0.1626098
81,-0.08277381,-0.25511056,"('industrious', 'lazy')",0.09000689,-0.011856914,0.0036165,-0.1334837,-0.1371002
47,-0.07724637,-0.0071520507,"('forgiving', 'unforgiving')",0.23829865,0.3134904,0.0805261,0.1531692,0.0726431
92,0.074721456,-0.010468483,"('unwavering', 'wavering')",0.09596774,0.16530895,0.0853446,0.0774202,-0.0079244
23,-0.07283147,-0.13284104,"('hospitable', 'inhospitable')",0.61755586,0.5958723,0.2723622,0.2315156,-0.0408466
107,0.06465873,0.1887411,"('conventional', 'modern')",1.0982924,1.1989768,0.5814756,0.6938589,0.1123833
