,Howmet_male,Howmet_female,tuple,Aerospace_male,Aerospace_female,average_male,average_female,female-male
75,4.815115,4.8558183,"('confident', 'shy')",7.5439506,7.7333317,6.179533,6.2945747,0.1150417
53,-3.0178642,-3.1459808,"('smart', 'stupid')",-5.314276,-5.658907,-4.16607,-4.4024439,-0.2363739
40,-2.837463,-3.2250032,"('honorable', 'mean')",-5.265062,-5.60258,-4.0512624,-4.4137917,-0.3625293
95,-2.8245163,-3.0472414,"('rich', 'poor')",-6.482475,-6.7038093,-4.6534958,-4.8755255,-0.2220297
6,2.7166219,2.815396,"('liked', 'disliked')",6.5075483,7.1287107,4.6120853,4.9720535,0.3599682
27,-2.452426,-2.611775,"('sincere', 'insincere')",-6.1858497,-6.697583,-4.3191376,-4.6546793,-0.3355417
90,1.9912436,1.7869828,"('motivated', 'unmotivated')",1.129564,1.0124956,1.5604038,1.3997393,-0.1606645
66,1.9863398,2.1069636,"('imaginative', 'unimaginative')",2.4436786,2.520157,2.2150092,2.3135605,0.0985513
94,1.901921,1.87128,"('aggressive', 'submissive')",0.8037393,0.43836027,1.3528302,1.1548201,-0.1980101
25,1.8862867,1.6428891,"('moral', 'immoral')",0.20248884,-0.05917731,1.0443878,0.7918559,-0.2525319
3,1.8475255,1.6825627,"('likable', 'unlikable')",2.2413473,2.4598188,2.0444365,2.0711908,0.0267543
1,-1.8070413,-1.7794123,"('friendly', 'unfriendly')",-2.264719,-1.7950747,-2.0358801,-1.7872435,0.2486366
48,1.7534811,1.679121,"('reliable', 'unreliable')",3.3900094,3.1844785,2.5717454,2.4317999,-0.1399455
52,1.689812,1.6419406,"('competitive', 'uncompetitive')",0.46981806,0.2883048,1.079815,0.9651227,-0.1146923
109,1.6765634,1.676529,"('conservative', 'liberal')",1.3549271,0.8876102,1.5157452,1.2820697,-0.2336755
108,1.6765634,1.676529,"('conservative', 'liberal')",1.3549271,0.8876102,1.5157452,1.2820697,-0.2336755
15,1.6686063,1.6504958,"('polite', 'impolite')",1.0346465,0.84192646,1.3516264,1.2462111,-0.1054153
2,1.6447662,1.6624506,"('friendly', 'unfriendly')",0.019693255,-0.47418928,0.8322297,0.5941306,-0.2380991
32,-1.6428595,-1.5331683,"('benevolent', 'hardhearted')",-1.7601702,-1.3701396,-1.7015148,-1.451654,0.2498608
76,1.6274738,1.6082743,"('secure', 'insecure')",0.46223503,0.11735506,1.0448544,0.8628147,-0.1820397
14,1.6029296,1.4825457,"('supportive', 'unsupportive')",1.0464087,1.2227243,1.3246691,1.352635,0.0279659
107,1.5866573,1.6983111,"('conventional', 'modern')",1.1202629,0.8214568,1.3534601,1.2598839,-0.0935762
104,-1.4643426,-1.3706522,"('conventional', 'unconventional')",-1.0631884,-0.8624603,-1.2637656,-1.1165563,0.1472093
31,-1.4433151,-1.4192774,"('altruistic', 'egoistic')",-1.0939902,-0.8030312,-1.2686527,-1.1111543,0.1574984
71,1.4268382,1.2179378,"('efficient', 'inefficient')",-0.09347057,-0.6288605,0.6666838,0.2945387,-0.3721451
33,-1.4261186,-1.4043474,"('softhearted', 'hardhearted')",-1.4899757,-1.4234229,-1.4580472,-1.4138851,0.0441621
8,-1.3825783,-1.4711535,"('open', 'distant')",-0.32770488,0.054227144,-0.8551416,-0.7084632,0.1466784
103,1.3711501,1.3484441,"('traditional', 'modern')",1.2339959,0.90736353,1.302573,1.1279038,-0.1746692
41,-1.2762218,-1.0665898,"('incorrupt', 'corrupt')",0.28350872,0.8678645,-0.4963565,-0.0993627,0.3969938
10,-1.2060444,-1.0869946,"('affectionate', 'unaffectionate')",-1.6113791,-1.0925812,-1.4087118,-1.089788,0.3189238
60,1.196139,1.1960363,"('educated', 'uneducated')",0.0560371,-0.08340171,0.626088,0.5563173,-0.0697707
16,1.1807072,1.2106133,"('social', 'antisocial')",0.20822084,0.07652405,0.694464,0.6435686,-0.0508954
96,1.167714,1.1478194,"('powerful', 'powerless')",0.34909916,0.35628018,0.7584066,0.7520498,-0.0063568
105,-1.1570945,-1.1297848,"('conventional', 'modern')",-0.97506183,-1.0205319,-1.0660782,-1.0751584,-0.0090802
86,1.1309074,1.1340821,"('self-reliant', 'helpless')",2.9520338,3.1292224,2.0414705,2.1316524,0.0901819
11,-1.1112778,-1.1592977,"('caring', 'unaffectionate')",-2.3087974,-2.0383677,-1.7100376,-1.5988327,0.1112049
7,-1.0635493,-1.1759613,"('outgoing', 'distant')",0.1363005,0.5624863,-0.4636244,-0.3067375,0.1568869
12,1.0074719,0.9714138,"('sympathetic', 'unsympathetic')",-0.55249697,-0.91480863,0.2274875,0.0283026,-0.1991849
89,0.9844876,0.9348753,"('daring', 'anxious')",0.04596129,-0.31680918,0.5152245,0.3090331,-0.2061914
80,0.9434774,0.80498415,"('independent', 'dependent')",0.6977762,0.6194248,0.8206268,0.7122045,-0.1084223
110,-0.9403557,-0.742347,"('narrow-minded', 'open-minded')",-0.05611044,-0.27990866,-0.4982331,-0.5111278,-0.0128947
64,0.9166721,0.8203466,"('clever', 'incompetent')",-0.38268137,-0.8086866,0.2669954,0.00583,-0.2611654
68,-0.90494466,-0.9855139,"('clever', 'inept')",-1.126685,-1.2982233,-1.0158148,-1.1418686,-0.1260538
79,0.8956939,0.77590847,"('determined', 'doubtful')",0.25434154,0.213536,0.5750177,0.4947222,-0.0802955
70,0.8772733,0.8280555,"('wise', 'unwise')",0.6936516,0.843173,0.7854625,0.8356143,0.0501518
5,0.8752416,0.7889162,"('pleasant', 'repellent')",0.4987381,-0.033461645,0.6869898,0.3777273,-0.3092625
50,0.8405161,0.8964939,"('unprejudiced', 'prejudiced')",1.8108983,1.6030271,1.3257072,1.2497605,-0.0759467
102,0.83751005,0.7088569,"('eminent', 'low')",-0.8337858,-0.66368264,0.0018621,0.0225871,0.020725
78,0.8292531,0.55837446,"('active', 'inactive')",1.4837588,1.5464244,1.1565059,1.0523994,-0.1041065
0,0.7977674,0.75823545,"('sociable', 'unsociable')",0.16387582,0.10842425,0.4808216,0.4333299,-0.0474917
81,-0.78755164,-0.8634278,"('industrious', 'lazy')",0.9126196,1.5076632,0.062534,0.3221177,0.2595837
65,0.7763908,0.5237983,"('practical', 'impractical')",-0.5821868,-0.79009783,0.097102,-0.1331498,-0.2302518
28,-0.77350736,-0.79741555,"('honest', 'dishonest')",-1.8720871,-1.884046,-1.3227973,-1.3407308,-0.0179335
73,0.7282274,0.48618478,"('brilliant', 'incompetent')",-0.81047845,-1.1846128,-0.0411255,-0.349214,-0.3080885
99,-0.71359396,-0.73148775,"('prestigious', 'insignificant')",-1.2261763,-0.63174665,-0.9698851,-0.6816172,0.2882679
39,-0.6780845,-0.60239136,"('right', 'wrong')",-0.6322632,-0.09332462,-0.6551738,-0.347858,0.3073158
47,-0.661724,-0.660058,"('forgiving', 'unforgiving')",-0.3065493,-0.36422682,-0.4841366,-0.5121424,-0.0280058
19,-0.65379345,-0.642378,"('funny', 'boring')",-0.17349708,0.17328072,-0.4136453,-0.2345486,0.1790967
82,-0.6449925,-0.59081423,"('industrious', 'meek')",0.14179462,0.6855167,-0.2515989,0.0473512,0.2989501
84,-0.6333393,-0.70522404,"('self-confident', 'diffident')",-0.54818475,-0.34817517,-0.590762,-0.5266996,0.0640624
98,-0.61998403,-0.676796,"('prestigious', 'insignificant')",-0.8067225,-0.558151,-0.7133533,-0.6174735,0.0958798
22,0.5775454,0.5076319,"('welcoming', 'disagreeable')",0.73531765,0.8426961,0.6564316,0.675164,0.0187324
54,0.5769523,0.38526505,"('smart', 'stupid')",0.13094983,0.15542655,0.353951,0.2703458,-0.0836052
20,0.5517804,0.5003859,"('popular', 'unpopular')",-0.22839159,0.018692344,0.1616944,0.2595391,0.0978447
58,-0.5279804,-0.5902523,"('able', 'clumsy')",-1.0531437,-1.3970757,-0.790562,-0.993664,-0.203102
93,0.5247032,0.69177103,"('dominating', 'dominated')",0.69578874,0.38547772,0.6102459,0.5386244,-0.0716215
67,-0.51483357,-0.5253914,"('discriminating', 'undiscriminating')",-0.78705114,-0.6194088,-0.6509423,-0.5724001,0.0785422
77,0.5121662,0.4664222,"('active', 'inactive')",0.41438472,0.7656534,0.4632755,0.6160378,0.1527623
42,-0.5037061,-0.34739304,"('amicable', 'hostile')",0.21455383,0.73927116,-0.1445761,0.1959391,0.3405152
29,-0.4696948,-0.6144972,"('honest', 'immoral')",-0.99070245,-1.348958,-0.7301986,-0.9817276,-0.251529
21,0.40256584,0.38435513,"('nice', 'nasty')",0.5572634,0.4692645,0.4799146,0.4268098,-0.0531048
92,-0.39628726,-0.4977767,"('unwavering', 'wavering')",-0.20553064,-0.019540817,-0.300909,-0.2586588,0.0422502
36,0.37248194,0.28993344,"('tolerant', 'intolerant')",-1.1323472,-1.2272663,-0.3799326,-0.4686664,-0.0887338
34,-0.37243786,-0.34715083,"('loyal', 'disloyal')",-1.7822685,-1.7525508,-1.0773532,-1.0498508,0.0275024
43,-0.36514133,-0.3448458,"('genuine', 'fake')",-0.53204095,-0.6307254,-0.4485911,-0.4877856,-0.0391945
55,0.36462188,0.29293442,"('intelligent', 'unintelligent')",-1.1571945,-1.0274036,-0.3962863,-0.3672346,0.0290517
