,Illinois_male,Illinois_female,tuple,Tool_male,Tool_female,Works_male,Works_female,average_male,average_female,female-male
75,5.7694864,5.475749,"('confident', 'shy')",5.8574514,5.960947,3.903802,3.7366343,5.1769133,5.0577768,-0.1191365
27,-3.9621835,-3.8465,"('sincere', 'insincere')",-5.603322,-5.66878,-4.5321074,-4.2401953,-4.6992044,-4.5851583,0.1140461
40,-3.9512992,-4.003194,"('honorable', 'mean')",-4.2611113,-4.5601654,-3.6994123,-3.679811,-3.9706074,-4.0810566,-0.1104492
53,-3.7414155,-3.509543,"('smart', 'stupid')",-3.9833992,-4.242133,-3.0853415,-3.040522,-3.6033853,-3.5973994,0.0059859
6,3.6830902,3.5711515,"('liked', 'disliked')",5.0855103,5.3602753,3.1531925,3.0061946,3.973931,3.9792074,0.0052764
95,-3.6381187,-3.4649136,"('rich', 'poor')",-4.793232,-4.6652226,-3.455785,-3.3699136,-3.9623785,-3.8333499,0.1290286
86,2.3784397,2.1949325,"('self-reliant', 'helpless')",2.4062366,2.535418,1.9041735,1.676186,2.2296166,2.1355122,-0.0941044
3,1.9744799,1.8820542,"('likable', 'unlikable')",1.1896777,1.2183964,0.56898683,0.5424961,1.2443815,1.2143156,-0.0300659
50,1.7933754,1.5023841,"('unprejudiced', 'prejudiced')",1.7750201,1.82366,1.828458,1.6489697,1.7989511,1.6583379,-0.1406132
104,-1.7905924,-1.5451012,"('conventional', 'unconventional')",-0.4338271,-0.31923622,-0.2692544,-0.022144854,-0.8312247,-0.6288274,0.2023973
66,1.6757209,1.5786046,"('imaginative', 'unimaginative')",1.7239046,1.6138285,0.3927365,0.40997532,1.2641207,1.2008028,-0.0633179
99,-1.655435,-1.4739376,"('prestigious', 'insignificant')",0.08016887,0.16814601,0.6766119,0.7167102,-0.2995514,-0.1963605,0.1031909
32,-1.6374762,-1.3097944,"('benevolent', 'hardhearted')",-1.207401,-1.1095648,-1.4992621,-1.422835,-1.4480464,-1.2807314,0.167315
11,-1.6050173,-1.4711671,"('caring', 'unaffectionate')",-2.0577765,-2.2466803,-1.2588223,-1.3363318,-1.6405387,-1.6847264,-0.0441877
33,-1.5947721,-1.3931111,"('softhearted', 'hardhearted')",-0.57458156,-0.50147074,0.4795348,0.6396362,-0.563273,-0.4183152,0.1449578
34,-1.5752714,-1.3885504,"('loyal', 'disloyal')",-1.3813435,-1.171617,-1.0314487,-0.60361016,-1.3293546,-1.0545925,0.2747621
48,1.5002645,1.2191899,"('reliable', 'unreliable')",2.5769796,2.7794013,1.7899342,1.6579202,1.9557261,1.8855038,-0.0702223
58,-1.4537323,-1.3260605,"('able', 'clumsy')",-0.884568,-0.7198691,-0.81486887,-0.59733427,-1.0510564,-0.8810879,0.1699685
8,-1.4054406,-1.3285259,"('open', 'distant')",0.9007889,0.57163054,0.84832424,0.64954007,0.1145575,-0.0357851,-0.1503426
90,1.3334901,1.1678996,"('motivated', 'unmotivated')",0.6819305,0.6191927,1.0737803,0.8888025,1.0297337,0.8919649,-0.1377688
28,-1.3276001,-1.4305863,"('honest', 'dishonest')",-1.1208098,-1.3060898,-1.4932559,-1.40922,-1.3138886,-1.3819653,-0.0680767
94,1.2506161,1.167488,"('aggressive', 'submissive')",0.019960105,0.01480335,-0.003016509,0.16978996,0.4225199,0.4506937,0.0281738
16,1.2467017,1.2529325,"('social', 'antisocial')",-0.33666247,-0.25421315,-0.3201306,-0.18312263,0.1966362,0.2718656,0.0752294
105,-1.2184781,-1.1461086,"('conventional', 'modern')",-0.36401737,-0.5101681,-0.28801313,-0.39401075,-0.6235029,-0.6834292,-0.0599263
24,-1.2162838,-1.2572403,"('thoughtful', 'rough')",-0.100524545,-0.15390366,-0.032831937,-0.08943093,-0.4498801,-0.5001916,-0.0503115
31,-1.2125388,-1.1435646,"('altruistic', 'egoistic')",-0.39145422,-0.20421895,-1.0045009,-0.9043285,-0.8694979,-0.7507041,0.1187938
15,1.1964525,1.2203228,"('polite', 'impolite')",-0.13757583,0.06617256,0.4643222,0.6426382,0.5077329,0.6430446,0.1353117
52,1.1922946,1.136441,"('competitive', 'uncompetitive')",-0.12160981,-0.16455844,-0.33204222,-0.20344049,0.2462142,0.2561474,0.0099332
29,-1.1674007,-1.2912475,"('honest', 'immoral')",-0.90688425,-1.0346212,-0.72243637,-0.69124365,-0.9322405,-1.0057041,-0.0734636
109,1.1619622,1.0600752,"('conservative', 'liberal')",0.4311092,0.6839192,0.8082875,0.85224843,0.8004529,0.8654143,0.0649614
108,1.1619622,1.0600752,"('conservative', 'liberal')",0.4311092,0.6839192,0.8082875,0.85224843,0.8004529,0.8654143,0.0649614
98,-1.1027634,-0.90456533,"('prestigious', 'insignificant')",-0.11399175,-0.032043695,0.24668443,0.23240402,-0.3233569,-0.234735,0.0886219
92,-1.0655537,-1.0467094,"('unwavering', 'wavering')",0.38675743,0.45445123,0.17036264,0.30534518,-0.1694779,-0.0956377,0.0738402
1,-1.0412362,-0.85653895,"('friendly', 'unfriendly')",-1.791842,-1.8524154,-1.510647,-1.4149256,-1.4479084,-1.3746266,0.0732818
44,-0.9775104,-1.0811503,"('truthful', 'untruthful')",-1.4203101,-1.4231148,-0.92189413,-0.7017917,-1.1065715,-1.0686856,0.0378859
107,0.9031682,0.9647463,"('conventional', 'modern')",0.45141083,0.81448567,-0.16489068,-0.10206336,0.3965628,0.5590562,0.1624934
110,0.89791155,0.9233355,"('narrow-minded', 'open-minded')",-0.25030947,-0.14319915,-0.04194507,-0.2383363,0.2018857,0.1806,-0.0212857
93,0.89017636,0.8880027,"('dominating', 'dominated')",0.21582405,0.29517877,0.43337506,0.66226566,0.5131252,0.6151491,0.1020239
79,0.87379813,0.79868937,"('determined', 'doubtful')",-0.6328027,-0.68711084,-0.023695469,-0.0040980577,0.0724333,0.0358268,-0.0366065
10,-0.85300493,-0.62379324,"('affectionate', 'unaffectionate')",-1.0155455,-0.99447733,-0.92190075,-0.8945253,-0.9301503,-0.8375986,0.0925517
63,-0.8024771,-0.8430887,"('capable', 'incapable')",-0.786564,-0.49549127,0.3859502,0.3442179,-0.4010303,-0.331454,0.0695763
106,-0.79246694,-0.7734072,"('conventional', 'unconventional')",-0.47378534,-0.4892553,-0.030941807,-0.03838946,-0.432398,-0.433684,-0.001286
87,-0.79060197,-0.79349595,"('dedicated', 'undedicated')",-0.6242032,-0.69205964,-0.6101226,-0.59482765,-0.674976,-0.6934611,-0.0184851
101,0.7491694,0.84051824,"('successful', 'unsuccessful')",-1.0779839,-0.9518814,-0.59121567,-0.46937165,-0.3066767,-0.1935783,0.1130984
26,0.7485266,0.68744874,"('trustworthy', 'untrustworthy')",0.93887794,0.9819943,0.3338913,0.23035124,0.6737653,0.6332647,-0.0405006
103,0.72090703,0.7750642,"('traditional', 'modern')",1.0354806,1.1268234,1.5658149,1.5977247,1.1074009,1.1665374,0.0591365
49,-0.7035152,-0.89951533,"('responsible', 'irresponsible')",-1.0514432,-1.2308037,-0.45474586,-0.5434965,-0.7365681,-0.8912719,-0.1547038
13,-0.6995313,-0.6848674,"('helpful', 'unhelpful')",-2.8848982,-2.9171634,-2.129541,-1.9442742,-1.9046567,-1.8487682,0.0558885
51,0.67124355,0.63307124,"('competent', 'incompetent')",-0.34775367,-0.48640555,-0.26856065,-0.25241548,0.0183097,-0.0352499,-0.0535596
83,-0.6595179,-0.7945073,"('energetic', 'lethargic')",-0.08718507,-0.17421857,-0.029512167,0.111610234,-0.2587384,-0.2857052,-0.0269668
61,-0.6358557,-0.27230376,"('rational', 'irrational')",0.31078845,0.6227968,0.58144075,0.6952809,0.0854578,0.3485913,0.2631335
78,0.6112416,0.50556237,"('active', 'inactive')",1.7845336,1.3117583,1.5227516,1.338849,1.3061756,1.0520565,-0.2541191
38,-0.60255015,-0.49702853,"('kind', 'unkind')",-1.7286568,-1.3724036,-1.4199748,-1.079072,-1.2503939,-0.9828347,0.2675592
54,0.5917336,0.36614192,"('smart', 'stupid')",0.36819878,0.022651047,1.0388281,1.0327585,0.6662535,0.4738505,-0.192403
17,0.5725195,0.64670455,"('social', 'antisocial')",-0.4639036,-0.35333085,-0.34669492,-0.22041467,-0.0793597,0.0243197,0.1036794
96,0.538211,0.445298,"('powerful', 'powerless')",-0.1993013,-0.16189465,0.30981207,0.47216156,0.2162406,0.251855,0.0356144
57,0.52423334,0.36934257,"('able', 'unable')",0.29872358,0.10962668,0.8301182,0.5186677,0.551025,0.3325456,-0.2184794
37,0.5148129,0.536969,"('good', 'evil')",1.7271305,1.5788026,1.4969456,1.1168503,1.2462963,1.0775406,-0.1687557
68,-0.5114894,-0.7259991,"('clever', 'inept')",-0.4787991,-0.64823955,0.121906124,-0.17017029,-0.2894608,-0.514803,-0.2253422
74,-0.4989218,-0.6003433,"('insightful', 'unperceptive')",-0.7010574,-0.82303005,-0.5552276,-0.4490908,-0.5850689,-0.6241547,-0.0390858
5,0.49846995,0.41013804,"('pleasant', 'repellent')",0.26384187,0.2068612,-0.21428752,-0.19240782,0.1826748,0.1415305,-0.0411443
12,-0.47003716,-0.55958104,"('sympathetic', 'unsympathetic')",-0.8500097,-1.0953456,-0.47222543,-0.2284146,-0.5974241,-0.6277804,-0.0303563
69,-0.44094205,-0.28057283,"('wise', 'foolish')",-0.11450365,0.017232306,0.3911466,0.42748865,-0.0547664,0.054716,0.1094824
21,0.4345492,0.38385427,"('nice', 'nasty')",0.7097496,0.6338521,0.30612618,0.120682776,0.483475,0.379463,-0.104012
71,0.40759277,0.03359139,"('efficient', 'inefficient')",-1.0346903,-1.3994509,-0.25444186,-0.42218673,-0.2938464,-0.5960154,-0.302169
4,-0.38942954,-0.43751135,"('likable', 'unlikable')",-0.44735467,-0.22836831,-0.54793847,-0.56754124,-0.4615742,-0.4111403,0.0504339
18,-0.3836336,-0.49710563,"('social', 'asocial')",-0.7357304,-0.68008184,-0.8599385,-0.86398,-0.6597675,-0.6803892,-0.0206217
82,0.3830449,0.51116717,"('industrious', 'meek')",0.14306977,0.2611604,0.18419325,0.088584006,0.2367693,0.2869705,0.0502012
88,0.37002394,0.35596174,"('impulsive', 'meek')",1.5929416,1.667136,0.46204373,0.22233903,0.8083364,0.7484789,-0.0598575
14,0.3683296,0.21239057,"('supportive', 'unsupportive')",0.7102055,0.51033497,0.24531451,0.17630516,0.4412832,0.2996769,-0.1416063
77,-0.3666314,-0.17057587,"('active', 'inactive')",1.1918776,1.1581523,1.3471713,1.4106858,0.7241392,0.7994208,0.0752816
47,-0.36108947,-0.22673637,"('forgiving', 'unforgiving')",-0.8469521,-0.71115303,-0.8211349,-0.7200967,-0.6763922,-0.5526621,0.1237301
81,0.3600805,0.36322442,"('industrious', 'lazy')",1.0989821,1.1019448,1.1992149,1.0786299,0.8860925,0.847933,-0.0381595
100,-0.34458014,-0.13584737,"('influential', 'uninfluential')",-0.68461645,-0.648693,-0.7656571,-0.36203226,-0.5982846,-0.3821909,0.2160937
19,0.34381253,0.4466961,"('funny', 'boring')",-0.32526898,-0.2958765,-0.2625733,-0.15037191,-0.0813433,0.0001492,0.0814925
42,-0.34154284,-0.043976188,"('amicable', 'hostile')",0.94606376,1.0996567,0.50972986,0.5783077,0.3714169,0.5446627,0.1732458
35,0.34074628,0.35909146,"('fair', 'unfair')",1.0727433,1.0728939,0.7562683,0.7189814,0.7232526,0.7169889,-0.0062637
59,0.33024856,0.4819218,"('skillful', 'clumsy')",-0.07456763,0.22857703,0.6363908,0.7770207,0.2973572,0.4958398,0.1984826
9,-0.32412797,-0.44793692,"('sensitive', 'insensitive')",-0.897051,-1.2336545,-0.39274508,-0.23653981,-0.5379747,-0.6393771,-0.1014024
85,-0.31520635,-0.36515057,"('ambitious', 'unambitious')",-0.67927355,-0.64013225,-1.7113336,-1.7601136,-0.9019378,-0.9217989,-0.0198611
