,Fortive_male,Fortive_female,tuple,average_male,average_female,female-male
75,3.5617394,3.1151752,"('confident', 'shy')",3.561739444732666,3.115175247192383,-0.4465641975402832
6,2.8009982,2.980882,"('liked', 'disliked')",2.8009982109069824,2.980881929397583,0.17988371849060059
53,-2.6476543,-2.6890407,"('smart', 'stupid')",-2.6476542949676514,-2.6890406608581543,-0.04138636589050293
95,-2.6194005,-2.6446087,"('rich', 'poor')",-2.6194005012512207,-2.644608736038208,-0.025208234786987305
27,-2.5068054,-2.508819,"('sincere', 'insincere')",-2.506805419921875,-2.508819103240967,-0.002013683319091797
40,-2.4584255,-2.3188767,"('honorable', 'mean')",-2.458425521850586,-2.3188767433166504,0.13954877853393555
34,-1.6666286,-1.2548409,"('loyal', 'disloyal')",-1.6666285991668701,-1.2548408508300781,0.411787748336792
106,-1.6582268,-1.5946603,"('conventional', 'unconventional')",-1.6582268476486206,-1.5946602821350098,0.06356656551361084
90,1.5821397,1.4398997,"('motivated', 'unmotivated')",1.5821397304534912,1.4398996829986572,-0.14224004745483398
63,-1.3847525,-1.1159648,"('capable', 'incapable')",-1.3847525119781494,-1.1159647703170776,0.2687877416610718
103,1.2958297,1.2539803,"('traditional', 'modern')",1.2958296537399292,1.253980278968811,-0.041849374771118164
78,1.1887529,1.0955191,"('active', 'inactive')",1.1887528896331787,1.0955190658569336,-0.09323382377624512
66,1.1824518,1.2652366,"('imaginative', 'unimaginative')",1.182451844215393,1.2652366161346436,0.08278477191925049
31,-1.1785634,-0.82328284,"('altruistic', 'egoistic')",-1.1785633563995361,-0.8232828378677368,0.3552805185317993
13,-1.1641856,-1.3513207,"('helpful', 'unhelpful')",-1.164185643196106,-1.351320743560791,-0.18713510036468506
20,-1.0924376,-0.5301923,"('popular', 'unpopular')",-1.0924376249313354,-0.5301923155784607,0.5622453093528748
14,1.0534872,1.1413889,"('supportive', 'unsupportive')",1.0534871816635132,1.1413888931274414,0.08790171146392822
71,1.0172054,0.3647939,"('efficient', 'inefficient')",1.0172053575515747,0.36479389667510986,-0.6524114608764648
99,-1.0032988,-0.41045818,"('prestigious', 'insignificant')",-1.0032987594604492,-0.41045817732810974,0.5928405821323395
11,-0.97021055,-0.58890617,"('caring', 'unaffectionate')",-0.9702105522155762,-0.5889061689376831,0.38130438327789307
10,-0.9190535,-0.5198421,"('affectionate', 'unaffectionate')",-0.9190534949302673,-0.5198420882225037,0.39921140670776367
104,-0.8873806,-0.5395012,"('conventional', 'unconventional')",-0.8873805999755859,-0.5395011901855469,0.34787940979003906
59,-0.87544864,-0.865975,"('skillful', 'clumsy')",-0.8754486441612244,-0.865975022315979,0.009473621845245361
72,-0.87434655,-0.58835006,"('logical', 'illogical')",-0.8743465542793274,-0.5883500576019287,0.2859964966773987
39,-0.86238736,-0.46566087,"('right', 'wrong')",-0.8623873591423035,-0.46566087007522583,0.39672648906707764
16,0.86063087,0.3072312,"('social', 'antisocial')",0.8606308698654175,0.30723118782043457,-0.5533996820449829
69,-0.809793,-0.756508,"('wise', 'foolish')",-0.8097929954528809,-0.7565079927444458,0.05328500270843506
105,-0.7904202,-0.70482343,"('conventional', 'modern')",-0.7904201745986938,-0.7048234343528748,0.08559674024581909
29,-0.7814502,-0.69402826,"('honest', 'immoral')",-0.7814502120018005,-0.6940282583236694,0.0874219536781311
1,-0.78035694,-0.29620653,"('friendly', 'unfriendly')",-0.7803569436073303,-0.296206533908844,0.48415040969848633
