,Interpublic_male,Interpublic_female,tuple,Group_male,Group_female,average_male,average_female,female-male
52,2.5857482,2.479402,"('competitive', 'uncompetitive')",-0.0655148,-0.03451228,1.2601167,1.2224449,-0.0376718
12,2.5667024,2.5362515,"('sympathetic', 'unsympathetic')",-0.7666068,-0.9300687,0.9000478,0.8030914,-0.0969564
2,2.513007,2.5030897,"('friendly', 'unfriendly')",-0.44472814,-0.44586506,1.0341394,1.0286123,-0.0055271
107,2.319031,2.3785148,"('conventional', 'modern')",0.738622,0.5124657,1.5288265,1.4454902,-0.0833363
99,-2.2697937,-2.0371592,"('prestigious', 'insignificant')",0.30995694,0.51857895,-0.9799184,-0.7592901,0.2206283
75,2.2413433,2.0718079,"('confident', 'shy')",4.330084,4.403369,3.2857137,3.2375884,-0.0481253
81,-2.2315042,-2.2761383,"('industrious', 'lazy')",0.85116386,1.0533849,-0.6901702,-0.6113767,0.0787935
64,2.1338174,2.0129366,"('clever', 'incompetent')",-0.59013754,-0.609126,0.77184,0.7019053,-0.0699347
41,-2.0975893,-1.8823473,"('incorrupt', 'corrupt')",0.68986225,1.0056114,-0.7038635,-0.438368,0.2654955
71,2.0810654,1.856375,"('efficient', 'inefficient')",-0.76204103,-1.0111597,0.6595122,0.4226077,-0.2369045
8,-1.9278388,-2.0124207,"('open', 'distant')",0.3030251,0.30584526,-0.8124068,-0.8532877,-0.0408809
100,1.7707872,1.7386477,"('influential', 'uninfluential')",-0.5620071,-0.310604,0.60439,0.7140219,0.1096319
55,1.7555587,1.7508214,"('intelligent', 'unintelligent')",-0.21457824,-0.08281401,0.7704902,0.8340037,0.0635135
82,-1.7477131,-1.6502156,"('industrious', 'meek')",0.9025123,1.1112237,-0.4226004,-0.269496,0.1531044
94,1.7396185,1.7904118,"('aggressive', 'submissive')",0.06651914,-0.14785033,0.9030688,0.8212807,-0.0817881
16,1.6974013,1.7560298,"('social', 'antisocial')",-0.76079905,-0.7872024,0.4683011,0.4844137,0.0161126
14,1.6536717,1.3407931,"('supportive', 'unsupportive')",0.16738492,-0.07455863,0.9105283,0.6331173,-0.277411
69,-1.6475139,-1.5735991,"('wise', 'foolish')",0.4258079,0.60023564,-0.610853,-0.4866817,0.1241713
49,1.628298,1.4680544,"('responsible', 'irresponsible')",-1.5279363,-1.7914209,0.0501809,-0.1616833,-0.2118642
15,1.5691528,1.542881,"('polite', 'impolite')",0.6039482,0.6048941,1.0865505,1.0738876,-0.0126629
76,1.5612494,1.6426835,"('secure', 'insecure')",-0.33648872,-0.32083607,0.6123803,0.6609237,0.0485434
0,1.5449661,1.562362,"('sociable', 'unsociable')",-0.40689105,-0.3461396,0.5690376,0.6081111,0.0390735
