,Cisco_male,Cisco_female,tuple,Systems_male,Systems_female,average_male,average_female,female-male
50,-4.3889112,-3.7360187,"('rich', 'poor')",-1.9578255,-1.6763259,-3.173368453979492,-2.706172227859497,0.4671962261199951
3,4.366556,3.7189083,"('liked', 'disliked')",2.9986815,2.852622,3.6826188564300537,3.2857651710510254,-0.3968536853790283
30,-3.9480207,-3.2093363,"('smart', 'stupid')",-2.4911249,-2.214212,-3.2195727825164795,-2.7117741107940674,0.5077986717224121
1,-3.0095382,-2.724227,"('friendly', 'unfriendly')",-1.9506769,-1.9324316,-2.480107545852661,-2.32832932472229,0.1517782211303711
26,2.9848747,2.820644,"('reliable', 'unreliable')",2.039377,2.0479054,2.5121259689331055,2.434274673461914,-0.0778512954711914
28,2.2562118,1.8531625,"('unprejudiced', 'prejudiced')",2.0223527,1.8385575,2.1392822265625,1.8458600044250488,-0.29342222213745117
57,1.9449787,1.7859113,"('conservative', 'liberal')",0.07683696,0.114937305,1.0109078884124756,0.950424313545227,-0.060483574867248535
15,-1.770256,-1.2175274,"('loyal', 'disloyal')",-1.34535,-1.0199142,-1.5578030347824097,-1.1187207698822021,0.4390822649002075
41,1.7123201,1.1243253,"('confident', 'shy')",0.52722263,0.10548611,1.1197713613510132,0.6149057149887085,-0.5048656463623047
36,-1.682157,-1.6897655,"('capable', 'incapable')",-0.5245064,-0.4129692,-1.1033316850662231,-1.0513672828674316,0.051964402198791504
52,-1.6034513,-1.2102892,"('superior', 'inferior')",-1.3024662,-1.4937251,-1.4529587030410767,-1.3520071506500244,0.10095155239105225
22,-1.5903053,-1.2106664,"('amicable', 'hostile')",0.79490876,0.66364247,-0.3976982831954956,-0.27351197600364685,0.12418630719184875
24,1.5214207,1.4769565,"('generous', 'stingy')",0.81437856,0.89346004,1.1678996086120605,1.1852083206176758,0.017308712005615234
35,-1.478735,-1.3957415,"('creative', 'uncreative')",-1.2928656,-1.3340069,-1.3858003616333008,-1.3648741245269775,0.020926237106323242
5,-1.4477386,-1.2851555,"('helpful', 'unhelpful')",-2.4495797,-2.2480347,-1.9486591815948486,-1.7665951251983643,0.18206405639648438
6,1.3255022,1.1616538,"('supportive', 'unsupportive')",-0.0075255632,-0.081918314,0.6589882969856262,0.5398676991462708,-0.11912059783935547
20,-1.2338126,-1.0748479,"('right', 'wrong')",-0.5248566,-0.69423294,-0.879334568977356,-0.8845404386520386,-0.005205869674682617
44,1.1409962,1.1319654,"('active', 'inactive')",2.142954,1.6869825,1.6419751644134521,1.4094738960266113,-0.23250126838684082
7,1.1175828,1.123749,"('polite', 'impolite')",0.5952866,0.7872113,0.85643470287323,0.95548015832901,0.09904545545578003
39,-1.109098,-1.0929027,"('wise', 'foolish')",-0.20375082,-0.3081831,-0.6564244031906128,-0.7005428671836853,-0.04411846399307251
14,-1.0969746,-0.99315053,"('honest', 'dishonest')",-0.7713704,-0.6217643,-0.934172511100769,-0.807457447052002,0.1267150640487671
19,-1.0933135,-0.5605614,"('kind', 'unkind')",-1.1094748,-0.57110417,-1.1013941764831543,-0.565832793712616,0.5355613827705383
55,-1.0421867,-0.94061506,"('conventional', 'unconventional')",-0.94631135,-0.9231115,-0.9942490458488464,-0.9318633079528809,0.062385737895965576
23,1.0321815,0.84625155,"('truthful', 'untruthful')",-0.4601766,-0.22362188,0.2860024571418762,0.31131482124328613,0.025312364101409912
40,-0.99784625,-0.9678266,"('logical', 'illogical')",-1.6519148,-1.5572786,-1.324880599975586,-1.2625526189804077,0.06232798099517822
46,0.98803717,1.0079567,"('energetic', 'lethargic')",0.22389336,0.2977602,0.605965256690979,0.6528584957122803,0.04689323902130127
43,-0.9028208,-0.56559277,"('active', 'inactive')",-0.092001274,0.007843081,-0.4974110424518585,-0.27887484431266785,0.21853619813919067
8,-0.883976,-0.83195823,"('popular', 'unpopular')",0.40911517,0.5814162,-0.2374304085969925,-0.1252710223197937,0.11215938627719879
47,0.8664262,0.81853557,"('ambitious', 'unambitious')",-0.03195566,0.15594444,0.41723528504371643,0.4872400164604187,0.07000473141670227
34,-0.8530537,-0.9280089,"('rational', 'irrational')",-0.6555582,-0.5020634,-0.7543059587478638,-0.715036153793335,0.03926980495452881
49,0.8443254,0.5606073,"('motivated', 'unmotivated')",0.52346444,0.45642096,0.68389493227005,0.5085141658782959,-0.17538076639175415
16,0.8418174,1.0951552,"('fair', 'unfair')",0.48153853,0.33995953,0.6616779565811157,0.7175573706626892,0.055879414081573486
13,0.8190706,0.83128136,"('sincere', 'insincere')",-0.05051452,0.3345763,0.3842780292034149,0.5829288363456726,0.1986508071422577
33,-0.80528325,-0.36988652,"('educated', 'uneducated')",-0.9830227,-0.49261305,-0.8941529989242554,-0.43124979734420776,0.4629032015800476
48,-0.7980397,-0.7024362,"('dedicated', 'undedicated')",-0.73637307,-0.5303321,-0.7672063708305359,-0.6163841485977173,0.1508222222328186
38,-0.70149237,-0.5318517,"('discriminating', 'undiscriminating')",-1.3010819,-1.2409439,-1.0012871026992798,-0.8863978385925293,0.11488926410675049
42,0.68401366,0.5285605,"('secure', 'insecure')",-0.059319526,0.27649367,0.31234705448150635,0.4025270938873291,0.09018003940582275
9,0.6790701,0.7316563,"('nice', 'nasty')",0.38015062,0.1256333,0.5296103954315186,0.4286448061466217,-0.10096558928489685
29,0.6758896,0.6031879,"('competent', 'incompetent')",0.02704838,0.21570212,0.3514689803123474,0.40944501757621765,0.05797603726387024
17,-0.66073704,-0.7786733,"('tolerant', 'intolerant')",-2.0146532,-1.7527831,-1.3376951217651367,-1.265728235244751,0.07196688652038574
18,-0.64765686,-0.82040364,"('good', 'evil')",0.9325593,0.58036005,0.1424512267112732,-0.12002179026603699,-0.2624730169773102
45,0.565091,0.5469352,"('independent', 'dependent')",0.7277531,0.65272737,0.6464220285415649,0.5998312830924988,-0.04659074544906616
12,0.54974836,0.56363255,"('trustworthy', 'untrustworthy')",-0.21658473,-0.113443375,0.16658180952072144,0.22509458661079407,0.05851277709007263
53,-0.5108017,-0.41702762,"('influential', 'uninfluential')",-1.1487914,-0.8694543,-0.829796552658081,-0.6432409882545471,0.18655556440353394
51,-0.46650892,-0.23989934,"('powerful', 'powerless')",-1.2285715,-1.0521195,-0.8475402593612671,-0.6460094451904297,0.2015308141708374
37,0.46303153,0.38132527,"('practical', 'impractical')",-1.2499514,-1.0956075,-0.39345991611480713,-0.3571411371231079,0.03631877899169922
31,-0.38518992,-0.4122556,"('intelligent', 'unintelligent')",-1.1737725,-0.88230264,-0.7794811725616455,-0.6472791433334351,0.13220202922821045
10,-0.36406422,-0.40638387,"('hospitable', 'inhospitable')",0.65027624,0.43172333,0.14310601353645325,0.012669727206230164,-0.13043628633022308
32,-0.36299485,-0.5193148,"('able', 'unable')",-0.52228934,-0.55724204,-0.44264209270477295,-0.5382784605026245,-0.09563636779785156
56,0.34359723,0.33610132,"('conventional', 'unconventional')",-0.68592376,-0.59780425,-0.17116326093673706,-0.13085146248340607,0.040311798453330994
2,0.3414461,0.7093377,"('likable', 'unlikable')",-0.13079698,0.14009458,0.10532455891370773,0.42471614480018616,0.3193915858864784
54,-0.28304183,-0.27662274,"('successful', 'unsuccessful')",-1.3414087,-0.9586401,-0.8122252821922302,-0.6176314353942871,0.19459384679794312
0,-0.2412535,-0.051725388,"('sociable', 'unsociable')",-1.0426133,-0.6560468,-0.6419333815574646,-0.35388609766960144,0.28804728388786316
4,-0.18764985,-0.22988957,"('sensitive', 'insensitive')",-0.590878,-0.6507538,-0.38926392793655396,-0.440321683883667,-0.05105775594711304
25,0.15613526,0.16213596,"('forgiving', 'unforgiving')",-0.4566392,-0.3444274,-0.15025196969509125,-0.09114572405815125,0.05910624563694
21,0.146775,0.27359605,"('incorrupt', 'corrupt')",2.058444,1.7380614,1.1026095151901245,1.0058287382125854,-0.09678077697753906
11,-0.0027611852,0.09907538,"('moral', 'immoral')",-1.345743,-1.0670695,-0.6742520332336426,-0.48399707674980164,0.19025495648384094
27,0.00037133694,0.022439718,"('responsible', 'irresponsible')",-0.87759095,-0.8752056,-0.4386098086833954,-0.4263829290866852,0.012226879596710205
