,Huntington_male,Huntington_female,tuple,Bancshares_male,Bancshares_female,average_male,average_female,female-male
75,6.469302,6.2945857,"('confident', 'shy')",1.464165,1.5038725,3.9667335,3.899229,-0.0675045
27,-4.3392386,-4.3274517,"('sincere', 'insincere')",0.9571695,0.99107003,-1.6910346,-1.6681908,0.0228438
95,-4.018452,-4.0405455,"('rich', 'poor')",-0.13414234,-0.16619974,-2.0762973,-2.1033726,-0.0270753
6,3.9825141,4.0921583,"('liked', 'disliked')",-0.4406553,-0.5095333,1.7709295,1.7913125,0.020383
40,-3.6905856,-3.7758484,"('honorable', 'mean')",0.040998876,-0.20162763,-1.8247933,-1.9887381,-0.1639448
53,-2.9687982,-2.8167896,"('smart', 'stupid')",-1.0396328,-1.0464815,-2.0042155,-1.9316356,0.0725799
48,2.6161246,2.5730855,"('reliable', 'unreliable')",0.012585536,-0.16845426,1.3143551,1.2023157,-0.1120394
33,-2.4474742,-2.1672637,"('softhearted', 'hardhearted')",0.16237947,0.29754847,-1.1425474,-0.9348576,0.2076898
86,2.357704,2.419805,"('self-reliant', 'helpless')",-0.17966308,-0.2231945,1.0890204,1.0983052,0.0092848
50,2.3279495,2.1964822,"('unprejudiced', 'prejudiced')",0.42000484,0.26908207,1.3739772,1.2327821,-0.1411951
3,2.2011638,2.104032,"('likable', 'unlikable')",-0.050350104,-0.13030955,1.0754068,0.9868612,-0.0885456
32,-2.1569943,-1.975782,"('benevolent', 'hardhearted')",-1.2675146,-1.0490892,-1.7122545,-1.5124357,0.1998188
1,-2.0770423,-1.946415,"('friendly', 'unfriendly')",0.03350497,0.100236714,-1.0217687,-0.9230891,0.0986796
99,-2.0709357,-1.9140073,"('prestigious', 'insignificant')",-0.822593,-0.9238706,-1.4467643,-1.418939,0.0278253
11,-1.9380993,-1.9102247,"('caring', 'unaffectionate')",0.2622541,0.33878195,-0.8379226,-0.7857214,0.0522012
15,1.893067,1.9722418,"('polite', 'impolite')",1.1570737,1.2554767,1.5250704,1.6138592,0.0887888
98,-1.8019162,-1.6197197,"('prestigious', 'insignificant')",-0.52328223,-0.53229976,-1.1625992,-1.0760098,0.0865894
56,1.7704135,1.95838,"('intelligent', 'dumb')",0.19978628,0.14542115,0.9850999,1.0519006,0.0668007
105,-1.755683,-1.8688898,"('conventional', 'modern')",-0.7750606,-0.73725677,-1.2653718,-1.3030733,-0.0377015
62,-1.6367922,-1.6420465,"('creative', 'uncreative')",-0.042905122,-0.09116806,-0.8398486,-0.8666072,-0.0267586
10,-1.6192608,-1.4784925,"('affectionate', 'unaffectionate')",-0.07349692,-0.011973843,-0.8463789,-0.7452332,0.1011457
