,C._male,C._female,tuple,H._male,H._female,Robinson_male,Robinson_female,average_male,average_female,female-male
75,3.5224822,3.373673,"('confident', 'shy')",1.629344,1.4880232,5.2201138,5.139392,3.4573132,3.333696,-0.1236172
71,2.4029384,1.3621051,"('efficient', 'inefficient')",-0.9800528,-1.206682,-0.15012044,-0.29291534,0.4242551,-0.0458307,-0.4700858
67,-2.299112,-2.1000233,"('discriminating', 'undiscriminating')",-1.3838904,-1.2440033,-0.08924194,-0.11802906,-1.2574148,-1.1540186,0.1033962
21,2.2778964,2.2085447,"('nice', 'nasty')",1.2950054,1.2709138,0.72146463,0.6218027,1.4314555,1.367087,-0.0643685
95,-2.2205803,-2.1798382,"('rich', 'poor')",-0.95811737,-0.94027007,-3.5685823,-3.5999193,-2.2490934,-2.2400091,0.0090843
40,-2.196019,-2.4227648,"('honorable', 'mean')",-1.117683,-1.3291059,-3.3199484,-3.4186206,-2.2112169,-2.3901637,-0.1789468
32,-2.0891876,-2.0006878,"('benevolent', 'hardhearted')",-1.829101,-1.8184748,-1.3339467,-1.1162742,-1.7507451,-1.6451456,0.1055995
15,2.0755005,1.7561982,"('polite', 'impolite')",1.0901668,1.0611674,0.5126716,0.52618444,1.226113,1.1145167,-0.1115963
93,2.0246413,1.576689,"('dominating', 'dominated')",-0.35230547,-0.29996032,0.13085037,0.16711602,0.6010621,0.4812816,-0.1197805
31,-2.001431,-1.8263698,"('altruistic', 'egoistic')",-0.5954003,-0.5676075,-0.511171,-0.49333143,-1.0360007,-0.9624362,0.0735645
105,-1.843004,-1.6373016,"('conventional', 'modern')",-1.090938,-0.9797406,-0.83148026,-0.84068346,-1.2551407,-1.1525752,0.1025655
13,1.8146102,1.5510056,"('helpful', 'unhelpful')",-0.05281058,-0.19134298,-0.9049165,-0.8364265,0.2856277,0.1744121,-0.1112156
99,-1.796123,-1.4093482,"('prestigious', 'insignificant')",-0.37391406,-0.5701736,0.23855507,0.1498414,-0.6438273,-0.6098935,0.0339338
1,-1.7356366,-1.3978823,"('friendly', 'unfriendly')",-1.412264,-1.527833,-0.4390192,-0.2707903,-1.1956399,-1.0655019,0.130138
62,-1.7333554,-1.4579253,"('creative', 'uncreative')",-0.51036096,-0.5709919,-0.2703926,-0.21779379,-0.8380363,-0.7489037,0.0891326
51,-1.6931906,-1.7741317,"('competent', 'incompetent')",-1.8414998,-1.8570809,0.17220983,0.076449774,-1.1208269,-1.1849209,-0.064094
42,-1.6610276,-0.81013274,"('amicable', 'hostile')",0.26239467,0.41859013,-0.009408146,0.010702521,-0.469347,-0.1269467,0.3424003
76,1.6360179,1.3142987,"('secure', 'insecure')",0.5969787,0.6752336,0.081359014,0.15922861,0.7714519,0.7162537,-0.0551982
94,1.6220671,1.4197248,"('aggressive', 'submissive')",0.19234684,0.025124311,1.1256682,1.1737182,0.9800274,0.8728558,-0.1071716
37,-1.603229,-1.1832892,"('good', 'evil')",0.6519266,0.7107377,1.6106863,1.4721383,0.2197946,0.3331956,0.113401
102,1.5965483,1.6078066,"('eminent', 'low')",1.0563794,0.8897774,0.34923506,0.37118173,1.000721,0.9562552,-0.0444658
50,1.5575628,1.720661,"('unprejudiced', 'prejudiced')",2.164596,2.1349294,1.4390128,1.2629551,1.7203906,1.7061818,-0.0142088
2,1.4755862,1.0024058,"('friendly', 'unfriendly')",-1.1235918,-1.1778791,0.06685762,0.17992564,0.1396173,0.0014841,-0.1381332
20,-1.4332743,-0.9399526,"('popular', 'unpopular')",0.29809147,0.45807552,1.0587733,1.0088583,-0.0254699,0.1756604,0.2011303
89,1.3985015,1.1257589,"('daring', 'anxious')",0.8620585,0.7259963,-0.07438628,-0.17068015,0.7287246,0.5603583,-0.1683663
54,1.370334,1.1851226,"('smart', 'stupid')",1.0565017,0.78642726,0.29835752,0.14791915,0.9083978,0.7064896,-0.2019082
47,-1.3336011,-1.3790557,"('forgiving', 'unforgiving')",-1.223641,-1.3855274,-1.1893759,-1.083172,-1.2488727,-1.282585,-0.0337123
82,-1.3084229,-1.0422224,"('industrious', 'meek')",-0.5117755,-0.37859774,0.46317738,0.48601604,-0.4523404,-0.3116014,0.140739
23,-1.2787832,-0.9182075,"('hospitable', 'inhospitable')",1.3309208,1.1987747,0.68101597,0.5326348,0.2443845,0.2710673,0.0266828
44,1.2389084,1.1869142,"('truthful', 'untruthful')",0.48853028,0.36032292,-0.55892146,-0.60896754,0.3895057,0.3127565,-0.0767492
109,1.233798,1.0228677,"('conservative', 'liberal')",0.43928233,0.5417711,1.2282753,1.178817,0.9671186,0.9144853,-0.0526333
108,1.233798,1.0228677,"('conservative', 'liberal')",0.43928233,0.5417711,1.2282753,1.178817,0.9671186,0.9144853,-0.0526333
49,1.2241746,0.6986797,"('responsible', 'irresponsible')",-0.020271003,-0.24669054,-1.3973312,-1.5650222,-0.0644759,-0.371011,-0.3065351
81,-1.2179179,-0.9624726,"('industrious', 'lazy')",0.043476462,0.09837693,1.0862161,0.96680737,-0.0294085,0.0342372,0.0636457
90,1.2099445,0.89740103,"('motivated', 'unmotivated')",0.69636035,0.44870752,0.40306792,0.118976206,0.7697909,0.4883616,-0.2814293
73,1.1994314,0.45697382,"('brilliant', 'incompetent')",-0.8744115,-1.196837,-0.27229887,-0.50628114,0.0175737,-0.4153814,-0.4329551
18,1.0892539,0.80879736,"('social', 'asocial')",-1.0143495,-1.0983543,-1.077705,-0.948199,-0.3342669,-0.4125853,-0.0783184
100,-1.076488,-0.9664078,"('influential', 'uninfluential')",-1.1552352,-1.0933387,0.049674332,0.33710465,-0.7273497,-0.5742139,0.1531358
104,-1.0602309,-0.8078294,"('conventional', 'unconventional')",-0.43479493,-0.5154133,-1.35963,-1.0810978,-0.9515519,-0.8014468,0.1501051
78,1.0259571,1.140584,"('active', 'inactive')",1.7033155,1.573322,1.3885127,1.0882697,1.3725952,1.2673919,-0.1052033
33,-0.9933721,-0.92188126,"('softhearted', 'hardhearted')",-1.9941305,-2.0090957,-0.5139099,-0.43696588,-1.1671375,-1.1226476,0.0444899
10,-0.96851677,-0.8208261,"('affectionate', 'unaffectionate')",-0.5156541,-0.70661604,-0.9958077,-0.9539579,-0.8266595,-0.8271333,-0.0004738
46,-0.9112158,-0.727685,"('generous', 'stingy')",-0.7079144,-0.7499139,1.8347952,2.0128634,0.0718884,0.1784215,0.1065331
19,-0.9005532,-0.572958,"('funny', 'boring')",-0.2259869,-0.04518518,0.4379981,0.42501718,-0.229514,-0.0643753,0.1651387
8,-0.8536738,-0.65722257,"('open', 'distant')",-0.20489794,-0.22369689,0.18855639,0.14277643,-0.2900051,-0.2460477,0.0439574
12,0.84268725,0.6220895,"('sympathetic', 'unsympathetic')",-1.2387719,-1.3239994,-0.78532207,-0.66950047,-0.3938022,-0.4571368,-0.0633346
98,-0.8390726,-0.601735,"('prestigious', 'insignificant')",0.3261945,0.047144964,-0.34563166,-0.480389,-0.2861699,-0.344993,-0.0588231
74,-0.8273654,-0.8532549,"('insightful', 'unperceptive')",-1.5543323,-1.7935102,-0.17238745,-0.1495584,-0.8513617,-0.9321078,-0.0807461
41,-0.81956327,-0.088014126,"('incorrupt', 'corrupt')",0.43288642,0.66513616,0.31111684,0.39315096,-0.0251867,0.3234243,0.348611
58,0.77007514,0.7102266,"('able', 'clumsy')",-0.7206541,-0.6778679,-1.2956715,-1.0842116,-0.4154168,-0.3506176,0.0647992
14,0.7629753,0.8001031,"('supportive', 'unsupportive')",-0.1428793,-0.4642123,0.4956342,0.39996535,0.3719101,0.2452854,-0.1266247
97,-0.76214653,-0.3532272,"('superior', 'inferior')",-0.41912335,-0.3818299,-0.8492632,-0.70273316,-0.6768444,-0.4792634,0.197581
45,0.7433414,0.031993657,"('cooperative', 'exploitative')",-1.1911482,-1.4325471,-0.8175261,-1.0267467,-0.4217776,-0.8091001,-0.3873225
107,0.7418338,0.5571041,"('conventional', 'modern')",-0.13633472,0.10616249,0.6855568,0.7565868,0.430352,0.4732845,0.0429325
65,0.7119516,0.45625046,"('practical', 'impractical')",-0.3941704,-0.5156747,-0.8536045,-1.0003908,-0.1786078,-0.3532717,-0.1746639
53,-0.7059586,-0.9263632,"('smart', 'stupid')",-0.9706499,-0.99559975,-4.1143694,-3.9769585,-1.930326,-1.9663072,-0.0359812
69,0.69517183,0.8997549,"('wise', 'foolish')",0.17874244,0.098792136,0.15174997,0.14430141,0.3418881,0.3809495,0.0390614
48,0.6817693,0.7646365,"('reliable', 'unreliable')",0.27721828,0.10877085,2.0340087,1.6701124,0.9976654,0.8478399,-0.1498255
64,-0.66716516,-1.1338925,"('clever', 'incompetent')",-0.8179896,-0.90332365,-0.014461905,-0.003585659,-0.4998722,-0.6802673,-0.1803951
26,-0.63208693,-0.6854144,"('trustworthy', 'untrustworthy')",-1.3233079,-1.255179,0.25349328,0.30261153,-0.5673005,-0.545994,0.0213065
22,-0.6251351,-0.66867065,"('welcoming', 'disagreeable')",0.6927555,0.5362543,0.6432038,0.63703716,0.2369414,0.1682069,-0.0687345
0,-0.62008065,-0.3940025,"('sociable', 'unsociable')",-1.2884138,-1.1644607,-0.09076877,0.18334138,-0.6664211,-0.4583739,0.2080472
27,0.601698,0.3020115,"('sincere', 'insincere')",-0.1422965,-0.24850726,-4.795912,-4.639948,-1.4455034,-1.5288146,-0.0833112
87,-0.5921597,-0.7970061,"('dedicated', 'undedicated')",-1.6348687,-1.5007159,-0.5292957,-0.48389512,-0.9187747,-0.9272056,-0.0084309
30,0.59062177,0.32602695,"('honest', 'dishonest')",-0.5701585,-0.65354836,-0.19745402,-0.26679415,-0.0589969,-0.1981052,-0.1391083
17,-0.5717293,-0.69289005,"('social', 'antisocial')",-1.0379311,-0.7854235,-0.16912627,0.02405116,-0.5929289,-0.4847541,0.1081748
11,-0.57163846,-0.5132313,"('caring', 'unaffectionate')",-0.8499528,-1.0038595,-1.3814092,-1.3795135,-0.9343335,-0.9655348,-0.0312013
101,-0.56527483,-1.0756487,"('successful', 'unsuccessful')",-1.7060816,-1.7465887,-0.13203907,-0.2613492,-0.8011319,-1.0278622,-0.2267303
9,-0.5592361,-0.8750121,"('sensitive', 'insensitive')",-0.69097865,-0.8031558,-0.21699257,-0.4187064,-0.4890691,-0.6989581,-0.209889
83,0.5322683,0.24903268,"('energetic', 'lethargic')",-0.87566817,-0.84142566,-0.7105409,-0.73658234,-0.3513136,-0.4429918,-0.0916782
63,-0.5106002,-0.47966433,"('capable', 'incapable')",-0.40859085,-0.52191037,-0.50197613,-0.66895914,-0.4737224,-0.5568446,-0.0831222
59,0.4892795,0.722399,"('skillful', 'clumsy')",0.50059295,0.40425736,0.86184704,0.8486979,0.6172398,0.6584514,0.0412116
