,Marathon_male,Marathon_female,tuple,Petroleum_male,Petroleum_female,average_male,average_female,female-male
50,-2.8344846,-3.2622156,"('rich', 'poor')",-6.3002396,-6.248518,-4.567361831665039,-4.755366802215576,-0.1880049705505371
30,-2.7091246,-2.9630287,"('smart', 'stupid')",-4.4089723,-4.5983224,-3.5590484142303467,-3.7806754112243652,-0.22162699699401855
1,-2.4357977,-2.267706,"('friendly', 'unfriendly')",-1.7681293,-1.4461893,-2.101963520050049,-1.856947660446167,0.24501585960388184
3,2.4343777,2.9749546,"('liked', 'disliked')",4.584734,4.7489047,3.5095558166503906,3.8619296550750732,0.3523738384246826
28,2.0071583,2.0536633,"('unprejudiced', 'prejudiced')",1.6274936,1.5331699,1.8173259496688843,1.7934165000915527,-0.023909449577331543
35,-1.9418097,-1.6987299,"('creative', 'uncreative')",-0.66742945,-0.3940328,-1.304619550704956,-1.0463813543319702,0.25823819637298584
48,-1.8293512,-1.6700372,"('dedicated', 'undedicated')",-0.18655859,-0.2021259,-1.0079548358917236,-0.9360815286636353,0.07187330722808838
19,-1.7144349,-1.4949496,"('kind', 'unkind')",-2.33059,-2.0397143,-2.022512435913086,-1.7673319578170776,0.2551804780960083
26,1.5839292,1.7987311,"('reliable', 'unreliable')",1.982214,1.9923034,1.783071517944336,1.8955172300338745,0.11244571208953857
55,-1.5151318,-1.3892826,"('conventional', 'unconventional')",-0.637552,-0.19857481,-1.0763418674468994,-0.7939286828041077,0.28241318464279175
40,-1.4895319,-1.3278465,"('logical', 'illogical')",-1.600862,-1.4684188,-1.5451970100402832,-1.3981326818466187,0.14706432819366455
36,-1.3853284,-1.293441,"('capable', 'incapable')",-0.9865947,-0.8016436,-1.1859614849090576,-1.0475423336029053,0.13841915130615234
14,-1.3647957,-1.4127697,"('honest', 'dishonest')",-1.4149592,-1.5533644,-1.389877438545227,-1.4830670356750488,-0.09318959712982178
15,-1.3337631,-1.202831,"('loyal', 'disloyal')",-2.3859022,-1.9270504,-1.8598326444625854,-1.5649406909942627,0.29489195346832275
44,1.2451421,1.2946146,"('active', 'inactive')",1.8862181,1.8889331,1.5656800270080566,1.5917737483978271,0.026093721389770508
33,-1.1396995,-1.1399822,"('educated', 'uneducated')",-1.4083067,-1.0822842,-1.274003028869629,-1.1111332178115845,0.16286981105804443
31,-1.1306577,-1.0156804,"('intelligent', 'unintelligent')",-2.1501656,-1.981605,-1.640411615371704,-1.4986426830291748,0.1417689323425293
5,-1.0485464,-1.0076529,"('helpful', 'unhelpful')",-3.518405,-3.5405803,-2.283475637435913,-2.2741165161132812,0.009359121322631836
52,-1.0127848,-0.93287796,"('superior', 'inferior')",-1.0482552,-1.001107,-1.030519962310791,-0.9669924974441528,0.06352746486663818
25,-0.97824144,-0.8531613,"('forgiving', 'unforgiving')",-0.9422855,-0.79604745,-0.9602634906768799,-0.8246043920516968,0.1356590986251831
9,0.95636606,0.8839431,"('nice', 'nasty')",0.8576445,0.8238622,0.9070053100585938,0.8539026379585266,-0.05310267210006714
20,-0.9509622,-0.56977546,"('right', 'wrong')",-0.9637337,-0.55695677,-0.9573479294776917,-0.5633661150932312,0.39398181438446045
53,-0.89038897,-0.88102394,"('influential', 'uninfluential')",-0.84598756,-0.6932567,-0.8681882619857788,-0.7871403098106384,0.08104795217514038
57,0.7870959,0.81796694,"('conservative', 'liberal')",0.8011184,0.47369397,0.7941071391105652,0.6458304524421692,-0.148276686668396
8,-0.7715632,-0.40050817,"('popular', 'unpopular')",-1.7361817,-1.0751512,-1.2538723945617676,-0.7378296852111816,0.5160427093505859
27,-0.7527847,-0.7947035,"('responsible', 'irresponsible')",-0.98752093,-1.3063277,-0.8701528310775757,-1.0505156517028809,-0.18036282062530518
24,0.7431685,1.0752605,"('generous', 'stingy')",2.439704,2.63265,1.5914361476898193,1.8539552688598633,0.26251912117004395
39,-0.7420006,-0.65781116,"('wise', 'foolish')",-0.2654121,-0.016155928,-0.5037063360214233,-0.3369835615158081,0.16672277450561523
21,0.70640385,0.82356286,"('incorrupt', 'corrupt')",1.681385,1.9510369,1.193894386291504,1.38729989528656,0.19340550899505615
47,-0.59443784,-0.5030832,"('ambitious', 'unambitious')",-0.07283583,-0.17092676,-0.3336368203163147,-0.33700498938560486,-0.003368169069290161
41,0.56124234,0.53037596,"('confident', 'shy')",1.8297355,1.1590259,1.1954889297485352,0.8447009325027466,-0.3507879972457886
16,0.44709998,0.5235944,"('fair', 'unfair')",0.50925744,0.6538819,0.4781787097454071,0.5887381434440613,0.11055943369865417
23,0.42194247,0.3789282,"('truthful', 'untruthful')",0.42165124,0.40277773,0.42179685831069946,0.39085298776626587,-0.030943870544433594
32,-0.35489976,-0.5073549,"('able', 'unable')",-0.120865345,-0.07692334,-0.2378825545310974,-0.29213911294937134,-0.054256558418273926
43,-0.34614822,0.013980463,"('active', 'inactive')",-0.23188421,0.054567475,-0.2890162169933319,0.034273967146873474,0.3232901841402054
34,-0.32823777,-0.32191604,"('rational', 'irrational')",-0.27292445,0.1985345,-0.30058109760284424,-0.06169077008962631,0.23889032751321793
7,0.28201044,0.5682516,"('polite', 'impolite')",-0.18824594,-0.19662069,0.04688224941492081,0.1858154535293579,0.1389332041144371
37,-0.28141454,-0.27106896,"('practical', 'impractical')",-1.3235021,-1.582744,-0.8024582862854004,-0.9269064664840698,-0.12444818019866943
