,Qualcomm_male,Qualcomm_female,tuple,average_male,average_female,female-male
12,3.461109,3.6775465,"('sympathetic', 'unsympathetic')",3.4611089,3.6775465,0.2164376
81,-3.0309968,-3.294891,"('industrious', 'lazy')",-3.0309968,-3.2948911,-0.2638943
41,-2.9598207,-2.9514153,"('incorrupt', 'corrupt')",-2.9598207,-2.9514153,0.0084054
99,-2.8853092,-2.8217869,"('prestigious', 'insignificant')",-2.8853092,-2.8217869,0.0635223
15,2.8179011,2.779633,"('polite', 'impolite')",2.8179011,2.779633,-0.0382681
107,2.7242107,2.8325734,"('conventional', 'modern')",2.7242107,2.8325734,0.1083627
2,2.5406563,2.6391916,"('friendly', 'unfriendly')",2.5406563,2.6391916,0.0985353
71,2.510257,2.385628,"('efficient', 'inefficient')",2.510257,2.385628,-0.124629
94,2.5023403,2.4985137,"('aggressive', 'submissive')",2.5023403,2.4985137,-0.0038266
42,-2.490597,-2.3395226,"('amicable', 'hostile')",-2.490597,-2.3395226,0.1510744
52,2.3254685,2.3865736,"('competitive', 'uncompetitive')",2.3254685,2.3865736,0.0611051
37,-2.3032346,-2.2774246,"('good', 'evil')",-2.3032346,-2.2774246,0.02581
82,-2.2576802,-2.4300804,"('industrious', 'meek')",-2.2576802,-2.4300804,-0.1724002
8,-2.1733267,-2.0026774,"('open', 'distant')",-2.1733267,-2.0026774,0.1706493
49,2.0933833,2.1358542,"('responsible', 'irresponsible')",2.0933833,2.1358542,0.0424709
75,2.0232105,1.8345852,"('confident', 'shy')",2.0232105,1.8345852,-0.1886253
83,1.9221593,2.0786042,"('energetic', 'lethargic')",1.9221593,2.0786042,0.1564449
98,-1.9019818,-1.9846531,"('prestigious', 'insignificant')",-1.9019818,-1.9846531,-0.0826713
0,1.8359287,2.128106,"('sociable', 'unsociable')",1.8359287,2.1281061,0.2921774
109,1.7775719,1.5412767,"('conservative', 'liberal')",1.7775719,1.5412767,-0.2362952
108,1.7775719,1.5412767,"('conservative', 'liberal')",1.7775719,1.5412767,-0.2362952
39,-1.7731309,-1.6805755,"('right', 'wrong')",-1.7731309,-1.6805755,0.0925554
76,1.7587103,1.7436049,"('secure', 'insecure')",1.7587103,1.7436049,-0.0151054
104,-1.7501795,-1.4852836,"('conventional', 'unconventional')",-1.7501795,-1.4852836,0.2648959
73,1.7356687,1.6548859,"('brilliant', 'incompetent')",1.7356687,1.6548859,-0.0807828
13,1.712901,1.8652978,"('helpful', 'unhelpful')",1.712901,1.8652978,0.1523968
51,1.706641,2.090046,"('competent', 'incompetent')",1.706641,2.0900459,0.3834049
7,-1.679916,-1.5348202,"('outgoing', 'distant')",-1.679916,-1.5348202,0.1450958
14,1.6291524,1.7396603,"('supportive', 'unsupportive')",1.6291524,1.7396603,0.1105079
25,1.6256154,1.5136276,"('moral', 'immoral')",1.6256154,1.5136276,-0.1119878
92,-1.6019092,-1.526825,"('unwavering', 'wavering')",-1.6019092,-1.526825,0.0750842
69,-1.5975437,-1.6325731,"('wise', 'foolish')",-1.5975437,-1.6325731,-0.0350294
5,1.5689757,1.4736645,"('pleasant', 'repellent')",1.5689757,1.4736645,-0.0953112
32,-1.5684664,-1.2145517,"('benevolent', 'hardhearted')",-1.5684664,-1.2145517,0.3539147
58,1.5416949,1.7987298,"('able', 'clumsy')",1.5416949,1.7987298,0.2570349
60,1.5376334,1.7794626,"('educated', 'uneducated')",1.5376334,1.7794626,0.2418292
9,1.5035441,1.6764095,"('sensitive', 'insensitive')",1.5035441,1.6764095,0.1728654
16,1.4583771,1.5453129,"('social', 'antisocial')",1.4583771,1.5453129,0.0869358
64,1.4336935,1.6154203,"('clever', 'incompetent')",1.4336935,1.6154203,0.1817268
89,1.4018091,1.336607,"('daring', 'anxious')",1.4018091,1.336607,-0.0652021
31,-1.4000578,-1.4873304,"('altruistic', 'egoistic')",-1.4000578,-1.4873304,-0.0872726
36,1.3717487,1.537742,"('tolerant', 'intolerant')",1.3717487,1.537742,0.1659933
1,-1.2937139,-0.90796506,"('friendly', 'unfriendly')",-1.2937139,-0.9079651,0.3857488
74,1.2903261,1.4447294,"('insightful', 'unperceptive')",1.2903261,1.4447294,0.1544033
85,1.2753477,1.3009934,"('ambitious', 'unambitious')",1.2753477,1.3009934,0.0256457
29,1.2469274,1.1895492,"('honest', 'immoral')",1.2469274,1.1895492,-0.0573782
90,1.2373124,1.0456932,"('motivated', 'unmotivated')",1.2373124,1.0456932,-0.1916192
84,-1.1968373,-1.2377638,"('self-confident', 'diffident')",-1.1968373,-1.2377638,-0.0409265
93,1.1831161,1.0866022,"('dominating', 'dominated')",1.1831161,1.0866022,-0.0965139
65,1.1647782,1.140183,"('practical', 'impractical')",1.1647782,1.140183,-0.0245952
35,-1.1329837,-0.87830925,"('fair', 'unfair')",-1.1329837,-0.8783092,0.2546745
100,1.0824383,1.5526841,"('influential', 'uninfluential')",1.0824383,1.5526841,0.4702458
61,-1.081504,-0.98330545,"('rational', 'irrational')",-1.081504,-0.9833055,0.0981985
103,1.0744349,1.2329478,"('traditional', 'modern')",1.0744349,1.2329478,0.1585129
24,-1.0669873,-1.0368245,"('thoughtful', 'rough')",-1.0669873,-1.0368245,0.0301628
20,-1.0583165,-1.1784365,"('popular', 'unpopular')",-1.0583165,-1.1784365,-0.12012
88,-1.0332711,-0.99591243,"('impulsive', 'meek')",-1.0332711,-0.9959124,0.0373587
27,1.0246363,1.3433394,"('sincere', 'insincere')",1.0246363,1.3433394,0.3187031
44,1.0147957,1.1209662,"('truthful', 'untruthful')",1.0147957,1.1209662,0.1061705
28,1.0128601,1.2694842,"('honest', 'dishonest')",1.0128601,1.2694842,0.2566241
86,-0.99216294,-1.1565464,"('self-reliant', 'helpless')",-0.9921629,-1.1565464,-0.1643835
96,-0.96643966,-1.0088857,"('powerful', 'powerless')",-0.9664397,-1.0088857,-0.042446
66,0.9618126,1.2165037,"('imaginative', 'unimaginative')",0.9618126,1.2165037,0.2546911
53,-0.9500644,-0.8864353,"('smart', 'stupid')",-0.9500644,-0.8864353,0.0636291
97,-0.94958717,-0.79862225,"('superior', 'inferior')",-0.9495872,-0.7986223,0.1509649
18,0.928944,1.1110432,"('social', 'asocial')",0.928944,1.1110432,0.1820992
77,-0.89771825,-0.838185,"('active', 'inactive')",-0.8977183,-0.838185,0.0595333
19,-0.8350572,-0.78922796,"('funny', 'boring')",-0.8350572,-0.789228,0.0458292
4,-0.81053144,-0.85685337,"('likable', 'unlikable')",-0.8105314,-0.8568534,-0.046322
63,-0.80023396,-0.7159507,"('capable', 'incapable')",-0.800234,-0.7159507,0.0842833
48,0.79760563,0.75629866,"('reliable', 'unreliable')",0.7976056,0.7562987,-0.0413069
3,0.7709318,0.7877177,"('likable', 'unlikable')",0.7709318,0.7877177,0.0167859
105,-0.7638992,-0.41598928,"('conventional', 'modern')",-0.7638992,-0.4159893,0.3479099
101,-0.7424707,-0.8538655,"('successful', 'unsuccessful')",-0.7424707,-0.8538655,-0.1113948
54,-0.7147001,-0.8269861,"('smart', 'stupid')",-0.7147001,-0.8269861,-0.112286
47,0.7119728,0.98763597,"('forgiving', 'unforgiving')",0.7119728,0.987636,0.2756632
30,0.6978161,0.7897282,"('honest', 'dishonest')",0.6978161,0.7897282,0.0919121
40,-0.6892203,-0.72377,"('honorable', 'mean')",-0.6892203,-0.72377,-0.0345497
68,-0.68406194,-0.60199237,"('clever', 'inept')",-0.6840619,-0.6019924,0.0820695
38,0.67044306,0.8255937,"('kind', 'unkind')",0.6704431,0.8255937,0.1551506
55,0.64956284,0.72847974,"('intelligent', 'unintelligent')",0.6495628,0.7284797,0.0789169
79,0.6201564,0.5657022,"('determined', 'doubtful')",0.6201564,0.5657022,-0.0544542
34,0.5896971,0.8807695,"('loyal', 'disloyal')",0.5896971,0.8807695,0.2910724
17,0.5343396,0.70397663,"('social', 'antisocial')",0.5343396,0.7039766,0.169637
59,-0.49565008,-0.44053102,"('skillful', 'clumsy')",-0.4956501,-0.440531,0.0551191
67,-0.47032064,-0.14873645,"('discriminating', 'undiscriminating')",-0.4703206,-0.1487364,0.3215842
110,-0.45616028,-0.4661028,"('narrow-minded', 'open-minded')",-0.4561603,-0.4661028,-0.0099425
106,-0.43349233,-0.37309155,"('conventional', 'unconventional')",-0.4334923,-0.3730915,0.0604008
102,-0.37111706,-0.38389692,"('eminent', 'low')",-0.3711171,-0.3838969,-0.0127798
33,0.36762848,0.5664482,"('softhearted', 'hardhearted')",0.3676285,0.5664482,0.1988197
46,-0.30454814,-0.11308056,"('generous', 'stingy')",-0.3045481,-0.1130806,0.1914675
10,-0.29609358,0.13518512,"('affectionate', 'unaffectionate')",-0.2960936,0.1351851,0.4312787
95,-0.28250933,-0.16114917,"('rich', 'poor')",-0.2825093,-0.1611492,0.1213601
50,-0.2761833,-0.7123264,"('unprejudiced', 'prejudiced')",-0.2761833,-0.7123264,-0.4361431
56,-0.2721983,-0.24283178,"('intelligent', 'dumb')",-0.2721983,-0.2428318,0.0293665
23,-0.2599671,-0.18456554,"('hospitable', 'inhospitable')",-0.2599671,-0.1845655,0.0754016
22,-0.21998629,-0.11205787,"('welcoming', 'disagreeable')",-0.2199863,-0.1120579,0.1079284
91,-0.21179265,-0.09386593,"('resilient', 'nonresilient')",-0.2117926,-0.0938659,0.1179267
57,0.20726019,0.042320117,"('able', 'unable')",0.2072602,0.0423201,-0.1649401
21,0.20227295,-0.018992856,"('nice', 'nasty')",0.202273,-0.0189929,-0.2212659
70,0.20053184,0.36955482,"('wise', 'unwise')",0.2005318,0.3695548,0.169023
72,-0.19446883,0.083070576,"('logical', 'illogical')",-0.1944688,0.0830706,0.2775394
26,0.16986766,0.47140956,"('trustworthy', 'untrustworthy')",0.1698677,0.4714096,0.3015419
11,0.15395457,0.54087776,"('caring', 'unaffectionate')",0.1539546,0.5408778,0.3869232
78,0.15262404,0.036756642,"('active', 'inactive')",0.152624,0.0367566,-0.1158674
87,-0.14735919,0.19157426,"('dedicated', 'undedicated')",-0.1473592,0.1915743,0.3389335
43,0.14506806,0.14401852,"('genuine', 'fake')",0.1450681,0.1440185,-0.0010496
80,-0.11513178,-0.1571742,"('independent', 'dependent')",-0.1151318,-0.1571742,-0.0420424
6,0.09808236,0.09063083,"('liked', 'disliked')",0.0980824,0.0906308,-0.0074516
45,0.055672884,-0.24115032,"('cooperative', 'exploitative')",0.0556729,-0.2411503,-0.2968232
62,-0.048903674,0.14435747,"('creative', 'uncreative')",-0.0489037,0.1443575,0.1932612
