DATE,PERMNO,SICCD,NAICS,PERMCO
04/03/1986,10078,3570,,8021
10/06/2004,10078,3570,334111,8021
27/08/2007,10078,3571,334111,8021
12/03/1986,10104,7370,,8045
10/06/2004,10104,7370,511210,8045
15/07/2013,10104,7372,511210,8045
13/03/1986,10107,7370,,8048
10/06/2004,10107,7370,511210,8048
31/12/1925,10137,4910,,20045
02/07/1962,10137,4911,,20045
10/06/2004,10137,4911,221121,20045
02/04/1986,10138,6210,,8087
29/12/2000,10138,6211,,8087
10/06/2004,10138,6211,523930,8087
30/06/2006,10138,6211,523110,8087
29/01/2015,10138,6211,523930,8087
02/08/2022,10138,6211,525910,8087
31/12/1925,10145,2810,,22168
02/07/1962,10145,2812,,22168
28/04/1981,10145,1311,,22168
27/04/1993,10145,3724,,22168
01/09/1998,10145,3714,,22168
01/03/2001,10145,3724,,22168
10/06/2004,10145,3724,336412,22168
27/01/2014,10145,3714,336390,22168
30/01/2017,10145,5099,423990,22168
06/04/2021,10145,3724,336412,22168
14/09/2021,10145,3724,334511,22168
13/10/2022,10145,3724,336412,22168
04/04/1986,10147,3570,,8093
22/03/1988,10147,3651,,8093
01/10/1998,10147,3572,,8093
10/06/2004,10147,3572,334112,8093
31/12/1925,10225,2110,,20067
02/07/1962,10225,2111,,20067
02/06/1997,10225,2085,,20067
01/02/2001,10225,3432,,20067
10/06/2004,10225,3432,332913,20067
04/10/2011,10225,2082,312120,20067
17/07/2012,10225,2085,312120,20067
08/01/2014,10225,3433,312120,20067
31/12/1925,10284,7390,,90
28/05/1986,10299,3670,,8220
10/06/2004,10299,3670,334413,8220
05/06/1986,10324,2836,,8243
10/06/2004,10324,2836,325414,8243
31/12/1925,10428,2110,,20067
31/12/1925,10516,2030,,20207
02/07/1962,10516,2045,,20207
02/07/2001,10516,2075,,20207
10/06/2004,10516,2075,311222,20207
07/05/2012,10516,2075,311224,20207
31/10/2012,10516,2046,311224,20207
12/09/2019,10516,2046,311221,20207
14/12/1972,10533,5941,,22200
12/08/1986,10562,6020,,8470
04/04/1988,10562,6710,,8470
01/07/1999,10562,6030,,8470
10/07/2001,10562,6035,,8470
10/06/2004,10562,6035,522120,8470
25/09/1986,10696,7370,,8598
10/06/2004,10696,7370,514210,8598
24/10/2005,10696,7370,518210,8598
05/12/1986,10909,7370,,8786
01/08/2000,10909,7373,,8786
10/06/2004,10909,7373,541512,8786
31/12/1925,11308,2090,,20468
02/07/1962,11308,2087,,20468
01/02/2001,11308,2086,,20468
10/06/2004,11308,2086,312111,20468
31/12/1925,11367,6140,,20483
02/07/1962,11367,6149,,20483
10/06/1987,11403,7370,,9245
17/09/1990,11403,7372,,9245
10/06/2004,11403,7372,511210,9245
03/07/2006,11403,7372,541511,9245
12/09/2019,11403,7372,511210,9245
31/12/1925,11404,4910,,20499
02/07/1962,11404,4932,,20499
02/01/1998,11404,4931,,20499
10/06/2004,11404,4931,221119,20499
21/07/2006,11404,4931,221210,20499
19/12/2016,11404,4911,221210,20499
30/08/2019,11404,4911,221118,20499
29/03/2021,11404,4931,221118,20499
28/07/1987,11552,2870,,9374
01/09/1989,11552,2890,,9374
10/06/2004,11552,2890,541710,9374
27/01/2011,11552,2890,325412,9374
12/08/1987,11600,3840,,9424
10/06/2004,11600,3840,339114,9424
20/08/1987,11618,5070,,9440
01/07/1999,11618,5200,,9440
10/06/2004,11618,5200,444130,9440
30/06/2006,11618,5200,444190,9440
12/09/2019,11618,5200,423840,9440
31/12/1925,11674,4910,,20574
02/07/1962,11674,4931,,20574
02/01/1996,11674,4911,,20574
10/06/2004,11674,4911,221119,20574
27/04/2012,11674,4911,221122,20574
03/02/2014,11674,4911,221118,20574
31/12/1925,11703,2810,,20606
02/07/1962,11703,2892,,20606
24/08/2001,11703,2821,,20606
10/06/2004,11703,2821,325211,20606
29/01/2014,11703,2879,325320,20606
31/12/1925,11754,3830,,20626
02/07/1962,11754,3861,,20626
10/06/2004,11754,3861,325992,20626
31/12/1925,11762,3710,,20627
02/07/1962,11762,3714,,20627
01/02/2001,11762,3625,,20627
18/02/2004,11762,3714,,20627
10/06/2004,11762,3714,336312,20627
22/05/2012,11762,3714,336310,20627
03/12/2012,11762,3569,336310,20627
23/06/2016,11762,3629,335999,20627
18/02/2020,11762,3679,334419,20627
29/03/2021,11762,3629,335999,20627
08/06/2022,11762,8742,541611,20627
23/10/1987,11786,6710,,9588
01/07/1999,11786,6020,,9588
10/06/2004,11786,6020,522110,9588
31/12/1925,11850,2910,,20678
02/07/1962,11850,2911,,20678
10/06/2004,11850,2911,324110,20678
19/12/2016,11850,1311,324110,20678
11/09/2019,11850,2911,324110,20678
02/05/1988,11891,7010,,9764
13/12/1989,11891,4512,,9764
02/08/2000,11891,7011,,9764
10/06/2004,11891,7011,721120,9764
07/01/2014,11891,7011,721110,9764
19/12/2016,11891,7999,721110,9764
31/03/2021,11891,7011,721110,9764
29/02/1988,11896,3670,,9698
10/06/2004,11896,3670,334413,9698
02/10/2007,11896,3674,334413,9698
03/06/1988,11955,4950,,9804
20/07/1993,11955,9511,,9804
17/07/1998,11955,4953,,9804
10/06/2004,11955,4953,562212,9804
15/02/2018,11955,4953,562219,9804
12/08/1988,11976,7370,,9905
13/03/2001,11976,7372,,9905
10/06/2004,11976,7372,511210,9905
28/01/1926,12052,3730,,20791
02/07/1962,12052,3721,,20791
03/04/1978,12052,3731,,20791
10/06/2004,12052,3731,336611,20791
22/01/2014,12052,3721,336411,20791
31/12/1925,12060,3690,,20792
02/07/1962,12060,3634,,20792
01/03/2000,12060,3641,,20792
10/06/2004,12060,3641,335110,20792
30/08/2007,12060,3511,333611,20792
05/12/2013,12060,4813,333611,20792
08/01/2014,12060,3511,333611,20792
07/07/1988,12062,8070,,9848
24/04/1991,12062,8731,,9848
01/11/2001,12062,8071,,9848
10/06/2004,12062,8071,621511,9848
11/08/1988,12067,3350,,9903
10/06/2004,12067,3350,333298,9903
08/05/2012,12067,3350,333249,9903
06/07/1988,12073,6020,,9847
01/07/1999,12073,6030,,9847
10/06/2004,12073,6030,522120,9847
16/04/2007,12073,6036,522120,9847
11/09/2008,12076,5944,448310,9857
06/08/2010,12084,9999,334413,53494
31/12/1925,12140,3010,,20833
02/07/1962,12140,3011,,20833
01/06/1999,12140,3769,,20833
01/03/2001,12140,2821,,20833
20/02/2004,12140,3760,,20833
10/06/2004,12140,3760,332912,20833
10/08/2005,12140,3761,336414,20833
14/09/2010,12308,4841,515210,17322
25/02/2020,12308,4841,448140,17322
14/10/2010,12345,2821,325211,53531
08/01/2014,12345,5199,325211,53531
19/12/2016,12345,5169,325211,53531
07/04/2020,12345,5169,424990,53531
31/03/2021,12345,2899,325998,53531
19/07/2022,12345,6719,551112,53531
14/10/2010,12346,2821,325211,53531
18/11/2010,12369,3711,336111,53554
31/12/1925,12431,3560,,20977
02/07/1962,12431,3563,,20977
24/08/2001,12431,3561,,20977
20/02/2004,12431,3585,,20977
10/06/2004,12431,3585,333415,20977
30/06/2006,12431,3564,333411,20977
13/06/2011,12431,3822,333411,20977
02/05/2012,12431,3822,333413,20977
20/02/2020,12431,3569,333999,20977
02/03/2020,12431,3822,334512,20977
09/12/2010,12448,6022,522110,53609
17/06/2011,12448,6282,522110,53609
10/10/2016,12448,6022,522110,53609
05/04/2021,12448,6029,522110,53609
15/12/2010,12449,7389,522320,53610
05/08/2019,12449,7389,561499,53610
04/01/2011,12456,3663,334220,53616
31/12/1925,12490,3570,,20990
02/07/1962,12490,3573,,20990
04/01/1999,12490,3571,,20990
10/06/2004,12490,3571,334111,20990
22/01/2014,12490,7379,541512,20990
03/12/2021,12490,3571,334111,20990
26/01/2011,12542,7389,541611,53656
01/07/2019,12542,8733,541720,53656
11/02/2011,12558,4923,221210,53667
17/07/2015,12558,4922,221210,53667
02/09/2015,12558,4923,221210,53667
03/11/2020,12558,4924,221210,53667
31/12/1925,12570,3660,,20964
02/07/1962,12570,3662,,20964
20/12/1995,12570,3594,,20964
20/02/2004,12570,3561,,20964
10/06/2004,12570,3561,333911,20964
24/02/2020,12570,3812,333911,20964
03/04/2020,12570,3594,333996,20964
18/11/2020,12570,3561,333914,20964
29/03/2022,12570,3594,333996,20964
10/03/2011,12622,8062,622110,53696
13/04/2015,12622,8063,622110,53696
17/07/2015,12622,8062,622110,53696
31/03/2011,12623,3731,336611,53697
12/01/2017,12623,5088,336611,53697
16/02/2017,12623,5088,423860,53697
31/03/2021,12623,3731,336611,53697
31/12/1925,12650,4000,,21033
02/07/1962,12650,4011,,21033
10/06/2004,12650,4011,482111,21033
01/07/2011,12872,2911,324110,53810
04/10/2011,12981,3429,337110,53876
18/07/2016,12981,3429,337127,53876
10/04/2017,12981,5039,423390,53876
19/11/2019,12981,2531,337127,53876
21/12/2021,12981,3429,332510,53876
01/11/2011,13035,2431,321911,53896
26/02/2013,13035,4449,321911,53896
09/01/2014,13035,3561,333911,53896
19/03/2020,13035,3561,333914,53896
17/11/2011,13103,5013,423120,53927
12/01/2016,13103,3714,423120,53927
05/12/2017,13103,3714,336390,53927
03/01/2012,13141,1311,211111,53947
19/12/2016,13141,1382,211111,53947
25/01/2017,13141,1321,211112,53947
19/03/2020,13141,1311,211120,53947
15/12/2011,13142,2385,315228,53948
02/05/2012,13142,2385,315220,53948
26/12/2017,13142,5137,315220,53948
10/03/2020,13142,5137,424330,53948
25/03/2022,13142,6719,551112,53948
21/12/2011,13168,9999,561520,53964
26/12/2017,13168,9999,561510,53964
08/02/2012,13210,7372,511210,53983
01/07/2015,13210,7371,511210,53983
02/08/2019,13210,7371,541511,53983
30/03/2012,13323,9999,,54026
04/09/2013,13323,9999,334413,54026
01/05/2012,13356,2911,324110,54048
29/01/2014,13356,1311,211111,54048
19/12/2016,13356,2911,211111,54048
18/11/2020,13356,1311,211120,54048
18/05/2012,13407,7375,519130,54084
17/09/2019,13407,7373,541512,54084
03/01/2020,13407,7375,519190,54084
29/06/2012,13447,7373,541512,54109
30/01/2014,13447,8748,541618,54109
21/04/2017,13447,7372,511210,54109
