;Dictionary;term;term preproc;PoS;sense;Dir;Synset;Antonyms;Definition;Examples;Sentence_Check
0;Sociability;sociable;sociable;ADJECTIVE;1;high;sociable.a.01;unsociable.a.01;inclined to or conducive to companionship with others;a sociable occasion;True
1;Sociability;unsociable;unsociable;ADJECTIVE;1;low;unsociable.a.01;sociable.a.01;not inclined to society or companionship;an unsociable nature shy and reserved;True
2;Sociability;friendly;friendly;ADJECTIVE;1;high;friendly.a.01;unfriendly.a.02;characteristic of or befitting a friend;friendly advice;True
3;Sociability;friendly;friendly;ADJECTIVE;2;high;friendly.s.02;unfriendly.s.03;"inclined to help or support; not antagonistic or hostile";a government friendly to our interests;True
4;Sociability;unfriendly;unfriendly;ADJECTIVE;2;low;unfriendly.a.02;friendly.a.01;not disposed to friendship or friendliness;an unfriendly coldness of manner;True
5;Sociability;unfriendly;unfriendly;ADJECTIVE;3;low;unfriendly.s.03;friendly.s.02;not friendly;an unfriendly act of aggression;True
6;Sociability;cold;cold;ADJECTIVE;2;low;cold.a.02;hot.a.03;"extended meanings; especially of psychological coldness; without human warmth or emotion";a cold unfriendly nod;True
7;Sociability;warm;warm;ADJECTIVE;2;high;warm.a.02;cool.a.04;"psychologically warm; friendly and responsive";a warm greeting;True
8;Sociability;likable;likable;ADJECTIVE;1;high;sympathetic.a.04;unsympathetic.a.02;(of characters in literature or drama) evoking empathic or sympathetic feelings;this is the person who is very relational and warm is likable;False
9;Sociability;likable;likable;ADJECTIVE;2;high;likable.s.02;unlikable.s.02;"easy to like; agreeable";an attractive and likable young person;True
10;Sociability;repellent;repellent;ADJECTIVE;1;low;rebarbative.s.01;pleasant.s.02;serving or tending to repel;they became repellent and prickly and spiteful;False
11;Sociability;pleasant;pleasant;ADJECTIVE;2;high;pleasant.s.02;rebarbative.s.01;(of persons) having pleasing manners or behavior;I didn't enjoy it and probably wasn't a pleasant person to be around;True
12;Sociability;unpleasant;unpleasant;ADJECTIVE;1;low;unpleasant.a.01;pleasant.a.01;disagreeable to the senses, to the mind, or feelings;an unpleasant personality;True
13;Sociability;unlikable;unlikable;ADJECTIVE;1;low;unsympathetic.a.02;sympathetic.a.04;(of characters in literature or drama) tending to evoke antipathetic feelings;all the characters were peculiarly unlikable;False
14;Sociability;unlikable;unlikable;ADJECTIVE;2;low;unlikable.s.02;likable.s.02;difficult or impossible to like;a disagreeable and unlikable old person;True
15;Sociability;liked;liked;ADJECTIVE;1;high;liked.a.01;disliked.a.01;"found pleasant or attractive; often used as a combining form";a well liked teacher;False
16;Sociability;disliked;disliked;ADJECTIVE;1;low;disliked.a.01;liked.a.01;regarded with aversion;the person was intensely disliked;True
17;Sociability;outgoing;outgoing;ADJECTIVE;3;high;extroverted.s.02;aloof.s.01;at ease in talking to others;they have always been very outgoing and got heaps of friends;True
18;Sociability;shy;shy;ADJECTIVE;1;low;diffident.a.02;confident.a.01;lacking self-confidence;stood in the doorway diffident and shy;False
19;Sociability;sensitive;sensitive;ADJECTIVE;2;high;sensitive.a.02;insensitive.a.02;being susceptible to the attitudes, feelings, or circumstances of others;sensitive to the local community and its needs;True
20;Sociability;insensitive;insensitive;ADJECTIVE;2;low;insensitive.a.02;sensitive.a.02;deficient in human sensibility not mentally or morally sensitive;insensitive to the needs of the patients;True
