permco;companyname;cleanedname
;;
20017;ABBOTT LABORATORIES;abbott laboratories
;;
22168;HONEYWELL INTERNATIONAL INC;honeywell international
;;
20077;AMERICAN ELECTRIC POWER CO INC;american electric power
;;
20315;BOEING CO;boeing
;;
20331;BRISTOL MYERS SQUIBB CO;bristol myers squibb
;;
20384;CAMPBELL SOUP CO;campbell soup
;;
20408;CATERPILLAR INC;caterpillar
;;
20440;CHEVRON CORP;chevron corp new
;;
20468;COCA COLA CO;coca cola
;;
20473;COLGATE PALMOLIVE CO;colgate palmolive
;;
20499;CONSOLIDATED EDISON INC;consolidated edison
;;
20523;CORNING INC;corning
;;
20566;DEERE & CO;deere
;;
20574;DTE ENERGY CO;d t e energy
;;
20592;DOMINION ENERGY INC;dominion energy
;;
20627;EATON CORP PLC;eaton
;;
20678;EXXON MOBIL CORP;exxon mobil
;;
20750;FORD MOTOR CO DEL;ford motor co del
;;
20791;GENERAL DYNAMICS CORP;general dynamics
;;
20792;GENERAL ELECTRIC CO;general electric
;;
20868;HALLIBURTON COMPANY;halliburton
;;
20906;HERSHEY CO;hershey
;;
20990;INTERNATIONAL BUSINESS MACHS COR;international business machs cor
;;
20994;INTERNATIONAL PAPER CO;international paper
;;
21041;KELLOGG CO;kellogg
;;
21055;KIMBERLY CLARK CORP;kimberly clark
;;
21068;KROGER COMPANY;kroger
;;
21179;S&P GLOBAL INC;s & p global
;;
21185;CVS HEALTH CORP;c v s health
;;
21188;MERCK & CO INC;merck & co inc new
;;
21201;ENTERGY CORP;entergy corp new
;;
21205;3M CO;3m
;;
21230;MOTOROLA SOLUTIONS INC;motorola solutions
;;
21294;NORFOLK SOUTHERN CORP;norfolk southern
;;
21300;XCEL ENERGY INC;x c e l energy
;;
21326;FIRSTENERGY CORP;firstenergy
;;
21351;PPG INDUSTRIES INC;p p g industries
;;
34798;SEMPRA ENERGY;sempra energy
;;
21384;PEPSICO INC;pepsico
;;
21394;PFIZER INC;pfizer
;;
21396;EXELON CORP;exelon
;;
21398;ALTRIA GROUP INC;altria group
;;
21401;CONOCOPHILLIPS;conocophillips
;;
21446;PROCTER & GAMBLE CO;procter & gamble
;;
21458;PUBLIC SERVICE ENTERPRISE GP INC;public service enterprise
;;
31847;ROCKWELL AUTOMATION INC;rockwell automation
;;
21543;EDISON INTERNATIONAL;edison international
;;
21640;SOUTHERN CO;southern
;;
21737;TEXAS INSTRUMENTS INC;texas instruments
;;
21810;UNION PACIFIC CORP;union pacific
;;
21914;WEYERHAEUSER CO;weyerhaeuser
;;
21916;WHIRLPOOL CORP;whirlpool
;;
21945;XEROX HOLDINGS CORP;xerox holdings
;;
53554;GENERAL MOTORS CO;general motors
;;
20977;TRANE TECHNOLOGIES PLC;trane technologies
;;
20517;COOPER INDUSTRIES PLC;cooper industries
;;
20086;WYETH;wyeth
;;
21575;SCHERING PLOUGH CORP;schering plough
;;
