,Symbol,Name,Sector,Name_Lower,Selected_Mean_Delta,Count,Ability,Agency,Morality,Politics,Sociability,Status
0,MMM,3M,Industrials,3m,106.38428231080368,1,0.061173183533052594,-0.056128545105457305,0.006250765461188103,0.210081516765058,-0.011538198292255393,-0.08992963097989556
1,AOS,A. O. Smith,Industrials,a. o. smith,-216.26670663063254,3,-0.043514874246385365,-0.03727959568301838,-0.016379350653061515,0.08486673235893247,-0.03991459131240843,0.01677281161149345
2,ABT,Abbott Laboratories,Health Care,abbott laboratories,321.40824373240946,2,0.0755343164006869,-0.02013427615165711,0.025281615555286394,0.08835833892226218,0.008190490305423747,0.07356780767440795
3,ABBV,AbbVie,Health Care,abbvie,-316.3493129315677,1,-0.04993343694756428,-0.08819707706570623,0.010217080036034946,0.05142219364643095,-0.035460655093193044,-0.04245482478290795
4,ABMD,Abiomed,Health Care,abiomed,178.1154658880319,1,0.018135883224507165,-0.0895311091095209,0.07003143257819688,0.0827798955142498,0.014157360494136809,0.06193152908235784
5,ACN,Accenture,Information Technology,accenture,255.88216813834933,1,0.029796669880549114,-0.03334183730185031,0.0404175124489344,0.16371170710772273,0.0385349404811859,-0.06648921966552734
6,ATVI,Activision Blizzard,Communication Services,activision blizzard,-11.465662905761773,2,-0.015116510912775993,-0.05016302093863485,0.030496742862921485,-0.03926860447973012,0.017605789303779602,0.03998457640409466
7,ADM,ADM,Consumer Staples,adm,194.16973968078423,1,0.01738819464420278,-0.003209131583571437,0.06500302255153656,0.1288059651851654,-0.02329872429370881,-0.041988516226410845
8,ADBE,Adobe,Information Technology,adobe,-100.53358233726777,1,-0.016067744543155033,-0.07039371728897094,0.024394199825250186,0.04698495008051393,-0.006646276116371154,-0.020799305289983763
9,AAP,Advance Auto Parts,Consumer Discretionary,advance auto parts,194.35852855533466,3,-4.179113441044654e-05,0.02001014600197474,-0.001156166577950491,0.11551006883382796,0.02082587281862895,0.042939086755116804
10,AMD,Advanced Micro Devices,Information Technology,advanced micro devices,873.7116264509366,3,0.134011379443109,0.005489347130060204,0.08586568624163286,0.11027073239286736,0.05226221799850465,0.24386373162269592
11,AES,AES Corp,Utilities,aes corp,404.9194443064766,2,0.026286887625853208,-0.024720996990799896,0.08059303978314766,0.07000234536826609,0.057980825901031485,0.031647752970457056
12,AFL,Aflac,Financials,aflac,-498.7898462259017,1,-0.060817064717411974,-0.02977869287133216,-0.06892116396473004,0.06708021275699137,-0.07988584637641907,-0.028616145253181475
13,A,Agilent Technologies,Health Care,agilent technologies,453.889020257168,2,0.05161579077442485,-0.012141843885183334,0.06771797514878786,0.11265124287456271,0.03154606163501739,0.07396214827895162
