,permco,companyname,cleanedname,number_words,Examples,Articles,Correct Article,Article_Name,Accuracy Method 1,Accuracy Method 2,Accuracy Method 3,Accuracy Method 4
3,20315,BOEING CO,boeing,1,10,"['Boeing', 'Boeing 737', 'Boeing 747', 'Boeing 727', 'Boeing 777', 'Boeing 787 Dreamliner', 'Boeing 757', 'Boeing 737 MAX', 'Boeing 737 Next Generation', 'Boeing Boeing']",0,Boeing,1.0,1.0,0.8888888888888888,1.0
6,20408,CATERPILLAR INC,caterpillar,1,10,"['Caterpillar', 'Caterpillar Inc.', 'Caterpillar (disambiguation)', 'Caterpillar 797', 'The Very Hungry Caterpillar', 'Caterpillar D11', 'The Caterpillar (song)', 'Caterpillar 3126', 'City of Caterpillar', 'Caterpillar D9']",1,Caterpillar Inc.,1.0,1.0,1.0,1.0
11,20523,CORNING INC,corning,1,10,"['Corning', 'Corning Inc.', 'Corning (city), New York', 'Maize', 'CorningWare', 'Owens Corning', 'Gorilla Glass', 'Corning Museum of Glass', 'Steuben County, New York', 'Corning, California']",1,Corning Inc.,1.0,0.2777777777777778,1.0,0.1111111111111111
12,20566,DEERE & CO,deere,1,10,"['John Deere', 'Deere', 'John Deere (inventor)', 'List of John Deere tractors', 'Alan Deere', 'Deere (automobile)', 'John Deere Model B', 'John Deere Classic', 'Jack Deere', 'John Deere 4020']",1,Deere,0.0,0.0,0.0,0.0
15,20627,EATON CORP PLC,eaton,1,10,"['Eaton', 'Eaton Corporation', 'Shirley Eaton', 'Margaret Eaton, Baroness Eaton', 'Abbie Eaton', 'Mark Eaton', ""Eaton's"", 'Bobby Eaton', 'Courtney Eaton', 'Joseph Eaton']",1,Eaton Corporation,0.2777777777777778,1.0,0.6666666666666666,1.0
20,20868,HALLIBURTON COMPANY,halliburton,1,10,"['Halliburton', 'Richard Halliburton', 'Zero Halliburton', 'KBR (company)', 'Erle P. Halliburton', 'Hangover House', 'Halliburton Field', 'John Halliburton', 'John Halliburton (surgeon)', 'Halliburton House (DeWitt, Arkansas)']",0,Halliburton,1.0,1.0,1.0,1.0
21,20906,HERSHEY CO,hershey,1,10,"['Hershey', 'The Hershey Company', 'Barbara Hershey', 'Hershey, Pennsylvania', 'Hershey Bears', 'Milton S. Hershey', 'Hershey bar', 'Hershey–Chase experiment', ""Hershey's"", ""Hershey's Kisses""]",1,The Hershey Company,0.8333333333333334,0.7222222222222222,1.0,0.6111111111111112
24,21041,KELLOGG CO,kellogg,1,10,"['Kellogg', ""Kellogg's"", 'Will Keith Kellogg', 'John Harvey Kellogg', 'KBR (company)', 'Kellogg School of Management', 'Corn flakes', 'Kellogg–Briand Pact', 'Stephen Kellogg', 'Winthrop Kellogg']",1,Kellogg's,0.0,0.8333333333333334,0.0,1.0
26,21068,KROGER COMPANY,kroger,1,10,"['Kroger', 'Kroger (disambiguation)', 'Murder Kroger', 'Bernard Kroger', 'Kroger Field', 'Collierville Kroger shooting', 'Uwe Kröger', 'Stanley Kamel', 'Michael Kroger', 'Jürgen Kröger']",0,Kroger,0.9444444444444444,0.9444444444444444,1.0,1.0
35,21326,FIRSTENERGY CORP,firstenergy,1,10,"['FirstEnergy', 'FirstEnergy Stadium', 'Ohio nuclear bribery scandal', 'National Football League', '2021 Cleveland Browns season', 'U2', 'Beaver Valley Nuclear Power Station', '2021 NFL Draft', 'List of S&P 500 companies', 'FirstEnergy Stadium (disambiguation)']",0,FirstEnergy,0.8333333333333334,1.0,0.8333333333333334,1.0
38,21384,PEPSICO INC,pepsico,1,10,"['PepsiCo', 'Leonard v. Pepsico, Inc.', 'Sierra Mist', 'Starry (drink)', ""Pepsi, Where's My Jet?"", 'Sting Energy', 'Slice (drink)', 'Pepsi', 'Cheetos', 'Indra Nooyi']",0,PepsiCo,1.0,1.0,1.0,1.0
39,21394,PFIZER INC,pfizer,1,10,"['Pfizer', 'Pfizer–BioNTech COVID-19 vaccine', 'Nirmatrelvir/ritonavir', 'Charles Pfizer', 'Nirmatrelvir', 'Albert Bourla', 'Pfizer (disambiguation)', 'Abdullahi v. Pfizer, Inc.', 'Sildenafil', 'Zoetis']",0,Pfizer,1.0,0.0,1.0,0.8888888888888888
40,21396,EXELON CORP,exelon,1,10,"['Exelon', 'Constellation Energy', 'Three Mile Island Nuclear Generating Station', 'Anne Pramaggiore', 'Exelon Pavilions', 'Chicago', 'Pepco Holdings', 'Rivastigmine', 'Chase Tower (Chicago)', 'List of power stations in Illinois']",0,Exelon,0.0,0.0,0.2222222222222222,0.16666666666666666
42,21401,CONOCOPHILLIPS,conocophillips,1,10,"['ConocoPhillips', 'Phillips Petroleum Company', '76 (gas station)', 'Conoco', 'List of oil and gas fields of the North Sea', 'ConocoPhillips Alaska', 'Big Oil', 'Grimsby Town F.C.', 'Phillips 66', 'Jet (brand)']",0,ConocoPhillips,1.0,1.0,1.0,1.0
50,21914,WEYERHAEUSER CO,weyerhaeuser,1,10,"['Weyerhaeuser', 'WMC Mortgage', 'Weyerhaeuser (disambiguation)', 'Friedrich Weyerhäuser', 'Weyerhaeuser King County Aquatic Center', 'George Weyerhaeuser kidnapping', 'List of public REITs in the United States', 'Aberdeen, Washington', 'Weyerhaeuser House', 'Weyerhaeuser Glacier']",0,Weyerhaeuser,0.05555555555555555,0.0,0.0,0.0
51,21916,WHIRLPOOL CORP,whirlpool,1,10,"['Whirlpool', 'Whirlpool (hash function)', 'Whirlpool Corporation', 'Naruto whirlpools', 'Whirlpool (disambiguation)', 'Niagara Whirlpool', 'Whirlpool Galaxy', ""Love's Whirlpool"", 'Whirlpool (Chapterhouse album)', 'Hotpoint']",2,Whirlpool Corporation,1.0,1.0,1.0,1.0
56,20086,WYETH,wyeth,1,10,"['Wyeth', 'Andrew Wyeth', 'N. C. Wyeth', 'Wyeth (disambiguation)', 'Katya Wyeth', 'Jamie Wyeth', 'Marion Sims Wyeth', 'Wyeth (name)', 'Nathaniel Wyeth', 'Brandywine Museum of Art']",0,Wyeth,0.9444444444444444,0.9444444444444444,1.0,1.0
62,20833,GOODRICH CORP,goodrich,1,10,"['Goodrich', 'Goodrich Corporation', 'Gail Goodrich', 'Goodrich House', 'Marcus Goodrich', 'Central Park Tower', 'Deborah Goodrich', 'Benjamin Goodrich', 'Joseph Goodrich', 'Mario Goodrich']",1,Goodrich Corporation,0.8333333333333334,1.0,1.0,1.0
66,21913,WESTROCK CO,westrock,1,10,"['WestRock', 'Kapstone', 'Primo Water', 'Steven C. Voorhees', 'MeadWestvaco', 'Mead Observatory', 'Richmond, Virginia', 'Conway, Arkansas', 'List of S&P 500 companies', 'Russell 1000 Index']",0,WestRock,0.0,0.4444444444444444,0.8888888888888888,0.4444444444444444
75,21492,RAYTHEON CO,raytheon,1,10,"['Raytheon Technologies', 'Raytheon Company', 'Raytheon Missiles & Defense', 'Raytheon BBN', 'MIM-104 Patriot', 'Raytheon Coyote', 'Raytheon Sentinel', 'ADM-160 MALD', 'M982 Excalibur', 'Forcepoint']",1,Raytheon Company,0.7777777777777778,1.0,1.0,1.0
77,20543,CUMMINS INC,cummins,1,10,"['Cummins', 'Pat Cummins', 'William Cummins', 'Cummins B Series engine', 'Cummins (surname)', 'John Cummins', 'George Cummins', 'Cummins Allison', 'Clessie Cummins', 'Patrick Cummins']",0,Cummins,1.0,1.0,1.0,1.0
79,21576,SCHLUMBERGER LTD,schlumberger,1,10,"['Schlumberger', 'Schlumberger (surname)', 'Schlumberger brothers', 'Jean Schlumberger (jewelry designer)', 'Soil resistivity', 'William Schlumberger', 'Daniel Schlumberger', 'Jean Schlumberger', 'Electrode array', 'Pierre Schlumberger']",0,Schlumberger,1.0,1.0,1.0,1.0
