Verb;Category
Accomplished;Leadership
Achieved;Leadership
Administered;Leadership
Analyzed;Leadership
Assigned;Leadership
Attained;Leadership
Chaired;Leadership
Consolidated;Leadership
Contracted;Leadership
Coordinated;Leadership
Delegated;Leadership
Developed;Leadership
Directed;Leadership
Earned;Leadership
Evaluated;Leadership
Executed;Leadership
Handled;Leadership
Headed;Leadership
Impacted;Leadership
Improved;Leadership
Increased;Leadership
Led;Leadership
Mastered;Leadership
Orchestrated ;Leadership
Organized;Leadership
Oversaw;Leadership
Planned;Leadership
Predicted;Leadership
Prioritized;Leadership
Produced;Leadership
Proved;Leadership
Recommended;Leadership
Regulated;Leadership
Reorganized;Leadership
Reviewed;Leadership
Scheduled;Leadership
Spearheaded;Leadership
Strengthened;Leadership
Supervised;Leadership
Surpassed;Leadership
Addressed;Communication
Arbitrated;Communication
Arranged;Communication
Authored;Communication
Collaborated;Communication
Convinced;Communication
Corresponded;Communication
Delivered;Communication
Developed;Communication
Directed;Communication
Documented;Communication
Drafted;Communication
Edited;Communication
Energized;Communication
Enlisted;Communication
Formulated;Communication
Influenced;Communication
Interpreted;Communication
Lectured;Communication
Liaised;Communication
Mediated;Communication
Moderated;Communication
Negotiated;Communication
Persuaded;Communication
Presented;Communication
Promoted;Communication
Publicized;Communication
Reconciled;Communication
Recruited;Communication
Reported;Communication
Rewrote;Communication
Spoke;Communication
Suggested;Communication
Synthesized;Communication
Translated;Communication
Verbalized;Communication
Wrote;Communication
Clarified;Research
Collected;Research
Concluded;Research
Conducted;Research
Constructed;Research
Critiqued;Research
Derived;Research
Determined;Research
Diagnosed;Research
Discovered;Research
Evaluated;Research
Examined;Research
Extracted;Research
Formed;Research
Identified;Research
Inspected;Research
Interpreted;Research
Interviewed;Research
Investigated;Research
Modeled;Research
Organized;Research
Resolved;Research
Reviewed;Research
Summarized;Research
Surveyed;Research
Systematized;Research
Tested;Research
Assembled;Technical
Built;Technical
Calculated;Technical
Computed;Technical
Designed;Technical
Devised;Technical
Engineered;Technical
Fabricated;Technical
Installed;Technical
Maintained;Technical
Operated;Technical
Optimized;Technical
Overhauled;Technical
Programmed;Technical
Remodeled;Technical
Repaired;Technical
Solved;Technical
Standardized;Technical
Streamlined;Technical
Upgraded;Technical
Adapted;Teaching
Advised;Teaching
Clarified;Teaching
Coached;Teaching
Communicated;Teaching
Coordinated;Teaching
Demystified;Teaching
Developed;Teaching
Enabled;Teaching
Encouraged;Teaching
Evaluated;Teaching
Explained;Teaching
Facilitated;Teaching
Guided;Teaching
Informed;Teaching
Instructed;Teaching
Persuaded;Teaching
Set;Teaching
Goals;Teaching
Stimulated;Teaching
Studied;Teaching
Taught;Teaching
Trained;Teaching
Administered;Quantitative
Allocated;Quantitative
Analyzed;Quantitative
Appraised;Quantitative
Audited;Quantitative
Balanced;Quantitative
Budgeted;Quantitative
Calculated;Quantitative
Computed;Quantitative
Developed;Quantitative
Forecasted;Quantitative
Managed;Quantitative
Marketed;Quantitative
Maximized;Quantitative
Minimized;Quantitative
Planned;Quantitative
Projected;Quantitative
Researched;Quantitative
Acted;Creative
Composed;Creative
Conceived;Creative
Conceptualized;Creative
Created;Creative
Customized;Creative
Designed;Creative
Developed;Creative
Directed;Creative
Established;Creative
Fashioned;Creative
Founded;Creative
Illustrated;Creative
Initiated;Creative
Instituted;Creative
Integrated;Creative
Introduced;Creative
Invented;Creative
Originated;Creative
Performed;Creative
Planned;Creative
Published;Creative
Redesigned;Creative
Revised;Creative
Revitalized;Creative
Shaped;Creative
Visualized;Creative
Assessed;Helping
Assisted;Helping
Clarified;Helping
Coached;Helping
Counseled;Helping
Demonstrated;Helping
Diagnosed;Helping
Educated;Helping
Enhanced;Helping
Expedited;Helping
Facilitated;Helping
Familiarized;Helping
Guided;Helping
Motivated;Helping
Participated;Helping
Proposed;Helping
Provided;Helping
Referred;Helping
Rehabilitated;Helping
Represented;Helping
Served;Helping
Supported;Helping
Approved;Organizational
Accelerated;Organizational
Added;Organizational
Arranged;Organizational
Broadened;Organizational
Cataloged;Organizational
Centralized;Organizational
Changed;Organizational
Classified;Organizational
Collected;Organizational
Compiled;Organizational
Completed;Organizational
Controlled;Organizational
Defined;Organizational
Dispatched;Organizational
Executed;Organizational
Expanded;Organizational
Gained;Organizational
Gathered;Organizational
Generated;Organizational
Implemented;Organizational
Inspected;Organizational
Launched;Organizational
Monitored;Organizational
Operated;Organizational
Organized;Organizational
Prepared;Organizational
Processed;Organizational
Purchased;Organizational
Recorded;Organizational
Reduced;Organizational
Reinforced;Organizational
Retrieved;Organizational
Screened;Organizational
Selected;Organizational
Simplified;Organizational
Sold;Organizational
Specified;Organizational
Steered;Organizational
Structured;Organizational
Systematized;Organizational
Tabulated;Organizational
Unified;Organizational
Updated;Organizational
Utilized;Organizational
Validated;Organizational
Verified;Organizational
