,Molson_male,Molson_female,tuple,Coors_male,Coors_female,Beverage_male,Beverage_female,Company_male,Company_female,average_male,average_female,female-male
99,-2.4373794,-2.4804437,"('prestigious', 'insignificant')",-2.3544211,-2.5061421,0.14769629,0.12044737,-0.45481205,-0.27260256,-1.2747290134429932,-1.2846852540969849,-0.0099562406539917
16,2.168986,2.359523,"('social', 'antisocial')",2.4284043,2.7409894,-1.3688847,-0.95662546,-0.22280931,0.007948399,0.7514240741729736,1.0379588603973389,0.28653478622436523
82,-2.0308058,-1.9899641,"('industrious', 'meek')",-2.0321572,-2.142197,1.3472912,1.3944726,1.2759457,1.3899808,-0.3599315285682678,-0.3369269371032715,0.023004591464996338
81,-1.9129182,-2.0422215,"('industrious', 'lazy')",-1.1747665,-1.3851063,2.2899568,1.9914204,2.7091212,2.5513725,0.4778483510017395,0.2788662612438202,-0.1989820897579193
98,-1.8810271,-1.9168739,"('prestigious', 'insignificant')",-1.4981787,-1.6515273,0.058906674,0.07151821,0.16370653,0.24297962,-0.7891481518745422,-0.8134759068489075,-0.024327754974365234
109,1.8075951,1.9276549,"('conservative', 'liberal')",1.984615,2.1338255,-0.45861012,-0.52092165,-0.22003746,-0.30144396,0.778390645980835,0.8097786903381348,0.031388044357299805
108,1.8075951,1.9276549,"('conservative', 'liberal')",1.984615,2.1338255,-0.45861012,-0.52092165,-0.22003746,-0.30144396,0.778390645980835,0.8097786903381348,0.031388044357299805
107,1.7724588,1.804859,"('conventional', 'modern')",1.4050363,1.5014857,-0.2833681,0.21625403,-0.063400775,0.062306985,0.7076815366744995,0.8962264060974121,0.1885448694229126
94,1.7487135,1.8542515,"('aggressive', 'submissive')",2.6793225,2.7302315,-1.0399144,-0.8260823,0.11054471,0.08536418,0.8746665120124817,0.9609412550926208,0.08627474308013916
84,-1.7365298,-1.7640601,"('self-confident', 'diffident')",-0.68243605,-0.8163562,-0.4301381,-0.35216296,-0.17518169,-0.2317988,-0.7560713887214661,-0.7910944819450378,-0.03502309322357178
64,1.7365294,1.8698921,"('clever', 'incompetent')",0.958967,1.0342023,-2.0905075,-1.8596258,-1.4419653,-1.3681735,-0.20924413204193115,-0.08092620968818665,0.1283179223537445
75,1.63047,1.5514784,"('confident', 'shy')",4.7479854,4.685926,5.159483,5.0093207,5.7217474,5.7270384,4.3149213790893555,4.243440628051758,-0.07148075103759766
1,-1.6143751,-1.510931,"('friendly', 'unfriendly')",-2.297961,-2.2237182,-0.8960031,-1.0090176,-1.6749282,-1.6091913,-1.6208168268203735,-1.5882145166397095,0.03260231018066406
66,1.5793816,1.5302519,"('imaginative', 'unimaginative')",2.9013202,2.8786268,1.8085256,1.8866463,1.6603162,1.6786256,1.9873859882354736,1.9935376644134521,0.006151676177978516
2,1.5717444,1.8084065,"('friendly', 'unfriendly')",1.8185654,2.068527,-1.6027515,-1.2977842,-1.5121584,-1.2813187,0.06884998083114624,0.32445764541625977,0.2556076645851135
101,-1.5498204,-1.3898916,"('successful', 'unsuccessful')",-1.0945662,-1.0159509,-2.6514003,-2.183633,-1.4138873,-1.0101051,-1.6774184703826904,-1.399895191192627,0.2775232791900635
39,-1.5484054,-1.6525413,"('right', 'wrong')",-1.0231664,-1.1250823,0.056069583,0.08101165,0.4955914,0.81214744,-0.5049777030944824,-0.4711161255836487,0.03386157751083374
48,1.5401105,1.2510121,"('reliable', 'unreliable')",2.6707234,2.7156615,2.1259139,2.0421295,1.9145089,1.8205051,2.062814235687256,1.957327127456665,-0.10548710823059082
104,-1.5262313,-1.5950446,"('conventional', 'unconventional')",-1.8238469,-1.7868575,0.24804795,0.47681588,0.28531268,0.49382594,-0.7041794061660767,-0.6028150916099548,0.10136431455612183
76,1.4700575,1.497943,"('secure', 'insecure')",1.5784609,1.7522434,-0.6062285,-0.43247694,-0.2331449,-0.3314395,0.5522862076759338,0.6215674877166748,0.06928128004074097
83,1.4573426,1.4759455,"('energetic', 'lethargic')",1.5940971,1.6516551,-0.95799154,-0.97701657,-0.4470207,-0.38438696,0.4116068482398987,0.44154930114746094,0.029942452907562256
89,1.445306,1.4832999,"('daring', 'anxious')",1.4107167,1.466532,-0.40551707,-0.32961032,-0.21712744,-0.25981936,0.5583444833755493,0.5901005864143372,0.03175610303878784
69,-1.4098693,-1.4883654,"('wise', 'foolish')",-0.93847847,-0.87468386,0.8458371,0.85323286,0.960674,0.9218366,-0.13545913994312286,-0.146994948387146,-0.011535808444023132
54,1.350492,1.2630935,"('smart', 'stupid')",0.8267041,0.56414557,1.4092338,1.1695741,1.0886722,0.91430575,1.1687755584716797,0.977779746055603,-0.19099581241607666
5,1.3197428,1.3881546,"('pleasant', 'repellent')",1.4337405,1.5057023,-0.40812036,-0.05817309,-0.68536496,-0.6523076,0.41499948501586914,0.5458440780639648,0.1308445930480957
12,1.2762978,1.4159151,"('sympathetic', 'unsympathetic')",1.6267577,1.7168946,-1.6314898,-1.6240063,-2.0634217,-1.7333134,-0.19796395301818848,-0.05612751841545105,0.14183643460273743
