,Fidelity_male,Fidelity_female,tuple,National_male,National_female,Information_male,Information_female,Services_male,Services_female,average_male,average_female,female-male
27,-4.8547354,-4.2318845,"('sincere', 'insincere')",-3.954556,-3.4861095,-3.204688,-3.2251568,-6.2348614,-6.1440926,-4.5622100830078125,-4.271810531616211,0.29039955139160156
75,4.5678196,4.0517564,"('confident', 'shy')",4.177792,4.1315956,1.8812326,1.8294299,5.3151054,4.8645015,3.985487222671509,3.719320774078369,-0.26616644859313965
40,-3.8865843,-3.8314257,"('honorable', 'mean')",-2.2825785,-2.4213948,-2.8986268,-3.2185507,-4.2278633,-4.2784047,-3.323913097381592,-3.437443733215332,-0.11353063583374023
6,3.6563187,3.096761,"('liked', 'disliked')",2.904479,2.397377,2.5986714,2.432186,4.3927617,4.2316628,3.3880577087402344,3.039496660232544,-0.34856104850769043
53,-3.3599374,-2.5673745,"('smart', 'stupid')",-2.8700273,-2.7768753,-3.1259763,-3.0635195,-4.4375114,-4.4690895,-3.4483630657196045,-3.219214677810669,0.22914838790893555
95,-3.240899,-2.7083616,"('rich', 'poor')",-2.9986687,-2.800971,-2.0869646,-2.3032508,-5.012558,-4.8777742,-3.3347725868225098,-3.1725893020629883,0.16218328475952148
34,-2.6484537,-2.2505603,"('loyal', 'disloyal')",-1.6931767,-1.3593631,-0.902802,-0.6226158,-2.7230024,-2.0889502,-1.991858720779419,-1.5803723335266113,0.4114863872528076
13,-2.108797,-1.7667648,"('helpful', 'unhelpful')",-1.6069967,-1.1277714,-3.0975235,-3.0688295,-3.9658756,-3.8306804,-2.694798231124878,-2.4485116004943848,0.24628663063049316
28,-2.0100396,-1.9161174,"('honest', 'dishonest')",-1.2536167,-1.1572883,-1.6003888,-1.56373,-2.2775786,-2.2433696,-1.7854058742523193,-1.7201262712478638,0.06527960300445557
50,1.9987681,1.8880398,"('unprejudiced', 'prejudiced')",0.55098706,0.3607285,1.0460955,0.955005,1.801063,1.4529591,1.3492283821105957,1.1641831398010254,-0.1850452423095703
58,-1.9591123,-1.457763,"('able', 'clumsy')",-1.0314572,-0.70653874,-0.89843,-0.7794899,-2.083808,-1.7832716,-1.4932018518447876,-1.1817657947540283,0.3114360570907593
66,1.8155555,1.6044357,"('imaginative', 'unimaginative')",0.9507615,0.8735091,0.102745175,-0.015868455,1.0983231,1.1754818,0.9918462634086609,0.9093895554542542,-0.08245670795440674
86,1.708065,1.4367869,"('self-reliant', 'helpless')",0.90215015,0.76528776,1.1549921,1.0758075,3.2632198,2.9880178,1.7571067810058594,1.5664749145507812,-0.19063186645507812
45,-1.6751418,-1.6568692,"('cooperative', 'exploitative')",-0.99156183,-0.8425593,-0.5435246,-0.44412336,-0.34715682,-0.5323447,-0.8893463015556335,-0.8689740896224976,0.020372211933135986
78,1.6360241,1.2020497,"('active', 'inactive')",2.383831,1.722234,1.620815,1.3124884,1.4159225,1.0410154,1.7641481161117554,1.3194468021392822,-0.44470131397247314
33,-1.6303111,-1.5430487,"('softhearted', 'hardhearted')",-0.3692285,-0.45180303,-0.15243886,-0.1672592,-1.3092768,-1.2866442,-0.8653138279914856,-0.8621888160705566,0.003125011920928955
11,-1.5661398,-1.8481668,"('caring', 'unaffectionate')",-0.8798995,-0.8949674,-1.6014853,-1.6448781,-2.4576097,-2.4764278,-1.6262835264205933,-1.7161099910736084,-0.08982646465301514
37,1.5301654,0.9015918,"('good', 'evil')",0.74853253,0.07137045,2.4210773,2.3128183,2.5144348,2.5826688,1.803552508354187,1.4671123027801514,-0.33644020557403564
38,-1.507942,-1.0487645,"('kind', 'unkind')",-1.775948,-1.22121,-1.3702394,-1.1299897,-3.0356448,-2.938733,-1.9224436283111572,-1.58467435836792,0.3377692699432373
48,1.4594812,1.3646686,"('reliable', 'unreliable')",0.92311144,0.8210763,-0.56782365,-0.6393866,1.5720896,1.240471,0.8467146158218384,0.6967072486877441,-0.15000736713409424
88,1.4162831,1.379983,"('impulsive', 'meek')",1.0550689,0.8342118,1.1681899,1.0558363,1.7268286,1.7561195,1.3415926694869995,1.256537675857544,-0.08505499362945557
72,-1.3973783,-1.090731,"('logical', 'illogical')",-0.09918898,0.03540331,-1.7723397,-1.5861924,-1.1651142,-0.99989367,-1.1085052490234375,-0.910353422164917,0.1981518268585205
36,-1.3966222,-1.1875389,"('tolerant', 'intolerant')",-0.49908292,-0.28197852,-1.4044595,-1.3586504,-0.96550846,-1.1262369,-1.0664182901382446,-0.9886012077331543,0.07781708240509033
12,-1.3835499,-1.2411959,"('sympathetic', 'unsympathetic')",-0.67416584,-0.46536598,-1.4113231,-1.4802153,-1.9088145,-1.9333892,-1.3444633483886719,-1.2800415754318237,0.06442177295684814
104,-1.3805313,-1.5796142,"('conventional', 'unconventional')",-0.7311794,-0.96777326,0.24645896,0.5127371,-0.8149404,-0.47421986,-0.6700480580329895,-0.6272175312042236,0.04283052682876587
97,-1.3258212,-1.1941038,"('superior', 'inferior')",-0.7192228,-0.56835014,-1.0190642,-0.95441437,-0.4759511,-0.255953,-0.8850148320198059,-0.7432053685188293,0.14180946350097656
56,1.2990415,1.6206264,"('intelligent', 'dumb')",0.41594276,0.23912606,-0.59525764,-0.50534356,0.055960193,0.034371868,0.29392170906066895,0.34719520807266235,0.05327349901199341
44,-1.2390131,-1.4276199,"('truthful', 'untruthful')",-1.1387379,-0.9696223,-1.879807,-2.0418553,-1.5462222,-1.510973,-1.4509450197219849,-1.4875175952911377,-0.03657257556915283
