,Facebook_male,Facebook_female,tuple,average_male,average_female,female-male
27,-5.587645,-5.656969,"('sincere', 'insincere')",-5.587645053863525,-5.65696907043457,-0.06932401657104492
75,5.5203757,5.5620227,"('confident', 'shy')",5.520375728607178,5.562022686004639,0.04164695739746094
95,-5.132933,-5.4555016,"('rich', 'poor')",-5.132933139801025,-5.455501556396484,-0.322568416595459
6,4.78018,4.667122,"('liked', 'disliked')",4.780179977416992,4.667121887207031,-0.11305809020996094
40,-4.4358177,-4.6783953,"('honorable', 'mean')",-4.435817718505859,-4.6783952713012695,-0.24257755279541016
13,-2.9965692,-3.1450796,"('helpful', 'unhelpful')",-2.9965691566467285,-3.1450796127319336,-0.14851045608520508
53,-2.984583,-3.023489,"('smart', 'stupid')",-2.9845829010009766,-3.023488998413086,-0.038906097412109375
1,-2.735979,-2.8788753,"('friendly', 'unfriendly')",-2.7359790802001953,-2.878875255584717,-0.14289617538452148
48,2.5117702,2.394114,"('reliable', 'unreliable')",2.511770248413086,2.3941140174865723,-0.11765623092651367
50,2.4649005,2.6420333,"('unprejudiced', 'prejudiced')",2.464900493621826,2.642033338546753,0.17713284492492676
62,-2.380814,-2.3092978,"('creative', 'uncreative')",-2.3808140754699707,-2.309297800064087,0.07151627540588379
11,-2.3476753,-2.6472912,"('caring', 'unaffectionate')",-2.347675323486328,-2.6472911834716797,-0.29961585998535156
105,-2.2746954,-2.4699743,"('conventional', 'modern')",-2.27469539642334,-2.4699742794036865,-0.19527888298034668
74,-1.7368565,-1.8927776,"('insightful', 'unperceptive')",-1.736856460571289,-1.8927775621414185,-0.1559211015701294
81,1.735599,1.6998862,"('industrious', 'lazy')",1.7355990409851074,1.6998862028121948,-0.0357128381729126
65,-1.7256076,-1.7384582,"('practical', 'impractical')",-1.7256076335906982,-1.7384581565856934,-0.012850522994995117
32,-1.7216797,-1.6542101,"('benevolent', 'hardhearted')",-1.7216796875,-1.654210090637207,0.06746959686279297
29,-1.68733,-1.7485138,"('honest', 'immoral')",-1.6873300075531006,-1.7485138177871704,-0.061183810234069824
55,-1.6696197,-1.5373797,"('intelligent', 'unintelligent')",-1.6696196794509888,-1.5373797416687012,0.1322399377822876
86,1.6652665,1.5060078,"('self-reliant', 'helpless')",1.665266513824463,1.5060077905654907,-0.15925872325897217
38,-1.5836463,-1.4541438,"('kind', 'unkind')",-1.583646297454834,-1.454143762588501,0.129502534866333
63,-1.5540588,-1.7257332,"('capable', 'incapable')",-1.5540587902069092,-1.7257331609725952,-0.17167437076568604
93,1.512777,1.8591303,"('dominating', 'dominated')",1.5127769708633423,1.8591302633285522,0.34635329246520996
68,-1.5006373,-1.5828598,"('clever', 'inept')",-1.5006372928619385,-1.582859754562378,-0.08222246170043945
56,1.4827552,1.386913,"('intelligent', 'dumb')",1.482755184173584,1.3869129419326782,-0.09584224224090576
84,-1.4332296,-1.6011274,"('self-confident', 'diffident')",-1.4332295656204224,-1.6011273860931396,-0.16789782047271729
28,-1.3858576,-1.3309479,"('honest', 'dishonest')",-1.3858575820922852,-1.3309478759765625,0.054909706115722656
72,-1.3603382,-1.2195611,"('logical', 'illogical')",-1.3603382110595703,-1.2195611000061035,0.1407771110534668
10,-1.3458542,-1.5375715,"('affectionate', 'unaffectionate')",-1.3458541631698608,-1.5375715494155884,-0.19171738624572754
100,-1.3118926,-1.2104948,"('influential', 'uninfluential')",-1.3118926286697388,-1.2104947566986084,0.10139787197113037
66,1.3014282,1.2328544,"('imaginative', 'unimaginative')",1.301428198814392,1.2328543663024902,-0.06857383251190186
36,-1.2811375,-1.137039,"('tolerant', 'intolerant')",-1.281137466430664,-1.1370389461517334,0.14409852027893066
49,-1.2745694,-1.4157294,"('responsible', 'irresponsible')",-1.2745693922042847,-1.4157294034957886,-0.1411600112915039
24,-1.2715722,-1.0195866,"('thoughtful', 'rough')",-1.271572232246399,-1.0195865631103516,0.25198566913604736
78,1.2688102,1.0909888,"('active', 'inactive')",1.2688101530075073,1.0909887552261353,-0.17782139778137207
87,-1.2617725,-1.1563418,"('dedicated', 'undedicated')",-1.2617725133895874,-1.156341791152954,0.1054307222366333
7,-1.2610743,-1.5180142,"('outgoing', 'distant')",-1.2610743045806885,-1.5180141925811768,-0.2569398880004883
8,-1.2471774,-1.5470939,"('open', 'distant')",-1.2471773624420166,-1.5470938682556152,-0.29991650581359863
110,1.2431573,1.2802775,"('narrow-minded', 'open-minded')",1.2431572675704956,1.2802774906158447,0.03712022304534912
37,1.2295266,1.0418572,"('good', 'evil')",1.2295266389846802,1.0418572425842285,-0.18766939640045166
54,1.222476,1.187495,"('smart', 'stupid')",1.2224760055541992,1.1874949932098389,-0.03498101234436035
34,-1.2004759,-1.2423267,"('loyal', 'disloyal')",-1.2004759311676025,-1.2423267364501953,-0.04185080528259277
44,-1.113741,-1.3639023,"('truthful', 'untruthful')",-1.1137410402297974,-1.3639023303985596,-0.2501612901687622
3,1.1110027,1.0483422,"('likable', 'unlikable')",1.1110026836395264,1.048342227935791,-0.06266045570373535
33,-1.0952046,-1.1162164,"('softhearted', 'hardhearted')",-1.0952045917510986,-1.1162164211273193,-0.021011829376220703
104,-1.0665967,-1.0681572,"('conventional', 'unconventional')",-1.0665967464447021,-1.0681571960449219,-0.0015604496002197266
90,1.0192878,0.85725516,"('motivated', 'unmotivated')",1.0192878246307373,0.8572551608085632,-0.16203266382217407
82,0.98880357,1.0336697,"('industrious', 'meek')",0.9888035655021667,1.0336697101593018,0.04486614465713501
73,-0.9800324,-1.1676583,"('brilliant', 'incompetent')",-0.9800323843955994,-1.1676583290100098,-0.1876259446144104
35,0.94502175,0.97469103,"('fair', 'unfair')",0.9450217485427856,0.9746910333633423,0.02966928482055664
99,-0.9296725,-0.8984496,"('prestigious', 'insignificant')",-0.9296724796295166,-0.8984495997428894,0.031222879886627197
71,-0.84773046,-0.7964776,"('efficient', 'inefficient')",-0.8477304577827454,-0.7964776158332825,0.05125284194946289
41,0.8324534,0.89614964,"('incorrupt', 'corrupt')",0.8324534296989441,0.8961496353149414,0.06369620561599731
57,-0.8205323,-0.94548845,"('able', 'unable')",-0.8205323219299316,-0.945488452911377,-0.12495613098144531
88,0.80802155,0.60289323,"('impulsive', 'meek')",0.8080215454101562,0.6028932332992554,-0.20512831211090088
97,-0.8006784,-0.8463099,"('superior', 'inferior')",-0.8006783723831177,-0.8463099002838135,-0.0456315279006958
77,0.79795694,0.8568732,"('active', 'inactive')",0.7979569435119629,0.8568732142448425,0.05891627073287964
64,-0.74112904,-0.6217928,"('clever', 'incompetent')",-0.7411290407180786,-0.6217927932739258,0.11933624744415283
61,0.7312336,0.79417104,"('rational', 'irrational')",0.7312335968017578,0.7941710352897644,0.06293743848800659
18,-0.72709465,-0.53313136,"('social', 'asocial')",-0.7270946502685547,-0.5331313610076904,0.19396328926086426
107,0.7225373,0.5449927,"('conventional', 'modern')",0.7225372791290283,0.5449926853179932,-0.17754459381103516
59,0.71930027,0.5847707,"('skillful', 'clumsy')",0.7193002700805664,0.584770679473877,-0.13452959060668945
80,0.7173017,0.65704733,"('independent', 'dependent')",0.7173017263412476,0.6570473313331604,-0.06025439500808716
46,0.6815619,0.8412882,"('generous', 'stingy')",0.6815618872642517,0.8412882089614868,0.1597263216972351
30,-0.6788865,-0.81301254,"('honest', 'dishonest')",-0.6788864731788635,-0.8130125403404236,-0.13412606716156006
103,0.6699561,0.61605644,"('traditional', 'modern')",0.6699560880661011,0.6160564422607422,-0.05389964580535889
58,-0.6608046,-0.62965727,"('able', 'clumsy')",-0.6608046293258667,-0.6296572685241699,0.031147360801696777
22,0.6563695,0.7722792,"('welcoming', 'disagreeable')",0.6563695073127747,0.7722792029380798,0.11590969562530518
12,-0.6520305,-0.5837529,"('sympathetic', 'unsympathetic')",-0.6520305275917053,-0.5837528705596924,0.06827765703201294
26,0.60551184,0.6785264,"('trustworthy', 'untrustworthy')",0.6055118441581726,0.6785264015197754,0.07301455736160278
106,-0.5283581,-0.3535355,"('conventional', 'unconventional')",-0.5283581018447876,-0.3535355031490326,0.174822598695755
2,0.5188126,0.62484753,"('friendly', 'unfriendly')",0.5188125967979431,0.6248475313186646,0.10603493452072144
102,-0.5174402,-0.5510943,"('eminent', 'low')",-0.5174401998519897,-0.5510942935943604,-0.033654093742370605
67,-0.49240404,-0.54797316,"('discriminating', 'undiscriminating')",-0.492404043674469,-0.5479731559753418,-0.0555691123008728
101,0.43323445,0.3817649,"('successful', 'unsuccessful')",0.43323445320129395,0.38176488876342773,-0.05146956443786621
31,-0.4304622,-0.23865116,"('altruistic', 'egoistic')",-0.43046221137046814,-0.23865115642547607,0.19181105494499207
0,-0.42757374,-0.26352006,"('sociable', 'unsociable')",-0.4275737404823303,-0.2635200619697571,0.16405367851257324
14,-0.4240988,-0.51276255,"('supportive', 'unsupportive')",-0.42409878969192505,-0.5127625465393066,-0.08866375684738159
17,-0.3905271,-0.17862567,"('social', 'antisocial')",-0.3905270993709564,-0.1786256730556488,0.21190142631530762
45,-0.37893203,-0.12767924,"('cooperative', 'exploitative')",-0.37893202900886536,-0.127679243683815,0.25125278532505035
9,-0.3763432,-0.5433039,"('sensitive', 'insensitive')",-0.3763431906700134,-0.543303906917572,-0.1669607162475586
42,0.3722381,0.21485996,"('amicable', 'hostile')",0.3722380995750427,0.2148599624633789,-0.15737813711166382
