,Home_male,Home_female,tuple,Depot_male,Depot_female,average_male,average_female,female-male
75,6.306108,5.743882,"('confident', 'shy')",5.675992,5.89995,5.991049766540527,5.821916103363037,-0.16913366317749023
95,-5.862645,-5.747111,"('rich', 'poor')",-4.712678,-5.2090406,-5.287661552429199,-5.478075981140137,-0.1904144287109375
27,-5.478516,-5.1629205,"('sincere', 'insincere')",-5.8665223,-6.128048,-5.672519207000732,-5.64548397064209,0.027035236358642578
53,-4.661195,-4.4594326,"('smart', 'stupid')",-3.778626,-4.2276893,-4.219910621643066,-4.343561172485352,-0.12365055084228516
6,4.6409883,3.935976,"('liked', 'disliked')",4.946103,5.3006697,4.793545722961426,4.618322849273682,-0.17522287368774414
40,-4.518851,-4.5172524,"('honorable', 'mean')",-4.0415015,-4.6288433,-4.280176162719727,-4.573047637939453,-0.29287147521972656
13,-2.5867338,-2.833149,"('helpful', 'unhelpful')",-3.3945937,-3.5147877,-2.990663766860962,-3.1739683151245117,-0.1833045482635498
87,-2.2910976,-2.2737617,"('dedicated', 'undedicated')",-1.1506722,-1.0681986,-1.720884919166565,-1.6709802150726318,0.049904704093933105
38,-2.2176425,-2.1501303,"('kind', 'unkind')",-2.0846102,-1.8709592,-2.1511263847351074,-2.010544776916504,0.14058160781860352
11,-2.133648,-2.4915876,"('caring', 'unaffectionate')",-1.1961384,-1.2858425,-1.6648931503295898,-1.8887150287628174,-0.22382187843322754
101,-2.0765185,-2.0478733,"('successful', 'unsuccessful')",-0.5029013,-0.29365292,-1.2897099256515503,-1.1707631349563599,0.11894679069519043
48,2.0287352,1.6796668,"('reliable', 'unreliable')",2.2175937,2.2657623,2.123164415359497,1.9727145433425903,-0.15044987201690674
86,1.9832227,1.7478085,"('self-reliant', 'helpless')",2.8194442,2.9324477,2.4013333320617676,2.340127944946289,-0.061205387115478516
90,1.9013684,1.4437454,"('motivated', 'unmotivated')",0.24618974,0.19574463,1.0737791061401367,0.8197450041770935,-0.2540341019630432
78,1.8913866,1.321532,"('active', 'inactive')",1.9946117,1.8203006,1.9429991245269775,1.5709162950515747,-0.37208282947540283
50,1.8380857,1.9084822,"('unprejudiced', 'prejudiced')",1.6927581,1.51951,1.7654218673706055,1.713996171951294,-0.05142569541931152
103,1.8116288,1.6274638,"('traditional', 'modern')",1.2691195,1.1876209,1.5403741598129272,1.40754234790802,-0.13283181190490723
33,-1.6911156,-1.3652744,"('softhearted', 'hardhearted')",-0.43232715,-0.52168286,-1.0617213249206543,-0.9434786438941956,0.11824268102645874
66,1.6074262,1.6076343,"('imaginative', 'unimaginative')",1.9200101,2.0857852,1.7637181282043457,1.8467097282409668,0.0829916000366211
35,1.6036046,1.5988505,"('fair', 'unfair')",0.9816584,1.2403377,1.2926315069198608,1.4195940494537354,0.1269625425338745
65,-1.5667119,-1.7395861,"('practical', 'impractical')",-1.2841802,-1.4561101,-1.4254460334777832,-1.5978481769561768,-0.17240214347839355
109,1.5489736,1.3847607,"('conservative', 'liberal')",-0.3881833,-0.38297343,0.5803951025009155,0.5008936524391174,-0.0795014500617981
108,1.5489736,1.3847607,"('conservative', 'liberal')",-0.3881833,-0.38297343,0.5803951025009155,0.5008936524391174,-0.0795014500617981
34,-1.5472357,-1.2507764,"('loyal', 'disloyal')",-2.2606936,-2.0272799,-1.903964638710022,-1.6390280723571777,0.26493656635284424
30,-1.5431831,-1.8452499,"('honest', 'dishonest')",-0.39934057,-0.47641432,-0.9712618589401245,-1.160832166671753,-0.18957030773162842
29,-1.5323739,-1.6259747,"('honest', 'immoral')",-0.92381155,-1.1468331,-1.2280926704406738,-1.3864037990570068,-0.158311128616333
51,-1.5273256,-1.5317719,"('competent', 'incompetent')",-0.6961057,-0.65878654,-1.1117156744003296,-1.0952792167663574,0.016436457633972168
1,-1.4992294,-1.4459033,"('friendly', 'unfriendly')",-1.445653,-1.4550635,-1.4724411964416504,-1.4504833221435547,0.021957874298095703
32,-1.329442,-1.0357592,"('benevolent', 'hardhearted')",-1.4042237,-1.3930056,-1.3668328523635864,-1.2143824100494385,0.15245044231414795
84,-1.3042328,-1.6446064,"('self-confident', 'diffident')",-0.27392566,-0.20486207,-0.7890792489051819,-0.9247342348098755,-0.1356549859046936
81,1.2955313,1.1404408,"('industrious', 'lazy')",1.817007,1.912434,1.5562691688537598,1.5264374017715454,-0.029831767082214355
58,-1.2641343,-0.95492613,"('able', 'clumsy')",-1.5985122,-1.5366048,-1.4313232898712158,-1.2457654476165771,0.18555784225463867
10,-1.2167124,-1.2828951,"('affectionate', 'unaffectionate')",-0.6568347,-0.6357001,-0.9367735385894775,-0.9592975974082947,-0.02252405881881714
49,-1.2115598,-1.3974859,"('responsible', 'irresponsible')",-1.502006,-1.7292362,-1.3567829132080078,-1.5633610486984253,-0.20657813549041748
3,1.1769447,0.8774543,"('likable', 'unlikable')",0.4457025,0.7132908,0.8113236427307129,0.7953725457191467,-0.015951097011566162
20,-1.1450562,-1.237855,"('popular', 'unpopular')",-0.6378831,-0.23922521,-0.8914697170257568,-0.7385400533676147,0.1529296636581421
92,-1.1259797,-1.3292975,"('unwavering', 'wavering')",0.5487025,0.7850921,-0.2886385917663574,-0.2721027135848999,0.01653587818145752
28,-1.1104299,-0.8837245,"('honest', 'dishonest')",-1.4838681,-1.72471,-1.2971489429473877,-1.3042172193527222,-0.007068276405334473
74,-1.1070333,-1.4810201,"('insightful', 'unperceptive')",-1.4082084,-1.4032974,-1.2576208114624023,-1.4421586990356445,-0.1845378875732422
43,-1.0831205,-0.9467052,"('genuine', 'fake')",-0.5217555,-0.6034969,-0.8024380207061768,-0.7751010656356812,0.027336955070495605
63,-1.0740293,-1.3109964,"('capable', 'incapable')",-0.6954484,-0.8030991,-0.8847388625144958,-1.057047724723816,-0.17230886220932007
107,-1.0683541,-1.0704156,"('conventional', 'modern')",-0.2896551,-0.17693245,-0.6790046095848083,-0.6236740350723267,0.05533057451248169
46,1.0328882,1.079803,"('generous', 'stingy')",1.9829935,2.1522083,1.5079407691955566,1.6160056591033936,0.10806488990783691
68,-0.994766,-1.3595939,"('clever', 'inept')",-0.24302119,-0.5068878,-0.6188936233520508,-0.9332408308982849,-0.31434720754623413
36,-0.99239737,-0.9422605,"('tolerant', 'intolerant')",-0.5022703,-0.91523635,-0.747333824634552,-0.9287484288215637,-0.18141460418701172
23,-0.98405087,-1.248003,"('hospitable', 'inhospitable')",0.5129757,0.62617123,-0.235537588596344,-0.31091588735580444,-0.07537829875946045
0,-0.9573275,-0.54260796,"('sociable', 'unsociable')",-0.41665143,-0.10452044,-0.686989426612854,-0.32356420159339905,0.36342522501945496
