,The_male,The_female,tuple,Walt_male,Walt_female,Disney_male,Disney_female,Company_male,Company_female,average_male,average_female,female-male
27,-4.519704,-4.617565,"('sincere', 'insincere')",-4.9794693,-5.2675376,-3.370129,-3.0779722,-6.200424,-5.977626,-4.767431735992432,-4.735175132751465,0.0322566032409668
75,4.4551897,4.3718367,"('confident', 'shy')",6.4996147,6.337185,4.562222,4.256763,5.7217474,5.7270384,5.309693336486816,5.173205375671387,-0.1364879608154297
6,4.4363823,4.499816,"('liked', 'disliked')",4.8315687,5.0107403,2.8390381,2.5585475,5.2390637,5.2091265,4.336513042449951,4.319557189941406,-0.016955852508544922
95,-4.0705233,-4.255458,"('rich', 'poor')",-4.610839,-4.8385806,-3.8761063,-3.6972737,-5.528528,-5.4964237,-4.521499156951904,-4.571933746337891,-0.05043458938598633
53,-3.7630177,-3.9306164,"('smart', 'stupid')",-3.9381285,-4.277472,-3.022878,-2.905746,-3.9029984,-4.1224346,-3.6567554473876953,-3.8090672492980957,-0.1523118019104004
40,-3.4941862,-3.7548902,"('honorable', 'mean')",-4.3072605,-4.5969996,-2.5764089,-2.4245746,-4.905266,-5.1309004,-3.8207802772521973,-3.9768412113189697,-0.15606093406677246
38,-2.2621403,-2.064067,"('kind', 'unkind')",-1.5346744,-1.5085305,-1.2986629,-1.1672482,-2.9702783,-2.6353807,-2.0164389610290527,-1.8438066244125366,0.1726323366165161
42,2.149116,2.5466018,"('amicable', 'hostile')",-0.06766522,0.16581184,-0.4262048,-0.41796666,1.2511683,1.4880103,0.726603627204895,0.9456143379211426,0.21901071071624756
25,-2.1309805,-2.201398,"('moral', 'immoral')",0.10761678,0.024046093,0.092778504,0.20241386,-1.5489334,-1.6085532,-0.8698796033859253,-0.8958727717399597,-0.025993168354034424
29,-2.0882998,-2.08831,"('honest', 'immoral')",-0.9709621,-0.9950243,-0.5545447,-0.36741456,-1.498627,-1.2386072,-1.2781083583831787,-1.1723389625549316,0.10576939582824707
78,2.0201669,1.5692433,"('active', 'inactive')",1.6311008,1.0714898,0.15918273,-0.030018859,2.4846003,2.2688856,1.5737626552581787,1.2199000120162964,-0.3538626432418823
64,-1.9438026,-2.1806955,"('clever', 'incompetent')",-0.23267996,-0.35788187,-0.3608399,-0.24580216,-1.4419653,-1.3681735,-0.9948219656944275,-1.0381382703781128,-0.0433163046836853
2,-1.9268218,-1.9346483,"('friendly', 'unfriendly')",0.1550703,0.22308701,0.8118771,0.9213506,-1.5121584,-1.2813187,-0.6180081963539124,-0.5178823471069336,0.10012584924697876
28,-1.8968978,-1.9429185,"('honest', 'dishonest')",-1.8290807,-1.8926764,-0.4504223,-0.372906,-1.2835791,-1.2512192,-1.364995002746582,-1.3649300336837769,6.496906280517578e-05
49,-1.8802367,-2.1599271,"('responsible', 'irresponsible')",-0.32697833,-0.67414534,-0.5139729,-0.55289924,-1.5886176,-1.7323588,-1.077451467514038,-1.2798327207565308,-0.20238125324249268
70,1.8766532,1.7373929,"('wise', 'unwise')",0.78796697,0.7264833,-0.04659976,-0.0628854,0.2525143,0.2666211,0.7176336646080017,0.666903018951416,-0.05073064565658569
37,1.861416,2.0341663,"('good', 'evil')",1.9567746,1.9340873,0.68026704,0.413167,2.6946864,2.6874561,1.798285961151123,1.7672191858291626,-0.03106677532196045
41,1.8535231,2.1499922,"('incorrupt', 'corrupt')",-0.13305801,0.26234788,0.37497973,0.33625185,1.8268913,1.9178905,0.9805840253829956,1.1666206121444702,0.1860365867614746
65,-1.8347969,-1.883312,"('practical', 'impractical')",-0.30618948,-0.49353313,-1.0079143,-1.0120513,-2.0892565,-2.1586611,-1.3095393180847168,-1.3868894577026367,-0.07735013961791992
