,KeyCorp_male,KeyCorp_female,tuple,average_male,average_female,female-male
75,3.882141,3.8327193,"('confident', 'shy')",3.88214111328125,3.832719326019287,-0.04942178726196289
1,-2.6257873,-2.588808,"('friendly', 'unfriendly')",-2.6257872581481934,-2.588808059692383,0.03697919845581055
109,2.4322278,2.0698159,"('conservative', 'liberal')",2.432227849960327,2.0698158740997314,-0.3624119758605957
108,2.4322278,2.0698159,"('conservative', 'liberal')",2.432227849960327,2.0698158740997314,-0.3624119758605957
53,-2.3937726,-2.5573657,"('smart', 'stupid')",-2.393772602081299,-2.557365655899048,-0.16359305381774902
95,-2.3194144,-2.5666454,"('rich', 'poor')",-2.3194143772125244,-2.566645383834839,-0.24723100662231445
11,-2.1274755,-2.043574,"('caring', 'unaffectionate')",-2.1274755001068115,-2.043574094772339,0.08390140533447266
103,2.1141624,1.9625708,"('traditional', 'modern')",2.1141624450683594,1.9625707864761353,-0.15159165859222412
32,-1.8971953,-1.6824756,"('benevolent', 'hardhearted')",-1.8971953392028809,-1.6824755668640137,0.2147197723388672
94,1.8106787,1.631759,"('aggressive', 'submissive')",1.8106787204742432,1.6317590475082397,-0.17891967296600342
27,-1.7957718,-2.0610871,"('sincere', 'insincere')",-1.795771837234497,-2.061087131500244,-0.26531529426574707
10,-1.7902464,-1.6067107,"('affectionate', 'unaffectionate')",-1.7902463674545288,-1.60671067237854,0.18353569507598877
15,1.7798803,1.6873119,"('polite', 'impolite')",1.7798802852630615,1.6873118877410889,-0.09256839752197266
40,-1.7553651,-2.0937166,"('honorable', 'mean')",-1.7553651332855225,-2.093716621398926,-0.3383514881134033
99,-1.6665735,-1.5572276,"('prestigious', 'insignificant')",-1.6665735244750977,-1.557227611541748,0.10934591293334961
6,1.5995004,1.8834354,"('liked', 'disliked')",1.5995004177093506,1.8834353685379028,0.28393495082855225
107,1.5772619,1.5413642,"('conventional', 'modern')",1.5772619247436523,1.5413641929626465,-0.03589773178100586
25,1.5728453,1.2027913,"('moral', 'immoral')",1.5728453397750854,1.2027913331985474,-0.3700540065765381
60,1.5357236,1.299228,"('educated', 'uneducated')",1.5357235670089722,1.2992279529571533,-0.23649561405181885
76,1.518777,1.273806,"('secure', 'insecure')",1.5187770128250122,1.2738059759140015,-0.24497103691101074
