,Chipotle_male,Chipotle_female,tuple,Mexican_male,Mexican_female,Grill_male,Grill_female,average_male,average_female,female-male
75,2.3009057,2.1272535,"('confident', 'shy')",6.4448104,6.3146048,6.8378735,7.061516,5.194529851277669,5.167791366577148,-0.026738484700520537
76,1.5376091,1.9322169,"('secure', 'insecure')",-0.33199638,-0.4257112,-0.9177456,-1.2982152,0.09595568974812825,0.06943019231160481,-0.026525497436523438
109,1.5224366,1.6251993,"('conservative', 'liberal')",1.112666,1.0035872,-0.079437464,-0.7059953,0.8518884181976318,0.6409304141998291,-0.21095800399780273
108,1.5224366,1.6251993,"('conservative', 'liberal')",1.112666,1.0035872,-0.079437464,-0.7059953,0.8518884181976318,0.6409304141998291,-0.21095800399780273
2,1.4470636,1.9365921,"('friendly', 'unfriendly')",-1.0337456,-0.9912803,-1.4812114,-1.8519529,-0.35596450169881183,-0.30221370855967206,0.053750793139139774
90,1.4188367,1.2679843,"('motivated', 'unmotivated')",0.37103367,0.11629021,0.5516088,0.22099093,0.7804931004842123,0.5350884596506754,-0.24540464083353686
95,-1.3897051,-1.307495,"('rich', 'poor')",-5.326108,-5.5495567,-6.4360523,-6.884081,-4.383955001831055,-4.580377578735352,-0.19642257690429688
52,1.3717258,1.6901104,"('competitive', 'uncompetitive')",-0.04749,-0.14050958,-1.0056208,-1.4441371,0.10620498657226562,0.03515458106994629,-0.07105040550231934
64,1.3396673,1.5871933,"('clever', 'incompetent')",-0.79667604,-1.0097194,-1.7376922,-2.194585,-0.39823365211486816,-0.5390370686848959,-0.1408034165700277
6,1.3119828,1.1391993,"('liked', 'disliked')",5.608237,5.6325355,6.594783,7.012429,4.505000750223796,4.5947214762369795,0.0897207260131836
100,1.3044103,1.3206584,"('influential', 'uninfluential')",-0.44562003,-0.4706326,-1.2416897,-1.2206144,-0.1276331345240275,-0.12352953354517619,0.0041036009788513045
51,1.2801765,1.4268955,"('competent', 'incompetent')",-0.2630518,-0.51905686,-0.7847924,-1.024246,0.07744407653808594,-0.03880244493484497,-0.11624652147293091
15,1.2513807,1.5949409,"('polite', 'impolite')",0.07164058,0.16515967,-0.87882227,-1.1636028,0.14806634187698364,0.19883259137471518,0.050766249497731536
80,1.24404,1.2041433,"('independent', 'dependent')",0.8887286,0.8079955,0.16538142,-0.036121905,0.7660500208536783,0.6586723327636719,-0.10737768809000647
53,-1.1722741,-0.92823863,"('smart', 'stupid')",-4.158576,-4.2845335,-5.1080317,-5.4126515,-3.4796272913614907,-3.5418078104654946,-0.062180519104003906
41,-1.1720412,-1.2195284,"('incorrupt', 'corrupt')",1.9606814,2.1839116,2.0134745,2.467578,0.934038241704305,1.1439870198567708,0.2099487781524657
93,1.1223173,1.4725177,"('dominating', 'dominated')",0.15734231,0.23121208,0.054712385,-0.2679482,0.44479068120320636,0.478593905766805,0.03380322456359863
73,1.0985823,1.1069107,"('brilliant', 'incompetent')",-0.55982065,-1.0170486,-1.5720892,-2.2675333,-0.34444252649943036,-0.7258903980255127,-0.38144787152608234
40,-1.0715735,-1.1927152,"('honorable', 'mean')",-4.5112047,-4.931855,-5.5758715,-5.9910407,-3.719549814860026,-4.03853702545166,-0.31898721059163426
7,-1.0556473,-1.604533,"('outgoing', 'distant')",1.4149625,0.9979688,1.4623399,1.4395406,0.6072183847427368,0.2776588201522827,-0.3295595645904541
66,1.0431347,1.1757195,"('imaginative', 'unimaginative')",2.384864,2.5024583,2.182375,2.186915,1.8701244990030925,1.955030918121338,0.08490641911824537
70,1.0385647,0.8869958,"('wise', 'unwise')",0.79193735,0.63328564,1.1256548,1.1549985,0.9853855768839518,0.8917600313822428,-0.09362554550170898
103,1.0348551,0.92020106,"('traditional', 'modern')",0.6973951,0.7464523,0.7318908,0.5246279,0.8213802973429362,0.730427106221517,-0.0909531911214192
