,Zions_male,Zions_female,tuple,Bancorp_male,Bancorp_female,average_male,average_female,female-male
75,3.458836,3.5140986,"('confident', 'shy')",3.4159665,3.2187731,3.437401294708252,3.366436004638672,-0.07096529006958008
27,-3.3766773,-3.462799,"('sincere', 'insincere')",-3.2952862,-3.0553064,-3.335981845855713,-3.2590527534484863,0.07692909240722656
104,-2.2323363,-2.0864367,"('conventional', 'unconventional')",-1.3076284,-1.257338,-1.7699823379516602,-1.6718873977661133,0.09809494018554688
32,-2.2063985,-2.0471883,"('benevolent', 'hardhearted')",-1.9291081,-1.6748351,-2.067753314971924,-1.8610117435455322,0.2067415714263916
50,2.0631533,1.9661589,"('unprejudiced', 'prejudiced')",1.1887426,0.95966756,1.6259479522705078,1.4629132747650146,-0.16303467750549316
40,-2.0199456,-2.3253546,"('honorable', 'mean')",-2.8594859,-2.9351974,-2.43971586227417,-2.6302759647369385,-0.19056010246276855
95,-1.9500825,-1.9710952,"('rich', 'poor')",-2.304132,-2.1754203,-2.1271071434020996,-2.0732576847076416,0.05384945869445801
6,1.9326481,2.230813,"('liked', 'disliked')",2.3361742,2.1821158,2.134411096572876,2.2064642906188965,0.07205319404602051
66,1.7120376,1.8149095,"('imaginative', 'unimaginative')",1.4179162,1.380402,1.5649769306182861,1.5976557731628418,0.032678842544555664
11,-1.5108942,-1.3966944,"('caring', 'unaffectionate')",-2.1583173,-2.1864398,-1.8346056938171387,-1.791567087173462,0.04303860664367676
1,-1.4614092,-1.2588876,"('friendly', 'unfriendly')",-1.6636217,-1.5851858,-1.5625154972076416,-1.4220366477966309,0.14047884941101074
53,-1.396269,-1.3795605,"('smart', 'stupid')",-2.4017985,-2.3284733,-1.899033784866333,-1.854016900062561,0.04501688480377197
15,1.3933785,1.3556643,"('polite', 'impolite')",0.49951488,0.6537465,0.9464466571807861,1.0047054290771484,0.058258771896362305
10,-1.3648422,-1.1538817,"('affectionate', 'unaffectionate')",-1.468249,-1.3349808,-1.4165456295013428,-1.2444312572479248,0.17211437225341797
34,-1.3076705,-1.040306,"('loyal', 'disloyal')",-0.62721646,-0.36138177,-0.9674434661865234,-0.700843870639801,0.2665995955467224
33,-1.3002915,-1.4523883,"('softhearted', 'hardhearted')",-0.15393525,-0.16819215,-0.7271133661270142,-0.8102902173995972,-0.08317685127258301
3,1.2010685,1.1190348,"('likable', 'unlikable')",-0.029348746,-0.07516387,0.5858598947525024,0.5219354629516602,-0.06392443180084229
92,-1.1557795,-1.0595161,"('unwavering', 'wavering')",-0.70970505,-0.8825877,-0.9327422380447388,-0.9710518717765808,-0.03830963373184204
28,-1.0958048,-1.0610689,"('honest', 'dishonest')",-0.38000703,-0.27949777,-0.7379059195518494,-0.670283317565918,0.0676226019859314
52,1.0854797,1.0340021,"('competitive', 'uncompetitive')",0.3514833,0.4214316,0.7184815406799316,0.7277168035507202,0.009235262870788574
86,1.0400099,0.9808966,"('self-reliant', 'helpless')",0.98788714,0.8725549,1.0139484405517578,0.9267257452011108,-0.08722269535064697
109,1.0242356,0.8607081,"('conservative', 'liberal')",1.1697104,1.1696494,1.096972942352295,1.0151786804199219,-0.08179426193237305
108,1.0242356,0.8607081,"('conservative', 'liberal')",1.1697104,1.1696494,1.096972942352295,1.0151786804199219,-0.08179426193237305
88,1.003911,1.1577752,"('impulsive', 'meek')",-0.052979544,-0.25935584,0.4754657447338104,0.44920966029167175,-0.026256084442138672
48,0.9989698,0.92779434,"('reliable', 'unreliable')",0.75325805,0.7336882,0.8761138916015625,0.830741286277771,-0.045372605323791504
105,-0.98753667,-0.8531011,"('conventional', 'modern')",-1.0771985,-0.97381127,-1.0323675870895386,-0.9134562015533447,0.11891138553619385
80,0.9746882,0.94411534,"('independent', 'dependent')",2.0596616,1.9192481,1.5171749591827393,1.431681752204895,-0.08549320697784424
16,0.94992995,0.90933716,"('social', 'antisocial')",0.5669751,0.85972714,0.7584525346755981,0.8845321536064148,0.12607961893081665
54,0.93403745,0.80919385,"('smart', 'stupid')",-0.14175916,-0.34660947,0.39613914489746094,0.23129218816757202,-0.16484695672988892
29,-0.9187379,-0.9734794,"('honest', 'immoral')",-0.3997823,-0.3936391,-0.659260094165802,-0.683559238910675,-0.024299144744873047
69,-0.9148241,-0.7597111,"('wise', 'foolish')",-0.44144544,-0.5245074,-0.6781347990036011,-0.6421092748641968,0.0360255241394043
94,0.90946126,0.994292,"('aggressive', 'submissive')",1.0182856,1.1618891,0.9638734459877014,1.0780905485153198,0.11421710252761841
49,-0.904375,-1.1180527,"('responsible', 'irresponsible')",-0.19206995,-0.13209695,-0.5482224822044373,-0.6250748634338379,-0.07685238122940063
9,-0.83511215,-1.0313833,"('sensitive', 'insensitive')",-0.1765274,-0.23290879,-0.5058197975158691,-0.6321460008621216,-0.12632620334625244
21,0.8344493,0.71929145,"('nice', 'nasty')",-0.14807624,-0.2885114,0.34318652749061584,0.21539002656936646,-0.1277965009212494
58,-0.8280185,-0.7581986,"('able', 'clumsy')",0.46712112,0.821099,-0.18044868111610413,0.03145018219947815,0.21189886331558228
51,0.80354434,0.76138186,"('competent', 'incompetent')",0.8737917,0.92180204,0.8386679887771606,0.8415919542312622,0.0029239654541015625
