,Exelon_male,Exelon_female,tuple,average_male,average_female,female-male
75,2.5532598,2.282372,"('confident', 'shy')",2.55325984954834,2.282371997833252,-0.2708878517150879
16,2.399282,2.1982307,"('social', 'antisocial')",2.3992819786071777,2.198230743408203,-0.2010512351989746
76,1.9867438,1.8752235,"('secure', 'insecure')",1.9867438077926636,1.8752235174179077,-0.11152029037475586
99,-1.9428407,-1.8023254,"('prestigious', 'insignificant')",-1.9428406953811646,-1.8023253679275513,0.14051532745361328
15,1.9206734,2.1174905,"('polite', 'impolite')",1.9206733703613281,2.117490530014038,0.19681715965270996
2,1.8362072,1.9293196,"('friendly', 'unfriendly')",1.8362071514129639,1.9293196201324463,0.09311246871948242
71,1.750993,1.5894616,"('efficient', 'inefficient')",1.750993013381958,1.5894615650177002,-0.1615314483642578
94,1.7072828,1.6971668,"('aggressive', 'submissive')",1.7072827816009521,1.6971668004989624,-0.010115981101989746
52,1.64574,1.6870307,"('competitive', 'uncompetitive')",1.645740032196045,1.6870306730270386,0.04129064083099365
107,1.5185537,1.7917309,"('conventional', 'modern')",1.5185537338256836,1.7917308807373047,0.2731771469116211
8,-1.5069726,-1.3599356,"('open', 'distant')",-1.5069725513458252,-1.3599356412887573,0.14703691005706787
106,-1.4726822,-1.3561758,"('conventional', 'unconventional')",-1.472682237625122,-1.3561757802963257,0.11650645732879639
12,1.4693899,1.7383564,"('sympathetic', 'unsympathetic')",1.4693899154663086,1.738356351852417,0.2689664363861084
4,-1.4492645,-1.5691003,"('likable', 'unlikable')",-1.4492645263671875,-1.569100260734558,-0.1198357343673706
63,-1.4283755,-1.238024,"('capable', 'incapable')",-1.428375482559204,-1.2380239963531494,0.1903514862060547
98,-1.388026,-1.4117476,"('prestigious', 'insignificant')",-1.3880259990692139,-1.4117475748062134,-0.02372157573699951
90,1.3863661,1.1666572,"('motivated', 'unmotivated')",1.3863661289215088,1.1666572093963623,-0.21970891952514648
0,1.3849027,1.6382405,"('sociable', 'unsociable')",1.3849027156829834,1.6382404565811157,0.2533377408981323
93,1.3793344,1.3152962,"('dominating', 'dominated')",1.3793344497680664,1.3152961730957031,-0.06403827667236328
105,-1.3503127,-1.0244746,"('conventional', 'modern')",-1.3503127098083496,-1.0244746208190918,0.3258380889892578
92,-1.3253475,-1.2373301,"('unwavering', 'wavering')",-1.3253475427627563,-1.2373300790786743,0.08801746368408203
42,-1.3010547,-1.0702531,"('amicable', 'hostile')",-1.3010547161102295,-1.0702531337738037,0.23080158233642578
7,-1.2780024,-1.1979244,"('outgoing', 'distant')",-1.278002381324768,-1.1979243755340576,0.08007800579071045
88,-1.269895,-1.1056855,"('impulsive', 'meek')",-1.2698949575424194,-1.1056854724884033,0.1642094850540161
64,1.2695671,1.3215398,"('clever', 'incompetent')",1.2695671319961548,1.3215397596359253,0.05197262763977051
60,1.2624838,1.4089693,"('educated', 'uneducated')",1.262483835220337,1.4089692831039429,0.14648544788360596
109,1.2384169,1.2135831,"('conservative', 'liberal')",1.2384169101715088,1.2135831117630005,-0.0248337984085083
108,1.2384169,1.2135831,"('conservative', 'liberal')",1.2384169101715088,1.2135831117630005,-0.0248337984085083
104,-1.23251,-1.1724193,"('conventional', 'unconventional')",-1.232509970664978,-1.1724193096160889,0.06009066104888916
41,-1.2213504,-1.244759,"('incorrupt', 'corrupt')",-1.2213504314422607,-1.2447589635849,-0.02340853214263916
95,-1.2015697,-1.2024952,"('rich', 'poor')",-1.201569676399231,-1.2024952173233032,-0.0009255409240722656
1,-1.1853832,-0.8778107,"('friendly', 'unfriendly')",-1.1853832006454468,-0.8778107166290283,0.30757248401641846
40,-1.1796974,-1.2581286,"('honorable', 'mean')",-1.1796973943710327,-1.2581286430358887,-0.07843124866485596
69,-1.1789327,-1.0631645,"('wise', 'foolish')",-1.1789326667785645,-1.063164472579956,0.1157681941986084
5,1.1435245,1.0256274,"('pleasant', 'repellent')",1.1435245275497437,1.0256273746490479,-0.1178971529006958
53,-1.1347394,-1.0602009,"('smart', 'stupid')",-1.1347393989562988,-1.0602009296417236,0.0745384693145752
31,-1.1232039,-1.2153386,"('altruistic', 'egoistic')",-1.1232038736343384,-1.2153385877609253,-0.09213471412658691
36,1.0809405,1.0839623,"('tolerant', 'intolerant')",1.0809404850006104,1.083962321281433,0.003021836280822754
6,1.0716381,1.1619694,"('liked', 'disliked')",1.0716381072998047,1.1619694232940674,0.0903313159942627
81,-1.0578096,-1.4347699,"('industrious', 'lazy')",-1.057809591293335,-1.434769868850708,-0.37696027755737305
100,1.0572114,1.2589245,"('influential', 'uninfluential')",1.0572113990783691,1.2589244842529297,0.20171308517456055
61,-1.0440243,-0.8679555,"('rational', 'irrational')",-1.0440243482589722,-0.8679555058479309,0.17606884241104126
17,0.9791695,1.1393582,"('social', 'antisocial')",0.979169487953186,1.1393581628799438,0.1601886749267578
10,-0.977343,-0.7300509,"('affectionate', 'unaffectionate')",-0.9773430228233337,-0.7300509214401245,0.24729210138320923
39,-0.96705204,-0.9223373,"('right', 'wrong')",-0.9670520424842834,-0.9223372936248779,0.04471474885940552
51,0.9295276,1.0914587,"('competent', 'incompetent')",0.9295275807380676,1.0914586782455444,0.1619310975074768
9,0.9261806,1.0587835,"('sensitive', 'insensitive')",0.9261806011199951,1.0587835311889648,0.13260293006896973
68,-0.9184787,-0.859079,"('clever', 'inept')",-0.9184787273406982,-0.8590790033340454,0.05939972400665283
66,0.91678095,1.2522212,"('imaginative', 'unimaginative')",0.916780948638916,1.2522212266921997,0.3354402780532837
25,0.8983802,0.90322065,"('moral', 'immoral')",0.8983802199363708,0.9032206535339355,0.004840433597564697
33,-0.84311247,-0.60435027,"('softhearted', 'hardhearted')",-0.8431124687194824,-0.6043502688407898,0.23876219987869263
83,0.8356678,1.0167569,"('energetic', 'lethargic')",0.8356677889823914,1.0167568922042847,0.1810891032218933
27,-0.79436684,-0.4412308,"('sincere', 'insincere')",-0.7943668365478516,-0.44123080372810364,0.3531360328197479
70,0.79410636,1.0071831,"('wise', 'unwise')",0.7941063642501831,1.0071830749511719,0.21307671070098877
55,0.786016,0.7094137,"('intelligent', 'unintelligent')",0.7860159873962402,0.7094137072563171,-0.0766022801399231
87,-0.7653144,-0.6467975,"('dedicated', 'undedicated')",-0.7653144001960754,-0.6467974781990051,0.11851692199707031
73,0.7257859,0.6550772,"('brilliant', 'incompetent')",0.7257859110832214,0.6550772190093994,-0.07070869207382202
14,0.7013441,1.0014663,"('supportive', 'unsupportive')",0.7013440728187561,1.0014662742614746,0.3001222014427185
11,-0.69178885,-0.2657724,"('caring', 'unaffectionate')",-0.6917888522148132,-0.26577240228652954,0.4260164499282837
20,-0.6105891,-0.53182393,"('popular', 'unpopular')",-0.6105890870094299,-0.5318239331245422,0.0787651538848877
89,0.6059846,0.5914793,"('daring', 'anxious')",0.605984628200531,0.5914793014526367,-0.014505326747894287
24,-0.5823182,-0.5329343,"('thoughtful', 'rough')",-0.5823181867599487,-0.532934308052063,0.04938387870788574
21,0.5531246,0.58726823,"('nice', 'nasty')",0.5531246066093445,0.5872682332992554,0.03414362668991089
103,0.5515212,0.7517948,"('traditional', 'modern')",0.5515211820602417,0.7517948150634766,0.20027363300323486
43,-0.5449433,-0.62409925,"('genuine', 'fake')",-0.5449432730674744,-0.6240992546081543,-0.07915598154067993
82,-0.5368876,-0.7443098,"('industrious', 'meek')",-0.5368875861167908,-0.7443097829818726,-0.2074221968650818
35,-0.50805193,-0.24013832,"('fair', 'unfair')",-0.5080519318580627,-0.24013832211494446,0.2679136097431183
101,0.47942805,0.36491153,"('successful', 'unsuccessful')",0.4794280529022217,0.3649115264415741,-0.11451652646064758
78,0.47834682,0.29184425,"('active', 'inactive')",0.4783468246459961,0.2918442487716675,-0.1865025758743286
48,0.4616915,0.4789018,"('reliable', 'unreliable')",0.4616914987564087,0.47890180349349976,0.017210304737091064
26,0.4584233,0.7993952,"('trustworthy', 'untrustworthy')",0.45842328667640686,0.7993952035903931,0.3409719169139862
49,0.45636958,0.41648382,"('responsible', 'irresponsible')",0.4563695788383484,0.4164838194847107,-0.039885759353637695
67,-0.44875404,-0.24488711,"('discriminating', 'undiscriminating')",-0.44875404238700867,-0.244887113571167,0.20386692881584167
91,0.44515634,0.596322,"('resilient', 'nonresilient')",0.4451563358306885,0.5963220000267029,0.1511656641960144
50,0.4415218,0.19249988,"('unprejudiced', 'prejudiced')",0.4415217936038971,0.19249987602233887,-0.24902191758155823
65,0.40908295,0.5099851,"('practical', 'impractical')",0.40908294916152954,0.509985089302063,0.10090214014053345
32,-0.38850632,-0.5420601,"('benevolent', 'hardhearted')",-0.38850632309913635,-0.5420600771903992,-0.15355375409126282
79,-0.3843399,-0.26362094,"('determined', 'doubtful')",-0.3843398988246918,-0.26362094283103943,0.12071895599365234
13,0.3801409,0.7246694,"('helpful', 'unhelpful')",0.38014090061187744,0.7246693968772888,0.3445284962654114
28,-0.3704527,-0.22089985,"('honest', 'dishonest')",-0.3704527020454407,-0.22089985013008118,0.1495528519153595
22,0.36532634,0.3105689,"('welcoming', 'disagreeable')",0.3653263449668884,0.3105688989162445,-0.05475744605064392
45,0.32847697,0.03674478,"('cooperative', 'exploitative')",0.3284769654273987,0.03674478083848953,-0.29173218458890915
59,-0.31548664,-0.16209242,"('skillful', 'clumsy')",-0.3154866397380829,-0.1620924174785614,0.15339422225952148
