,Illinois_male,Illinois_female,tuple,Tool_male,Tool_female,Works_male,Works_female,average_male,average_female,female-male
75,5.978183,6.067767,"('confident', 'shy')",6.826084,6.436363,4.298298,3.9902608,5.700855255126953,5.498130162556966,-0.20272509256998728
27,-4.2919297,-4.377125,"('sincere', 'insincere')",-6.493862,-6.455069,-4.8977213,-4.399912,-5.227837562561035,-5.077368418375651,0.15046914418538382
40,-4.20105,-4.549114,"('honorable', 'mean')",-4.751914,-5.033896,-3.8213563,-3.8165536,-4.258106867472331,-4.46652094523112,-0.20841407775878906
53,-4.06109,-3.8836408,"('smart', 'stupid')",-4.699335,-4.797678,-2.8655589,-2.8915558,-3.8753280639648438,-3.8576246897379556,0.01770337422688817
95,-3.8103352,-3.953412,"('rich', 'poor')",-5.4047217,-5.1674657,-3.5779629,-3.5198026,-4.264340082804362,-4.213560104370117,0.05077997843424509
6,3.7853017,3.870349,"('liked', 'disliked')",5.949435,5.992485,2.9807863,2.76227,4.238507906595866,4.208367983500163,-0.030139923095703125
86,2.4484107,2.44408,"('self-reliant', 'helpless')",3.2125046,3.0272553,2.0086026,1.6292024,2.5565059979756675,2.3668459256490073,-0.18966007232666016
3,1.9669356,1.9114071,"('likable', 'unlikable')",1.5111433,1.5848494,0.9826195,0.96020097,1.4868993759155273,1.4854857126871746,-0.0014136632283527906
50,1.9513144,1.6303754,"('unprejudiced', 'prejudiced')",2.069232,2.0367837,2.2193236,1.9449943,2.0799566904703775,1.8707178433736165,-0.209238847096761
58,-1.781487,-1.6999291,"('able', 'clumsy')",-1.7145908,-1.3898528,-1.4133272,-0.9306729,-1.6364682515462239,-1.3401514689127605,0.2963167826334634
48,1.7499511,1.6110055,"('reliable', 'unreliable')",3.0214434,3.0253148,1.7060627,1.6779139,2.1591525077819824,2.1047445933024087,-0.054407914479573716
34,-1.7120321,-1.5070413,"('loyal', 'disloyal')",-1.9792528,-1.4444104,-1.5126896,-0.8977699,-1.7346582412719727,-1.283073902130127,0.4515843391418457
66,1.645445,1.6417687,"('imaginative', 'unimaginative')",2.2180953,2.1075754,0.74717593,0.83047426,1.536905288696289,1.5266060829162598,-0.010299205780029297
11,-1.5208751,-1.3373969,"('caring', 'unaffectionate')",-2.2473168,-2.3473334,-1.1687119,-1.1734406,-1.645634651184082,-1.619390328725179,0.02624432245890307
99,-1.5201287,-1.4167339,"('prestigious', 'insignificant')",-0.04137595,0.25230357,-0.30874428,-0.19250149,-0.6234163443247477,-0.45231056213378906,0.17110578219095862
32,-1.5105633,-1.298909,"('benevolent', 'hardhearted')",-1.1435752,-1.1313204,-1.5577126,-1.4995861,-1.4039503733317058,-1.3099384307861328,0.09401194254557299
33,-1.4790785,-1.4648342,"('softhearted', 'hardhearted')",-0.7402054,-0.61489487,0.38292006,0.7815645,-0.6121213436126709,-0.4327215353647868,0.1793998082478841
104,-1.4697405,-1.3720567,"('conventional', 'unconventional')",-0.3544736,-0.2167983,0.5232686,0.586956,-0.4336485068003337,-0.33396633466084796,0.09968217213948571
